Time,PrimT,HwActive,ChActive,ActPow,HwTSet,HwTOutlet,PrimTSet
2018-01-11T01:09:49.164Z,,,,,0,22.4,
2018-01-11T01:09:59.255Z,,,,,0,22.4,
2018-01-11T01:10:09.315Z,,,,,0,22.4,
2018-01-11T01:10:19.169Z,,,,,0,22.4,
2018-01-11T01:10:29.164Z,,,,,0,22.4,
2018-01-11T01:10:39.164Z,,,,,0,22.4,
2018-01-11T01:10:49.166Z,,,,,0,22.2,
2018-01-11T01:10:59.254Z,,,,,0,22.2,
2018-01-11T01:11:09.165Z,,,,,0,22.2,
2018-01-11T01:11:19.165Z,,,,,0,22.2,
2018-01-11T01:11:29.168Z,,,,,0,22.2,
2018-01-11T01:11:39.167Z,,,,,0,22.2,
2018-01-11T01:11:49.165Z,32,,,,0,22.2,
2018-01-11T01:11:59.255Z,32.1,,,,0,22.2,
2018-01-11T01:12:09.169Z,32,,,,0,22.2,
2018-01-11T01:12:19.165Z,,,,,0,22.2,
2018-01-11T01:12:29.311Z,,,,,0,22.2,
2018-01-11T01:12:39.165Z,,,,,0,22.2,
2018-01-11T01:12:49.165Z,,,,,0,22.1,
2018-01-11T01:12:59.255Z,,,,,0,22.1,
2018-01-11T01:13:09.390Z,,,,,0,22.1,
2018-01-11T01:13:19.167Z,,,,,0,22.1,
2018-01-11T01:13:29.165Z,,,,,0,22.1,
2018-01-11T01:13:39.167Z,,,,,0,22.1,
2018-01-11T01:13:49.165Z,,,,,0,22.1,
2018-01-11T01:13:59.255Z,,,,,0,22.1,
2018-01-11T01:14:09.171Z,32,,,,0,22.1,
2018-01-11T01:14:19.167Z,31.9,,,,0,22.1,
2018-01-11T01:14:29.165Z,31.9,,,,0,22.1,
2018-01-11T01:14:39.165Z,,,,,0,22.1,
2018-01-11T01:14:49.165Z,,,,,0,22.1,
2018-01-11T01:14:59.255Z,,,,,0,22,
2018-01-11T01:15:09.165Z,,,,,0,22,
2018-01-11T01:15:19.165Z,,,,,0,22,
2018-01-11T01:15:29.170Z,,,,,0,22,
2018-01-11T01:15:39.166Z,,,,,0,22,
2018-01-11T01:15:49.165Z,,,,,0,22,
2018-01-11T01:15:59.287Z,,,,,0,22,
2018-01-11T01:16:09.166Z,,,,,0,22,
2018-01-11T01:16:19.165Z,,,,,0,22,
2018-01-11T01:16:29.165Z,,,,,0,22,
2018-01-11T01:16:39.166Z,,,,,0,22,
2018-01-11T01:16:49.170Z,,,,,0,22,
2018-01-11T01:16:59.264Z,31.8,,,,0,22,
2018-01-11T01:17:09.165Z,,,,,0,22,
2018-01-11T01:17:19.350Z,,,,,0,21.9,
2018-01-11T01:17:29.350Z,,,,,0,21.9,
2018-01-11T01:17:39.166Z,,,,,0,21.9,
2018-01-11T01:17:49.166Z,,,,,0,21.9,
2018-01-11T01:17:59.357Z,,,,,0,21.9,
2018-01-11T01:18:09.166Z,,,,,0,21.9,
2018-01-11T01:18:19.171Z,,,,,0,21.9,
2018-01-11T01:18:29.166Z,,,,,0,21.9,
2018-01-11T01:18:39.166Z,,,,,0,21.9,
2018-01-11T01:18:49.166Z,,,,,0,21.9,
2018-01-11T01:18:59.255Z,,,,,0,21.9,
2018-01-11T01:19:09.170Z,,,,,0,21.9,
2018-01-11T01:19:19.167Z,,,,,0,21.9,
2018-01-11T01:19:29.165Z,31.7,,,,0,21.9,
2018-01-11T01:19:39.169Z,,,,,0,21.9,
2018-01-11T01:19:49.165Z,,,,,0,21.7,
2018-01-11T01:19:59.256Z,,,,,0,21.7,
2018-01-11T01:20:09.166Z,,,,,0,21.7,
2018-01-11T01:20:19.166Z,,,,,0,21.7,
2018-01-11T01:20:29.166Z,,,,,0,21.7,
2018-01-11T01:20:39.166Z,,,,,0,21.7,
2018-01-11T01:20:49.165Z,,,,,0,21.7,
2018-01-11T01:20:59.256Z,,,,,0,21.7,
2018-01-11T01:21:09.166Z,,,,,0,21.7,
2018-01-11T01:21:19.166Z,,,,,0,21.7,
2018-01-11T01:21:29.166Z,,,,,0,21.7,
2018-01-11T01:21:39.166Z,,,,,0,21.7,
2018-01-11T01:21:49.166Z,,,,,0,21.7,
2018-01-11T01:21:59.257Z,31.6,,,,0,21.7,
