Time,HwActive,HwTOutlet,ChActive,ActPow,PrimTSet,PrimT,HwTSet
2018-02-01T00:28:53.227Z,,20.4,,,,,0
2018-02-01T00:28:57.815Z,,20.5,,,,,0
2018-02-01T00:29:07.717Z,,20.5,,,,39.8,0
2018-02-01T00:29:17.714Z,,20.5,,,,,0
2018-02-01T00:29:27.710Z,,20.5,,,,,0
2018-02-01T00:29:37.724Z,,20.5,,,,,0
2018-02-01T00:29:47.945Z,,20.5,,,,,0
2018-02-01T00:29:57.942Z,,20.5,,,,,0
2018-02-01T00:30:07.713Z,,20.5,,,,,0
2018-02-01T00:30:17.719Z,,20.5,,,,,0
2018-02-01T00:30:27.724Z,,20.5,,,,,0
2018-02-01T00:30:37.716Z,,20.5,,,,39.7,0
2018-02-01T00:30:47.713Z,,20.5,,,,,0
2018-02-01T00:30:57.933Z,,20.5,,,,,0
2018-02-01T00:31:07.716Z,,20.5,,,,,0
2018-02-01T00:31:17.894Z,,20.5,,,,,0
2018-02-01T00:31:27.711Z,,20.5,,,,,0
2018-02-01T00:31:37.711Z,,20.5,,,,,0
2018-02-01T00:31:47.728Z,,20.6,,,,,0
2018-02-01T00:31:57.801Z,,20.6,,,,39.6,0
2018-02-01T00:32:07.711Z,,20.6,,,,,0
2018-02-01T00:32:17.710Z,,20.6,,,,,0
2018-02-01T00:32:27.713Z,,20.6,,,,,0
2018-02-01T00:32:37.711Z,,20.6,,,,,0
2018-02-01T00:32:47.712Z,,20.6,,,,,0
2018-02-01T00:32:57.801Z,,20.6,,,,,0
2018-02-01T00:33:07.712Z,,20.6,,,,,0
2018-02-01T00:33:17.711Z,,20.6,,,,,0
2018-02-01T00:33:27.939Z,,20.6,,,,39.5,0
2018-02-01T00:33:37.712Z,,20.6,,,,,0
2018-02-01T00:33:52.871Z,,20.6,,,,,0
2018-02-01T00:33:57.997Z,,20.6,,,,,0
2018-02-01T00:34:07.713Z,,20.6,,,,,0
2018-02-01T00:34:17.713Z,,20.6,,,,,0
2018-02-01T00:34:28.540Z,,20.6,,,,,0
