Time,PrimT,HwActive,ActPow,PrimTSet,ChActive,HwTOutlet,HwTSet
2017-12-02T00:25:30.912Z,48.8,,,,,40.5,0
2017-12-02T00:25:40.916Z,48.6,,,,,40.4,0
2017-12-02T00:25:50.918Z,49,,,,,40.3,0
2017-12-02T00:26:01.480Z,49.2,,,,,40.2,0
2017-12-02T00:26:16.750Z,50,,,,,40.1,0
2017-12-02T00:26:20.908Z,51,,,,,40,0
2017-12-02T00:26:30.912Z,51.2,,,,,40,0
2017-12-02T00:26:40.906Z,52,,,,,39.9,0
2017-12-02T00:26:50.908Z,51.9,,,,,39.8,0
2017-12-02T00:27:06.046Z,51.7,,,,,39.7,0
2017-12-02T00:27:10.914Z,50.9,,,,,39.7,0
2017-12-02T00:27:20.921Z,49.9,,,,,39.6,0
2017-12-02T00:27:30.920Z,48.9,,,,,39.5,0
2017-12-02T00:27:40.908Z,47.9,,,,,39.4,0
2017-12-02T00:27:50.909Z,47.7,,,,,39.3,0
2017-12-02T00:28:00.907Z,47.1,0,45,,2,39.3,0
2017-12-02T00:28:10.908Z,54.4,,32,,,39.2,0
2017-12-02T00:28:20.921Z,56.2,,29,,,39.1,0
2017-12-02T00:28:30.907Z,58,,30,,,39.1,0
2017-12-02T00:28:40.920Z,58.1,,29,,,38.9,0
2017-12-02T00:28:50.908Z,59,,,,,38.8,0
2017-12-02T00:29:00.909Z,59.6,,30,,,38.8,0
2017-12-02T00:29:10.909Z,60,,29,,,38.7,0
2017-12-02T00:29:20.909Z,60.5,,30,,,38.6,0
2017-12-02T00:29:30.907Z,60.6,,29,,,38.6,0
2017-12-02T00:29:40.917Z,60.7,,,,,38.5,0
2017-12-02T00:29:50.921Z,60.6,,30,,,38.5,0
2017-12-02T00:30:00.917Z,60.5,,29,,,38.4,0
2017-12-02T00:30:10.921Z,60.4,,,,,38.3,0
2017-12-02T00:30:20.908Z,60.2,,,,,38.3,0
2017-12-02T00:30:30.907Z,60.5,,,,,38.2,0
2017-12-02T00:30:40.907Z,61.1,,30,,,38.2,0
2017-12-02T00:30:50.910Z,62,,29,,,38.1,0
2017-12-02T00:31:00.908Z,63.1,,30,,,38.1,0
2017-12-02T00:31:10.908Z,63.2,,29,,,38,0
2017-12-02T00:31:20.921Z,62.8,0,0,,2,38,0
2017-12-02T00:31:31.134Z,58.7,,,,,37.9,0
2017-12-02T00:31:40.910Z,55.9,,,,,37.9,0
2017-12-02T00:31:50.907Z,54.9,,,,,37.8,0
2017-12-02T00:32:00.908Z,54.6,,,,,37.7,0
2017-12-02T00:32:10.907Z,53.9,,,,,37.7,0
2017-12-02T00:32:20.909Z,53.6,,,,,37.7,0
2017-12-02T00:32:30.909Z,53.5,,,,,37.6,0
2017-12-02T00:32:40.911Z,53.4,,,,,37.6,0
2017-12-02T00:32:50.911Z,53.5,,,,,37.5,0
2017-12-02T00:33:00.909Z,53.6,0,44,,2,37.5,0
2017-12-02T00:33:10.920Z,61.1,,34,,,37.4,0
2017-12-02T00:33:20.910Z,64.1,,29,,,37.4,0
2017-12-02T00:33:30.907Z,60.8,0,0,,2,37.4,0
2017-12-02T00:33:40.907Z,58.8,,,,,37.3,0
2017-12-02T00:33:50.908Z,56.5,,,,,37.3,0
2017-12-02T00:34:00.908Z,54.9,,,,,37.2,0
2017-12-02T00:34:11.113Z,53.9,,,,,37.2,0
2017-12-02T00:34:20.910Z,52.9,,,,,37.2,0
2017-12-02T00:34:30.916Z,52.8,,,,,37.1,0
2017-12-02T00:34:40.909Z,51.9,,,,,37.1,0
2017-12-02T00:34:50.908Z,51.6,,,,,36.9,0
2017-12-02T00:35:00.910Z,50.9,,,,,36.9,0
2017-12-02T00:35:10.911Z,,,,,,36.9,0
2017-12-02T00:35:20.912Z,50.7,,,,,36.8,0
2017-12-02T00:35:30.912Z,51,,,,,36.8,0
2017-12-02T00:35:40.930Z,51.4,,,,,36.8,0
2017-12-02T00:35:50.911Z,52,,,61,,36.7,0
2017-12-02T00:36:00.910Z,52.2,,,60,,36.7,0
2017-12-02T00:36:10.908Z,,,,,,36.7,0
2017-12-02T00:36:21.073Z,51.9,,,,,36.6,0
2017-12-02T00:36:30.908Z,51.8,,,,,36.6,0
2017-12-02T00:36:40.914Z,51.3,,,,,36.6,0
2017-12-02T00:36:50.918Z,50.9,,,61,,36.5,0
2017-12-02T00:37:01.068Z,49.9,,,60,,36.5,0
2017-12-02T00:37:10.925Z,49.8,,,,,36.4,0
2017-12-02T00:37:20.918Z,49.4,,,61,,36.4,0
2017-12-02T00:37:30.922Z,48.9,,,60,,36.4,0
2017-12-02T00:37:40.916Z,48.7,,,,,36.4,0
2017-12-02T00:37:51.950Z,48.5,,,,,36.3,0
2017-12-02T00:38:00.909Z,48.3,0,,61,2,36.3,0
2017-12-02T00:38:10.918Z,55.1,,35,,,36.2,0
