Time,HwTSet,HwActive,PrimTSet,ChActive,ActPow,PrimT,HwTOutlet
2018-01-14T00:42:07.799Z,0,,,,,,25.4
2018-01-14T00:42:17.798Z,0,,,,,,25.4
2018-01-14T00:42:27.800Z,0,,,,,,25.4
2018-01-14T00:42:37.798Z,0,,,,,40.9,25.4
2018-01-14T00:42:47.799Z,0,,,,,,25.4
2018-01-14T00:42:57.799Z,0,,,,,,25.3
2018-01-14T00:43:07.799Z,0,,,,,,25.3
2018-01-14T00:43:17.803Z,0,,,,,,25.3
2018-01-14T00:43:27.799Z,0,,,,,,25.3
2018-01-14T00:43:38.343Z,0,,,,,,25.3
2018-01-14T00:43:47.799Z,0,,,,,,25.3
2018-01-14T00:43:57.799Z,0,,,,,,25.3
2018-01-14T00:44:07.799Z,0,,,,,40.8,25.3
2018-01-14T00:44:17.798Z,0,,,,,,25.3
2018-01-14T00:44:27.799Z,0,,,,,,25.1
2018-01-14T00:44:37.798Z,0,,,,,,25.1
2018-01-14T00:44:57.799Z,0,,,,,,25.1
2018-01-14T00:45:07.799Z,0,,,,,,25.1
2018-01-14T00:45:17.834Z,0,,,,,,25.1
2018-01-14T00:45:27.799Z,0,,,,,,25.1
2018-01-14T00:45:37.801Z,0,,,,,40.7,25
2018-01-14T00:45:47.799Z,0,,,,,,25.1
2018-01-14T00:45:57.799Z,0,,,,,,25
2018-01-14T00:46:07.799Z,0,,,,,,25
2018-01-14T00:46:17.988Z,0,,,,,,25
2018-01-14T00:46:27.801Z,0,,,,,,25
2018-01-14T00:46:37.802Z,0,,,,,,25
2018-01-14T00:46:47.800Z,0,,,,,,25
2018-01-14T00:46:57.799Z,0,,,,,,25
2018-01-14T00:47:07.799Z,0,,,,,40.6,25
2018-01-14T00:47:17.800Z,0,,,,,,25
2018-01-14T00:47:27.799Z,0,,,,,,24.9
2018-01-14T00:47:38.034Z,0,,,,,,24.9
2018-01-14T00:47:47.804Z,0,,,,,,24.9
2018-01-14T00:47:57.799Z,0,,,,,,24.9
2018-01-14T00:48:07.800Z,0,0,5,0,0,40.6,24.9
2018-01-14T00:48:17.799Z,0,,,,,,24.9
2018-01-14T00:48:27.800Z,0,,,,,,24.9
2018-01-14T00:48:37.819Z,0,,,,,40.5,24.9
2018-01-14T00:48:48.050Z,0,,,,,,24.9
2018-01-14T00:48:57.985Z,0,,,,,,24.9
2018-01-14T00:49:07.799Z,0,,,,,,24.8
2018-01-14T00:49:17.799Z,0,,,,,,24.8
2018-01-14T00:49:27.800Z,0,,,,,,24.8
2018-01-14T00:49:37.799Z,0,,,,,,24.8
2018-01-14T00:49:48.026Z,0,,,,,,24.8
2018-01-14T00:49:58.346Z,0,,,,,,24.8
2018-01-14T00:50:07.800Z,0,,,,,,24.8
2018-01-14T00:50:17.800Z,0,,,,,40.4,24.8
2018-01-14T00:50:27.800Z,0,,,,,,24.8
2018-01-14T00:50:37.800Z,0,,,,,,24.8
2018-01-14T00:50:47.799Z,0,,,,,,24.7
2018-01-14T00:50:57.802Z,0,,,,,,24.7
2018-01-14T00:51:07.804Z,0,,,,,,24.7
2018-01-14T00:51:17.800Z,0,,,,,,24.7
2018-01-14T00:51:27.800Z,0,,,,,,24.7
2018-01-14T00:51:37.801Z,0,,,,,40.3,24.7
2018-01-14T00:51:57.800Z,0,,,,,,24.7
2018-01-14T00:52:07.801Z,0,,,,,,24.7
2018-01-14T00:52:17.804Z,0,,,,,,24.5
2018-01-14T00:52:27.800Z,0,,,,,,24.5
2018-01-14T00:52:37.801Z,0,,,,,,24.5
2018-01-14T00:52:57.800Z,0,,,,,,24.5
2018-01-14T00:53:07.800Z,0,,,,,,24.5
2018-01-14T00:53:17.801Z,0,,,,,40.2,24.5
2018-01-14T00:53:27.801Z,0,,,,,,24.5
2018-01-14T00:53:37.800Z,0,,,,,,24.5
2018-01-14T00:53:47.801Z,0,,,,,,24.5
2018-01-14T00:53:57.801Z,0,,,,,,24.4
2018-01-14T00:54:07.802Z,0,,,,,,24.4
2018-01-14T00:54:17.800Z,0,,,,,,24.4
2018-01-14T00:54:27.800Z,0,,,,,40.1,24.4
2018-01-14T00:54:38.015Z,0,,,,,,24.4
2018-01-14T00:54:47.802Z,0,,,,,,24.4
2018-01-14T00:54:57.801Z,0,,,,,,24.4
2018-01-14T00:55:07.800Z,0,,,,,,24.4
2018-01-14T00:55:17.801Z,0,,,,,,24.4
2018-01-14T00:55:27.801Z,0,,,,,,24.4
2018-01-14T00:55:42.822Z,0,,,,,,24.4
2018-01-14T00:55:47.805Z,0,,,,,,24.4
2018-01-14T00:55:57.801Z,0,,,,,40,24.3
2018-01-14T00:56:07.803Z,0,,,,,,24.3
2018-01-14T00:56:17.801Z,0,,,,,,24.3
2018-01-14T00:56:27.800Z,0,,,,,,24.3
2018-01-14T00:56:37.802Z,0,,,,,,24.3
2018-01-14T00:56:47.812Z,0,,,,,,24.3
2018-01-14T00:56:57.801Z,0,,,,,,24.3
2018-01-14T00:57:07.802Z,0,,,,,,24.3
2018-01-14T00:57:17.801Z,0,,,,,,24.3
2018-01-14T00:57:27.800Z,0,,,,,,24.3
2018-01-14T00:57:37.804Z,0,,,,,39.9,24.3
2018-01-14T00:57:47.801Z,0,,,,,,24.3
2018-01-14T00:57:57.801Z,0,,,,,,24.2
2018-01-14T00:58:08.036Z,0,,,,,,24.2
2018-01-14T00:58:17.801Z,0,,,,,,24.2
2018-01-14T00:58:37.801Z,0,,,,,,24.2
2018-01-14T00:58:47.802Z,0,,,,,,24.2
2018-01-14T00:58:57.801Z,0,,,,,,24.2
2018-01-14T00:59:07.801Z,0,,,,,39.8,24.2
2018-01-14T00:59:17.801Z,0,,,,,,24.2
2018-01-14T00:59:27.801Z,0,,,,,,24.2
2018-01-14T00:59:37.805Z,0,,,,,,24.2
2018-01-14T00:59:47.801Z,0,,,,,,24.2
2018-01-14T00:59:57.801Z,0,,,,,,24.2
2018-01-14T01:00:07.804Z,0,,,,,,24
2018-01-14T01:00:17.803Z,0,,,,,,24
2018-01-14T01:00:27.801Z,0,,,,,,24
2018-01-14T01:00:37.802Z,0,,,,,39.7,24
2018-01-14T01:00:47.801Z,0,,,,,,24
2018-01-14T01:00:57.804Z,0,,,,,,24
2018-01-14T01:01:07.803Z,0,,,,,,24
2018-01-14T01:01:17.802Z,0,,,,,,24
2018-01-14T01:01:27.802Z,0,,,,,,24
2018-01-14T01:01:37.806Z,0,,,,,,24
2018-01-14T01:01:47.805Z,0,,,,,,24
2018-01-14T01:01:57.806Z,0,,,,,,24
2018-01-14T01:02:07.802Z,0,,,,,,24
2018-01-14T01:02:17.802Z,0,,,,,39.6,23.9
