Time,HwTSet,HwTOutlet,HwActive,ChActive,PrimTSet,ActPow,PrimT
2018-01-24T00:46:43.966Z,0,23.3,,,,,
2018-01-24T00:46:54.056Z,0,23.3,,,,,
2018-01-24T00:47:03.966Z,0,23.3,,,,,
2018-01-24T00:47:14.182Z,0,23.3,,,,,
2018-01-24T00:47:23.969Z,0,23.3,,,,,
2018-01-24T00:47:33.967Z,0,23.3,,,,,
2018-01-24T00:47:43.966Z,0,23.2,,,,,
2018-01-24T00:47:54.241Z,0,23.2,,,,,
2018-01-24T00:48:04.140Z,0,23.2,,,,,
2018-01-24T00:48:14.144Z,0,23.2,,,,,
2018-01-24T00:48:23.972Z,0,23.2,,,,,
2018-01-24T00:48:33.968Z,0,23.2,,,,,
2018-01-24T00:48:43.971Z,0,23.2,,,,,
2018-01-24T00:48:54.056Z,0,23.2,,,,,30.2
2018-01-24T00:49:03.966Z,0,23.2,,,,,
2018-01-24T00:49:13.998Z,0,23.2,,,,,
2018-01-24T00:49:23.975Z,0,23.2,,,,,
2018-01-24T00:49:33.970Z,0,23.2,,,,,
2018-01-24T00:49:43.966Z,0,23.2,,,,,
2018-01-24T00:49:54.057Z,0,23.2,,,,,
2018-01-24T00:50:03.966Z,0,23.2,,,,,
2018-01-24T00:50:13.967Z,0,23.2,,,,,
2018-01-24T00:50:23.973Z,0,23.2,,,,,
2018-01-24T00:50:33.966Z,0,23.2,,,,,
2018-01-24T00:50:43.966Z,0,23.2,,,,,
2018-01-24T00:50:54.057Z,0,23.2,,,,,
2018-01-24T00:51:03.967Z,0,23.2,,,,,
2018-01-24T00:51:13.972Z,0,23.2,,,,,
2018-01-24T00:51:23.967Z,0,23.2,,,,,
2018-01-24T00:51:33.966Z,0,23.2,,,,,30.1
2018-01-24T00:51:43.968Z,0,23.2,,,,,30.2
2018-01-24T00:51:54.057Z,0,23.1,,,,,30.1
2018-01-24T00:52:03.977Z,0,23.1,,,,,
2018-01-24T00:52:13.970Z,0,23.1,,,,,
2018-01-24T00:52:23.967Z,0,23.1,,,,,
2018-01-24T00:52:33.967Z,0,23.1,,,,,
2018-01-24T00:52:43.966Z,0,23.1,,,,,
2018-01-24T00:52:54.057Z,0,23.1,,,,,
2018-01-24T00:53:03.972Z,0,23.1,,,,,
2018-01-24T00:53:13.967Z,0,23.1,,,,,
2018-01-24T00:53:23.967Z,0,23.1,,,,,
2018-01-24T00:53:33.967Z,0,23.1,,,,,
2018-01-24T00:53:44.009Z,0,23.1,,,,,
2018-01-24T00:53:54.057Z,0,23.1,,,,,
2018-01-24T00:54:04.079Z,0,23.1,,,,,
2018-01-24T00:54:13.975Z,0,23.1,,,,,
2018-01-24T00:54:23.967Z,0,23.1,,,,,
2018-01-24T00:54:33.982Z,0,23.1,,,,,
2018-01-24T00:54:43.967Z,0,23.1,,,,,
2018-01-24T00:54:54.317Z,0,23.1,,,,,30
2018-01-24T00:55:03.987Z,0,23.1,,,,,30.1
2018-01-24T00:55:14.078Z,,,,,,,30
2018-01-24T00:55:23.967Z,0,23.1,,,,,
2018-01-24T00:55:34.030Z,0,23.1,,,,,
2018-01-24T00:55:43.991Z,0,23.1,,,,,
2018-01-24T00:55:54.338Z,0,23.1,,,,,
2018-01-24T00:56:08.988Z,0,23.1,,,,,
2018-01-24T00:56:13.976Z,0,23.1,,,,,
2018-01-24T00:56:24.030Z,0,23.1,,,,,
2018-01-24T00:56:33.970Z,0,23.1,,,,,
2018-01-24T00:56:43.968Z,0,23,,,,,
2018-01-24T00:56:54.280Z,0,23.1,,,,,
2018-01-24T00:57:04.110Z,0,23.1,,,,,
2018-01-24T00:57:13.967Z,0,23,,,,,
2018-01-24T00:57:23.972Z,0,23,,,,,
2018-01-24T00:57:33.969Z,0,23,,,,,29.9
2018-01-24T00:57:43.969Z,0,23,,,,,30
2018-01-24T00:57:54.058Z,0,23,,,,,29.9
2018-01-24T00:58:03.968Z,0,23,,,,,29.9
2018-01-24T00:58:13.968Z,0,23,,,,,29.9
2018-01-24T00:58:23.970Z,0,23,,,,,
2018-01-24T00:58:33.968Z,0,23,,,,,
2018-01-24T00:58:43.967Z,0,23,,,,,
2018-01-24T00:58:54.222Z,0,23,,,,,
2018-01-24T00:59:03.968Z,0,23,,,,,
2018-01-24T00:59:13.972Z,0,23,,,,,
2018-01-24T00:59:23.967Z,0,23,,,,,
2018-01-24T00:59:33.969Z,0,23,,,,,
2018-01-24T00:59:43.969Z,0,23,,,,,
2018-01-24T00:59:54.063Z,0,23,,,,,
2018-01-24T01:00:03.968Z,0,23,,,,,
2018-01-24T01:00:13.968Z,0,23,,,,,
2018-01-24T01:00:23.968Z,0,23,,,,,
2018-01-24T01:00:33.972Z,0,23,,,,,
2018-01-24T01:00:43.968Z,0,23,,,,,
2018-01-24T01:00:54.058Z,0,23,,,,,
2018-01-24T01:01:03.970Z,0,23,,,,,29.8
2018-01-24T01:01:13.968Z,0,23,,,,,29.9
2018-01-24T01:01:23.969Z,0,23,,,,,29.8
2018-01-24T01:01:33.973Z,0,23,,,,,
2018-01-24T01:01:43.968Z,0,23,,,,,
2018-01-24T01:01:54.060Z,0,23,,,,,
2018-01-24T01:02:03.972Z,0,22.8,,,,,
2018-01-24T01:02:13.969Z,0,22.8,,,,,
2018-01-24T01:02:23.972Z,0,22.8,,,,,
2018-01-24T01:02:33.976Z,0,22.8,,,,,
2018-01-24T01:02:43.968Z,0,22.8,,,,,
2018-01-24T01:02:54.063Z,0,22.8,,,,,
2018-01-24T01:03:03.973Z,0,22.8,,,,,
2018-01-24T01:03:13.981Z,0,22.8,,,,,
2018-01-24T01:03:23.968Z,0,22.8,,,,,
2018-01-24T01:03:33.975Z,0,22.8,,,,,
2018-01-24T01:03:44.213Z,0,22.8,,,,,
2018-01-24T01:03:54.059Z,0,22.8,0,0,5,0,29.8
2018-01-24T01:04:03.973Z,0,22.8,,,,,
