Time,ChActive,ActPow,HwActive,PrimT,HwTOutlet,PrimTSet,HwTSet
2017-12-19T00:50:59.495Z,,,,,27.4,,0
2017-12-19T00:51:09.494Z,,,,,27.4,,0
2017-12-19T00:51:19.495Z,,,,,27.3,,0
2017-12-19T00:51:29.494Z,,,,,27.3,,0
2017-12-19T00:51:39.495Z,,,,47.8,27.2,,0
2017-12-19T00:51:49.575Z,,,,,27.2,,0
2017-12-19T00:51:59.494Z,,,,,27.2,,0
2017-12-19T00:52:09.494Z,,,,,27.1,,0
2017-12-19T00:52:19.494Z,,,,,27.1,,0
2017-12-19T00:52:29.494Z,,,,47.7,27.1,,0
2017-12-19T00:52:39.495Z,,,,,26.9,,0
2017-12-19T00:52:49.575Z,,,,,26.9,,0
2017-12-19T00:52:59.495Z,,,,,26.8,,0
2017-12-19T00:53:09.495Z,,,,,26.8,,0
2017-12-19T00:53:19.495Z,,,,,26.8,,0
2017-12-19T00:53:29.495Z,,,,47.6,26.7,,0
2017-12-19T00:53:39.495Z,,,,,26.7,,0
2017-12-19T00:53:49.575Z,,,,,26.7,,0
2017-12-19T00:53:59.495Z,,,,,26.6,,0
2017-12-19T00:54:09.494Z,,,,,26.6,,0
2017-12-19T00:54:19.495Z,,,,47.4,26.6,,0
2017-12-19T00:54:29.494Z,,,,,26.5,,0
2017-12-19T00:54:39.494Z,,,,,26.5,,0
2017-12-19T00:54:49.575Z,,,,,26.5,,0
2017-12-19T00:54:59.495Z,,,,,26.3,,0
2017-12-19T00:55:09.495Z,,,,47.3,26.3,,0
2017-12-19T00:55:19.495Z,,,,,26.2,,0
2017-12-19T00:55:29.495Z,,,,,26.2,,0
2017-12-19T00:55:39.495Z,,,,,26.2,,0
2017-12-19T00:55:49.575Z,,,,,26.2,,0
2017-12-19T00:55:59.495Z,,,,,26.1,,0
2017-12-19T00:56:09.495Z,,,,47.2,26.1,,0
2017-12-19T00:56:19.496Z,,,,,26.1,,0
2017-12-19T00:56:29.495Z,,,,,26,,0
2017-12-19T00:56:39.495Z,,,,,26,,0
2017-12-19T00:56:49.575Z,,,,,26,,0
2017-12-19T00:56:59.495Z,,,,47.1,25.9,,0
2017-12-19T00:57:09.498Z,,,,,25.9,,0
2017-12-19T00:57:19.495Z,,,,,25.9,,0
2017-12-19T00:57:29.495Z,,,,,25.7,,0
2017-12-19T00:57:39.495Z,,,,,25.7,,0
2017-12-19T00:57:49.575Z,,,,47,25.7,,0
2017-12-19T00:57:59.500Z,,,,,25.7,,0
2017-12-19T00:58:09.496Z,,,,,25.6,,0
2017-12-19T00:58:19.495Z,,,,,25.6,,0
2017-12-19T00:58:29.495Z,,,,,25.6,,0
2017-12-19T00:58:39.495Z,,,,47,25.6,,0
2017-12-19T00:58:49.576Z,,,,46.9,25.5,,0
2017-12-19T00:58:59.498Z,,,,,25.5,,0
2017-12-19T00:59:09.495Z,,,,,25.5,,0
2017-12-19T00:59:19.500Z,,,,,25.4,,0
2017-12-19T00:59:29.496Z,,,,,25.4,,0
2017-12-19T00:59:39.560Z,,,,46.8,25.4,,0
2017-12-19T00:59:49.576Z,,,,,25.4,,0
2017-12-19T00:59:59.496Z,,,,,25.3,,0
2017-12-19T01:00:09.496Z,,,,,25.3,,0
2017-12-19T01:00:19.496Z,,,,,25.3,,0
2017-12-19T01:00:29.497Z,,,,,25.1,,0
2017-12-19T01:00:39.497Z,,,,,25.1,,0
2017-12-19T01:00:49.576Z,,,,46.7,25.1,,0
2017-12-19T01:00:59.496Z,,,,,25.1,,0
2017-12-19T01:01:09.496Z,,,,,25.1,,0
2017-12-19T01:01:19.496Z,,,,,25,,0
2017-12-19T01:01:29.496Z,,,,,25,,0
2017-12-19T01:01:39.496Z,,,,46.6,25,,0
2017-12-19T01:01:49.576Z,,,,,25,,0
2017-12-19T01:01:59.497Z,,,,,24.9,,0
2017-12-19T01:02:09.496Z,,,,,24.9,,0
2017-12-19T01:02:19.496Z,,,,,24.9,,0
2017-12-19T01:02:29.496Z,,,,,24.9,,0
2017-12-19T01:02:39.500Z,,,,46.5,24.8,,0
2017-12-19T01:02:49.576Z,,,,,24.8,,0
2017-12-19T01:02:59.496Z,,,,,24.8,,0
2017-12-19T01:03:09.496Z,,,,,24.8,,0
2017-12-19T01:03:19.497Z,,,,,24.7,,0
2017-12-19T01:03:29.496Z,,,,,24.7,,0
2017-12-19T01:03:39.496Z,,,,46.4,24.7,,0
2017-12-19T01:03:49.578Z,,,,,24.7,,0
2017-12-19T01:03:59.496Z,,,,,24.7,,0
2017-12-19T01:04:09.496Z,,,,,24.5,,0
2017-12-19T01:04:19.496Z,,,,,24.5,,0
2017-12-19T01:04:29.496Z,,,,,24.5,,0
2017-12-19T01:04:39.496Z,,,,46.3,24.5,,0
2017-12-19T01:04:49.576Z,,,,,24.5,,0
2017-12-19T01:04:59.496Z,,,,,24.4,,0
2017-12-19T01:05:09.497Z,,,,,24.4,,0
2017-12-19T01:05:19.504Z,,,,,24.4,,0
2017-12-19T01:05:29.497Z,,,,46.2,24.4,,0
2017-12-19T01:05:39.496Z,,,,,24.3,,0
2017-12-19T01:05:49.577Z,,,,,24.3,,0
2017-12-19T01:05:59.497Z,,,,,24.3,,0
2017-12-19T01:06:09.496Z,,,,,24.3,,0
2017-12-19T01:06:19.497Z,,,,,24.3,,0
2017-12-19T01:06:29.497Z,,,,46.1,24.2,,0
2017-12-19T01:06:39.496Z,,,,,24.2,,0
2017-12-19T01:06:49.587Z,,,,,24.2,,0
2017-12-19T01:06:59.496Z,,,,,24.2,,0
2017-12-19T01:07:09.497Z,,,,,24.2,,0
2017-12-19T01:07:19.500Z,,,,46,24,,0
2017-12-19T01:07:29.497Z,,,,,24,,0
2017-12-19T01:07:39.497Z,0,0,0,46,24,5,0
2017-12-19T01:07:49.581Z,,,,,24,,0
2017-12-19T01:07:59.497Z,,,,,24,,0
2017-12-19T01:08:09.497Z,,,,,23.9,,0
2017-12-19T01:08:19.497Z,,,,45.9,23.9,,0
2017-12-19T01:08:29.497Z,,,,,23.9,,0
2017-12-19T01:08:39.497Z,,,,,23.9,,0
2017-12-19T01:08:49.577Z,,,,,23.9,,0
2017-12-19T01:08:59.497Z,,,,,23.9,,0
2017-12-19T01:09:09.499Z,,,,,23.8,,0
2017-12-19T01:09:19.497Z,,,,45.8,23.8,,0
2017-12-19T01:09:29.497Z,,,,,23.8,,0
2017-12-19T01:09:39.497Z,,,,,23.8,,0
2017-12-19T01:09:49.577Z,,,,,23.8,,0
2017-12-19T01:09:59.497Z,,,,,23.8,,0
2017-12-19T01:10:09.497Z,,,,,23.7,,0
2017-12-19T01:10:19.498Z,,,,45.7,23.7,,0
2017-12-19T01:10:29.497Z,,,,,23.7,,0
2017-12-19T01:10:39.497Z,,,,,23.7,,0
2017-12-19T01:10:49.579Z,,,,,23.7,,0
2017-12-19T01:10:59.497Z,,,,,23.7,,0
2017-12-19T01:11:09.497Z,,,,,23.6,,0
2017-12-19T01:11:19.498Z,,,,45.6,23.6,,0
2017-12-19T01:11:29.498Z,,,,,23.6,,0
2017-12-19T01:11:39.497Z,,,,,23.6,,0
2017-12-19T01:11:49.577Z,,,,,23.6,,0
2017-12-19T01:11:59.497Z,,,,,23.6,,0
2017-12-19T01:12:09.498Z,,,,,23.4,,0
2017-12-19T01:12:19.497Z,,,,45.5,23.4,,0
2017-12-19T01:12:29.497Z,,,,,23.4,,0
2017-12-19T01:12:39.498Z,,,,,23.4,,0
2017-12-19T01:12:49.578Z,,,,,23.4,,0
2017-12-19T01:12:59.498Z,,,,,23.3,,0
2017-12-19T01:13:09.499Z,,,,,23.3,,0
2017-12-19T01:13:19.498Z,,,,,23.3,,0
2017-12-19T01:13:29.498Z,,,,45.4,23.3,,0
2017-12-19T01:13:39.513Z,,,,,23.3,,0
2017-12-19T01:13:49.590Z,,,,,23.3,,0
2017-12-19T01:13:59.498Z,,,,,23.3,,0
2017-12-19T01:14:09.498Z,,,,,23.2,,0
2017-12-19T01:14:19.498Z,,,,45.3,23.2,,0
2017-12-19T01:14:29.498Z,,,,,23.2,,0
2017-12-19T01:14:39.498Z,,,,,23.2,,0
2017-12-19T01:14:49.578Z,,,,,23.2,,0
2017-12-19T01:14:59.499Z,,,,,23.2,,0
2017-12-19T01:15:09.498Z,,,,,23.2,,0
2017-12-19T01:15:19.498Z,,,,,23.1,,0
2017-12-19T01:15:29.499Z,,,,45.2,23.1,,0
2017-12-19T01:15:39.498Z,,,,,23.1,,0
2017-12-19T01:15:49.578Z,,,,,23.1,,0
2017-12-19T01:15:59.500Z,,,,,23.1,,0
2017-12-19T01:16:09.498Z,,,,,23.1,,0
2017-12-19T01:16:19.498Z,,,,,23,,0
2017-12-19T01:16:29.498Z,,,,45.1,23,,0
2017-12-19T01:16:39.498Z,,,,,23,,0
2017-12-19T01:16:49.579Z,,,,,23,,0
2017-12-19T01:16:59.499Z,,,,,23,,0
2017-12-19T01:17:09.498Z,,,,,23,,0
2017-12-19T01:17:19.498Z,,,,45,23,,0
2017-12-19T01:17:29.500Z,,,,,23,,0
2017-12-19T01:17:39.499Z,,,,,22.8,,0
2017-12-19T01:17:49.578Z,,,,,22.8,,0
2017-12-19T01:17:59.498Z,,,,,22.8,,0
2017-12-19T01:18:09.500Z,,,,,22.8,,0
2017-12-19T01:18:19.499Z,,,,44.9,22.8,,0
2017-12-19T01:18:29.499Z,,,,,22.8,,0
2017-12-19T01:18:39.498Z,,,,,22.8,,0
2017-12-19T01:18:49.578Z,,,,,22.8,,0
2017-12-19T01:18:59.498Z,,,,,22.7,,0
2017-12-19T01:19:09.502Z,,,,,22.7,,0
2017-12-19T01:19:19.502Z,,,,,22.7,,0
2017-12-19T01:19:29.499Z,,,,44.8,22.7,,0
2017-12-19T01:19:39.499Z,,,,,22.7,,0
2017-12-19T01:19:49.579Z,,,,,22.7,,0
2017-12-19T01:19:59.499Z,,,,,22.7,,0
2017-12-19T01:20:09.499Z,,,,,22.7,,0
2017-12-19T01:20:19.499Z,,,,,22.7,,0
2017-12-19T01:20:29.499Z,,,,44.7,22.6,,0
2017-12-19T01:20:39.499Z,,,,,22.6,,0
2017-12-19T01:20:49.579Z,,,,,22.6,,0
