Time,HwTSet,ActPow,ChActive,PrimT,HwTOutlet,PrimTSet,HwActive
2017-11-29T00:22:37.187Z,0,,,61.9,31.9,,
2017-11-29T00:22:47.187Z,0,,,62,31.9,,
2017-11-29T00:22:57.187Z,0,29,,62.1,31.9,,
2017-11-29T00:23:07.188Z,0,,,62.2,31.9,,
2017-11-29T00:23:17.190Z,0,30,,,32,,
2017-11-29T00:23:27.191Z,0,,,,32,,
2017-11-29T00:23:37.187Z,0,29,,62.4,32,,
2017-11-29T00:23:47.187Z,0,,,62.5,32,,
2017-11-29T00:23:57.188Z,0,,,62.7,32.1,,
2017-11-29T00:24:07.188Z,0,30,,62.8,32.1,,
2017-11-29T00:24:17.187Z,0,30,,62.9,32.1,,
2017-11-29T00:24:27.194Z,0,29,,63.1,32.1,,
2017-11-29T00:24:37.194Z,0,30,,63.2,32.2,,
2017-11-29T00:24:47.189Z,0,29,,63.3,32.2,,
2017-11-29T00:24:57.191Z,0,,,63.5,32.2,,
2017-11-29T00:25:07.314Z,0,30,,63.8,32.2,,
2017-11-29T00:25:17.192Z,0,,,,32.2,,
2017-11-29T00:25:27.190Z,0,29,,64,32.3,,
2017-11-29T00:25:37.188Z,0,30,,64.2,32.3,,
2017-11-29T00:25:47.197Z,0,29,,64.4,32.3,,
2017-11-29T00:25:57.190Z,0,,,64.5,32.3,,
2017-11-29T00:26:07.188Z,0,,,64.7,32.3,,
2017-11-29T00:26:17.188Z,0,30,,65.1,32.4,,
2017-11-29T00:26:27.190Z,0,30,,65.1,32.4,,
2017-11-29T00:26:37.191Z,0,,,65.3,32.4,,
2017-11-29T00:26:47.191Z,0,,,65.5,32.5,,
2017-11-29T00:26:57.188Z,0,29,,65.8,32.5,,
2017-11-29T00:27:07.189Z,0,30,,66,32.5,,
2017-11-29T00:27:17.199Z,0,0,1,62.7,32.5,,0
2017-11-29T00:27:32.209Z,0,,,59.9,32.5,,
2017-11-29T00:27:37.192Z,0,,,58.7,32.6,,
2017-11-29T00:27:47.188Z,0,,,57.8,32.6,,
2017-11-29T00:27:57.191Z,0,,,57.2,32.6,,
2017-11-29T00:28:07.193Z,0,,,56.9,32.6,,
2017-11-29T00:28:17.196Z,0,,,56.8,32.7,,
2017-11-29T00:28:27.193Z,0,,,,32.7,,
2017-11-29T00:28:37.188Z,0,,,56.9,32.7,,
2017-11-29T00:28:47.196Z,0,,,57,32.7,,
2017-11-29T00:28:57.192Z,0,,,,32.8,,
2017-11-29T00:29:07.189Z,0,,,,32.8,,
2017-11-29T00:29:17.188Z,0,,,56.9,32.8,,
2017-11-29T00:29:27.188Z,0,,,56.6,32.8,,
2017-11-29T00:29:37.189Z,0,,,55.7,32.8,,
2017-11-29T00:29:47.204Z,0,39,1,59.4,32.8,,0
2017-11-29T00:29:57.189Z,0,29,,63.1,32.9,,
2017-11-29T00:30:07.188Z,0,,,63.3,32.9,,
2017-11-29T00:30:17.188Z,0,,,63.6,32.9,,
2017-11-29T00:30:27.188Z,0,,,64,32.9,,
2017-11-29T00:30:37.189Z,0,30,,64.1,32.9,,
2017-11-29T00:30:47.188Z,0,29,,64.2,32.9,,
2017-11-29T00:30:57.188Z,0,30,,64.4,33.1,,
2017-11-29T00:31:07.188Z,0,,,,33.1,,
2017-11-29T00:31:17.193Z,0,,,64.5,33.1,,
2017-11-29T00:31:27.189Z,0,29,,64.6,33.1,,
2017-11-29T00:31:37.190Z,0,30,,64.7,33.1,,
2017-11-29T00:31:47.188Z,0,29,,65.1,33.2,,
2017-11-29T00:31:57.196Z,0,,,65.3,33.2,,
2017-11-29T00:32:07.189Z,0,0,,66,33.2,,
2017-11-29T00:32:17.190Z,0,,1,62.7,33.2,,0
2017-11-29T00:32:27.188Z,0,,,59.8,33.2,,
2017-11-29T00:32:37.189Z,0,,,58.4,33.3,,
2017-11-29T00:32:47.252Z,0,,,57.9,33.2,,
2017-11-29T00:32:57.189Z,0,,,57.4,33.3,,
2017-11-29T00:33:07.189Z,0,,,57.1,33.3,,
2017-11-29T00:33:17.189Z,0,,,56.9,33.3,,
2017-11-29T00:33:27.189Z,0,,,,33.3,,
2017-11-29T00:33:37.189Z,0,,,,33.3,,
2017-11-29T00:33:47.189Z,0,,,,33.4,,
2017-11-29T00:33:57.188Z,0,,,,33.4,,
2017-11-29T00:34:12.209Z,0,,,,33.4,,
2017-11-29T00:34:17.190Z,0,,,56.8,33.4,,
2017-11-29T00:34:27.189Z,0,,,56.6,33.4,,
2017-11-29T00:34:37.190Z,0,,,55.9,33.5,,
2017-11-29T00:34:47.189Z,0,42,1,58,33.5,,0
2017-11-29T00:34:57.192Z,0,33,,62.2,33.5,,
2017-11-29T00:35:07.190Z,0,29,,64,33.5,,
2017-11-29T00:35:17.189Z,0,30,,64.1,33.5,,
2017-11-29T00:35:27.189Z,0,29,,64.2,33.5,,
2017-11-29T00:35:37.190Z,0,0,0,62.6,33.5,5,0
2017-11-29T00:35:47.189Z,0,45,1,59.3,33.5,62,0
2017-11-29T00:35:57.190Z,0,32,,65.4,33.5,,
2017-11-29T00:36:07.193Z,0,0,1,63.5,33.6,,0
2017-11-29T00:36:17.203Z,0,,0,58.9,33.6,5,0
2017-11-29T00:36:27.189Z,0,,,56.9,33.6,,
2017-11-29T00:36:37.199Z,0,0,1,55.4,33.6,62,0
2017-11-29T00:36:47.192Z,0,35,,61.5,33.6,,
2017-11-29T00:36:57.191Z,0,0,0,62.9,33.6,5,0
2017-11-29T00:37:07.192Z,0,,,58.6,33.6,,
2017-11-29T00:37:17.189Z,0,,,56.9,33.6,,
2017-11-29T00:37:27.192Z,0,,,56.4,33.6,,
2017-11-29T00:37:37.193Z,0,,,56.1,33.7,,
2017-11-29T00:37:47.190Z,0,,,56,33.7,,
2017-11-29T00:37:57.190Z,0,,,56,33.7,,
2017-11-29T00:38:07.197Z,0,,,,33.7,,
2017-11-29T00:38:17.192Z,0,,,55.9,33.7,,
2017-11-29T00:38:27.190Z,0,,,55.7,33.7,,
2017-11-29T00:38:37.193Z,0,,,55.3,33.7,,
2017-11-29T00:38:47.190Z,0,,,54.9,33.7,,
2017-11-29T00:38:57.190Z,0,,,,33.8,,
2017-11-29T00:39:07.190Z,0,,,54.8,33.8,,
2017-11-29T00:39:17.190Z,0,,,54.6,33.8,,
2017-11-29T00:39:27.190Z,0,,,54.3,33.8,,
2017-11-29T00:39:37.197Z,0,,,53.9,33.8,,
2017-11-29T00:39:47.191Z,0,,,53.6,33.8,,
2017-11-29T00:39:57.190Z,0,,,53.3,33.8,,
2017-11-29T00:40:07.190Z,0,,,,33.8,,
2017-11-29T00:40:17.192Z,0,,,53.2,33.8,,
2017-11-29T00:40:27.190Z,0,,,53.1,33.8,,
2017-11-29T00:40:37.190Z,0,,,,33.8,,
2017-11-29T00:40:47.190Z,0,,,53,33.8,,
2017-11-29T00:40:57.192Z,0,,,,33.8,,
2017-11-29T00:41:07.191Z,0,,,52.9,33.8,,
2017-11-29T00:41:17.191Z,0,,,,33.8,,
2017-11-29T00:41:27.337Z,0,,,,33.8,,
2017-11-29T00:41:37.190Z,0,,,52.8,33.8,,
2017-11-29T00:41:47.195Z,0,,,,33.8,,
2017-11-29T00:41:57.191Z,0,,,,33.8,,
2017-11-29T00:42:07.190Z,0,,,,33.8,,
2017-11-29T00:42:17.191Z,0,,,52.7,33.8,,
2017-11-29T00:42:27.193Z,0,,,,33.8,,
2017-11-29T00:42:37.190Z,0,,,,33.8,,
2017-11-29T00:42:47.194Z,0,,,,33.8,,
2017-11-29T00:42:57.191Z,0,,,,33.8,,
2017-11-29T00:43:07.192Z,0,,,,33.8,,
2017-11-29T00:43:17.193Z,0,,,,33.8,,
2017-11-29T00:43:27.193Z,0,,,52.8,33.8,,
2017-11-29T00:43:37.193Z,0,,,52.7,33.8,,
2017-11-29T00:43:47.194Z,0,,,52.8,33.8,,
2017-11-29T00:43:57.193Z,0,,,,33.8,,
2017-11-29T00:44:07.193Z,0,,,,33.8,,
2017-11-29T00:44:17.195Z,0,,,52.7,33.8,,
2017-11-29T00:44:27.195Z,0,,,,33.8,,
2017-11-29T00:44:37.193Z,0,,,,33.8,,
2017-11-29T00:44:47.194Z,0,,,,33.7,,
2017-11-29T00:44:57.191Z,0,,,,33.7,,
2017-11-29T00:45:07.194Z,0,,,,33.7,,
2017-11-29T00:45:17.192Z,0,,,,33.7,,
2017-11-29T00:45:27.195Z,0,,,,33.7,,
2017-11-29T00:45:37.194Z,0,,,52.6,33.7,,
2017-11-29T00:45:47.194Z,0,,,,33.7,,
2017-11-29T00:45:57.191Z,0,,,,33.7,,
2017-11-29T00:46:07.196Z,0,,,,33.6,,
2017-11-29T00:46:17.202Z,0,,,,33.6,,
2017-11-29T00:46:27.196Z,0,,,52.4,33.6,,
2017-11-29T00:46:37.193Z,0,,,,33.6,,
2017-11-29T00:46:47.193Z,0,,,,33.6,,
2017-11-29T00:46:57.197Z,0,,,,33.6,,
2017-11-29T00:47:07.191Z,0,,,52.3,33.6,,
2017-11-29T00:47:17.192Z,0,,,,33.6,,
2017-11-29T00:47:27.197Z,0,,,,33.6,,
2017-11-29T00:47:37.192Z,0,,,,33.5,,
2017-11-29T00:47:47.195Z,0,,,52.2,33.5,,
2017-11-29T00:47:57.544Z,0,,,,33.5,,
2017-11-29T00:48:07.191Z,0,,,,33.5,,
2017-11-29T00:48:17.191Z,0,,,,33.5,,
2017-11-29T00:48:27.192Z,0,,,52.1,33.5,,
2017-11-29T00:48:37.193Z,0,,,,33.4,,
2017-11-29T00:48:47.191Z,0,,,,33.4,,
2017-11-29T00:48:57.192Z,0,,,,33.4,,
2017-11-29T00:49:07.192Z,0,,,52,33.4,,
2017-11-29T00:49:17.198Z,0,,,,33.4,,
2017-11-29T00:49:27.192Z,0,,,,33.4,,
2017-11-29T00:49:37.198Z,0,,,,33.4,,
2017-11-29T00:49:47.192Z,0,,,51.9,33.3,,
2017-11-29T00:49:57.192Z,0,,,,33.3,,
2017-11-29T00:50:07.192Z,0,,,,33.3,,
2017-11-29T00:50:17.192Z,0,,,,33.3,,
2017-11-29T00:50:27.192Z,0,,,51.8,33.3,,
2017-11-29T00:50:37.192Z,0,,,,33.3,,
2017-11-29T00:50:47.192Z,0,,,,33.2,,
2017-11-29T00:50:57.198Z,0,,,,33.2,,
