Time,PrimT,HwTSet,HwActive,ChActive,HwTOutlet,ActPow,PrimTSet
2018-01-01T00:35:53.016Z,,0,,,16.7,,
2018-01-01T00:36:03.016Z,,0,,,16.7,,
2018-01-01T00:36:13.016Z,,0,,,16.7,,
2018-01-01T00:36:23.016Z,,0,,,16.7,,
2018-01-01T00:36:33.017Z,,0,,,16.7,,
2018-01-01T00:36:43.020Z,,0,,,16.7,,
2018-01-01T00:36:53.016Z,,0,,,16.7,,
2018-01-01T00:37:03.016Z,,0,,,16.7,,
2018-01-01T00:37:13.017Z,,0,,,16.7,,
2018-01-01T00:37:23.017Z,,0,,,16.7,,
2018-01-01T00:37:33.016Z,,0,,,16.7,,
2018-01-01T00:37:43.016Z,,0,,,16.7,,
2018-01-01T00:37:53.016Z,,0,,,16.7,,
2018-01-01T00:38:03.016Z,,0,,,16.7,,
2018-01-01T00:38:13.017Z,,0,,,16.7,,
2018-01-01T00:38:23.016Z,,0,,,16.7,,
2018-01-01T00:38:33.017Z,,0,,,16.7,,
2018-01-01T00:38:43.016Z,,0,,,16.7,,
2018-01-01T00:38:53.017Z,,0,,,16.7,,
2018-01-01T00:39:03.016Z,,0,,,16.7,,
2018-01-01T00:39:13.017Z,,0,,,16.7,,
2018-01-01T00:39:23.019Z,,0,,,16.7,,
2018-01-01T00:39:33.017Z,,0,,,16.7,,
2018-01-01T00:39:43.018Z,,0,,,16.7,,
2018-01-01T00:39:53.016Z,,0,,,16.7,,
2018-01-01T00:40:03.016Z,,0,,,16.7,,
2018-01-01T00:40:13.016Z,,0,,,16.5,,
2018-01-01T00:40:23.017Z,,0,,,16.5,,
2018-01-01T00:40:33.017Z,,0,,,16.5,,
2018-01-01T00:40:43.019Z,,0,,,16.5,,
2018-01-01T00:40:53.017Z,,0,,,16.5,,
2018-01-01T00:41:03.020Z,,0,,,16.5,,
2018-01-01T00:41:13.017Z,,0,,,16.5,,
2018-01-01T00:41:23.017Z,,0,,,16.5,,
2018-01-01T00:41:33.018Z,,0,,,16.5,,
2018-01-01T00:41:43.017Z,,0,,,16.5,,
2018-01-01T00:41:53.017Z,,0,,,16.5,,
2018-01-01T00:42:03.017Z,,0,,,16.5,,
2018-01-01T00:42:13.018Z,,0,,,16.5,,
2018-01-01T00:42:23.017Z,,0,,,16.5,,
2018-01-01T00:42:33.018Z,,0,,,16.5,,
2018-01-01T00:42:43.019Z,,0,,,16.5,,
2018-01-01T00:42:53.018Z,,0,,,16.5,,
2018-01-01T00:43:03.017Z,,0,,,16.5,,
2018-01-01T00:43:13.018Z,,0,,,16.5,,
2018-01-01T00:43:23.017Z,,0,,,16.5,,
2018-01-01T00:43:33.018Z,,0,,,16.5,,
2018-01-01T00:43:43.017Z,,0,,,16.5,,
2018-01-01T00:43:53.017Z,,0,,,16.5,,
2018-01-01T00:44:03.025Z,,0,,,16.5,,
2018-01-01T00:44:13.020Z,,0,,,16.5,,
2018-01-01T00:44:23.017Z,,0,,,16.5,,
2018-01-01T00:44:33.017Z,,0,,,16.5,,
2018-01-01T00:44:43.017Z,,0,,,16.5,,
2018-01-01T00:44:53.017Z,,0,,,16.5,,
2018-01-01T00:45:03.017Z,,0,,,16.5,,
2018-01-01T00:45:13.017Z,,0,,,16.5,,
2018-01-01T00:45:23.017Z,,0,,,16.5,,
2018-01-01T00:45:33.017Z,,0,,,16.5,,
2018-01-01T00:45:43.019Z,,0,,,16.5,,
2018-01-01T00:45:53.019Z,,0,,,16.5,,
2018-01-01T00:46:03.018Z,,0,,,16.5,,
2018-01-01T00:46:13.017Z,,0,,,16.5,,
2018-01-01T00:46:23.017Z,,0,,,16.5,,
2018-01-01T00:46:33.017Z,,0,,,16.5,,
2018-01-01T00:46:43.017Z,,0,,,16.5,,
2018-01-01T00:46:53.017Z,,0,,,16.5,,
2018-01-01T00:47:03.017Z,,0,,,16.5,,
2018-01-01T00:47:13.018Z,16.8,0,,,16.5,,
2018-01-01T00:47:23.018Z,16.9,0,,,16.5,,
2018-01-01T00:47:33.018Z,,0,,,16.5,,
2018-01-01T00:47:43.018Z,,0,,,16.5,,
2018-01-01T00:47:53.017Z,16.8,0,,,16.5,,
2018-01-01T00:48:03.140Z,16.9,0,,,16.5,,
2018-01-01T00:48:13.018Z,,0,,,16.5,,
2018-01-01T00:48:23.019Z,,0,,,16.5,,
2018-01-01T00:48:33.019Z,16.8,0,,,16.5,,
2018-01-01T00:48:43.018Z,16.9,0,,,16.4,,
2018-01-01T00:48:53.018Z,16.8,0,,,16.5,,
2018-01-01T00:49:03.017Z,,0,,,16.5,,
2018-01-01T00:49:13.018Z,,0,,,16.5,,
2018-01-01T00:49:23.018Z,,0,,,16.5,,
2018-01-01T00:49:33.018Z,,0,,,16.5,,
2018-01-01T00:49:43.018Z,,0,,,16.5,,
2018-01-01T00:49:53.020Z,,0,,,16.5,,
2018-01-01T00:50:03.018Z,,0,,,16.5,,
2018-01-01T00:50:13.018Z,,0,,,16.5,,
2018-01-01T00:50:23.018Z,,0,,,16.4,,
2018-01-01T00:50:33.018Z,16.9,0,,,16.5,,
2018-01-01T00:50:43.018Z,16.8,0,,,16.5,,
2018-01-01T00:50:53.018Z,,0,,,16.4,,
2018-01-01T00:51:03.018Z,,0,,,16.4,,
2018-01-01T00:51:13.021Z,,0,,,16.5,,
