Time,HwActive,ChActive,HwTSet,ActPow,PrimTSet,HwTOutlet,PrimT
2017-12-30T00:17:32.699Z,,,0,,,14.7,
2017-12-30T00:17:42.700Z,,,0,,,14.7,
2017-12-30T00:17:52.699Z,,,0,,,14.7,
2017-12-30T00:18:02.817Z,,,0,,,14.7,
2017-12-30T00:18:12.702Z,,,0,,,14.7,
2017-12-30T00:18:22.700Z,,,0,,,14.7,
2017-12-30T00:18:32.700Z,,,0,,,14.7,
2017-12-30T00:18:42.700Z,,,0,,,14.7,
2017-12-30T00:18:52.700Z,,,0,,,14.7,
2017-12-30T00:19:02.700Z,,,0,,,14.7,
2017-12-30T00:19:12.701Z,,,0,,,14.7,
2017-12-30T00:19:22.700Z,,,0,,,14.7,
2017-12-30T00:19:32.700Z,,,0,,,14.7,
2017-12-30T00:19:42.700Z,,,0,,,14.7,
2017-12-30T00:19:52.700Z,,,0,,,14.7,
2017-12-30T00:20:02.704Z,,,0,,,14.7,
2017-12-30T00:20:12.702Z,,,0,,,14.7,
2017-12-30T00:20:22.700Z,,,0,,,14.7,
2017-12-30T00:20:32.702Z,,,0,,,14.7,
2017-12-30T00:20:42.700Z,,,0,,,14.7,
2017-12-30T00:20:52.703Z,,,0,,,14.7,
2017-12-30T00:21:02.700Z,,,0,,,14.7,
2017-12-30T00:21:12.700Z,,,0,,,14.7,
2017-12-30T00:21:22.708Z,,,0,,,14.7,
2017-12-30T00:21:32.700Z,,,0,,,14.7,
2017-12-30T00:21:42.701Z,,,0,,,14.7,
2017-12-30T00:21:52.700Z,,,0,,,14.7,
2017-12-30T00:22:02.717Z,,,0,,,14.7,
2017-12-30T00:22:12.893Z,,,0,,,14.7,
2017-12-30T00:22:22.700Z,,,0,,,14.7,
2017-12-30T00:22:32.700Z,,,0,,,14.7,
2017-12-30T00:22:42.700Z,,,0,,,14.7,
2017-12-30T00:22:52.700Z,,,0,,,14.7,
2017-12-30T00:23:02.700Z,,,0,,,14.7,
2017-12-30T00:23:12.700Z,,,0,,,14.7,
2017-12-30T00:23:22.700Z,,,0,,,14.7,
2017-12-30T00:23:32.701Z,,,0,,,14.7,
2017-12-30T00:23:42.700Z,,,0,,,14.7,
2017-12-30T00:23:52.703Z,,,0,,,14.7,
2017-12-30T00:24:02.770Z,,,0,,,14.7,
2017-12-30T00:24:12.700Z,,,0,,,14.7,
2017-12-30T00:24:22.955Z,,,0,,,14.7,
2017-12-30T00:24:32.702Z,0,0,0,0,5,14.7,16.2
2017-12-30T00:24:42.702Z,,,0,,,14.7,
2017-12-30T00:24:52.700Z,,,0,,,14.7,
2017-12-30T00:25:02.704Z,,,0,,,14.7,
2017-12-30T00:25:12.701Z,,,0,,,14.7,
2017-12-30T00:25:22.700Z,,,0,,,14.7,
2017-12-30T00:25:32.701Z,,,0,,,14.7,
2017-12-30T00:25:42.702Z,,,0,,,14.7,
2017-12-30T00:25:52.700Z,,,0,,,14.7,
2017-12-30T00:26:07.722Z,,,0,,,14.7,
2017-12-30T00:26:12.701Z,,,0,,,14.7,
2017-12-30T00:26:22.701Z,,,0,,,14.7,
2017-12-30T00:26:32.701Z,,,0,,,14.7,
2017-12-30T00:26:42.701Z,,,0,,,14.7,
2017-12-30T00:26:52.701Z,,,0,,,14.7,
2017-12-30T00:27:02.702Z,,,0,,,14.7,
2017-12-30T00:27:12.701Z,,,0,,,14.7,
2017-12-30T00:27:22.700Z,,,0,,,14.7,
2017-12-30T00:27:32.700Z,,,0,,,14.7,
2017-12-30T00:27:42.700Z,,,0,,,14.7,
2017-12-30T00:27:52.701Z,,,0,,,14.7,
2017-12-30T00:28:02.701Z,,,0,,,14.7,
2017-12-30T00:28:12.703Z,,,0,,,14.7,
2017-12-30T00:28:22.701Z,,,0,,,14.7,16.1
2017-12-30T00:28:32.703Z,,,0,,,14.7,
2017-12-30T00:28:42.701Z,,,0,,,14.7,16.2
2017-12-30T00:28:52.701Z,,,0,,,14.7,
2017-12-30T00:29:02.703Z,,,0,,,14.7,16.1
2017-12-30T00:29:12.702Z,,,0,,,14.7,16.2
2017-12-30T00:29:22.703Z,,,0,,,14.7,
2017-12-30T00:29:32.702Z,,,0,,,14.7,16.1
2017-12-30T00:29:42.701Z,,,0,,,14.7,
2017-12-30T00:29:52.701Z,,,0,,,14.7,
2017-12-30T00:30:02.700Z,,,0,,,14.7,
2017-12-30T00:30:12.701Z,,,0,,,14.7,
2017-12-30T00:30:22.701Z,,,0,,,14.7,
2017-12-30T00:30:32.701Z,,,0,,,14.7,
2017-12-30T00:30:42.701Z,,,0,,,14.7,
2017-12-30T00:30:52.701Z,,,0,,,14.7,
2017-12-30T00:31:02.704Z,,,0,,,14.7,
2017-12-30T00:31:12.701Z,,,0,,,14.7,
2017-12-30T00:31:22.701Z,,,0,,,14.7,
2017-12-30T00:31:32.701Z,,,0,,,14.7,
2017-12-30T00:31:42.701Z,,,0,,,14.7,
2017-12-30T00:31:52.702Z,,,0,,,14.7,
2017-12-30T00:32:02.701Z,,,0,,,14.7,
2017-12-30T00:32:12.702Z,,,0,,,14.7,
2017-12-30T00:32:22.701Z,,,0,,,14.7,
2017-12-30T00:32:32.701Z,,,0,,,14.7,
2017-12-30T00:32:42.701Z,,,0,,,14.7,
2017-12-30T00:32:52.701Z,,,0,,,14.7,
2017-12-30T00:33:02.701Z,,,0,,,14.7,
2017-12-30T00:33:12.702Z,,,0,,,14.7,
2017-12-30T00:33:22.701Z,,,0,,,14.7,
2017-12-30T00:33:32.702Z,,,0,,,14.7,
2017-12-30T00:33:42.701Z,,,0,,,14.7,
2017-12-30T00:33:52.702Z,,,0,,,14.7,
2017-12-30T00:34:02.701Z,,,0,,,14.7,
2017-12-30T00:34:12.706Z,,,0,,,14.7,
2017-12-30T00:34:22.702Z,,,0,,,14.5,
2017-12-30T00:34:32.702Z,,,0,,,14.7,
2017-12-30T00:34:42.701Z,,,0,,,14.5,
2017-12-30T00:34:52.701Z,,,0,,,14.7,
2017-12-30T00:35:02.701Z,,,0,,,14.7,
2017-12-30T00:35:12.702Z,,,0,,,14.5,
2017-12-30T00:35:22.701Z,,,0,,,14.7,
2017-12-30T00:35:32.702Z,,,0,,,14.7,
2017-12-30T00:35:42.702Z,,,0,,,14.7,
2017-12-30T00:35:52.703Z,,,0,,,14.5,
2017-12-30T00:36:02.701Z,,,0,,,14.5,
2017-12-30T00:36:12.702Z,,,0,,,14.7,
2017-12-30T00:36:22.703Z,,,0,,,14.5,
2017-12-30T00:36:32.701Z,,,0,,,14.7,
2017-12-30T00:36:42.702Z,,,0,,,14.5,
2017-12-30T00:36:52.702Z,,,0,,,14.7,
2017-12-30T00:37:02.702Z,,,0,,,14.7,
2017-12-30T00:37:12.703Z,,,0,,,14.5,
2017-12-30T00:37:22.701Z,,,0,,,14.5,
2017-12-30T00:37:32.701Z,,,0,,,14.5,
2017-12-30T00:37:42.702Z,,,0,,,14.5,
2017-12-30T00:37:52.702Z,,,0,,,14.7,
2017-12-30T00:38:02.701Z,,,0,,,14.5,
2017-12-30T00:38:12.702Z,,,0,,,14.7,
2017-12-30T00:38:22.702Z,,,0,,,14.5,
2017-12-30T00:38:32.705Z,,,0,,,14.5,
2017-12-30T00:38:42.702Z,,,0,,,14.5,
2017-12-30T00:38:52.702Z,,,0,,,14.5,
2017-12-30T00:39:02.702Z,,,0,,,14.5,
2017-12-30T00:39:12.703Z,,,0,,,14.5,
2017-12-30T00:39:22.702Z,,,0,,,14.5,
2017-12-30T00:39:32.702Z,,,0,,,14.5,
2017-12-30T00:39:42.702Z,,,0,,,14.5,
2017-12-30T00:39:52.702Z,,,0,,,14.5,
2017-12-30T00:40:07.722Z,,,0,,,14.5,
2017-12-30T00:40:12.703Z,,,0,,,14.5,16.1
2017-12-30T00:40:22.702Z,,,0,,,14.5,
2017-12-30T00:40:32.702Z,,,0,,,14.5,
2017-12-30T00:40:42.703Z,,,0,,,14.5,16.1
2017-12-30T00:40:52.702Z,,,0,,,14.5,
2017-12-30T00:41:02.703Z,,,0,,,14.5,
2017-12-30T00:41:12.706Z,,,0,,,14.5,
2017-12-30T00:41:22.702Z,,,0,,,14.5,
2017-12-30T00:41:32.702Z,,,0,,,14.5,15.9
2017-12-30T00:41:42.705Z,,,0,,,14.5,15.9
2017-12-30T00:41:52.702Z,,,0,,,14.5,16.1
2017-12-30T00:42:02.702Z,,,0,,,14.5,15.9
2017-12-30T00:42:12.702Z,,,0,,,14.5,15.9
2017-12-30T00:42:22.702Z,,,0,,,14.5,16.1
2017-12-30T00:42:32.702Z,,,0,,,14.5,16.1
2017-12-30T00:42:42.703Z,,,0,,,14.5,15.9
2017-12-30T00:42:52.703Z,,,0,,,14.5,15.9
2017-12-30T00:43:02.702Z,,,0,,,14.5,15.9
2017-12-30T00:43:12.702Z,,,0,,,14.5,16.1
2017-12-30T00:43:22.702Z,,,0,,,14.5,16.1
2017-12-30T00:43:32.702Z,,,0,,,14.5,15.9
2017-12-30T00:43:42.702Z,,,0,,,14.5,16.1
2017-12-30T00:43:52.702Z,,,0,,,14.5,15.9
2017-12-30T00:44:02.702Z,,,0,,,14.5,
2017-12-30T00:44:12.703Z,,,0,,,14.5,
2017-12-30T00:44:22.702Z,,,0,,,14.5,
2017-12-30T00:44:32.703Z,,,0,,,14.5,
2017-12-30T00:44:42.703Z,,,0,,,14.5,
2017-12-30T00:44:52.702Z,,,0,,,14.5,
2017-12-30T00:45:02.702Z,,,0,,,14.5,
2017-12-30T00:45:12.702Z,,,0,,,14.5,
2017-12-30T00:45:22.703Z,,,0,,,14.5,
2017-12-30T00:45:32.703Z,,,0,,,14.5,
2017-12-30T00:45:42.702Z,,,0,,,14.5,
2017-12-30T00:45:52.703Z,,,0,,,14.5,
2017-12-30T00:46:02.712Z,,,0,,,14.5,
2017-12-30T00:46:12.703Z,,,0,,,14.5,
2017-12-30T00:46:22.708Z,,,0,,,14.5,
2017-12-30T00:46:32.702Z,,,0,,,14.5,
2017-12-30T00:46:42.702Z,,,0,,,14.5,
2017-12-30T00:46:52.702Z,,,0,,,14.5,
2017-12-30T00:47:02.702Z,,,0,,,14.5,
2017-12-30T00:47:12.705Z,,,0,,,14.5,
2017-12-30T00:47:22.705Z,,,0,,,14.5,
2017-12-30T00:47:32.703Z,,,0,,,14.5,
2017-12-30T00:47:42.703Z,,,0,,,14.5,
2017-12-30T00:47:52.703Z,,,0,,,14.5,
2017-12-30T00:48:02.716Z,,,0,,,14.5,
2017-12-30T00:48:12.703Z,,,0,,,14.5,
2017-12-30T00:48:22.702Z,,,0,,,14.5,
2017-12-30T00:48:32.704Z,,,0,,,14.5,
2017-12-30T00:48:42.703Z,,,0,,,14.5,
2017-12-30T00:48:52.704Z,,,0,,,14.5,
2017-12-30T00:49:02.703Z,,,0,,,14.5,
2017-12-30T00:49:12.703Z,,,0,,,14.5,
2017-12-30T00:49:22.703Z,,,0,,,14.5,
2017-12-30T00:49:32.703Z,,,0,,,14.5,
2017-12-30T00:49:42.703Z,,,0,,,14.5,
2017-12-30T00:49:52.703Z,,,0,,,14.5,
2017-12-30T00:50:02.703Z,,,0,,,14.5,
2017-12-30T00:50:12.702Z,,,0,,,14.5,
2017-12-30T00:50:22.703Z,,,0,,,14.5,
2017-12-30T00:50:32.703Z,,,0,,,14.5,
2017-12-30T00:50:42.703Z,,,0,,,14.5,
2017-12-30T00:50:52.704Z,,,0,,,14.5,
2017-12-30T00:51:02.703Z,,,0,,,14.5,
2017-12-30T00:51:12.703Z,,,0,,,14.5,
2017-12-30T00:51:22.708Z,,,0,,,14.5,
2017-12-30T00:51:32.703Z,,,0,,,14.5,
2017-12-30T00:51:42.704Z,,,0,,,14.5,
2017-12-30T00:51:52.703Z,,,0,,,14.5,
2017-12-30T00:52:02.706Z,,,0,,,14.5,
2017-12-30T00:52:12.704Z,,,0,,,14.5,
2017-12-30T00:52:22.703Z,,,0,,,14.5,
2017-12-30T00:52:32.703Z,,,0,,,14.5,
2017-12-30T00:52:42.703Z,,,0,,,14.5,
2017-12-30T00:52:52.703Z,,,0,,,14.5,
2017-12-30T00:53:02.703Z,,,0,,,14.5,
2017-12-30T00:53:12.703Z,,,0,,,14.5,
2017-12-30T00:53:22.703Z,,,0,,,14.5,
2017-12-30T00:53:32.704Z,,,0,,,14.5,
2017-12-30T00:53:42.703Z,,,0,,,14.5,
2017-12-30T00:53:52.703Z,,,0,,,14.5,
2017-12-30T00:54:02.703Z,,,0,,,14.5,
2017-12-30T00:54:12.704Z,,,0,,,14.5,
2017-12-30T00:54:22.703Z,,,0,,,14.5,
2017-12-30T00:54:32.704Z,,,0,,,14.5,
2017-12-30T00:54:42.703Z,,,0,,,14.5,
2017-12-30T00:54:52.704Z,,,0,,,14.5,
2017-12-30T00:55:02.704Z,,,0,,,14.5,
2017-12-30T00:55:12.704Z,,,0,,,14.5,
2017-12-30T00:55:22.704Z,,,0,,,14.5,
2017-12-30T00:55:32.703Z,,,0,,,14.5,15.8
2017-12-30T00:55:42.704Z,,,0,,,14.5,15.9
2017-12-30T00:55:52.704Z,,,0,,,14.5,
2017-12-30T00:56:02.710Z,,,0,,,14.5,
2017-12-30T00:56:12.707Z,,,0,,,14.5,
2017-12-30T00:56:22.707Z,,,0,,,14.5,
2017-12-30T00:56:32.704Z,,,0,,,14.5,15.8
2017-12-30T00:56:42.704Z,,,0,,,14.5,15.9
2017-12-30T00:56:52.704Z,,,0,,,14.5,15.8
2017-12-30T00:57:02.704Z,,,0,,,14.5,
2017-12-30T00:57:12.705Z,,,0,,,14.5,
2017-12-30T00:57:22.706Z,,,0,,,14.5,15.9
2017-12-30T00:57:32.706Z,,,0,,,14.5,15.8
2017-12-30T00:57:42.704Z,,,0,,,14.3,
2017-12-30T00:57:52.706Z,,,0,,,14.5,
2017-12-30T00:58:02.704Z,,,0,,,14.5,
2017-12-30T00:58:12.704Z,,,0,,,14.5,15.9
2017-12-30T00:58:22.704Z,,,0,,,14.5,15.8
2017-12-30T00:58:32.708Z,,,0,,,14.3,
2017-12-30T00:58:42.704Z,,,0,,,14.5,
2017-12-30T00:58:52.704Z,,,0,,,14.5,
2017-12-30T00:59:02.704Z,,,0,,,14.5,
2017-12-30T00:59:12.704Z,,,0,,,14.5,
2017-12-30T00:59:22.704Z,,,0,,,14.5,
2017-12-30T00:59:32.704Z,,,0,,,14.3,
2017-12-30T00:59:42.704Z,,,0,,,14.3,
2017-12-30T00:59:52.704Z,,,0,,,14.3,
2017-12-30T01:00:02.721Z,,,0,,,14.5,
2017-12-30T01:00:12.705Z,,,0,,,14.5,
2017-12-30T01:00:22.704Z,,,0,,,14.5,
2017-12-30T01:00:32.704Z,,,0,,,14.3,
2017-12-30T01:00:42.705Z,,,0,,,14.3,
2017-12-30T01:00:52.709Z,,,0,,,14.5,
2017-12-30T01:01:02.706Z,,,0,,,14.3,
2017-12-30T01:01:12.708Z,,,0,,,14.3,
2017-12-30T01:01:22.704Z,,,0,,,14.3,
2017-12-30T01:01:32.709Z,,,0,,,14.3,
2017-12-30T01:01:42.704Z,,,0,,,14.3,
2017-12-30T01:01:52.704Z,,,0,,,14.3,
2017-12-30T01:02:02.733Z,,,0,,,14.3,
2017-12-30T01:02:12.707Z,,,0,,,14.3,
2017-12-30T01:02:22.705Z,,,0,,,14.3,
2017-12-30T01:02:32.704Z,,,0,,,14.3,
2017-12-30T01:02:42.704Z,,,0,,,14.3,
2017-12-30T01:02:52.704Z,,,0,,,14.3,
2017-12-30T01:03:02.709Z,,,0,,,14.3,
2017-12-30T01:03:12.704Z,,,0,,,14.3,
2017-12-30T01:03:22.705Z,,,0,,,14.3,
2017-12-30T01:03:32.704Z,,,0,,,14.3,
2017-12-30T01:03:42.707Z,,,0,,,14.3,
2017-12-30T01:03:52.704Z,,,0,,,14.3,
2017-12-30T01:04:02.704Z,,,0,,,14.3,
2017-12-30T01:04:12.705Z,,,0,,,14.3,
2017-12-30T01:04:22.704Z,,,0,,,14.3,
2017-12-30T01:04:32.704Z,,,0,,,14.3,
2017-12-30T01:04:42.704Z,,,0,,,14.3,
2017-12-30T01:04:52.705Z,,,0,,,14.3,
2017-12-30T01:05:02.706Z,,,0,,,14.3,
2017-12-30T01:05:12.704Z,,,0,,,14.3,
2017-12-30T01:05:22.705Z,,,0,,,14.3,
2017-12-30T01:05:32.709Z,,,0,,,14.3,
2017-12-30T01:05:42.705Z,,,0,,,14.3,
2017-12-30T01:05:52.705Z,,,0,,,14.3,
2017-12-30T01:06:02.802Z,,,0,,,14.3,
2017-12-30T01:06:12.705Z,,,0,,,14.3,
2017-12-30T01:06:22.705Z,,,0,,,14.3,
2017-12-30T01:06:32.706Z,,,0,,,14.3,
2017-12-30T01:06:42.706Z,,,0,,,14.3,
2017-12-30T01:06:57.724Z,,,0,,,14.3,
2017-12-30T01:07:02.705Z,,,0,,,14.3,
2017-12-30T01:07:12.706Z,,,0,,,14.3,
2017-12-30T01:07:22.706Z,,,0,,,14.3,
