Time,PrimTSet,ActPow,ChActive,PrimT,HwTOutlet,HwTSet,HwActive
2017-12-01T00:37:17.683Z,,30,,63.4,36.9,0,
2017-12-01T00:37:28.159Z,,29,,63.2,36.9,0,
2017-12-01T00:37:37.673Z,,30,,62.9,36.9,0,
2017-12-01T00:37:47.681Z,,29,,,36.8,0,
2017-12-01T00:37:57.684Z,,30,,63.1,36.8,0,
2017-12-01T00:38:07.682Z,,,,64,36.7,0,
2017-12-01T00:38:17.678Z,,,,64.4,36.7,0,
2017-12-01T00:38:28.689Z,,29,,65.2,36.7,0,
2017-12-01T00:38:37.698Z,,0,1,66.1,36.6,0,0
2017-12-01T00:38:47.676Z,,,,61.9,36.6,0,
2017-12-01T00:38:57.676Z,,,,58.9,36.6,0,
2017-12-01T00:39:07.693Z,,,,57.8,36.5,0,
2017-12-01T00:39:17.705Z,,,,56.9,36.5,0,
2017-12-01T00:39:28.379Z,,,,56.5,36.5,0,
2017-12-01T00:39:37.681Z,62,0,1,56.3,36.5,0,0
2017-12-01T00:39:47.676Z,,,,56.2,36.4,0,
2017-12-01T00:39:57.685Z,,,,56.1,36.4,0,
2017-12-01T00:40:07.674Z,,,,,36.4,0,
2017-12-01T00:40:17.680Z,,,,,36.3,0,
2017-12-01T00:40:27.802Z,,,,,36.3,0,
2017-12-01T00:40:37.683Z,,,,,36.3,0,
2017-12-01T00:40:47.680Z,,,,56.2,36.3,0,
2017-12-01T00:41:03.436Z,,,,56.3,36.3,0,
2017-12-01T00:41:07.688Z,,,,56.4,36.2,0,
2017-12-01T00:41:17.696Z,,,,56.2,36.2,0,
2017-12-01T00:41:28.295Z,,45,1,56.2,36.2,0,0
2017-12-01T00:41:37.697Z,,31,,63.1,36.1,0,
2017-12-01T00:41:47.674Z,,30,,64.6,36.1,0,
2017-12-01T00:41:57.685Z,,,,65.2,36.1,0,
2017-12-01T00:42:07.675Z,,,,66,36.1,0,
2017-12-01T00:42:17.674Z,,0,1,62.7,36,0,0
2017-12-01T00:42:29.120Z,,,,58.7,36,0,
2017-12-01T00:42:37.677Z,,,,56.8,36,0,
2017-12-01T00:42:47.679Z,,,,54.9,36,0,
2017-12-01T00:42:57.675Z,,,,53.9,36,0,
2017-12-01T00:43:07.689Z,,,,53.6,35.9,0,
2017-12-01T00:43:17.690Z,,,,52.9,35.9,0,
2017-12-01T00:43:29.058Z,,,,52.7,35.9,0,
2017-12-01T00:43:37.694Z,,,,52.3,35.8,0,
2017-12-01T00:43:47.691Z,,,,52.2,35.8,0,
2017-12-01T00:43:57.677Z,,,,,35.8,0,
2017-12-01T00:44:07.690Z,,,,52.7,35.8,0,
2017-12-01T00:44:17.679Z,,,,53.1,35.8,0,
2017-12-01T00:44:27.830Z,,,,54,35.7,0,
2017-12-01T00:44:37.676Z,,,,54.3,35.7,0,
2017-12-01T00:44:47.688Z,,,,54.5,35.7,0,
2017-12-01T00:44:57.676Z,,,,54.3,35.6,0,
2017-12-01T00:45:07.808Z,,,,53.7,35.6,0,
2017-12-01T00:45:17.708Z,,,,52.9,35.6,0,
2017-12-01T00:45:27.832Z,,,,52.4,35.6,0,
2017-12-01T00:45:37.682Z,,,,51.8,35.6,0,
2017-12-01T00:45:47.678Z,,,,51.2,35.5,0,
2017-12-01T00:45:57.691Z,,,,50.7,35.5,0,
2017-12-01T00:46:07.729Z,,,,50.2,35.5,0,
2017-12-01T00:46:17.678Z,,,,49.9,35.5,0,
2017-12-01T00:46:27.806Z,,44,1,50.2,35.4,0,0
2017-12-01T00:46:37.692Z,,33,,57.1,35.4,0,
2017-12-01T00:46:47.678Z,,29,,60,35.4,0,
2017-12-01T00:46:57.679Z,,30,,61.1,35.4,0,
2017-12-01T00:47:07.680Z,,29,,62,35.4,0,
2017-12-01T00:47:17.679Z,,30,,63.1,35.3,0,
2017-12-01T00:47:28.796Z,,29,,63.5,35.3,0,
2017-12-01T00:47:37.676Z,,,,63.6,35.3,0,
2017-12-01T00:47:47.692Z,,29,,63.9,35.3,0,
2017-12-01T00:47:57.680Z,,30,,64,35.2,0,
2017-12-01T00:48:07.678Z,,,,63.8,35.2,0,
2017-12-01T00:48:17.678Z,,,,63.6,35.2,0,
2017-12-01T00:48:27.771Z,,29,,63.4,35.2,0,
2017-12-01T00:48:37.699Z,,30,,,35.2,0,
2017-12-01T00:48:47.679Z,,29,,,35.1,0,
2017-12-01T00:48:57.683Z,,,,63.3,35.1,0,
2017-12-01T00:49:07.674Z,,30,,64,35.1,0,
2017-12-01T00:49:17.681Z,,,,64.5,35.1,0,
2017-12-01T00:49:28.724Z,,29,,65.2,35.1,0,
2017-12-01T00:49:37.693Z,,0,1,64.6,35.1,0,0
2017-12-01T00:49:47.679Z,,,,59.7,34.9,0,
2017-12-01T00:49:57.678Z,,,,58.7,34.9,0,
2017-12-01T00:50:07.687Z,,,,57.4,34.9,0,
2017-12-01T00:50:17.697Z,,,,56.7,34.9,0,
2017-12-01T00:50:28.581Z,,,,56.4,34.9,0,
2017-12-01T00:50:37.678Z,,,,56.3,34.9,0,
2017-12-01T00:50:47.678Z,,,,56.2,34.9,0,
2017-12-01T00:50:57.680Z,,,,,34.9,0,
2017-12-01T00:51:07.678Z,,,,,34.9,0,
2017-12-01T00:51:17.681Z,,,,,34.8,0,
2017-12-01T00:51:29.107Z,,,,56.3,34.8,0,
2017-12-01T00:51:37.682Z,,,,,34.8,0,
2017-12-01T00:51:47.683Z,,,,56.4,34.8,0,
2017-12-01T00:51:57.677Z,,,,56.5,34.8,0,
2017-12-01T00:52:07.698Z,,,,56.4,34.8,0,
2017-12-01T00:52:17.682Z,,,,55.9,34.8,0,
2017-12-01T00:52:29.358Z,,39,1,59.1,34.8,0,0
2017-12-01T00:52:37.687Z,,29,,64.1,34.8,0,
2017-12-01T00:52:47.681Z,,30,,65.2,34.8,0,
2017-12-01T00:52:57.694Z,,29,,65.6,34.8,0,
2017-12-01T00:53:07.705Z,,0,,66,34.8,0,
2017-12-01T00:53:17.683Z,,,1,62.6,34.7,0,0
2017-12-01T00:53:29.120Z,,,,58.8,34.7,0,
2017-12-01T00:53:37.681Z,,,,56.2,34.7,0,
2017-12-01T00:53:47.677Z,,,,54.9,34.7,0,
2017-12-01T00:53:57.680Z,,,,53.9,34.7,0,
2017-12-01T00:54:07.675Z,,,,53.6,34.7,0,
2017-12-01T00:54:17.677Z,,,,52.9,34.7,0,
2017-12-01T00:54:28.466Z,,,,52.7,34.7,0,
2017-12-01T00:54:37.678Z,,,,52.3,34.7,0,
2017-12-01T00:54:47.681Z,,,,52.2,34.7,0,
2017-12-01T00:54:57.681Z,,,,52.3,34.6,0,
2017-12-01T00:55:07.685Z,,,,53,34.6,0,
2017-12-01T00:55:17.688Z,,,,53.3,34.6,0,
2017-12-01T00:55:28.894Z,,,,54,34.6,0,
2017-12-01T00:55:37.687Z,,,,54.3,34.6,0,
2017-12-01T00:55:47.677Z,,,,54.4,34.6,0,
2017-12-01T00:55:57.676Z,,,,53.9,34.6,0,
2017-12-01T00:56:07.677Z,,,,53.5,34.6,0,
2017-12-01T00:56:17.688Z,,,,52.9,34.5,0,
2017-12-01T00:56:29.373Z,,,,51.9,34.5,0,
2017-12-01T00:56:37.691Z,,,,51.4,34.5,0,
2017-12-01T00:56:47.677Z,,,,50.7,34.5,0,
2017-12-01T00:56:57.676Z,,,,50.2,34.5,0,
2017-12-01T00:57:07.693Z,,,,49.8,34.5,0,
2017-12-01T00:57:17.677Z,,,,49.4,34.5,0,
2017-12-01T00:57:28.593Z,,39,1,53.2,34.4,0,0
2017-12-01T00:57:37.690Z,,29,,59,34.4,0,
2017-12-01T00:57:47.686Z,,30,,60,34.4,0,
2017-12-01T00:57:57.684Z,,,,61.1,34.4,0,
2017-12-01T00:58:07.688Z,,29,,62,34.4,0,
2017-12-01T00:58:17.680Z,,,,62.5,34.4,0,
2017-12-01T00:58:28.096Z,,,,62.7,34.4,0,
2017-12-01T00:58:37.682Z,,,,62.8,34.3,0,
2017-12-01T00:58:47.675Z,,30,,,34.3,0,
2017-12-01T00:58:57.682Z,,29,,62.7,34.3,0,
2017-12-01T00:59:07.681Z,,30,,62.5,34.3,0,
2017-12-01T00:59:17.681Z,,,,62.2,34.3,0,
2017-12-01T00:59:28.549Z,,,,61.9,34.3,0,
2017-12-01T00:59:37.676Z,,29,,61.8,34.3,0,
2017-12-01T00:59:47.678Z,,,,,34.3,0,
2017-12-01T00:59:57.687Z,,30,,62.1,34.3,0,
2017-12-01T01:00:07.680Z,,,,63.1,34.3,0,
2017-12-01T01:00:17.681Z,,29,,63.5,34.2,0,
2017-12-01T01:00:30.915Z,,29,,64.2,34.2,0,
2017-12-01T01:00:37.677Z,,30,,65.1,34.2,0,
2017-12-01T01:00:47.691Z,,,,65.5,34.2,0,
2017-12-01T01:00:57.686Z,,0,1,63.3,34.2,0,0
2017-12-01T01:01:07.681Z,,,,58.8,34.2,0,
2017-12-01T01:01:17.676Z,,,,57.1,34.2,0,
2017-12-01T01:01:29.976Z,,,,56.5,34.2,0,
2017-12-01T01:01:37.678Z,,,,55.6,34.2,0,
2017-12-01T01:01:47.683Z,,,,54.9,34.2,0,
2017-12-01T01:01:57.679Z,,,,54.7,34.2,0,
2017-12-01T01:02:07.678Z,,,,54.5,34.2,0,
2017-12-01T01:02:17.686Z,,,,54.3,34.2,0,
2017-12-01T01:02:27.809Z,,40,1,57.6,34.2,0,0
2017-12-01T01:02:37.694Z,,29,,63.2,34.2,0,
2017-12-01T01:02:47.676Z,,,,64.4,34.2,0,
2017-12-01T01:02:57.676Z,,30,,66,34.2,0,
2017-12-01T01:03:07.687Z,,0,1,62.7,34.2,0,0
2017-12-01T01:03:17.688Z,,,,59.9,34.2,0,
2017-12-01T01:03:28.040Z,,,,57,34.2,0,
2017-12-01T01:03:37.685Z,,,,55.7,34.2,0,
2017-12-01T01:03:47.678Z,,,,53.9,34.2,0,
2017-12-01T01:03:57.678Z,,,,52.9,34.2,0,
2017-12-01T01:04:07.696Z,,,,51.9,34.2,0,
2017-12-01T01:04:17.679Z,,,,51.3,34.2,0,
2017-12-01T01:04:27.756Z,,,,50.5,34.2,0,
