Time,HwActive,HwTSet,ActPow,HwTOutlet,PrimT,PrimTSet,ChActive
2018-01-22T00:28:13.546Z,,0,,26.9,,,
2018-01-22T00:28:23.537Z,,0,,26.9,,,
2018-01-22T00:28:33.536Z,,0,,26.9,,,
2018-01-22T00:28:43.536Z,,0,,26.9,43.6,,
2018-01-22T00:28:53.538Z,,0,,26.9,43.7,,
2018-01-22T00:29:03.545Z,,0,,26.8,43.6,,
2018-01-22T00:29:18.636Z,,0,,26.8,,,
2018-01-22T00:29:23.536Z,,0,,26.8,,,
2018-01-22T00:29:33.537Z,,0,,26.8,,,
2018-01-22T00:29:43.536Z,,0,,26.8,,,
2018-01-22T00:29:58.636Z,,0,,26.8,,,
2018-01-22T00:30:03.634Z,,0,,26.7,43.5,,
2018-01-22T00:30:13.563Z,,0,,26.7,,,
2018-01-22T00:30:23.543Z,,0,,26.7,,,
2018-01-22T00:30:38.636Z,,0,,26.7,,,
2018-01-22T00:30:43.536Z,,0,,26.7,,,
2018-01-22T00:30:53.536Z,,0,,26.7,,,
2018-01-22T00:31:03.540Z,,0,,26.7,,,
2018-01-22T00:31:13.544Z,,0,,26.7,,,
2018-01-22T00:31:23.558Z,,0,,26.6,43.4,,
2018-01-22T00:31:33.541Z,,0,,26.6,,,
2018-01-22T00:31:43.551Z,,0,,26.6,,,
2018-01-22T00:31:53.537Z,,0,,26.6,,,
2018-01-22T00:32:03.536Z,,0,,26.6,,,
2018-01-22T00:32:13.549Z,,0,,26.6,,,
2018-01-22T00:32:23.538Z,,0,,26.5,,,
2018-01-22T00:32:33.537Z,,0,,26.5,43.3,,
2018-01-22T00:32:43.539Z,,0,,26.5,,,
2018-01-22T00:32:58.643Z,,0,,26.5,,,
2018-01-22T00:33:03.728Z,,0,,26.5,,,
2018-01-22T00:33:13.982Z,,0,,26.5,,,
2018-01-22T00:33:28.726Z,,0,,26.5,,,
2018-01-22T00:33:33.537Z,,0,,26.5,,,
2018-01-22T00:33:48.623Z,,0,,26.3,,,
2018-01-22T00:33:53.537Z,,0,,26.3,,,
2018-01-22T00:34:03.539Z,,0,,26.3,43.2,,
2018-01-22T00:34:13.548Z,,0,,26.3,,,
2018-01-22T00:34:28.628Z,,0,,26.3,,,
2018-01-22T00:34:33.537Z,,0,,26.3,,,
2018-01-22T00:34:43.537Z,,0,,26.3,,,
2018-01-22T00:34:53.540Z,,0,,26.3,,,
2018-01-22T00:35:03.537Z,,0,,26.3,,,
2018-01-22T00:35:13.537Z,,0,,26.2,,,
2018-01-22T00:35:23.537Z,,0,,26.2,43.1,,
2018-01-22T00:35:33.537Z,,0,,26.2,,,
2018-01-22T00:35:43.537Z,,0,,26.2,,,
2018-01-22T00:35:53.537Z,,0,,26.2,,,
2018-01-22T00:36:03.537Z,,0,,26.2,,,
2018-01-22T00:36:13.539Z,,0,,26.2,,,
2018-01-22T00:36:23.537Z,,0,,26.1,,,
2018-01-22T00:36:33.538Z,,0,,26.1,43,,
2018-01-22T00:36:43.537Z,,0,,26.1,,,
2018-01-22T00:36:53.537Z,,0,,26.1,,,
2018-01-22T00:37:03.537Z,,0,,26.1,,,
2018-01-22T00:37:13.536Z,,0,,26.1,,,
2018-01-22T00:37:23.542Z,,0,,26.1,,,
2018-01-22T00:37:33.539Z,,0,,26.1,43,,
2018-01-22T00:37:43.537Z,,0,,26.1,42.9,,
2018-01-22T00:37:53.537Z,,0,,26,43,,
2018-01-22T00:38:03.537Z,,0,,26,42.9,,
2018-01-22T00:38:13.537Z,,0,,26,,,
2018-01-22T00:38:23.537Z,,0,,26,,,
2018-01-22T00:38:33.539Z,,0,,26,,,
2018-01-22T00:38:43.537Z,,0,,26,,,
2018-01-22T00:38:53.544Z,,0,,26,,,
2018-01-22T00:39:03.541Z,,0,,26,,,
2018-01-22T00:39:13.538Z,,0,,25.9,42.8,,
2018-01-22T00:39:23.541Z,,0,,25.9,,,
2018-01-22T00:39:33.554Z,,0,,25.9,,,
2018-01-22T00:39:43.537Z,,0,,25.9,,,
2018-01-22T00:39:53.538Z,,0,,25.9,,,
2018-01-22T00:40:03.537Z,,0,,25.9,,,
2018-01-22T00:40:13.545Z,,0,,25.9,,,
2018-01-22T00:40:23.537Z,,0,,25.9,,,
2018-01-22T00:40:33.538Z,,0,,25.9,42.7,,
2018-01-22T00:40:43.538Z,,0,,25.9,,,
2018-01-22T00:40:53.793Z,,0,,25.7,,,
2018-01-22T00:41:03.537Z,,0,,25.7,,,
2018-01-22T00:41:13.538Z,,0,,25.7,,,
2018-01-22T00:41:23.764Z,,0,,25.7,,,
2018-01-22T00:41:33.538Z,,0,,25.7,,,
2018-01-22T00:41:43.537Z,,0,,25.7,42.6,,
2018-01-22T00:41:53.538Z,,0,,25.7,,,
2018-01-22T00:42:03.538Z,,0,,25.7,,,
2018-01-22T00:42:13.537Z,,0,,25.6,,,
2018-01-22T00:42:23.539Z,,0,,25.6,,,
2018-01-22T00:42:33.543Z,,0,,25.6,,,
2018-01-22T00:42:43.538Z,,0,,25.6,,,
2018-01-22T00:42:53.539Z,,0,,25.6,,,
2018-01-22T00:43:03.542Z,,0,,25.6,42.4,,
2018-01-22T00:43:13.538Z,,0,,25.6,,,
2018-01-22T00:43:23.538Z,,0,,25.6,,,
2018-01-22T00:43:39.298Z,,0,,25.6,,,
2018-01-22T00:43:48.907Z,,0,,25.6,,,
2018-01-22T00:43:53.544Z,,0,,25.5,,,
2018-01-22T00:44:09.513Z,,0,,25.5,,,
2018-01-22T00:44:14.307Z,,0,,25.5,,,
2018-01-22T00:44:23.540Z,,0,,25.5,42.3,,
2018-01-22T00:44:33.540Z,,0,,25.5,,,
2018-01-22T00:44:43.550Z,,0,,25.5,,,
2018-01-22T00:44:53.758Z,,0,,25.5,,,
2018-01-22T00:45:03.542Z,,0,,25.5,,,
2018-01-22T00:45:13.540Z,,0,,25.5,,,
2018-01-22T00:45:23.548Z,,0,,25.4,,,
2018-01-22T00:45:33.538Z,,0,,25.5,,,
2018-01-22T00:45:43.600Z,,0,,25.4,,,
2018-01-22T00:45:53.543Z,,0,,25.4,42.2,,
2018-01-22T00:46:03.538Z,,0,,25.4,,,
2018-01-22T00:46:13.539Z,,0,,25.4,,,
2018-01-22T00:46:23.538Z,,0,,25.4,,,
2018-01-22T00:46:33.539Z,,0,,25.4,,,
2018-01-22T00:46:43.540Z,,0,,25.4,,,
2018-01-22T00:46:53.539Z,,0,,25.4,,,
2018-01-22T00:47:03.538Z,,0,,25.3,42.1,,
2018-01-22T00:47:13.539Z,,0,,25.4,,,
2018-01-22T00:47:23.539Z,,0,,25.3,,,
2018-01-22T00:47:33.538Z,,0,,25.3,,,
2018-01-22T00:47:43.540Z,,0,,25.3,,,
2018-01-22T00:47:53.538Z,,0,,25.3,,,
2018-01-22T00:48:03.540Z,,0,,25.3,,,
2018-01-22T00:48:13.538Z,,0,,25.3,,,
2018-01-22T00:48:23.539Z,,0,,25.3,42,,
2018-01-22T00:48:33.541Z,,0,,25.3,,,
2018-01-22T00:48:43.539Z,,0,,25.3,,,
2018-01-22T00:48:53.539Z,,0,,25.3,,,
2018-01-22T00:49:03.539Z,,0,,25.1,,,
2018-01-22T00:49:13.539Z,,0,,25.1,,,
2018-01-22T00:49:23.539Z,,0,,25.1,,,
2018-01-22T00:49:33.539Z,,0,,25.1,42,,
2018-01-22T00:49:43.539Z,,0,,25.1,41.9,,
2018-01-22T00:49:53.539Z,,0,,25.1,,,
2018-01-22T00:50:03.539Z,,0,,25.1,,,
2018-01-22T00:50:13.539Z,,0,,25.1,,,
2018-01-22T00:50:23.539Z,,0,,25.1,,,
2018-01-22T00:50:33.539Z,,0,,25.1,,,
2018-01-22T00:50:43.539Z,,0,,25.1,,,
2018-01-22T00:50:53.539Z,,0,,25.1,,,
2018-01-22T00:51:03.576Z,,0,,25,41.8,,
2018-01-22T00:51:13.539Z,,0,,25,,,
2018-01-22T00:51:23.540Z,,0,,25,,,
2018-01-22T00:51:33.546Z,,0,,25,,,
2018-01-22T00:51:43.539Z,,0,,25,,,
2018-01-22T00:51:53.544Z,,0,,25,,,
2018-01-22T00:52:03.540Z,,0,,25,,,
2018-01-22T00:52:13.539Z,,0,,25,,,
2018-01-22T00:52:23.540Z,,0,,25,,,
2018-01-22T00:52:33.545Z,,0,,25,41.7,,
2018-01-22T00:52:43.539Z,,0,,24.9,,,
2018-01-22T00:52:53.539Z,,0,,24.9,,,
2018-01-22T00:53:03.540Z,,0,,24.9,,,
2018-01-22T00:53:13.541Z,,0,,24.9,,,
