Time,PrimT,HwActive,PrimTSet,HwTOutlet,ActPow,ChActive,HwTSet
2017-12-20T00:25:29.694Z,,,,22.6,,,0
2017-12-20T00:25:39.695Z,,,,22.6,,,0
2017-12-20T00:25:49.698Z,,,,22.6,,,0
2017-12-20T00:25:59.694Z,,,,22.6,,,0
2017-12-20T00:26:09.774Z,,,,22.6,,,0
2017-12-20T00:26:19.694Z,,,,22.6,,,0
2017-12-20T00:26:29.695Z,40.6,,,22.6,,,0
2017-12-20T00:26:39.695Z,,,,22.6,,,0
2017-12-20T00:26:59.694Z,,,,22.6,,,0
2017-12-20T00:27:09.785Z,,,,22.5,,,0
2017-12-20T00:27:19.695Z,,,,22.5,,,0
2017-12-20T00:27:29.695Z,,,,22.5,,,0
2017-12-20T00:27:39.695Z,40.5,,,22.5,,,0
2017-12-20T00:27:49.695Z,,,,22.5,,,0
2017-12-20T00:27:59.696Z,,,,22.5,,,0
2017-12-20T00:28:09.785Z,,,,22.5,,,0
2017-12-20T00:28:19.695Z,,,,22.5,,,0
2017-12-20T00:28:29.696Z,,,,22.5,,,0
2017-12-20T00:28:39.695Z,,,,22.5,,,0
2017-12-20T00:28:49.695Z,,,,22.5,,,0
2017-12-20T00:28:59.695Z,40.4,,,22.5,,,0
2017-12-20T00:29:09.776Z,,,,22.5,,,0
2017-12-20T00:29:19.695Z,,,,22.5,,,0
2017-12-20T00:29:29.696Z,,,,22.5,,,0
2017-12-20T00:29:39.695Z,,,,22.5,,,0
2017-12-20T00:29:49.695Z,,,,22.4,,,0
2017-12-20T00:29:59.696Z,,,,22.4,,,0
2017-12-20T00:30:09.785Z,,,,22.4,,,0
2017-12-20T00:30:19.697Z,40.3,,,22.4,,,0
2017-12-20T00:30:29.696Z,40.4,,,22.4,,,0
2017-12-20T00:30:39.696Z,40.3,,,22.4,,,0
2017-12-20T00:30:49.695Z,,,,22.4,,,0
2017-12-20T00:30:59.696Z,,,,22.4,,,0
2017-12-20T00:31:09.785Z,,,,22.4,,,0
2017-12-20T00:31:19.695Z,,,,22.4,,,0
2017-12-20T00:31:29.696Z,,,,22.4,,,0
2017-12-20T00:31:39.695Z,,,,22.4,,,0
2017-12-20T00:31:49.696Z,40.2,,,22.4,,,0
2017-12-20T00:31:59.696Z,,,,22.4,,,0
2017-12-20T00:32:09.775Z,,,,22.4,,,0
2017-12-20T00:32:19.695Z,,,,22.4,,,0
2017-12-20T00:32:29.696Z,,,,22.2,,,0
2017-12-20T00:32:39.696Z,,,,22.2,,,0
2017-12-20T00:32:49.696Z,,,,22.2,,,0
2017-12-20T00:32:59.696Z,,,,22.2,,,0
2017-12-20T00:33:09.775Z,40.1,,,22.2,,,0
2017-12-20T00:33:19.696Z,,,,22.2,,,0
2017-12-20T00:33:29.696Z,,,,22.2,,,0
2017-12-20T00:33:39.696Z,,,,22.2,,,0
2017-12-20T00:33:49.696Z,,,,22.2,,,0
2017-12-20T00:33:59.696Z,,,,22.2,,,0
2017-12-20T00:34:09.776Z,,,,22.2,,,0
2017-12-20T00:34:19.696Z,40,,,22.2,,,0
2017-12-20T00:34:29.696Z,,,,22.2,,,0
2017-12-20T00:34:39.696Z,,,,22.2,,,0
2017-12-20T00:34:49.696Z,,,,22.2,,,0
2017-12-20T00:34:59.696Z,,,,22.2,,,0
2017-12-20T00:35:09.775Z,,,,22.2,,,0
2017-12-20T00:35:19.696Z,,,,22.1,,,0
2017-12-20T00:35:29.696Z,,,,22.1,,,0
2017-12-20T00:35:39.696Z,,,,22.1,,,0
2017-12-20T00:35:49.696Z,,,,22.1,,,0
2017-12-20T00:35:59.696Z,39.9,,,22.1,,,0
2017-12-20T00:36:09.785Z,,,,22.1,,,0
2017-12-20T00:36:19.696Z,,,,22.1,,,0
2017-12-20T00:36:29.696Z,,,,22.1,,,0
2017-12-20T00:36:39.696Z,,,,22.1,,,0
2017-12-20T00:36:49.697Z,,,,22.1,,,0
2017-12-20T00:36:59.696Z,,,,22.1,,,0
