Time,ActPow,ChActive,HwTSet,PrimT,HwActive,HwTOutlet,PrimTSet
2018-01-20T00:50:03.120Z,,,0,,,22.6,
2018-01-20T00:50:13.120Z,,,0,37.7,,22.5,
2018-01-20T00:50:23.125Z,,,0,,,22.6,
2018-01-20T00:50:33.119Z,,,0,,,22.6,
2018-01-20T00:50:43.118Z,,,0,,,22.5,
2018-01-20T00:50:53.123Z,,,0,,,22.5,
2018-01-20T00:51:03.353Z,,,0,,,22.5,
2018-01-20T00:51:13.123Z,,,0,,,22.5,
2018-01-20T00:51:23.118Z,,,0,,,22.5,
2018-01-20T00:51:33.118Z,,,0,,,22.5,
2018-01-20T00:51:43.118Z,,,0,37.6,,22.5,
2018-01-20T00:51:53.119Z,,,0,,,22.5,
2018-01-20T00:52:03.118Z,,,0,,,22.5,
2018-01-20T00:52:13.121Z,,,0,,,22.5,
2018-01-20T00:52:23.123Z,,,0,,,22.5,
2018-01-20T00:52:38.139Z,,,0,,,22.5,
2018-01-20T00:52:43.119Z,,,0,,,22.5,
2018-01-20T00:52:53.118Z,,,0,,,22.5,
2018-01-20T00:53:03.118Z,,,0,,,22.5,
2018-01-20T00:53:13.118Z,,,0,37.5,,22.5,
2018-01-20T00:53:23.119Z,,,0,,,22.5,
2018-01-20T00:53:33.118Z,,,0,,,22.5,
2018-01-20T00:53:43.118Z,,,0,,,22.5,
2018-01-20T00:53:53.118Z,,,0,,,22.5,
2018-01-20T00:54:03.119Z,,,0,,,22.4,
2018-01-20T00:54:13.119Z,,,0,,,22.4,
2018-01-20T00:54:23.118Z,,,0,,,22.4,
2018-01-20T00:54:33.118Z,,,0,,,22.4,
2018-01-20T00:54:43.118Z,,,0,,,22.4,
2018-01-20T00:54:53.119Z,,,0,37.4,,22.4,
2018-01-20T00:55:03.118Z,,,0,,,22.4,
2018-01-20T00:55:13.119Z,,,0,,,22.4,
2018-01-20T00:55:23.119Z,,,0,,,22.4,
2018-01-20T00:55:33.119Z,,,0,,,22.4,
2018-01-20T00:55:43.119Z,,,0,,,22.4,
2018-01-20T00:55:53.118Z,,,0,,,22.4,
2018-01-20T00:56:03.120Z,,,0,,,22.4,
2018-01-20T00:56:13.119Z,,,0,,,22.4,
2018-01-20T00:56:23.119Z,,,0,,,22.4,
2018-01-20T00:56:33.118Z,,,0,,,22.4,
2018-01-20T00:56:43.119Z,,,0,,,22.4,
2018-01-20T00:56:53.122Z,,,0,37.3,,22.4,
2018-01-20T00:57:03.119Z,,,0,,,22.4,
2018-01-20T00:57:13.126Z,,,0,,,22.2,
2018-01-20T00:57:23.119Z,0,0,0,37.3,0,22.4,5
2018-01-20T00:57:33.119Z,,,0,,,22.4,
2018-01-20T00:57:43.119Z,,,0,,,22.2,
2018-01-20T00:57:53.119Z,,,0,,,22.2,
2018-01-20T00:58:03.119Z,,,0,,,22.2,
2018-01-20T00:58:13.119Z,,,0,37.2,,22.2,
2018-01-20T00:58:23.119Z,,,0,,,22.2,
2018-01-20T00:58:33.128Z,,,0,,,22.2,
2018-01-20T00:58:43.119Z,,,0,,,22.2,
2018-01-20T00:58:53.119Z,,,0,,,22.2,
2018-01-20T00:59:03.120Z,,,0,,,22.2,
2018-01-20T00:59:13.120Z,,,0,,,22.2,
2018-01-20T00:59:23.119Z,,,0,,,22.2,
2018-01-20T00:59:33.127Z,,,0,,,22.2,
2018-01-20T00:59:43.119Z,,,0,,,22.2,
2018-01-20T00:59:53.119Z,,,0,,,22.2,
2018-01-20T01:00:03.120Z,,,0,,,22.2,
2018-01-20T01:00:13.120Z,,,0,37.1,,22.2,
2018-01-20T01:00:23.123Z,,,0,,,22.2,
2018-01-20T01:00:33.126Z,,,0,,,22.2,
2018-01-20T01:00:43.119Z,,,0,,,22.2,
2018-01-20T01:00:53.120Z,,,0,,,22.2,
2018-01-20T01:01:03.121Z,,,0,,,22.2,
