Time,HwTOutlet,PrimTSet,HwActive,HwTSet,ChActive,ActPow,PrimT
2018-01-27T00:37:36.619Z,22.7,,,0,,,
2018-01-27T00:37:46.619Z,22.7,,,0,,,
2018-01-27T00:37:56.619Z,22.7,,,0,,,
2018-01-27T00:38:06.621Z,22.7,,,0,,,38.2
2018-01-27T00:38:16.619Z,22.7,,,0,,,
2018-01-27T00:38:26.619Z,22.7,,,0,,,
2018-01-27T00:38:36.619Z,22.7,,,0,,,
2018-01-27T00:38:46.619Z,22.7,,,0,,,
2018-01-27T00:38:56.621Z,22.6,,,0,,,
2018-01-27T00:39:06.619Z,22.6,,,0,,,
2018-01-27T00:39:16.619Z,22.6,,,0,,,
2018-01-27T00:39:26.619Z,22.6,,,0,,,38.1
2018-01-27T00:39:36.619Z,22.6,,,0,,,
2018-01-27T00:39:46.624Z,22.6,,,0,,,
2018-01-27T00:39:56.620Z,22.6,,,0,,,
2018-01-27T00:40:16.621Z,22.6,,,0,,,
2018-01-27T00:40:26.619Z,22.6,,,0,,,
2018-01-27T00:40:36.622Z,22.6,,,0,,,
2018-01-27T00:40:46.620Z,22.6,,,0,,,
2018-01-27T00:40:56.622Z,22.6,,,0,,,
2018-01-27T00:41:06.619Z,22.6,,,0,,,38
2018-01-27T00:41:16.620Z,22.5,,,0,,,
2018-01-27T00:41:26.620Z,22.5,,,0,,,
2018-01-27T00:41:36.766Z,22.6,,,0,,,
2018-01-27T00:41:46.620Z,22.5,,,0,,,
2018-01-27T00:41:56.619Z,22.5,,,0,,,
2018-01-27T00:42:06.619Z,22.5,,,0,,,
2018-01-27T00:42:16.619Z,22.5,,,0,,,
2018-01-27T00:42:26.619Z,22.5,,,0,,,38
2018-01-27T00:42:36.619Z,22.5,,,0,,,37.9
2018-01-27T00:42:46.623Z,22.5,,,0,,,37.9
2018-01-27T00:42:56.624Z,22.5,,,0,,,
2018-01-27T00:43:06.632Z,22.5,,,0,,,
2018-01-27T00:43:16.638Z,22.5,,,0,,,
2018-01-27T00:43:26.619Z,22.5,,,0,,,
2018-01-27T00:43:36.624Z,22.5,,,0,,,
2018-01-27T00:43:46.620Z,22.5,,,0,,,
2018-01-27T00:43:56.619Z,22.5,,,0,,,
2018-01-27T00:44:06.619Z,22.5,,,0,,,
2018-01-27T00:44:16.621Z,22.5,,,0,,,
2018-01-27T00:44:26.620Z,22.5,,,0,,,37.8
2018-01-27T00:44:36.620Z,22.4,,,0,,,
2018-01-27T00:44:46.620Z,22.4,,,0,,,
2018-01-27T00:44:56.620Z,22.4,,,0,,,
