Time,PrimTSet,PrimT,HwTOutlet,ActPow,HwActive,ChActive,HwTSet
2017-11-13T00:57:06.500Z,,,24.4,,,,0
2017-11-13T00:57:16.498Z,,,24.4,,,,0
2017-11-13T00:57:26.501Z,,,24.3,,,,0
2017-11-13T00:57:36.564Z,,,24.3,,,,0
2017-11-13T00:57:46.500Z,,,24.3,,,,0
2017-11-13T00:57:56.588Z,,41.4,24.3,,,,0
2017-11-13T00:58:06.500Z,,,24.3,,,,0
2017-11-13T00:58:16.502Z,,,24.3,,,,0
2017-11-13T00:58:26.498Z,,,24.3,,,,0
2017-11-13T00:58:36.499Z,,,24.3,,,,0
2017-11-13T00:58:46.499Z,,,24.3,,,,0
2017-11-13T00:58:56.662Z,,,24.3,,,,0
2017-11-13T00:59:06.824Z,,41.3,24.3,,,,0
2017-11-13T00:59:16.498Z,,,24.3,,,,0
2017-11-13T00:59:26.498Z,,,24.3,,,,0
2017-11-13T00:59:36.498Z,,,24.2,,,,0
2017-11-13T00:59:46.499Z,,,24.2,,,,0
2017-11-13T00:59:56.729Z,,,24.2,,,,0
2017-11-13T01:00:06.499Z,,,24.2,,,,0
2017-11-13T01:00:16.499Z,,,24.2,,,,0
2017-11-13T01:00:26.501Z,,,24.2,,,,0
2017-11-13T01:00:36.499Z,,41.2,24.2,,,,0
2017-11-13T01:00:46.501Z,,,24.2,,,,0
2017-11-13T01:00:56.613Z,,,24.2,,,,0
2017-11-13T01:01:06.499Z,,,24.2,,,,0
2017-11-13T01:01:16.503Z,,,24.2,,,,0
2017-11-13T01:01:26.503Z,,,24.2,,,,0
2017-11-13T01:01:36.502Z,,,24.2,,,,0
2017-11-13T01:01:46.500Z,,,24,,,,0
2017-11-13T01:01:56.629Z,,,24,,,,0
2017-11-13T01:02:06.499Z,,,24,,,,0
2017-11-13T01:02:16.504Z,,41.1,24,,,,0
2017-11-13T01:02:26.499Z,,,24,,,,0
2017-11-13T01:02:36.504Z,,,24,,,,0
2017-11-13T01:02:46.501Z,,,24,,,,0
2017-11-13T01:02:59.961Z,,,24,,,,0
2017-11-13T01:03:06.499Z,,,24,,,,0
2017-11-13T01:03:16.504Z,,,24,,,,0
2017-11-13T01:03:26.514Z,,,24,,,,0
2017-11-13T01:03:36.499Z,,41,24,,,,0
2017-11-13T01:03:46.500Z,,,24,,,,0
2017-11-13T01:03:56.619Z,,,23.9,,,,0
2017-11-13T01:04:06.499Z,,,23.9,,,,0
2017-11-13T01:04:16.500Z,,,23.9,,,,0
2017-11-13T01:04:26.504Z,,,23.9,,,,0
2017-11-13T01:04:36.505Z,,,23.9,,,,0
2017-11-13T01:04:46.502Z,,41,23.9,,,,0
2017-11-13T01:04:56.613Z,,40.9,23.9,,,,0
2017-11-13T01:05:06.765Z,,,23.9,,,,0
2017-11-13T01:05:16.506Z,,,23.9,,,,0
2017-11-13T01:05:26.509Z,,,23.9,,,,0
2017-11-13T01:05:36.499Z,,,23.9,,,,0
2017-11-13T01:05:46.500Z,,,23.9,,,,0
2017-11-13T01:05:56.622Z,,,23.8,,,,0
2017-11-13T01:06:06.500Z,,40.8,23.8,,,,0
2017-11-13T01:06:16.500Z,,,23.8,,,,0
2017-11-13T01:06:26.504Z,,,23.8,,,,0
2017-11-13T01:06:36.500Z,,,23.8,,,,0
2017-11-13T01:06:46.500Z,,,23.8,,,,0
2017-11-13T01:06:56.579Z,,,23.8,,,,0
2017-11-13T01:07:06.503Z,,,23.8,,,,0
2017-11-13T01:07:16.501Z,,,23.8,,,,0
2017-11-13T01:07:26.500Z,,,23.8,,,,0
2017-11-13T01:07:36.500Z,,40.7,23.8,,,,0
2017-11-13T01:07:46.504Z,,,23.8,,,,0
2017-11-13T01:07:56.690Z,,,23.8,,,,0
