Time,PrimTSet,ChActive,ActPow,PrimT,HwActive,HwTSet,HwTOutlet
2017-11-05T00:58:17.762Z,,,,,,0,30.2
2017-11-05T00:58:27.761Z,,,,46.4,,0,30.2
2017-11-05T00:58:37.762Z,,,,,,0,30.2
2017-11-05T00:58:47.762Z,,,,,,0,30.1
2017-11-05T00:58:57.762Z,,,,,,0,30.1
2017-11-05T00:59:07.763Z,5,0,0,46.4,0,0,30
2017-11-05T00:59:17.762Z,,,,,,0,30
2017-11-05T00:59:27.762Z,,,,46.3,,0,30
2017-11-05T00:59:37.762Z,,,,,,0,29.8
2017-11-05T00:59:47.762Z,,,,,,0,29.8
2017-11-05T00:59:57.762Z,,,,,,0,29.8
2017-11-05T01:00:07.763Z,,,,,,0,29.7
2017-11-05T01:00:17.766Z,,,,,,0,29.7
2017-11-05T01:00:27.765Z,,,,,,0,29.6
2017-11-05T01:00:37.763Z,,,,46.2,,0,29.6
2017-11-05T01:00:47.762Z,,,,,,0,29.6
2017-11-05T01:00:57.762Z,,,,,,0,29.5
2017-11-05T01:01:07.767Z,,,,,,0,29.5
2017-11-05T01:01:17.762Z,,,,,,0,29.5
2017-11-05T01:01:27.762Z,,,,46.1,,0,29.3
2017-11-05T01:01:37.762Z,,,,,,0,29.3
2017-11-05T01:01:47.762Z,,,,,,0,29.3
2017-11-05T01:01:57.762Z,,,,,,0,29.2
2017-11-05T01:02:07.762Z,,,,,,0,29.2
2017-11-05T01:02:17.762Z,,,,,,0,29.1
2017-11-05T01:02:27.762Z,,,,,,0,29.1
2017-11-05T01:02:37.772Z,,,,46,,0,29.1
2017-11-05T01:02:47.762Z,,,,,,0,29.1
2017-11-05T01:02:57.763Z,,,,,,0,29
2017-11-05T01:03:07.767Z,,,,,,0,29
2017-11-05T01:03:17.764Z,,,,,,0,29
2017-11-05T01:03:27.763Z,,,,,,0,28.9
2017-11-05T01:03:37.763Z,,,,46,,0,28.9
2017-11-05T01:03:47.767Z,,,,45.9,,0,28.9
2017-11-05T01:03:57.762Z,,,,,,0,28.7
2017-11-05T01:04:07.763Z,,,,,,0,28.7
2017-11-05T01:04:17.762Z,,,,,,0,28.7
2017-11-05T01:04:27.769Z,,,,,,0,28.6
2017-11-05T01:04:37.763Z,,,,45.8,,0,28.6
2017-11-05T01:04:47.764Z,,,,,,0,28.6
2017-11-05T01:04:57.763Z,,,,,,0,28.6
2017-11-05T01:05:07.763Z,,,,,,0,28.5
2017-11-05T01:05:17.766Z,,,,,,0,28.5
2017-11-05T01:05:27.765Z,,,,,,0,28.5
2017-11-05T01:05:37.763Z,,,,,,0,28.4
2017-11-05T01:05:47.765Z,,,,,,0,28.4
2017-11-05T01:05:57.763Z,,,,45.7,,0,28.4
2017-11-05T01:06:07.763Z,,,,,,0,28.4
2017-11-05T01:06:17.764Z,,,,,,0,28.3
2017-11-05T01:06:27.763Z,,,,,,0,28.3
2017-11-05T01:06:37.763Z,,,,,,0,28.3
2017-11-05T01:06:47.766Z,,,,,,0,28.1
2017-11-05T01:06:57.765Z,,,,45.6,,0,28.1
2017-11-05T01:07:07.763Z,,,,,,0,28.1
2017-11-05T01:07:17.763Z,,,,,,0,28.1
2017-11-05T01:07:27.763Z,,,,,,0,28
2017-11-05T01:07:37.763Z,,,,,,0,28
2017-11-05T01:07:47.768Z,,,,,,0,28
2017-11-05T01:07:57.766Z,,,,45.5,,0,28
2017-11-05T01:08:07.763Z,,,,,,0,27.9
2017-11-05T01:08:17.763Z,,,,,,0,27.9
2017-11-05T01:08:27.768Z,,,,,,0,27.9
2017-11-05T01:08:37.763Z,,,,,,0,27.9
2017-11-05T01:08:47.763Z,,,,,,0,27.8
2017-11-05T01:08:57.768Z,,,,,,0,27.8
2017-11-05T01:09:07.768Z,,,,45.4,,0,27.8
2017-11-05T01:09:17.763Z,,,,,,0,27.7
2017-11-05T01:09:27.763Z,,,,,,0,27.7
2017-11-05T01:09:37.763Z,,,,,,0,27.7
2017-11-05T01:09:47.768Z,,,,,,0,27.7
2017-11-05T01:09:57.763Z,,,,,,0,27.7
2017-11-05T01:10:07.769Z,,,,45.3,,0,27.5
2017-11-05T01:10:17.769Z,,,,,,0,27.5
2017-11-05T01:10:27.764Z,,,,,,0,27.5
2017-11-05T01:10:37.763Z,,,,,,0,27.5
2017-11-05T01:10:47.772Z,,,,,,0,27.4
2017-11-05T01:10:57.768Z,,,,,,0,27.4
2017-11-05T01:11:07.764Z,,,,,,0,27.4
2017-11-05T01:11:17.765Z,,,,45.2,,0,27.4
2017-11-05T01:11:27.773Z,,,,,,0,27.4
2017-11-05T01:11:37.768Z,,,,,,0,27.3
2017-11-05T01:11:47.764Z,,,,,,0,27.3
2017-11-05T01:11:57.764Z,,,,,,0,27.3
2017-11-05T01:12:07.765Z,,,,,,0,27.3
2017-11-05T01:12:17.769Z,,,,,,0,27.2
2017-11-05T01:12:27.764Z,,,,,,0,27.2
2017-11-05T01:12:37.764Z,,,,45.1,,0,27.2
2017-11-05T01:12:47.769Z,,,,,,0,27.2
2017-11-05T01:12:57.764Z,,,,,,0,27.1
2017-11-05T01:13:07.765Z,,,,,,0,27.1
2017-11-05T01:13:17.765Z,,,,,,0,27.1
2017-11-05T01:13:27.764Z,,,,,,0,27.1
2017-11-05T01:13:37.765Z,,,,45,,0,27.1
2017-11-05T01:13:47.769Z,,,,,,0,26.9
2017-11-05T01:13:57.764Z,,,,,,0,26.9
2017-11-05T01:14:07.764Z,,,,,,0,26.9
2017-11-05T01:14:17.769Z,,,,,,0,26.9
2017-11-05T01:14:27.764Z,,,,,,0,26.9
2017-11-05T01:14:37.764Z,,,,,,0,26.8
2017-11-05T01:14:47.765Z,,,,44.9,,0,26.8
