Time,HwTOutlet,PrimT,HwTSet,ChActive,ActPow,PrimTSet,HwActive
2018-01-30T00:25:57.265Z,26.2,,0,,,,
2018-01-30T00:26:07.283Z,26.2,,0,,,,
2018-01-30T00:26:17.265Z,26.2,,0,,,,
2018-01-30T00:26:27.274Z,26.1,42.6,0,,,,
2018-01-30T00:26:37.265Z,26.1,,0,,,,
2018-01-30T00:26:47.396Z,26.1,,0,,,,
2018-01-30T00:26:57.283Z,26.1,,0,,,,
2018-01-30T00:27:07.299Z,26.1,,0,,,,
2018-01-30T00:27:17.283Z,26.1,,0,,,,
2018-01-30T00:27:27.268Z,26,,0,,,,
2018-01-30T00:27:37.266Z,26,42.4,0,,,,
2018-01-30T00:27:47.376Z,26,,0,,,,
2018-01-30T00:27:57.266Z,26,,0,,,,
2018-01-30T00:28:07.269Z,26,,0,,,,
2018-01-30T00:28:17.268Z,26,,0,,,,
2018-01-30T00:28:27.277Z,25.9,,0,,,,
2018-01-30T00:28:37.281Z,25.9,,0,,,,
2018-01-30T00:28:47.427Z,25.9,,0,,,,
2018-01-30T00:28:57.280Z,25.9,42.3,0,,,,
2018-01-30T00:29:07.284Z,25.9,,0,,,,
2018-01-30T00:29:17.278Z,25.9,,0,,,,
2018-01-30T00:29:27.267Z,25.9,,0,,,,
2018-01-30T00:29:37.362Z,25.9,,0,,,,
2018-01-30T00:29:47.388Z,25.7,,0,,,,
2018-01-30T00:29:57.270Z,25.7,,0,,,,
2018-01-30T00:30:07.269Z,25.7,,0,,,,
2018-01-30T00:30:17.271Z,25.7,42.2,0,,,,
2018-01-30T00:30:27.267Z,25.7,,0,,,,
2018-01-30T00:30:37.267Z,25.7,,0,,,,
2018-01-30T00:30:47.356Z,25.6,,0,,,,
2018-01-30T00:30:57.286Z,25.6,,0,,,,
2018-01-30T00:31:07.266Z,25.6,,0,,,,
2018-01-30T00:31:17.274Z,25.6,,0,,,,
2018-01-30T00:31:27.266Z,25.6,,0,,,,
2018-01-30T00:31:37.269Z,25.6,42.1,0,,,,
2018-01-30T00:31:47.357Z,25.6,,0,,,,
2018-01-30T00:31:57.268Z,25.5,,0,,,,
2018-01-30T00:32:07.271Z,25.5,,0,,,,
2018-01-30T00:32:17.275Z,25.5,,0,,,,
2018-01-30T00:32:27.267Z,25.5,,0,,,,
2018-01-30T00:32:37.266Z,25.5,,0,,,,
2018-01-30T00:32:47.358Z,25.5,42,0,,,,
2018-01-30T00:32:57.275Z,25.4,,0,,,,
2018-01-30T00:33:07.267Z,25.4,,0,,,,
2018-01-30T00:33:17.269Z,25.4,,0,,,,
2018-01-30T00:33:27.267Z,25.4,,0,,,,
2018-01-30T00:33:37.267Z,25.4,,0,,,,
2018-01-30T00:33:47.359Z,25.4,,0,,,,
2018-01-30T00:33:57.273Z,25.4,,0,,,,
2018-01-30T00:34:07.267Z,25.3,41.9,0,,,,
2018-01-30T00:34:17.271Z,25.3,41.9,0,,,,
2018-01-30T00:34:27.267Z,25.3,,0,,,,
2018-01-30T00:34:37.267Z,25.3,,0,,,,
2018-01-30T00:34:47.357Z,25.3,,0,,,,
2018-01-30T00:34:57.405Z,25.3,,0,,,,
2018-01-30T00:35:07.267Z,25.3,,0,,,,
2018-01-30T00:35:17.272Z,25.3,,0,,,,
2018-01-30T00:35:27.267Z,25.3,,0,,,,
2018-01-30T00:35:37.268Z,25.3,41.8,0,,,,
2018-01-30T00:35:47.358Z,25.1,,0,,,,
2018-01-30T00:35:57.268Z,25.1,,0,,,,
2018-01-30T00:36:07.267Z,25.1,,0,,,,
2018-01-30T00:36:17.268Z,25.1,,0,,,,
2018-01-30T00:36:27.267Z,25.1,,0,,,,
2018-01-30T00:36:37.268Z,25.1,,0,,,,
2018-01-30T00:36:47.357Z,25.1,,0,,,,
