Time,HwTSet,ChActive,HwTOutlet,ActPow,HwActive,PrimT,PrimTSet
2017-12-14T00:26:48.690Z,0,,31.4,,,,
2017-12-14T00:26:58.808Z,0,,31.3,,,,
2017-12-14T00:27:08.460Z,0,,31.2,,,,
2017-12-14T00:27:18.464Z,0,,31.2,,,47.1,
2017-12-14T00:27:28.460Z,0,,31,,,,
2017-12-14T00:27:38.463Z,0,,30.9,,,,
2017-12-14T00:27:48.627Z,0,,30.8,,,,
2017-12-14T00:27:58.460Z,0,,30.8,,,,
2017-12-14T00:28:08.461Z,0,,30.7,,,,
2017-12-14T00:28:18.462Z,0,,30.7,,,47,
2017-12-14T00:28:28.460Z,0,,30.6,,,,
2017-12-14T00:28:38.572Z,0,,30.4,,,,
2017-12-14T00:28:48.540Z,0,,30.4,,,,
2017-12-14T00:28:58.471Z,0,,30.3,,,,
2017-12-14T00:29:08.460Z,0,,30.3,,,46.9,
2017-12-14T00:29:18.462Z,0,,30.2,,,,
2017-12-14T00:29:28.460Z,0,,30.1,,,,
2017-12-14T00:29:38.469Z,0,,30.1,,,,
2017-12-14T00:29:48.540Z,0,,30,,,,
2017-12-14T00:29:58.460Z,0,,29.8,,,46.8,
2017-12-14T00:30:08.460Z,0,,29.8,,,,
2017-12-14T00:30:18.460Z,0,,29.7,,,,
2017-12-14T00:30:28.462Z,0,,29.7,,,,
2017-12-14T00:30:38.460Z,0,,29.6,,,,
2017-12-14T00:30:48.550Z,0,,29.6,,,,
2017-12-14T00:30:58.461Z,0,,29.5,,,46.7,
2017-12-14T00:31:08.460Z,0,,29.5,,,,
2017-12-14T00:31:18.489Z,0,,29.3,,,,
2017-12-14T00:31:28.462Z,0,,29.3,,,,
2017-12-14T00:31:38.460Z,0,,29.2,,,,
2017-12-14T00:31:48.650Z,0,,29.1,,,46.6,
2017-12-14T00:32:08.461Z,0,,29.1,,,,
2017-12-14T00:32:18.460Z,0,,29,,,,
2017-12-14T00:32:28.463Z,0,,28.9,,,,
2017-12-14T00:32:38.461Z,0,,28.9,,,,
2017-12-14T00:32:48.685Z,0,,28.7,,,46.5,
2017-12-14T00:32:58.500Z,0,,28.7,,,,
2017-12-14T00:33:08.478Z,0,,28.6,,,,
2017-12-14T00:33:18.461Z,0,,28.6,,,,
2017-12-14T00:33:28.461Z,0,,28.6,,,,
2017-12-14T00:33:38.463Z,0,,28.5,,,46.4,
2017-12-14T00:33:48.608Z,0,,28.5,,,,
2017-12-14T00:33:58.471Z,0,,28.4,,,,
2017-12-14T00:34:08.462Z,0,,28.4,,,,
2017-12-14T00:34:18.461Z,0,,28.3,,,,
2017-12-14T00:34:28.461Z,0,,28.3,,,,
2017-12-14T00:34:38.461Z,0,,28.1,,,46.3,
2017-12-14T00:34:48.541Z,0,,28.1,,,,
2017-12-14T00:34:58.461Z,0,,28,,,,
2017-12-14T00:35:08.461Z,0,,28,,,,
2017-12-14T00:35:18.463Z,0,,28,,,,
2017-12-14T00:35:28.461Z,0,,27.9,,,,
2017-12-14T00:35:38.461Z,0,,27.9,,,46.2,
2017-12-14T00:35:48.541Z,0,,27.8,,,,
2017-12-14T00:35:58.468Z,0,,27.8,,,,
2017-12-14T00:36:08.461Z,0,,27.7,,,,
2017-12-14T00:36:18.461Z,0,,27.7,,,,
2017-12-14T00:36:28.461Z,0,,27.7,,,,
2017-12-14T00:36:38.462Z,0,,27.5,,,46.1,
2017-12-14T00:36:48.541Z,0,,27.5,,,,
2017-12-14T00:36:58.640Z,0,,27.5,,,,
2017-12-14T00:37:08.466Z,0,,27.4,,,,
2017-12-14T00:37:18.461Z,0,,27.4,,,,
2017-12-14T00:37:28.828Z,0,,27.3,,,,
2017-12-14T00:37:38.462Z,0,,27.3,,,46,
2017-12-14T00:37:48.595Z,0,,27.3,,,,
2017-12-14T00:37:58.462Z,0,,27.2,,,,
2017-12-14T00:38:08.540Z,0,,27.2,,,,
2017-12-14T00:38:18.463Z,0,,27.1,,,,
2017-12-14T00:38:28.463Z,0,,27.1,,,45.9,
2017-12-14T00:38:38.462Z,0,,27.1,,,45.9,
2017-12-14T00:38:48.551Z,0,,26.9,,,,
2017-12-14T00:38:58.474Z,0,,26.9,,,,
2017-12-14T00:39:08.462Z,0,,26.9,,,,
2017-12-14T00:39:18.461Z,0,,26.8,,,,
2017-12-14T00:39:28.462Z,0,,26.8,,,45.8,
2017-12-14T00:39:38.462Z,0,,26.8,,,,
2017-12-14T00:39:48.541Z,0,,26.7,,,,
