Time,HwTSet,ActPow,PrimT,ChActive,HwTOutlet,PrimTSet,HwActive
2018-01-19T00:34:28.895Z,0,,,,23.1,,
2018-01-19T00:34:48.896Z,0,,39.7,,23.1,,
2018-01-19T00:34:58.896Z,0,,39.8,,23.1,,
2018-01-19T00:35:08.896Z,0,,39.7,,23.1,,
2018-01-19T00:35:18.898Z,0,,,,23.1,,
2018-01-19T00:35:28.896Z,0,,,,23.1,,
2018-01-19T00:35:38.896Z,0,,,,23,,
2018-01-19T00:35:48.896Z,0,,,,23,,
2018-01-19T00:35:58.896Z,0,,,,23,,
2018-01-19T00:36:08.896Z,0,,,,23,,
2018-01-19T00:36:18.896Z,0,,39.6,,23,,
2018-01-19T00:36:28.896Z,0,,,,23,,
2018-01-19T00:36:38.896Z,0,,,,23,,
2018-01-19T00:36:48.896Z,0,,,,23,,
2018-01-19T00:36:58.897Z,0,,,,23,,
2018-01-19T00:37:08.897Z,0,,,,23,,
2018-01-19T00:37:19.141Z,0,,,,23,,
2018-01-19T00:37:28.897Z,0,,,,23,,
2018-01-19T00:37:38.896Z,0,,,,23,,
2018-01-19T00:37:48.896Z,0,,,,23,,
2018-01-19T00:37:58.896Z,0,,,,23,,
2018-01-19T00:38:08.896Z,0,,39.5,,23,,
2018-01-19T00:38:18.896Z,0,,,,23,,
2018-01-19T00:38:28.896Z,0,,,,23,,
2018-01-19T00:38:38.896Z,0,,,,22.8,,
2018-01-19T00:38:48.896Z,0,,,,22.8,,
2018-01-19T00:38:58.896Z,0,,,,22.8,,
2018-01-19T00:39:08.898Z,0,,,,22.8,,
2018-01-19T00:39:18.896Z,0,,39.4,,22.8,,
2018-01-19T00:39:28.896Z,0,,,,22.8,,
2018-01-19T00:39:38.897Z,0,,,,22.8,,
2018-01-19T00:39:48.896Z,0,,,,22.8,,
2018-01-19T00:39:58.897Z,0,,,,22.8,,
2018-01-19T00:40:08.896Z,0,,,,22.8,,
2018-01-19T00:40:18.896Z,0,,,,22.8,,
2018-01-19T00:40:28.897Z,0,,,,22.8,,
2018-01-19T00:40:38.896Z,0,,,,22.8,,
2018-01-19T00:40:48.897Z,0,,,,22.8,,
2018-01-19T00:40:58.897Z,0,,,,22.8,,
2018-01-19T00:41:08.897Z,0,,39.3,,22.8,,
2018-01-19T00:41:18.896Z,0,,,,22.7,,
2018-01-19T00:41:28.896Z,0,,,,22.7,,
2018-01-19T00:41:38.897Z,0,,,,22.7,,
2018-01-19T00:41:48.897Z,0,,,,22.7,,
2018-01-19T00:41:58.898Z,0,,,,22.7,,
2018-01-19T00:42:08.898Z,0,,,,22.7,,
2018-01-19T00:42:18.900Z,0,,,,22.7,,
2018-01-19T00:42:28.899Z,0,,,,22.7,,
2018-01-19T00:42:38.906Z,0,,39.2,,22.7,,
2018-01-19T00:42:48.899Z,0,,,,22.7,,
2018-01-19T00:42:59.133Z,0,,,,22.7,,
2018-01-19T00:43:08.897Z,0,,,,22.7,,
2018-01-19T00:43:18.898Z,0,,,,22.7,,
2018-01-19T00:43:28.897Z,0,,,,22.7,,
2018-01-19T00:43:38.897Z,0,,,,22.7,,
2018-01-19T00:43:48.897Z,0,,,,22.7,,
2018-01-19T00:43:58.898Z,0,,,,22.7,,
2018-01-19T00:44:08.897Z,0,,,,22.7,,
2018-01-19T00:44:18.897Z,0,,39.1,,22.7,,
2018-01-19T00:44:28.901Z,0,,,,22.7,,
2018-01-19T00:44:38.897Z,0,,,,22.6,,
2018-01-19T00:44:48.897Z,0,,,,22.6,,
2018-01-19T00:44:58.898Z,0,,,,22.6,,
2018-01-19T00:45:08.897Z,0,,,,22.6,,
2018-01-19T00:45:18.897Z,0,,,,22.6,,
