Time,PrimTSet,ActPow,HwTSet,HwActive,HwTOutlet,PrimT,ChActive
2018-01-31T00:48:37.492Z,,,0,,22.2,,
2018-01-31T00:48:47.580Z,,,0,,22.2,,
2018-01-31T00:48:57.495Z,,,0,,22.2,,
2018-01-31T00:49:07.493Z,,,0,,22.2,,
2018-01-31T00:49:17.491Z,,,0,,22.2,,
2018-01-31T00:49:27.674Z,,,0,,22.2,,
2018-01-31T00:49:37.490Z,,,0,,22.2,31.9,
2018-01-31T00:49:47.592Z,,,0,,22.2,31.9,
2018-01-31T00:49:57.490Z,,,0,,22.2,32,
2018-01-31T00:50:07.508Z,,,0,,22.2,32,
2018-01-31T00:50:17.806Z,,,0,,22.2,31.9,
2018-01-31T00:50:27.491Z,,,0,,22.2,,
2018-01-31T00:50:37.491Z,,,0,,22.2,,
2018-01-31T00:50:47.580Z,,,0,,22.2,,
2018-01-31T00:50:57.490Z,,,0,,22.2,,
2018-01-31T00:51:07.490Z,,,0,,22.2,,
2018-01-31T00:51:17.490Z,,,0,,22.2,,
2018-01-31T00:51:27.491Z,,,0,,22.2,,
2018-01-31T00:51:37.490Z,,,0,,22.2,,
2018-01-31T00:51:47.582Z,,,0,,22.2,,
2018-01-31T00:51:57.490Z,,,0,,22.2,,
2018-01-31T00:52:07.493Z,,,0,,22.2,,
2018-01-31T00:52:17.842Z,,,0,,22.2,,
2018-01-31T00:52:27.490Z,,,0,,22.1,,
2018-01-31T00:52:37.610Z,,,0,,22.1,,
2018-01-31T00:52:47.582Z,,,0,,22.1,31.8,
2018-01-31T00:52:57.492Z,,,0,,22.1,,
2018-01-31T00:53:07.491Z,,,0,,22.1,,
2018-01-31T00:53:17.494Z,,,0,,22.1,,
2018-01-31T00:53:27.799Z,,,0,,22.1,,
2018-01-31T00:53:37.554Z,,,0,,22.1,,
2018-01-31T00:53:47.597Z,,,0,,22.1,,
2018-01-31T00:53:57.496Z,,,0,,22.1,,
2018-01-31T00:54:07.491Z,,,0,,22.1,,
2018-01-31T00:54:17.491Z,,,0,,22.1,,
2018-01-31T00:54:27.491Z,,,0,,22.1,,
2018-01-31T00:54:37.491Z,,,0,,22.1,,
2018-01-31T00:54:47.646Z,,,0,,22.1,,
2018-01-31T00:54:57.491Z,,,0,,22.1,,
2018-01-31T00:55:07.493Z,,,0,,22.1,,
2018-01-31T00:55:17.498Z,,,0,,22.1,,
2018-01-31T00:55:27.492Z,,,0,,22.1,31.7,
2018-01-31T00:55:37.528Z,,,0,,22.1,,
2018-01-31T00:55:47.612Z,,,0,,22.1,,
2018-01-31T00:55:57.512Z,,,0,,22.1,,
2018-01-31T00:56:07.516Z,,,0,,22.1,,
2018-01-31T00:56:17.511Z,,,0,,22,,
2018-01-31T00:56:27.494Z,,,0,,22.1,,
2018-01-31T00:56:37.492Z,,,0,,22,,
2018-01-31T00:56:47.581Z,,,0,,22,,
2018-01-31T00:56:57.491Z,,,0,,22,,
2018-01-31T00:57:07.491Z,,,0,,22,,
2018-01-31T00:57:17.491Z,,,0,,22,,
2018-01-31T00:57:27.491Z,,,0,,22,,
2018-01-31T00:57:37.493Z,,,0,,22,,
2018-01-31T00:57:47.603Z,,,0,,22,,
2018-01-31T00:57:57.491Z,,,0,,22,,
2018-01-31T00:58:07.491Z,,,0,,22,31.6,
2018-01-31T00:58:17.491Z,,,0,,22,31.7,
2018-01-31T00:58:27.491Z,,,0,,22,31.6,
2018-01-31T00:58:37.492Z,,,0,,22,,
2018-01-31T00:58:47.608Z,,,0,,22,,
2018-01-31T00:58:57.492Z,,,0,,22,,
2018-01-31T00:59:07.494Z,,,0,,22,,
2018-01-31T00:59:17.492Z,,,0,,22,,
2018-01-31T00:59:27.492Z,,,0,,22,,
2018-01-31T00:59:37.492Z,,,0,,22,,
2018-01-31T00:59:47.583Z,,,0,,22,,
2018-01-31T00:59:57.491Z,,,0,,22,,
2018-01-31T01:00:07.492Z,,,0,,22,,
2018-01-31T01:00:17.492Z,,,0,,22,,
2018-01-31T01:00:27.493Z,,,0,,22,,
2018-01-31T01:00:37.498Z,,,0,,22,,
2018-01-31T01:00:47.582Z,,,0,,22,,
2018-01-31T01:00:57.492Z,,,0,,22,,
2018-01-31T01:01:07.491Z,,,0,,22,31.5,
2018-01-31T01:01:17.492Z,,,0,,22,,
2018-01-31T01:01:27.492Z,,,0,,21.9,,
2018-01-31T01:01:37.495Z,,,0,,21.9,,
2018-01-31T01:01:47.582Z,,,0,,21.9,,
2018-01-31T01:01:57.494Z,,,0,,21.9,,
2018-01-31T01:02:07.492Z,,,0,,21.9,,
2018-01-31T01:02:17.492Z,,,0,,21.9,,
2018-01-31T01:02:27.494Z,,,0,,21.9,,
2018-01-31T01:02:37.494Z,,,0,,21.9,,
2018-01-31T01:02:47.624Z,,,0,,21.9,,
2018-01-31T01:02:57.506Z,,,0,,21.9,,
2018-01-31T01:03:07.492Z,,,0,,21.9,,
2018-01-31T01:03:17.495Z,,,0,,21.9,,
2018-01-31T01:03:27.492Z,,,0,,21.9,,
2018-01-31T01:03:37.493Z,,,0,,21.9,31.4,
2018-01-31T01:03:47.624Z,,,0,,21.9,,
2018-01-31T01:03:57.492Z,,,0,,21.9,,
2018-01-31T01:04:07.492Z,,,0,,21.9,,
2018-01-31T01:04:17.493Z,,,0,,21.9,,
2018-01-31T01:04:27.492Z,,,0,,21.9,,
2018-01-31T01:04:37.497Z,,,0,,21.9,,
2018-01-31T01:04:47.592Z,,,0,,21.9,,
2018-01-31T01:04:57.494Z,,,0,,21.9,,
2018-01-31T01:05:07.495Z,,,0,,21.9,,
2018-01-31T01:05:17.494Z,,,0,,21.7,,
2018-01-31T01:05:27.504Z,,,0,,21.9,,
2018-01-31T01:05:37.498Z,,,0,,21.9,,
2018-01-31T01:05:47.616Z,,,0,,21.7,,
2018-01-31T01:05:57.501Z,,,0,,21.9,,
2018-01-31T01:06:07.493Z,,,0,,21.9,,
2018-01-31T01:06:17.497Z,,,0,,21.9,,
2018-01-31T01:06:27.494Z,,,0,,21.7,31.3,
2018-01-31T01:06:37.508Z,,,0,,21.7,,
2018-01-31T01:06:47.757Z,,,0,,21.7,,
2018-01-31T01:06:57.496Z,,,0,,21.7,,
2018-01-31T01:07:07.493Z,,,0,,21.7,,
2018-01-31T01:07:17.613Z,,,0,,21.7,,
2018-01-31T01:07:27.493Z,,,0,,21.7,,
2018-01-31T01:07:37.494Z,,,0,,21.7,,
2018-01-31T01:07:47.625Z,,,0,,21.7,,
2018-01-31T01:07:57.494Z,,,0,,21.7,,
2018-01-31T01:08:07.493Z,,,0,,21.7,,
2018-01-31T01:08:17.495Z,,,0,,21.7,,
2018-01-31T01:08:27.493Z,,,0,,21.7,,
2018-01-31T01:08:37.493Z,,,0,,21.7,,
2018-01-31T01:08:47.635Z,,,0,,21.7,,
2018-01-31T01:08:57.493Z,,,0,,21.7,,
2018-01-31T01:09:07.493Z,,,0,,21.7,31.2,
2018-01-31T01:09:17.493Z,,,0,,21.7,,
2018-01-31T01:09:27.493Z,,,0,,21.7,,
2018-01-31T01:09:37.497Z,,,0,,21.7,,
2018-01-31T01:09:47.603Z,,,0,,21.7,,
2018-01-31T01:09:57.498Z,,,0,,21.7,,
2018-01-31T01:10:07.493Z,,,0,,21.7,,
2018-01-31T01:10:17.494Z,,,0,,21.7,,
2018-01-31T01:10:27.495Z,,,0,,21.7,,
2018-01-31T01:10:37.502Z,,,0,,21.7,,
2018-01-31T01:10:47.626Z,,,0,,21.7,,
2018-01-31T01:10:57.506Z,,,0,,21.7,,
2018-01-31T01:11:07.504Z,,,0,,21.7,,
2018-01-31T01:11:17.500Z,,,0,,21.7,,
2018-01-31T01:11:27.505Z,,,0,,21.7,,
2018-01-31T01:11:37.493Z,,,0,,21.6,,
2018-01-31T01:11:47.586Z,,,0,,21.7,,
2018-01-31T01:11:57.500Z,,,0,,21.7,31.1,
2018-01-31T01:12:07.499Z,,,0,,21.6,31.2,
2018-01-31T01:12:17.495Z,,,0,,21.7,31.1,
2018-01-31T01:12:27.494Z,,,0,,21.6,,
2018-01-31T01:12:37.494Z,,,0,,21.6,,
2018-01-31T01:12:47.586Z,,,0,,21.6,,
2018-01-31T01:12:57.497Z,,,0,,21.6,,
2018-01-31T01:13:07.497Z,,,0,,21.6,,
2018-01-31T01:13:17.493Z,,,0,,21.6,,
2018-01-31T01:13:27.498Z,,,0,,21.6,,
2018-01-31T01:13:37.497Z,,,0,,21.6,,
2018-01-31T01:13:47.627Z,,,0,,21.6,,
2018-01-31T01:13:57.494Z,,,0,,21.6,,
2018-01-31T01:14:07.494Z,,,0,,21.6,,
2018-01-31T01:14:17.495Z,,,0,,21.6,,
2018-01-31T01:14:27.494Z,5,0,0,0,21.6,31.1,0
2018-01-31T01:14:37.494Z,,,0,,21.6,31.1,
2018-01-31T01:14:47.585Z,,,0,,21.6,31.1,
2018-01-31T01:14:57.494Z,,,0,,21.6,31.1,
2018-01-31T01:15:07.495Z,,,0,,21.6,30.9,
2018-01-31T01:15:17.494Z,,,0,,21.6,,
2018-01-31T01:15:27.494Z,,,0,,21.6,,
2018-01-31T01:15:37.501Z,,,0,,21.6,,
2018-01-31T01:15:47.601Z,,,0,,21.6,,
2018-01-31T01:15:57.495Z,,,0,,21.6,,
2018-01-31T01:16:07.494Z,,,0,,21.6,,
2018-01-31T01:16:17.494Z,,,0,,21.6,,
2018-01-31T01:16:27.498Z,,,0,,21.6,,
