Time,PrimTSet,HwTOutlet,HwTSet,HwActive,ActPow,PrimT,ChActive
2017-11-01T00:49:24.848Z,,24,0,,,,
2017-11-01T00:49:34.844Z,,24,0,,,,
2017-11-01T00:49:44.846Z,,23.9,0,,,,
2017-11-01T00:49:54.847Z,,23.9,0,,,40.4,
2017-11-01T00:50:04.842Z,,24,0,,,,
2017-11-01T00:50:14.847Z,,23.9,0,,,,
2017-11-01T00:50:24.845Z,,23.9,0,,,,
2017-11-01T00:50:34.842Z,,23.9,0,,,,
2017-11-01T00:50:44.847Z,,23.9,0,,,,
2017-11-01T00:50:54.846Z,,23.9,0,,,,
2017-11-01T00:51:04.842Z,,23.9,0,,,,
2017-11-01T00:51:14.845Z,,23.9,0,,,,
2017-11-01T00:51:24.842Z,,23.9,0,,,40.3,
2017-11-01T00:51:34.842Z,,23.9,0,,,,
2017-11-01T00:51:44.842Z,,23.9,0,,,,
2017-11-01T00:51:54.842Z,,23.9,0,,,,
2017-11-01T00:52:04.847Z,,23.9,0,,,,
2017-11-01T00:52:14.847Z,,23.9,0,,,,
2017-11-01T00:52:24.842Z,,23.9,0,,,,
2017-11-01T00:52:34.847Z,,23.9,0,,,,
2017-11-01T00:52:44.842Z,,23.9,0,,,,
2017-11-01T00:52:54.842Z,5,23.9,0,0,0,40.3,0
2017-11-01T00:53:04.843Z,,23.9,0,,,40.2,
2017-11-01T00:53:14.842Z,,23.9,0,,,,
2017-11-01T00:53:24.848Z,,23.9,0,,,,
2017-11-01T00:53:34.980Z,,23.9,0,,,,
2017-11-01T00:53:44.843Z,,23.9,0,,,,
2017-11-01T00:53:54.845Z,,23.9,0,,,,
2017-11-01T00:54:04.843Z,,23.9,0,,,,
2017-11-01T00:54:14.845Z,,23.9,0,,,,
2017-11-01T00:54:24.842Z,,23.8,0,,,,
2017-11-01T00:54:34.846Z,,23.8,0,,,,
2017-11-01T00:54:44.843Z,,23.8,0,,,40.1,
2017-11-01T00:54:54.843Z,,23.8,0,,,,
2017-11-01T00:55:04.843Z,,23.8,0,,,,
2017-11-01T00:55:14.843Z,,23.8,0,,,,
2017-11-01T00:55:24.843Z,,23.8,0,,,,
2017-11-01T00:55:34.843Z,,23.8,0,,,,
2017-11-01T00:55:44.843Z,,23.8,0,,,,
2017-11-01T00:55:54.847Z,,23.8,0,,,,
2017-11-01T00:56:04.843Z,,23.8,0,,,,
2017-11-01T00:56:14.846Z,,23.8,0,,,40,
2017-11-01T00:56:24.843Z,,23.8,0,,,,
2017-11-01T00:56:34.845Z,,23.8,0,,,,
2017-11-01T00:56:44.843Z,,23.8,0,,,,
2017-11-01T00:56:54.844Z,,23.8,0,,,,
2017-11-01T00:57:04.843Z,,23.8,0,,,,
2017-11-01T00:57:14.844Z,,23.8,0,,,,
2017-11-01T00:57:24.843Z,,23.8,0,,,40,
2017-11-01T00:57:34.844Z,,23.8,0,,,40,
2017-11-01T00:57:44.843Z,,23.8,0,,,39.9,
2017-11-01T00:57:54.843Z,,23.8,0,,,,
2017-11-01T00:58:04.844Z,,23.8,0,,,,
2017-11-01T00:58:14.843Z,,23.8,0,,,,
2017-11-01T00:58:24.843Z,,23.8,0,,,,
2017-11-01T00:58:34.843Z,,23.8,0,,,,
2017-11-01T00:58:44.843Z,,23.7,0,,,,
2017-11-01T00:58:54.844Z,,23.8,0,,,,
2017-11-01T00:59:04.843Z,,23.8,0,,,39.8,
2017-11-01T00:59:14.843Z,,23.8,0,,,,
2017-11-01T00:59:24.996Z,,23.7,0,,,,
2017-11-01T00:59:34.844Z,,23.7,0,,,,
2017-11-01T00:59:44.844Z,,23.7,0,,,,
2017-11-01T00:59:54.844Z,,23.7,0,,,,
2017-11-01T01:00:04.844Z,,23.7,0,,,,
2017-11-01T01:00:14.846Z,,23.7,0,,,,
2017-11-01T01:00:24.843Z,,23.7,0,,,,
2017-11-01T01:00:34.843Z,,23.7,0,,,,
2017-11-01T01:00:44.844Z,,23.7,0,,,,
2017-11-01T01:00:54.844Z,,23.7,0,,,39.7,
2017-11-01T01:01:04.846Z,,23.7,0,,,,
2017-11-01T01:01:14.844Z,,23.7,0,,,,
2017-11-01T01:01:24.844Z,,23.7,0,,,,
2017-11-01T01:01:34.846Z,,23.7,0,,,,
2017-11-01T01:01:44.844Z,,23.7,0,,,,
2017-11-01T01:01:54.844Z,,23.7,0,,,,
2017-11-01T01:02:04.844Z,,23.7,0,,,,
2017-11-01T01:02:14.844Z,,23.7,0,,,,
2017-11-01T01:02:24.844Z,,23.7,0,,,,
2017-11-01T01:02:34.844Z,,23.7,0,,,39.6,
2017-11-01T01:02:44.844Z,,23.7,0,,,,
2017-11-01T01:02:54.844Z,,23.7,0,,,,
2017-11-01T01:03:04.844Z,,23.7,0,,,,
2017-11-01T01:03:14.844Z,,23.7,0,,,,
2017-11-01T01:03:24.844Z,,23.7,0,,,,
2017-11-01T01:03:34.844Z,,23.7,0,,,,
2017-11-01T01:03:44.844Z,,23.7,0,,,,
2017-11-01T01:03:54.844Z,,23.7,0,,,,
2017-11-01T01:04:04.844Z,,23.6,0,,,39.5,
2017-11-01T01:04:14.845Z,,23.6,0,,,,
2017-11-01T01:04:24.845Z,,23.6,0,,,,
2017-11-01T01:04:34.844Z,,23.6,0,,,,
2017-11-01T01:04:44.844Z,,23.6,0,,,,
2017-11-01T01:04:54.845Z,,23.6,0,,,,
2017-11-01T01:05:04.845Z,,23.6,0,,,,
2017-11-01T01:05:14.845Z,,23.6,0,,,,
2017-11-01T01:05:24.844Z,,23.6,0,,,,
2017-11-01T01:05:34.844Z,,23.6,0,,,,
2017-11-01T01:05:44.844Z,,23.6,0,,,39.4,
2017-11-01T01:05:54.845Z,,23.6,0,,,,
2017-11-01T01:06:04.844Z,,23.6,0,,,,
2017-11-01T01:06:14.844Z,,23.6,0,,,,
2017-11-01T01:06:24.846Z,,23.6,0,,,,
2017-11-01T01:06:34.845Z,,23.6,0,,,,
2017-11-01T01:06:44.844Z,,23.6,0,,,,
2017-11-01T01:06:54.849Z,,23.6,0,,,,
2017-11-01T01:07:04.845Z,,23.6,0,,,,
2017-11-01T01:07:14.845Z,,23.6,0,,,,
2017-11-01T01:07:24.847Z,,23.6,0,,,39.3,
2017-11-01T01:07:34.846Z,,23.6,0,,,,
2017-11-01T01:07:44.844Z,,23.6,0,,,,
2017-11-01T01:07:54.845Z,,23.6,0,,,,
2017-11-01T01:08:04.845Z,,23.6,0,,,,
2017-11-01T01:08:14.846Z,,23.6,0,,,,
2017-11-01T01:08:24.845Z,,23.6,0,,,,
2017-11-01T01:08:34.849Z,,23.6,0,,,,
2017-11-01T01:08:44.844Z,,23.6,0,,,,
2017-11-01T01:08:54.845Z,,23.6,0,,,,
2017-11-01T01:09:04.845Z,,23.6,0,,,39.2,
2017-11-01T01:09:14.845Z,,23.6,0,,,,
2017-11-01T01:09:24.850Z,,23.6,0,,,,
2017-11-01T01:09:34.848Z,,23.4,0,,,,
2017-11-01T01:09:44.845Z,,23.4,0,,,,
2017-11-01T01:09:54.845Z,,23.6,0,,,,
2017-11-01T01:10:04.845Z,,23.6,0,,,,
2017-11-01T01:10:14.845Z,,23.4,0,,,,
2017-11-01T01:10:24.845Z,,23.4,0,,,,
2017-11-01T01:10:34.845Z,,23.4,0,,,,
2017-11-01T01:10:44.845Z,,23.4,0,,,39.1,
2017-11-01T01:10:54.845Z,,23.4,0,,,,
2017-11-01T01:11:04.848Z,,23.4,0,,,,
2017-11-01T01:11:14.847Z,,23.4,0,,,,
2017-11-01T01:11:24.845Z,,23.4,0,,,,
2017-11-01T01:11:34.849Z,,23.4,0,,,,
2017-11-01T01:11:44.845Z,,23.4,0,,,,
2017-11-01T01:11:54.847Z,,23.4,0,,,,
2017-11-01T01:12:04.847Z,,23.4,0,,,39.1,
2017-11-01T01:12:14.845Z,,23.4,0,,,38.9,
2017-11-01T01:12:24.847Z,,23.4,0,,,38.9,
2017-11-01T01:12:34.846Z,,23.4,0,,,,
2017-11-01T01:12:44.846Z,,23.4,0,,,,
2017-11-01T01:12:55.067Z,,23.4,0,,,,
2017-11-01T01:13:04.848Z,,23.4,0,,,,
2017-11-01T01:13:14.845Z,,23.4,0,,,,
2017-11-01T01:13:24.851Z,,23.4,0,,,,
2017-11-01T01:13:34.848Z,,23.4,0,,,,
2017-11-01T01:13:44.848Z,,23.4,0,,,,
2017-11-01T01:13:54.846Z,,23.4,0,,,38.8,
2017-11-01T01:14:04.847Z,,23.4,0,,,,
2017-11-01T01:14:14.848Z,,23.4,0,,,,
2017-11-01T01:14:24.846Z,,23.4,0,,,,
2017-11-01T01:14:34.846Z,,23.4,0,,,,
2017-11-01T01:14:44.846Z,,23.3,0,,,,
2017-11-01T01:14:54.850Z,,23.4,0,,,,
2017-11-01T01:15:04.848Z,,23.4,0,,,,
2017-11-01T01:15:14.847Z,,23.3,0,,,,
2017-11-01T01:15:24.847Z,,23.4,0,,,,
2017-11-01T01:15:34.847Z,,23.3,0,,,38.7,
2017-11-01T01:15:44.847Z,,23.3,0,,,,
2017-11-01T01:15:54.852Z,,23.3,0,,,,
2017-11-01T01:16:04.855Z,,23.3,0,,,,
2017-11-01T01:16:14.851Z,,23.3,0,,,,
2017-11-01T01:16:24.846Z,,23.3,0,,,,
2017-11-01T01:16:34.846Z,,23.3,0,,,,
2017-11-01T01:16:44.849Z,,23.3,0,,,,
2017-11-01T01:16:54.851Z,,23.3,0,,,,
2017-11-01T01:17:04.847Z,,23.3,0,,,,
2017-11-01T01:17:14.847Z,,23.3,0,,,,
2017-11-01T01:17:24.847Z,45,23.3,0,0,45,39.8,2
2017-11-01T01:17:34.848Z,,23.3,0,,38,45.1,
2017-11-01T01:17:44.858Z,5,23.3,0,0,0,36.6,0
2017-11-01T01:17:54.859Z,45,23.3,0,0,45,32,2
2017-11-01T01:18:04.859Z,,23.3,0,,36,36.1,
2017-11-01T01:18:14.850Z,5,23.3,0,0,0,33.3,0
2017-11-01T01:18:24.851Z,45,23.3,0,0,45,28.4,2
2017-11-01T01:18:34.847Z,,23.3,0,,35,33.2,
2017-11-01T01:18:44.847Z,,23.3,0,,30,33.8,
2017-11-01T01:18:54.851Z,,23.3,0,,29,33.2,
2017-11-01T01:19:04.850Z,,23.3,0,,,33.3,
2017-11-01T01:19:14.847Z,,23.3,0,,,33.2,
2017-11-01T01:19:24.848Z,,23.3,0,,30,,
2017-11-01T01:19:34.847Z,,23.3,0,,29,33.6,
2017-11-01T01:19:44.847Z,,23.3,0,,29,34.2,
2017-11-01T01:19:54.848Z,,23.4,0,,,34.7,
2017-11-01T01:20:04.847Z,,23.4,0,,29,35.3,
2017-11-01T01:20:14.852Z,,23.4,0,,30,36.1,
2017-11-01T01:20:24.880Z,,23.4,0,,33,37.3,
2017-11-01T01:20:34.847Z,,23.4,0,,35,38.1,
2017-11-01T01:20:44.847Z,,23.4,0,,37,39.2,
2017-11-01T01:20:54.848Z,,23.4,0,,39,40,
2017-11-01T01:21:04.847Z,,23.4,0,,40,40.5,
2017-11-01T01:21:14.847Z,,23.4,0,,41,41.1,
