Time,HwActive,PrimTSet,HwTSet,HwTOutlet,ChActive,ActPow,PrimT
2018-02-12T00:15:09.090Z,,,0,30.1,,,
2018-02-12T00:15:19.336Z,,,0,30.1,,,49.6
2018-02-12T00:15:29.090Z,,,0,30.1,,,
2018-02-12T00:15:39.090Z,,,0,30,,,
2018-02-12T00:15:49.090Z,,,0,30,,,
2018-02-12T00:15:59.090Z,,,0,30,,,
2018-02-12T00:16:09.091Z,,,0,30,,,
2018-02-12T00:16:19.335Z,,,0,30,,,49.5
2018-02-12T00:16:29.091Z,,,0,30,,,
2018-02-12T00:16:39.091Z,,,0,29.8,,,
2018-02-12T00:16:49.090Z,,,0,29.8,,,
2018-02-12T00:16:59.091Z,,,0,29.8,,,
2018-02-12T00:17:09.091Z,,,0,29.8,,,
2018-02-12T00:17:19.184Z,,,0,29.8,,,
2018-02-12T00:17:29.091Z,,,0,29.8,,,49.4
2018-02-12T00:17:44.183Z,,,0,29.7,,,
2018-02-12T00:17:49.336Z,,,0,29.7,,,
2018-02-12T00:17:59.091Z,,,0,29.7,,,
2018-02-12T00:18:09.091Z,,,0,29.7,,,
2018-02-12T00:18:19.336Z,,,0,29.6,,,
2018-02-12T00:18:29.091Z,,,0,29.6,,,49.3
2018-02-12T00:18:39.092Z,,,0,29.6,,,
2018-02-12T00:18:49.090Z,,,0,29.6,,,
2018-02-12T00:18:59.093Z,,,0,29.6,,,
2018-02-12T00:19:09.091Z,,,0,29.6,,,
2018-02-12T00:19:19.091Z,,,0,29.5,,,
2018-02-12T00:19:29.094Z,,,0,29.5,,,
2018-02-12T00:19:39.091Z,,,0,29.5,,,
2018-02-12T00:19:49.092Z,,,0,29.5,,,49.2
2018-02-12T00:19:59.092Z,,,0,29.5,,,
2018-02-12T00:20:09.091Z,,,0,29.5,,,
2018-02-12T00:20:19.091Z,,,0,29.5,,,
2018-02-12T00:20:29.094Z,,,0,29.3,,,
2018-02-12T00:20:39.094Z,,,0,29.3,,,
2018-02-12T00:20:49.091Z,,,0,29.3,,,49.1
2018-02-12T00:20:59.091Z,,,0,29.3,,,
2018-02-12T00:21:09.111Z,,,0,29.2,,,
2018-02-12T00:21:19.101Z,,,0,29.2,,,
2018-02-12T00:21:29.121Z,,,0,29.2,,,
2018-02-12T00:21:39.105Z,,,0,29.2,,,49
2018-02-12T00:21:49.278Z,,,0,29.2,,,
2018-02-12T00:21:59.093Z,,,0,29.2,,,
2018-02-12T00:22:09.094Z,,,0,29.2,,,
2018-02-12T00:22:19.092Z,,,0,29.1,,,
2018-02-12T00:22:29.093Z,,,0,29.1,,,
2018-02-12T00:22:39.094Z,,,0,29.1,,,48.9
2018-02-12T00:22:49.091Z,,,0,29.1,,,48.9
2018-02-12T00:22:59.092Z,,,0,29.1,,,
2018-02-12T00:23:09.092Z,,,0,29.1,,,
2018-02-12T00:23:19.093Z,,,0,29,,,
2018-02-12T00:23:29.095Z,,,0,29,,,
2018-02-12T00:23:39.092Z,,,0,29,,,
2018-02-12T00:23:49.093Z,,,0,29,,,
2018-02-12T00:23:59.092Z,,,0,29,,,48.8
2018-02-12T00:24:09.093Z,,,0,29,,,
2018-02-12T00:24:19.092Z,,,0,28.9,,,
2018-02-12T00:24:29.092Z,,,0,28.9,,,
2018-02-12T00:24:39.092Z,,,0,28.9,,,
2018-02-12T00:24:49.092Z,,,0,28.9,,,
2018-02-12T00:24:59.094Z,,,0,28.9,,,
2018-02-12T00:25:09.092Z,,,0,28.9,,,48.7
2018-02-12T00:25:19.091Z,,,0,28.7,,,
2018-02-12T00:25:29.091Z,,,0,28.7,,,
2018-02-12T00:25:39.092Z,,,0,28.7,,,
2018-02-12T00:25:49.092Z,,,0,28.7,,,
2018-02-12T00:25:59.093Z,,,0,28.7,,,
2018-02-12T00:26:09.092Z,,,0,28.6,,,
2018-02-12T00:26:19.092Z,,,0,28.6,,,48.6
2018-02-12T00:26:29.092Z,,,0,28.6,,,
2018-02-12T00:26:39.092Z,,,0,28.6,,,
2018-02-12T00:26:49.092Z,,,0,28.6,,,
2018-02-12T00:26:59.092Z,,,0,28.6,,,
2018-02-12T00:27:09.093Z,,,0,28.6,,,
2018-02-12T00:27:24.184Z,,,0,28.5,,,48.5
2018-02-12T00:27:29.095Z,,,0,28.5,,,
2018-02-12T00:27:39.092Z,,,0,28.5,,,
2018-02-12T00:27:49.092Z,,,0,28.5,,,
2018-02-12T00:27:59.093Z,,,0,28.5,,,
2018-02-12T00:28:09.095Z,,,0,28.5,,,
2018-02-12T00:28:19.092Z,,,0,28.4,,,
2018-02-12T00:28:29.131Z,,,0,28.4,,,48.4
2018-02-12T00:28:39.093Z,,,0,28.4,,,
2018-02-12T00:28:49.093Z,,,0,28.4,,,
2018-02-12T00:28:59.093Z,,,0,28.4,,,
2018-02-12T00:29:09.100Z,,,0,28.4,,,
2018-02-12T00:29:19.093Z,,,0,28.3,,,
2018-02-12T00:29:29.092Z,,,0,28.3,,,48.3
2018-02-12T00:29:39.093Z,,,0,28.3,,,
2018-02-12T00:29:49.093Z,,,0,28.3,,,
2018-02-12T00:29:59.093Z,,,0,28.3,,,
2018-02-12T00:30:09.092Z,,,0,28.1,,,
2018-02-12T00:30:19.093Z,,,0,28.1,,,
2018-02-12T00:30:29.093Z,,,0,28.1,,,
2018-02-12T00:30:39.096Z,,,0,28.1,,,48.2
2018-02-12T00:30:49.095Z,,,0,28.1,,,
2018-02-12T00:30:59.095Z,,,0,28.1,,,
2018-02-12T00:31:09.307Z,,,0,28.1,,,
2018-02-12T00:31:19.129Z,,,0,28,,,
2018-02-12T00:31:29.098Z,,,0,28,,,48.1
2018-02-12T00:31:39.093Z,,,0,28,,,
2018-02-12T00:31:49.093Z,,,0,28,,,
2018-02-12T00:31:59.093Z,,,0,28,,,
2018-02-12T00:32:09.093Z,,,0,28,,,
2018-02-12T00:32:19.093Z,,,0,27.9,,,
2018-02-12T00:32:29.096Z,,,0,27.9,,,
2018-02-12T00:32:39.094Z,,,0,27.9,,,
2018-02-12T00:32:49.095Z,,,0,27.9,,,48
2018-02-12T00:32:59.097Z,,,0,27.9,,,
2018-02-12T00:33:09.094Z,0,5,0,27.9,0,0,48
2018-02-12T00:33:19.093Z,,,0,27.8,,,
2018-02-12T00:33:29.097Z,,,0,27.8,,,
2018-02-12T00:33:39.093Z,,,0,27.8,,,
2018-02-12T00:33:49.094Z,,,0,27.8,,,47.9
2018-02-12T00:33:59.097Z,,,0,27.8,,,
2018-02-12T00:34:09.093Z,,,0,27.8,,,
2018-02-12T00:34:19.093Z,,,0,27.7,,,
2018-02-12T00:34:29.093Z,,,0,27.7,,,
2018-02-12T00:34:39.093Z,,,0,27.7,,,
2018-02-12T00:34:49.095Z,,,0,27.7,,,
2018-02-12T00:34:59.099Z,,,0,27.7,,,47.8
2018-02-12T00:35:09.094Z,,,0,27.7,,,
2018-02-12T00:35:19.093Z,,,0,27.7,,,
2018-02-12T00:35:29.094Z,,,0,27.5,,,
2018-02-12T00:35:39.094Z,,,0,27.5,,,
2018-02-12T00:35:49.094Z,,,0,27.5,,,
2018-02-12T00:35:59.094Z,,,0,27.5,,,
2018-02-12T00:36:09.097Z,,,0,27.5,,,47.7
2018-02-12T00:36:19.094Z,,,0,27.5,,,
2018-02-12T00:36:29.094Z,,,0,27.4,,,
2018-02-12T00:36:39.096Z,,,0,27.4,,,
2018-02-12T00:36:49.099Z,,,0,27.4,,,
2018-02-12T00:36:59.094Z,,,0,27.4,,,
2018-02-12T00:37:09.094Z,,,0,27.4,,,47.6
2018-02-12T00:37:19.097Z,,,0,27.4,,,
2018-02-12T00:37:29.303Z,,,0,27.3,,,
2018-02-12T00:37:39.094Z,,,0,27.3,,,
2018-02-12T00:37:49.093Z,,,0,27.3,,,
2018-02-12T00:37:59.094Z,,,0,27.3,,,
2018-02-12T00:38:09.095Z,,,0,27.3,,,
2018-02-12T00:38:19.094Z,,,0,27.3,,,47.4
2018-02-12T00:38:29.096Z,,,0,27.3,,,
2018-02-12T00:38:39.095Z,,,0,27.2,,,
2018-02-12T00:38:49.094Z,,,0,27.2,,,
2018-02-12T00:38:59.095Z,,,0,27.2,,,
2018-02-12T00:39:09.094Z,,,0,27.2,,,
2018-02-12T00:39:19.096Z,,,0,27.2,,,47.3
2018-02-12T00:39:29.095Z,,,0,27.2,,,
2018-02-12T00:39:39.095Z,,,0,27.1,,,
2018-02-12T00:39:49.095Z,,,0,27.1,,,
2018-02-12T00:39:59.097Z,,,0,27.1,,,
2018-02-12T00:40:09.094Z,,,0,27.1,,,
2018-02-12T00:40:19.094Z,,,0,27.1,,,47.2
2018-02-12T00:40:29.096Z,,,0,27.1,,,
2018-02-12T00:40:39.094Z,,,0,27.1,,,
2018-02-12T00:40:49.094Z,,,0,27.1,,,
2018-02-12T00:40:59.095Z,,,0,26.9,,,
2018-02-12T00:41:09.095Z,,,0,26.9,,,
2018-02-12T00:41:19.095Z,,,0,26.9,,,
2018-02-12T00:41:29.095Z,,,0,26.9,,,
2018-02-12T00:41:39.095Z,,,0,26.9,,,47.1
2018-02-12T00:41:49.094Z,,,0,26.9,,,
2018-02-12T00:41:59.096Z,,,0,26.8,,,
2018-02-12T00:42:09.097Z,,,0,26.8,,,
2018-02-12T00:42:19.095Z,,,0,26.8,,,
2018-02-12T00:42:29.097Z,,,0,26.8,,,
2018-02-12T00:42:39.095Z,,,0,26.8,,,
2018-02-12T00:42:49.243Z,,,0,26.8,,,47
2018-02-12T00:42:59.095Z,,,0,26.8,,,
2018-02-12T00:43:09.097Z,,,0,26.7,,,
2018-02-12T00:43:19.095Z,,,0,26.7,,,
2018-02-12T00:43:29.095Z,,,0,26.7,,,
2018-02-12T00:43:39.098Z,,,0,26.7,,,46.9
2018-02-12T00:43:49.100Z,,,0,26.7,,,46.9
2018-02-12T00:43:59.098Z,,,0,26.7,,,
2018-02-12T00:44:09.148Z,,,0,26.7,,,
2018-02-12T00:44:19.095Z,,,0,26.6,,,
2018-02-12T00:44:29.096Z,,,0,26.6,,,
2018-02-12T00:44:39.100Z,,,0,26.6,,,
2018-02-12T00:44:49.097Z,,,0,26.6,,,46.8
2018-02-12T00:44:59.097Z,,,0,26.6,,,
2018-02-12T00:45:09.095Z,,,0,26.6,,,
2018-02-12T00:45:19.095Z,,,0,26.6,,,
2018-02-12T00:45:29.095Z,,,0,26.6,,,
2018-02-12T00:45:39.095Z,,,0,26.5,,,
2018-02-12T00:45:49.095Z,,,0,26.5,,,
2018-02-12T00:45:59.099Z,,,0,26.5,,,
2018-02-12T00:46:09.099Z,,,0,26.5,,,46.7
2018-02-12T00:46:19.095Z,,,0,26.5,,,
2018-02-12T00:46:29.099Z,,,0,26.5,,,
2018-02-12T00:46:39.096Z,,,0,26.5,,,
2018-02-12T00:46:49.100Z,,,0,26.3,,,
2018-02-12T00:46:59.096Z,,,0,26.3,,,
2018-02-12T00:47:09.097Z,,,0,26.3,,,46.6
2018-02-12T00:47:19.095Z,,,0,26.3,,,
2018-02-12T00:47:29.096Z,,,0,26.3,,,
2018-02-12T00:47:39.096Z,,,0,26.3,,,
2018-02-12T00:47:49.096Z,,,0,26.3,,,
2018-02-12T00:47:59.097Z,,,0,26.2,,,
2018-02-12T00:48:09.129Z,,,0,26.2,,,
2018-02-12T00:48:19.121Z,,,0,26.2,,,46.5
2018-02-12T00:48:29.098Z,,,0,26.2,,,
2018-02-12T00:48:39.121Z,,,0,26.2,,,
2018-02-12T00:48:49.096Z,,,0,26.2,,,
2018-02-12T00:48:59.101Z,,,0,26.1,,,
2018-02-12T00:49:09.097Z,,,0,26.1,,,
2018-02-12T00:49:19.098Z,,,0,26.1,,,46.4
2018-02-12T00:49:29.096Z,,,0,26.1,,,
2018-02-12T00:49:39.096Z,,,0,26.1,,,
2018-02-12T00:49:49.096Z,,,0,26.1,,,
2018-02-12T00:49:59.103Z,,,0,26.1,,,
2018-02-12T00:50:09.096Z,,,0,26.1,,,
2018-02-12T00:50:19.096Z,,,0,26.1,,,
2018-02-12T00:50:29.096Z,,,0,26,,,46.3
2018-02-12T00:50:39.096Z,,,0,26,,,
2018-02-12T00:50:49.096Z,,,0,26,,,
2018-02-12T00:50:59.100Z,,,0,26,,,
2018-02-12T00:51:09.096Z,,,0,26,,,
2018-02-12T00:51:19.121Z,,,0,26,,,
2018-02-12T00:51:29.101Z,,,0,26,,,46.2
2018-02-12T00:51:39.097Z,,,0,26,,,46.3
2018-02-12T00:51:49.096Z,,,0,26,,,46.2
2018-02-12T00:51:59.096Z,,,0,25.9,,,
2018-02-12T00:52:09.096Z,,,0,25.9,,,
2018-02-12T00:52:19.121Z,,,0,25.9,,,
2018-02-12T00:52:29.097Z,,,0,25.9,,,
2018-02-12T00:52:39.097Z,,,0,25.9,,,
2018-02-12T00:52:49.097Z,,,0,25.9,,,46.1
2018-02-12T00:52:59.096Z,,,0,25.9,,,
2018-02-12T00:53:09.100Z,,,0,25.9,,,
2018-02-12T00:53:19.127Z,,,0,25.9,,,
2018-02-12T00:53:29.097Z,,,0,25.7,,,
2018-02-12T00:53:39.097Z,,,0,25.7,,,
2018-02-12T00:53:49.097Z,,,0,25.7,,,46
2018-02-12T00:53:59.097Z,,,0,25.7,,,
2018-02-12T00:54:09.096Z,,,0,25.7,,,
2018-02-12T00:54:19.097Z,,,0,25.7,,,
2018-02-12T00:54:29.097Z,,,0,25.7,,,
2018-02-12T00:54:39.098Z,,,0,25.7,,,
2018-02-12T00:54:49.097Z,,,0,25.6,,,46
2018-02-12T00:54:59.096Z,,,0,25.6,,,45.9
2018-02-12T00:55:09.097Z,,,0,25.6,,,
2018-02-12T00:55:19.166Z,,,0,25.6,,,
2018-02-12T00:55:29.135Z,,,0,25.6,,,
2018-02-12T00:55:39.096Z,,,0,25.6,,,
2018-02-12T00:55:49.096Z,,,0,25.6,,,
2018-02-12T00:55:59.097Z,,,0,25.6,,,45.8
2018-02-12T00:56:09.100Z,,,0,25.6,,,
2018-02-12T00:56:19.097Z,,,0,25.6,,,
2018-02-12T00:56:29.097Z,,,0,25.5,,,
2018-02-12T00:56:39.175Z,,,0,25.5,,,
2018-02-12T00:56:49.262Z,,,0,25.5,,,
2018-02-12T00:56:59.100Z,,,0,25.5,,,
2018-02-12T00:57:09.096Z,,,0,25.5,,,
2018-02-12T00:57:19.097Z,,,0,25.5,,,45.7
2018-02-12T00:57:29.101Z,,,0,25.5,,,
2018-02-12T00:57:39.097Z,,,0,25.5,,,
2018-02-12T00:57:49.101Z,,,0,25.4,,,
2018-02-12T00:57:59.097Z,,,0,25.4,,,
2018-02-12T00:58:09.097Z,,,0,25.4,,,
2018-02-12T00:58:19.102Z,,,0,25.4,,,
2018-02-12T00:58:29.098Z,,,0,25.4,,,45.6
2018-02-12T00:58:39.098Z,,,0,25.4,,,
2018-02-12T00:58:49.098Z,,,0,25.4,,,
2018-02-12T00:58:59.100Z,,,0,25.4,,,
2018-02-12T00:59:09.097Z,,,0,25.3,,,
2018-02-12T00:59:19.098Z,,,0,25.3,,,
2018-02-12T00:59:29.097Z,,,0,25.3,,,45.5
2018-02-12T00:59:39.100Z,,,0,25.3,,,
2018-02-12T00:59:49.104Z,,,0,25.3,,,
2018-02-12T00:59:59.097Z,,,0,25.3,,,
2018-02-12T01:00:09.097Z,,,0,25.3,,,
2018-02-12T01:00:19.100Z,,,0,25.3,,,
2018-02-12T01:00:29.103Z,,,0,25.3,,,
2018-02-12T01:00:39.212Z,,,0,25.1,,,45.4
2018-02-12T01:00:49.098Z,,,0,25.1,,,
2018-02-12T01:00:59.098Z,,,0,25.1,,,
2018-02-12T01:01:09.101Z,,,0,25.1,,,
2018-02-12T01:01:19.098Z,,,0,25.1,,,
2018-02-12T01:01:29.097Z,,,0,25.1,,,
2018-02-12T01:01:39.097Z,,,0,25.1,,,
2018-02-12T01:01:49.101Z,,,0,25.1,,,45.3
2018-02-12T01:01:59.098Z,,,0,25.1,,,
2018-02-12T01:02:09.097Z,,,0,25.1,,,
2018-02-12T01:02:19.098Z,,,0,25.1,,,
2018-02-12T01:02:29.101Z,,,0,25,,,
2018-02-12T01:02:39.098Z,,,0,25,,,
2018-02-12T01:02:49.098Z,,,0,25,,,
2018-02-12T01:02:59.099Z,,,0,25,,,
2018-02-12T01:03:09.098Z,,,0,25,,,45.2
2018-02-12T01:03:19.098Z,,,0,25,,,
2018-02-12T01:03:29.098Z,,,0,25,,,
2018-02-12T01:03:39.101Z,,,0,25,,,
2018-02-12T01:03:49.098Z,,,0,25,,,
2018-02-12T01:03:59.206Z,,,0,24.9,,,
2018-02-12T01:04:09.099Z,,,0,24.9,,,
2018-02-12T01:04:19.098Z,,,0,24.9,,,45.1
2018-02-12T01:04:29.098Z,,,0,24.9,,,
2018-02-12T01:04:39.098Z,,,0,24.9,,,
2018-02-12T01:04:49.100Z,,,0,24.9,,,
2018-02-12T01:04:59.105Z,,,0,24.9,,,
2018-02-12T01:05:09.100Z,,,0,24.9,,,
2018-02-12T01:05:19.098Z,,,0,24.9,,,45
2018-02-12T01:05:29.100Z,,,0,24.9,,,
2018-02-12T01:05:39.102Z,,,0,24.8,,,
2018-02-12T01:05:49.103Z,,,0,24.8,,,
2018-02-12T01:05:59.098Z,,,0,24.8,,,
2018-02-12T01:06:09.107Z,,,0,24.8,,,
2018-02-12T01:06:19.098Z,,,0,24.8,,,45
2018-02-12T01:06:29.100Z,,,0,24.8,,,44.9
2018-02-12T01:06:39.098Z,,,0,24.8,,,
2018-02-12T01:06:49.099Z,,,0,24.8,,,
2018-02-12T01:06:59.103Z,,,0,24.8,,,
2018-02-12T01:07:09.099Z,,,0,24.8,,,
2018-02-12T01:07:19.099Z,,,0,24.7,,,
2018-02-12T01:07:29.101Z,,,0,24.7,,,
2018-02-12T01:07:39.102Z,,,0,24.7,,,44.8
2018-02-12T01:07:49.101Z,,,0,24.7,,,
2018-02-12T01:07:59.101Z,,,0,24.7,,,
2018-02-12T01:08:09.099Z,,,0,24.7,,,
2018-02-12T01:08:19.099Z,,,0,24.7,,,
2018-02-12T01:08:29.100Z,,,0,24.7,,,
2018-02-12T01:08:39.099Z,,,0,24.7,,,
2018-02-12T01:08:49.345Z,,,0,24.7,,,44.7
2018-02-12T01:08:59.099Z,,,0,24.5,,,
2018-02-12T01:09:09.099Z,,,0,24.5,,,
2018-02-12T01:09:19.101Z,,,0,24.5,,,
2018-02-12T01:09:29.101Z,,,0,24.5,,,
2018-02-12T01:09:39.099Z,,,0,24.5,,,
2018-02-12T01:09:49.101Z,,,0,24.5,,,
2018-02-12T01:09:59.344Z,,,0,24.5,,,44.6
2018-02-12T01:10:09.099Z,,,0,24.5,,,
2018-02-12T01:10:19.102Z,,,0,24.5,,,
2018-02-12T01:10:29.100Z,,,0,24.5,,,
2018-02-12T01:10:39.099Z,,,0,24.4,,,
2018-02-12T01:10:49.101Z,,,0,24.4,,,
2018-02-12T01:10:59.101Z,,,0,24.4,,,
2018-02-12T01:11:09.103Z,,,0,24.4,,,44.5
2018-02-12T01:11:19.108Z,,,0,24.4,,,
2018-02-12T01:11:29.103Z,,,0,24.4,,,
2018-02-12T01:11:39.099Z,,,0,24.4,,,
2018-02-12T01:11:49.099Z,,,0,24.4,,,
2018-02-12T01:11:59.102Z,,,0,24.4,,,
2018-02-12T01:12:09.099Z,,,0,24.4,,,
2018-02-12T01:12:19.100Z,,,0,24.3,,,
2018-02-12T01:12:29.102Z,,,0,24.3,,,44.4
2018-02-12T01:12:39.101Z,,,0,24.3,,,
2018-02-12T01:12:49.099Z,,,0,24.3,,,
2018-02-12T01:12:59.099Z,,,0,24.3,,,
2018-02-12T01:13:09.100Z,,,0,24.3,,,
2018-02-12T01:13:19.099Z,,,0,24.3,,,
2018-02-12T01:13:29.100Z,,,0,24.3,,,
2018-02-12T01:13:39.101Z,,,0,24.3,,,44.3
2018-02-12T01:13:49.100Z,,,0,24.3,,,
2018-02-12T01:13:59.101Z,,,0,24.3,,,
2018-02-12T01:14:09.100Z,,,0,24.3,,,
2018-02-12T01:14:19.100Z,,,0,24.2,,,
2018-02-12T01:14:29.104Z,,,0,24.2,,,
2018-02-12T01:14:39.099Z,,,0,24.2,,,
2018-02-12T01:14:49.100Z,,,0,24.2,,,44.2
2018-02-12T01:14:59.101Z,,,0,24.2,,,
2018-02-12T01:15:09.099Z,,,0,24.2,,,
2018-02-12T01:15:19.100Z,,,0,24.2,,,
2018-02-12T01:15:29.100Z,,,0,24.2,,,
2018-02-12T01:15:39.103Z,,,0,24.2,,,
2018-02-12T01:15:49.100Z,,,0,24.2,,,
2018-02-12T01:15:59.102Z,,,0,24,,,44.1
2018-02-12T01:16:09.103Z,,,0,24.2,,,
2018-02-12T01:16:19.100Z,,,0,24.2,,,
2018-02-12T01:16:29.101Z,,,0,24,,,
2018-02-12T01:16:39.103Z,,,0,24,,,
2018-02-12T01:16:49.100Z,,,0,24,,,
2018-02-12T01:16:59.100Z,,,0,24,,,
2018-02-12T01:17:09.102Z,,,0,24,,,
2018-02-12T01:17:19.100Z,,,0,24,,,44
2018-02-12T01:17:29.101Z,,,0,24,,,
2018-02-12T01:17:39.100Z,,,0,24,,,
2018-02-12T01:17:49.101Z,,,0,24,,,
2018-02-12T01:17:59.101Z,,,0,24,,,
2018-02-12T01:18:09.100Z,,,0,24,,,43.9
2018-02-12T01:18:19.105Z,,,0,23.9,,,43.9
2018-02-12T01:18:29.104Z,,,0,23.9,,,
2018-02-12T01:18:39.100Z,,,0,23.9,,,
2018-02-12T01:18:49.101Z,,,0,23.9,,,
2018-02-12T01:18:59.101Z,,,0,23.9,,,
2018-02-12T01:19:09.101Z,,,0,23.9,,,
2018-02-12T01:19:19.100Z,,,0,23.9,,,
2018-02-12T01:19:29.100Z,,,0,23.9,,,43.8
2018-02-12T01:19:39.104Z,,,0,23.9,,,
2018-02-12T01:19:49.101Z,,,0,23.9,,,
2018-02-12T01:19:59.101Z,,,0,23.9,,,
2018-02-12T01:20:09.278Z,,,0,23.8,,,
2018-02-12T01:20:19.100Z,,,0,23.8,,,
2018-02-12T01:20:29.101Z,,,0,23.8,,,
2018-02-12T01:20:39.101Z,,,0,23.8,,,
2018-02-12T01:20:49.103Z,,,0,23.8,,,43.7
2018-02-12T01:20:59.101Z,,,0,23.8,,,
2018-02-12T01:21:09.102Z,,,0,23.8,,,
2018-02-12T01:21:19.103Z,,,0,23.8,,,
2018-02-12T01:21:29.101Z,,,0,23.8,,,
2018-02-12T01:21:39.101Z,,,0,23.8,,,
2018-02-12T01:21:49.101Z,,,0,23.8,,,
2018-02-12T01:21:59.101Z,,,0,23.8,,,43.6
