Time,HwTSet,HwActive,PrimTSet,ChActive,PrimT,ActPow,HwTOutlet
2017-11-02T00:28:32.071Z,0,,,,51.5,,33.9
2017-11-02T00:28:42.071Z,0,,,,51.2,,33.9
2017-11-02T00:28:52.076Z,0,,,,,,33.9
2017-11-02T00:29:02.071Z,0,,,,51.3,,33.9
2017-11-02T00:29:12.071Z,0,,,,51.4,,33.9
2017-11-02T00:29:22.071Z,0,,,,51.5,,33.8
2017-11-02T00:29:32.072Z,0,,,,51.6,,33.8
2017-11-02T00:29:42.071Z,0,,,,51.7,,33.8
2017-11-02T00:29:52.071Z,0,,,,51.8,,33.8
2017-11-02T00:30:02.071Z,0,,,,51.7,,33.8
2017-11-02T00:30:12.073Z,0,,,,51.5,,33.8
2017-11-02T00:30:22.071Z,0,,,,51.2,,33.8
2017-11-02T00:30:32.073Z,0,,,,50.9,,33.8
2017-11-02T00:30:42.072Z,0,,,,50.7,,33.8
2017-11-02T00:30:52.072Z,0,,,,50.5,,33.8
2017-11-02T00:31:02.071Z,0,,,,50.2,,33.7
2017-11-02T00:31:12.073Z,0,,,,49.9,,33.7
2017-11-02T00:31:22.073Z,0,,,,49.6,,33.7
2017-11-02T00:31:32.072Z,0,,,,49.4,,33.7
2017-11-02T00:31:42.072Z,0,,,,49.2,,33.7
2017-11-02T00:31:52.071Z,0,,,,49,,33.7
2017-11-02T00:32:02.073Z,0,,,,48.9,,33.7
2017-11-02T00:32:12.071Z,0,,,,48.7,,33.7
2017-11-02T00:32:22.072Z,0,,,,48.6,,33.7
2017-11-02T00:32:32.073Z,0,,,,48.5,,33.7
2017-11-02T00:32:42.073Z,0,,,,48.4,,33.7
2017-11-02T00:32:52.074Z,0,,,,48.3,,33.7
2017-11-02T00:33:02.073Z,0,,,,48.1,,33.7
2017-11-02T00:33:12.073Z,0,,,,47.9,,33.6
2017-11-02T00:33:22.072Z,0,0,,2,51.2,40,33.6
2017-11-02T00:33:32.072Z,0,,,,55.1,30,33.6
2017-11-02T00:33:42.071Z,0,,,,55.5,,33.6
2017-11-02T00:33:52.072Z,0,,,,56,29,33.6
2017-11-02T00:34:02.080Z,0,,,,,30,33.6
2017-11-02T00:34:12.072Z,0,,,,56.1,29,33.6
2017-11-02T00:34:22.072Z,0,,,,,,33.6
2017-11-02T00:34:32.075Z,0,,,,56,30,33.5
2017-11-02T00:34:42.076Z,0,,,,55.9,30,33.5
2017-11-02T00:34:52.072Z,0,,,,55.9,29,33.5
2017-11-02T00:35:02.075Z,0,,,,,,33.5
2017-11-02T00:35:12.072Z,0,,,,56,,33.5
2017-11-02T00:35:22.072Z,0,,,,56.2,,33.5
2017-11-02T00:35:32.073Z,0,,,,56.6,,33.5
2017-11-02T00:35:42.091Z,0,,,,57,,33.5
2017-11-02T00:35:52.072Z,0,0,5,0,57.2,0,33.5
2017-11-02T00:36:02.075Z,0,,,,53.6,,33.5
2017-11-02T00:36:12.078Z,0,0,54,2,51.3,,33.5
2017-11-02T00:36:22.081Z,0,,,,56.5,36,33.5
2017-11-02T00:36:32.073Z,0,0,,2,57.9,0,33.5
2017-11-02T00:36:42.074Z,0,,,,53.9,,33.4
2017-11-02T00:36:52.081Z,0,,,,52.7,,33.5
2017-11-02T00:37:02.080Z,0,,,,51.7,,33.5
2017-11-02T00:37:12.081Z,0,0,5,0,51.4,,33.5
2017-11-02T00:37:22.073Z,0,0,54,2,,,33.5
2017-11-02T00:37:32.073Z,0,,,,55.3,39,33.5
2017-11-02T00:37:42.084Z,0,0,,2,58.5,0,33.5
2017-11-02T00:37:52.079Z,0,,,,53.9,,33.4
2017-11-02T00:38:02.079Z,0,,,,52.9,,33.4
2017-11-02T00:38:12.072Z,0,,,,51.9,,33.4
2017-11-02T00:38:22.132Z,0,,,,51.7,,33.4
2017-11-02T00:38:32.078Z,0,,,,51.6,,33.4
2017-11-02T00:38:42.073Z,0,0,5,0,51.4,,33.4
2017-11-02T00:38:52.072Z,0,,,,51.1,,33.4
2017-11-02T00:39:02.079Z,0,,,,50.7,,33.4
2017-11-02T00:39:12.077Z,0,,,,50.4,,33.4
2017-11-02T00:39:22.073Z,0,0,54,2,,,33.4
2017-11-02T00:39:32.073Z,0,,,,56.2,36,33.4
2017-11-02T00:39:42.085Z,0,0,5,0,58.6,0,33.4
2017-11-02T00:39:52.073Z,0,,,,53.6,,33.4
2017-11-02T00:40:02.074Z,0,,,,51.9,,33.4
2017-11-02T00:40:12.074Z,0,,,,50.9,,33.4
2017-11-02T00:40:22.073Z,0,,,,50.3,,33.4
2017-11-02T00:40:32.082Z,0,0,54,2,49.9,,33.4
2017-11-02T00:40:42.085Z,0,0,5,0,55.2,0,33.4
2017-11-02T00:40:52.220Z,0,,,,52.7,,33.4
2017-11-02T00:41:02.077Z,0,,,,50.7,,33.4
2017-11-02T00:41:12.074Z,0,0,54,2,49.7,,33.4
2017-11-02T00:41:22.073Z,0,0,5,0,54.4,0,33.4
2017-11-02T00:41:32.074Z,0,0,54,2,52.1,,33.3
2017-11-02T00:41:42.087Z,0,0,5,0,56.1,0,33.3
2017-11-02T00:41:52.074Z,0,,,,52.9,,33.3
2017-11-02T00:42:02.074Z,0,,,,50.9,,33.3
2017-11-02T00:42:12.073Z,0,0,54,2,49.8,,33.3
2017-11-02T00:42:22.080Z,0,,,,55.1,36,33.3
2017-11-02T00:42:32.079Z,0,0,,2,58.6,0,33.3
2017-11-02T00:42:42.086Z,0,,,,52.9,,33.3
2017-11-02T00:42:52.073Z,0,0,5,0,51.4,,33.3
2017-11-02T00:43:02.073Z,0,,,,50.2,,33.3
2017-11-02T00:43:12.074Z,0,,,,49.6,,33.3
2017-11-02T00:43:22.258Z,0,,,,49.2,,33.3
2017-11-02T00:43:32.073Z,0,,,,48.9,,33.3
2017-11-02T00:43:42.078Z,0,,,,,,33.3
2017-11-02T00:43:52.073Z,0,,,,,,33.3
