Time,ChActive,HwTSet,HwTOutlet,PrimTSet,HwActive,ActPow,PrimT
2017-12-08T09:56:17.340Z,,0,23,,,,
2017-12-08T09:56:27.323Z,,0,23,,,,
2017-12-08T09:56:37.332Z,,0,23,,,,
2017-12-08T09:56:47.365Z,,0,23,,,,
2017-12-08T09:56:57.312Z,,0,23,,,,
2017-12-08T09:57:07.319Z,,0,23,,,,
2017-12-08T09:57:17.322Z,,0,23,,,,
2017-12-08T09:57:27.350Z,,0,22.8,,,,
2017-12-08T09:57:37.348Z,,0,22.8,,,,
2017-12-08T09:57:47.311Z,,0,22.8,,,,
2017-12-08T09:57:57.314Z,,0,22.8,,,,23.3
2017-12-08T09:58:07.316Z,,0,22.8,,,,
2017-12-08T09:58:17.321Z,,0,22.8,,,,23.1
2017-12-08T09:58:27.312Z,,0,22.8,,,,22.9
2017-12-08T09:58:37.315Z,,0,22.8,,,,22.8
2017-12-08T09:58:47.309Z,,0,22.8,,,,
2017-12-08T09:58:57.309Z,,0,22.8,,,,22.7
2017-12-08T09:59:07.333Z,,0,22.8,,,,
2017-12-08T09:59:17.310Z,,0,22.7,,,,
2017-12-08T09:59:27.316Z,,0,22.7,,,,
2017-12-08T09:59:37.343Z,,0,22.7,,,,
2017-12-08T09:59:47.315Z,,0,22.7,,,,
2017-12-08T09:59:57.334Z,,0,22.7,,,,
2017-12-08T10:00:07.355Z,,0,22.7,,,,
2017-12-08T10:00:17.309Z,,0,22.7,,,,
2017-12-08T10:00:27.339Z,,0,22.7,,,,22.5
2017-12-08T10:00:37.311Z,,0,22.7,,,,
2017-12-08T10:00:47.328Z,,0,22.7,,,,
2017-12-08T10:00:57.312Z,,0,22.7,,,,
2017-12-08T10:01:07.357Z,,0,22.7,,,,22.4
2017-12-08T10:01:17.326Z,,0,22.7,,,,
2017-12-08T10:01:27.340Z,,0,22.6,,,,
2017-12-08T10:01:37.310Z,,0,22.6,,,,22.3
2017-12-08T10:01:47.310Z,,0,22.6,,,,
2017-12-08T10:01:57.315Z,,0,22.6,,,,
2017-12-08T10:02:07.329Z,,0,22.6,,,,22.4
2017-12-08T10:02:17.325Z,,0,22.6,,,,
2017-12-08T10:02:27.318Z,,0,22.6,,,,
2017-12-08T10:02:37.327Z,,0,22.6,,,,
2017-12-08T10:02:47.311Z,,0,22.6,,,,
2017-12-08T10:02:57.347Z,,0,22.6,,,,
2017-12-08T10:03:07.316Z,,0,22.6,,,,
2017-12-08T10:03:17.311Z,,0,22.5,,,,
2017-12-08T10:03:27.317Z,,0,22.5,,,,
2017-12-08T10:03:37.310Z,,0,22.5,,,,
2017-12-08T10:03:47.311Z,,0,22.5,,,,
2017-12-08T10:03:57.311Z,,0,22.5,,,,
2017-12-08T10:04:07.312Z,,0,22.5,,,,
2017-12-08T10:04:17.312Z,,0,22.5,,,,
2017-12-08T10:04:27.315Z,,0,22.5,,,,
2017-12-08T10:04:37.333Z,,0,22.5,,,,
2017-12-08T10:04:47.337Z,,0,22.5,,,,
2017-12-08T10:04:57.329Z,,0,22.5,,,,
2017-12-08T10:05:07.326Z,,0,22.5,,,,
2017-12-08T10:05:17.355Z,,0,22.4,,,,
2017-12-08T10:05:27.317Z,,0,22.4,,,,
2017-12-08T10:05:37.395Z,,0,22.4,,,,
2017-12-08T10:05:47.364Z,,0,22.4,,,,
2017-12-08T10:05:57.323Z,,0,22.4,,,,
2017-12-08T10:06:07.318Z,,0,22.4,,,,
2017-12-08T10:06:17.312Z,,0,22.4,,,,
