Time,PrimT,ChActive,HwTOutlet,PrimTSet,HwActive,HwTSet,ActPow
2017-11-27T00:55:26.725Z,42.9,,31,,,0,
2017-11-27T00:55:36.726Z,42.8,,31,,,0,
2017-11-27T00:55:46.727Z,42.6,,31,,,0,
2017-11-27T00:55:56.728Z,42.4,,31,,,0,
2017-11-27T00:56:06.725Z,42.3,,31,,,0,
2017-11-27T00:56:16.725Z,42.2,,31,,,0,
2017-11-27T00:56:26.725Z,42,,31,,,0,
2017-11-27T00:56:36.777Z,41.9,,31,,,0,
2017-11-27T00:56:46.732Z,41.8,,31,,,0,
2017-11-27T00:56:56.728Z,41.6,,31,,,0,
2017-11-27T00:57:06.726Z,41.5,,31,,,0,
2017-11-27T00:57:16.725Z,41.4,,30.9,,,0,
2017-11-27T00:57:26.734Z,41.2,,30.9,,,0,
2017-11-27T00:57:36.725Z,41.1,,30.9,,,0,
2017-11-27T00:57:46.755Z,40.9,,30.9,,,0,
2017-11-27T00:57:56.726Z,43.6,1,30.9,,0,0,41
2017-11-27T00:58:06.748Z,48,,30.9,,,0,29
2017-11-27T00:58:16.730Z,48.3,,30.9,,,0,
2017-11-27T00:58:26.727Z,48.6,,30.9,,,0,30
2017-11-27T00:58:36.731Z,48.7,,30.9,48,,0,29
2017-11-27T00:58:46.725Z,48.8,,30.9,,,0,30
2017-11-27T00:58:56.725Z,,,30.9,,,0,29
2017-11-27T00:59:06.744Z,,,30.9,,,0,
2017-11-27T00:59:16.725Z,48.7,,30.9,,,0,30
2017-11-27T00:59:26.725Z,,,30.9,,,0,
2017-11-27T00:59:36.726Z,48.8,,30.9,,,0,
2017-11-27T00:59:46.725Z,49.1,,30.8,,,0,29
2017-11-27T00:59:56.725Z,49.5,,30.8,,,0,30
2017-11-27T01:00:06.725Z,50,,30.9,,,0,29
2017-11-27T01:00:16.725Z,50.1,,30.8,,,0,30
2017-11-27T01:00:26.725Z,50.2,,30.8,,,0,29
2017-11-27T01:00:36.888Z,50.1,,30.8,,,0,
2017-11-27T01:00:46.839Z,50.2,,30.8,,,0,
2017-11-27T01:00:56.725Z,50.4,,30.8,,,0,30
2017-11-27T01:01:06.726Z,50.7,,30.8,,,0,
2017-11-27T01:01:16.885Z,51,,30.8,,,0,30
2017-11-27T01:01:26.727Z,51.3,,30.8,,,0,29
2017-11-27T01:01:36.727Z,51.6,,30.8,,,0,
2017-11-27T01:01:46.728Z,51.8,,30.8,,,0,
