Time,HwTOutlet,HwActive,ActPow,PrimTSet,ChActive,PrimT,HwTSet
2018-01-26T00:53:16.403Z,22,,,,,,0
2018-01-26T00:53:26.431Z,22,,,,,,0
2018-01-26T00:53:36.403Z,22,,,,,,0
2018-01-26T00:53:46.493Z,22,,,,,,0
2018-01-26T00:53:56.404Z,22,,,,,34.3,0
2018-01-26T00:54:06.403Z,22,,,,,,0
2018-01-26T00:54:16.403Z,22,,,,,,0
2018-01-26T00:54:26.403Z,22,,,,,,0
2018-01-26T00:54:36.403Z,22,,,,,,0
2018-01-26T00:54:46.494Z,22,,,,,,0
2018-01-26T00:54:56.403Z,22,,,,,,0
2018-01-26T00:55:06.421Z,22,,,,,,0
2018-01-26T00:55:16.403Z,22,,,,,,0
2018-01-26T00:55:26.407Z,22,,,,,,0
2018-01-26T00:55:36.404Z,22,,,,,,0
2018-01-26T00:55:46.698Z,22,,,,,,0
2018-01-26T00:55:56.410Z,22,,,,,,0
2018-01-26T00:56:06.404Z,22,,,,,34.2,0
2018-01-26T00:56:16.403Z,22,,,,,,0
2018-01-26T00:56:26.404Z,22,,,,,,0
2018-01-26T00:56:36.403Z,21.9,,,,,,0
2018-01-26T00:56:46.493Z,22,,,,,,0
2018-01-26T00:56:56.405Z,22,,,,,,0
2018-01-26T00:57:06.403Z,22,,,,,,0
2018-01-26T00:57:16.404Z,22,,,,,,0
2018-01-26T00:57:26.405Z,22,,,,,,0
2018-01-26T00:57:36.404Z,22,,,,,,0
2018-01-26T00:57:46.515Z,21.9,,,,,,0
2018-01-26T00:57:56.403Z,21.9,,,,,,0
2018-01-26T00:58:06.404Z,21.9,,,,,34.1,0
2018-01-26T00:58:16.403Z,21.9,,,,,,0
2018-01-26T00:58:26.405Z,21.9,,,,,,0
2018-01-26T00:58:36.406Z,21.9,,,,,,0
2018-01-26T00:58:46.534Z,21.9,,,,,,0
2018-01-26T00:58:56.405Z,21.9,,,,,,0
2018-01-26T00:59:06.404Z,21.9,,,,,,0
2018-01-26T00:59:16.403Z,21.9,,,,,,0
2018-01-26T00:59:26.405Z,21.9,,,,,,0
2018-01-26T00:59:36.404Z,21.9,,,,,,0
2018-01-26T00:59:46.494Z,21.9,,,,,,0
2018-01-26T00:59:56.404Z,21.9,,,,,,0
2018-01-26T01:00:06.404Z,21.9,,,,,,0
2018-01-26T01:00:16.405Z,21.9,,,,,,0
2018-01-26T01:00:26.404Z,21.9,,,,,34,0
2018-01-26T01:00:36.404Z,21.9,,,,,,0
2018-01-26T01:00:46.504Z,21.9,,,,,,0
2018-01-26T01:00:56.405Z,21.9,,,,,,0
2018-01-26T01:01:06.416Z,21.9,,,,,,0
2018-01-26T01:01:16.404Z,21.9,,,,,,0
2018-01-26T01:01:26.404Z,21.9,,,,,,0
2018-01-26T01:01:36.406Z,21.9,,,,,,0
2018-01-26T01:01:46.494Z,21.9,,,,,34,0
2018-01-26T01:01:56.404Z,21.9,,,,,,0
2018-01-26T01:02:06.425Z,21.9,,,,,33.9,0
2018-01-26T01:02:16.404Z,21.7,,,,,,0
2018-01-26T01:02:26.583Z,21.7,,,,,,0
2018-01-26T01:02:36.439Z,21.7,,,,,,0
2018-01-26T01:02:46.499Z,21.7,,,,,,0
2018-01-26T01:02:56.404Z,21.7,,,,,,0
2018-01-26T01:03:06.407Z,21.7,,,,,,0
2018-01-26T01:03:16.404Z,21.7,,,,,,0
2018-01-26T01:03:26.406Z,21.7,,,,,,0
2018-01-26T01:03:36.404Z,21.7,,,,,,0
2018-01-26T01:03:46.495Z,21.7,,,,,,0
2018-01-26T01:03:56.404Z,21.7,,,,,,0
2018-01-26T01:04:06.405Z,21.7,,,,,,0
2018-01-26T01:04:16.409Z,21.7,,,,,33.8,0
2018-01-26T01:04:26.416Z,21.7,,,,,,0
2018-01-26T01:04:36.405Z,21.7,,,,,,0
2018-01-26T01:04:46.534Z,21.7,,,,,,0
2018-01-26T01:04:56.407Z,21.7,,,,,,0
2018-01-26T01:05:06.405Z,21.7,,,,,,0
2018-01-26T01:05:16.404Z,21.7,,,,,,0
2018-01-26T01:05:26.405Z,21.7,,,,,,0
2018-01-26T01:05:36.406Z,21.7,,,,,,0
2018-01-26T01:05:46.497Z,21.7,,,,,,0
2018-01-26T01:05:56.408Z,21.7,,,,,,0
2018-01-26T01:06:06.405Z,21.7,,,,,,0
2018-01-26T01:06:16.407Z,21.7,,,,,,0
2018-01-26T01:06:26.405Z,21.7,,,,,,0
2018-01-26T01:06:36.405Z,21.7,,,,,33.7,0
2018-01-26T01:06:46.516Z,21.7,0,0,5,0,33.7,0
2018-01-26T01:06:56.405Z,21.6,,,,,,0
2018-01-26T01:07:06.405Z,21.7,,,,,,0
2018-01-26T01:07:16.405Z,21.6,,,,,,0
2018-01-26T01:07:26.405Z,21.6,,,,,,0
2018-01-26T01:07:36.407Z,21.6,,,,,,0
2018-01-26T01:07:46.517Z,21.6,,,,,,0
2018-01-26T01:07:56.420Z,21.6,,,,,,0
2018-01-26T01:08:06.405Z,21.6,,,,,,0
2018-01-26T01:08:16.405Z,21.6,,,,,,0
2018-01-26T01:08:26.410Z,21.6,,,,,33.6,0
2018-01-26T01:08:36.408Z,21.6,,,,,33.7,0
2018-01-26T01:08:46.500Z,21.6,,,,,,0
2018-01-26T01:08:56.405Z,21.6,,,,,,0
2018-01-26T01:09:06.406Z,21.6,,,,,33.6,0
2018-01-26T01:09:16.410Z,21.6,,,,,,0
2018-01-26T01:09:26.409Z,21.6,,,,,,0
2018-01-26T01:09:36.407Z,21.6,,,,,,0
2018-01-26T01:09:46.516Z,21.6,,,,,,0
2018-01-26T01:09:56.406Z,21.6,,,,,,0
2018-01-26T01:10:06.468Z,21.6,,,,,,0
2018-01-26T01:10:16.405Z,21.6,,,,,,0
2018-01-26T01:10:26.407Z,21.6,,,,,,0
2018-01-26T01:10:36.410Z,21.6,,,,,,0
2018-01-26T01:10:46.516Z,21.6,,,,,33.5,0
2018-01-26T01:10:56.405Z,21.6,,,,,33.6,0
2018-01-26T01:11:06.407Z,21.6,,,,,33.5,0
2018-01-26T01:11:16.413Z,21.6,,,,,,0
2018-01-26T01:11:26.415Z,21.6,,,,,,0
2018-01-26T01:11:36.409Z,21.6,,,,,,0
2018-01-26T01:11:46.526Z,21.6,,,,,,0
2018-01-26T01:11:56.571Z,21.6,,,,,,0
2018-01-26T01:12:06.410Z,21.5,,,,,,0
2018-01-26T01:12:16.410Z,21.5,,,,,,0
2018-01-26T01:12:26.406Z,21.5,,,,,,0
2018-01-26T01:12:36.408Z,21.5,,,,,,0
2018-01-26T01:12:46.502Z,21.5,,,,,,0
2018-01-26T01:12:56.408Z,21.5,,,,,,0
2018-01-26T01:13:06.406Z,21.5,,,,,33.4,0
2018-01-26T01:13:16.407Z,21.5,,,,,,0
2018-01-26T01:13:26.416Z,21.5,,,,,,0
2018-01-26T01:13:36.407Z,21.5,,,,,,0
2018-01-26T01:13:46.499Z,21.5,,,,,,0
2018-01-26T01:13:56.406Z,21.5,,,,,,0
2018-01-26T01:14:06.406Z,21.5,,,,,,0
2018-01-26T01:14:16.415Z,21.5,,,,,,0
2018-01-26T01:14:26.407Z,21.5,,,,,,0
2018-01-26T01:14:36.518Z,21.5,,,,,,0
2018-01-26T01:14:46.528Z,21.5,,,,,,0
2018-01-26T01:14:56.406Z,21.5,,,,,,0
2018-01-26T01:15:06.406Z,21.5,,,,,,0
