Time,ChActive,HwActive,ActPow,PrimTSet,PrimT,HwTSet,HwTOutlet
2017-12-24T00:40:30.532Z,,,,,,0,24.4
2017-12-24T00:40:40.533Z,,,,,,0,24.4
2017-12-24T00:40:50.537Z,,,,,,0,24.4
2017-12-24T00:41:00.533Z,,,,,,0,24.4
2017-12-24T00:41:10.533Z,,,,,36.2,0,24.4
2017-12-24T00:41:20.534Z,,,,,,0,24.4
2017-12-24T00:41:30.534Z,,,,,,0,24.3
2017-12-24T00:41:40.532Z,,,,,,0,24.3
2017-12-24T00:41:50.532Z,,,,,,0,24.3
2017-12-24T00:42:00.532Z,,,,,,0,24.3
2017-12-24T00:42:10.536Z,,,,,,0,24.3
2017-12-24T00:42:20.534Z,,,,,,0,24.3
2017-12-24T00:42:30.535Z,,,,,,0,24.3
2017-12-24T00:42:40.534Z,,,,,,0,24.3
2017-12-24T00:42:50.540Z,,,,,,0,24.3
2017-12-24T00:43:00.532Z,,,,,,0,24.3
2017-12-24T00:43:10.535Z,,,,,36.1,0,24.3
2017-12-24T00:43:20.532Z,,,,,,0,24.3
2017-12-24T00:43:30.535Z,,,,,,0,24.2
2017-12-24T00:43:40.537Z,,,,,,0,24.2
2017-12-24T00:43:50.535Z,,,,,,0,24.2
2017-12-24T00:44:00.532Z,,,,,,0,24.2
2017-12-24T00:44:10.536Z,,,,,,0,24.2
2017-12-24T00:44:20.539Z,,,,,,0,24.2
2017-12-24T00:44:30.535Z,,,,,,0,24.2
2017-12-24T00:44:40.536Z,,,,,,0,24.2
2017-12-24T00:44:50.533Z,,,,,,0,24.2
2017-12-24T00:45:00.535Z,,,,,36,0,24.2
2017-12-24T00:45:10.533Z,,,,,,0,24.2
2017-12-24T00:45:20.533Z,,,,,,0,24.2
2017-12-24T00:45:30.533Z,,,,,,0,24.2
2017-12-24T00:45:40.532Z,,,,,,0,24.2
2017-12-24T00:45:50.536Z,,,,,,0,24
2017-12-24T00:46:00.533Z,,,,,,0,24
2017-12-24T00:46:10.539Z,,,,,,0,24
2017-12-24T00:46:20.532Z,,,,,,0,24
2017-12-24T00:46:30.750Z,,,,,,0,24
2017-12-24T00:46:40.534Z,,,,,,0,24
2017-12-24T00:46:50.533Z,,,,,36,0,24
2017-12-24T00:47:00.534Z,,,,,35.9,0,24
2017-12-24T00:47:10.533Z,,,,,35.9,0,24
2017-12-24T00:47:20.533Z,,,,,,0,24
2017-12-24T00:47:30.538Z,,,,,,0,24
2017-12-24T00:47:40.534Z,,,,,,0,24
2017-12-24T00:47:50.533Z,,,,,,0,24
2017-12-24T00:48:05.643Z,,,,,,0,23.9
2017-12-24T00:48:10.533Z,,,,,,0,23.9
2017-12-24T00:48:20.533Z,,,,,,0,23.9
2017-12-24T00:48:30.533Z,,,,,,0,23.9
2017-12-24T00:48:40.538Z,,,,,,0,23.9
2017-12-24T00:48:50.535Z,,,,,,0,23.9
2017-12-24T00:49:00.533Z,,,,,,0,23.9
2017-12-24T00:49:10.538Z,,,,,35.8,0,23.9
2017-12-24T00:49:20.539Z,,,,,,0,23.9
2017-12-24T00:49:30.534Z,,,,,,0,23.9
2017-12-24T00:49:40.535Z,,,,,,0,23.9
2017-12-24T00:49:50.533Z,,,,,,0,23.9
2017-12-24T00:50:00.533Z,,,,,,0,23.9
2017-12-24T00:50:10.534Z,,,,,,0,23.8
2017-12-24T00:50:20.533Z,,,,,,0,23.8
2017-12-24T00:50:30.533Z,,,,,,0,23.8
2017-12-24T00:50:40.534Z,,,,,,0,23.8
2017-12-24T00:50:50.533Z,,,,,,0,23.8
2017-12-24T00:51:00.534Z,,,,,,0,23.8
2017-12-24T00:51:10.542Z,,,,,35.7,0,23.8
2017-12-24T00:51:20.533Z,,,,,,0,23.8
2017-12-24T00:51:30.534Z,,,,,,0,23.8
2017-12-24T00:51:40.534Z,,,,,,0,23.8
2017-12-24T00:51:50.534Z,,,,,,0,23.8
2017-12-24T00:52:00.534Z,,,,,,0,23.8
2017-12-24T00:52:10.534Z,,,,,,0,23.8
2017-12-24T00:52:20.539Z,,,,,,0,23.8
2017-12-24T00:52:30.535Z,,,,,,0,23.7
2017-12-24T00:52:40.536Z,,,,,,0,23.7
2017-12-24T00:52:50.534Z,,,,,,0,23.7
2017-12-24T00:53:00.535Z,,,,,35.6,0,23.7
2017-12-24T00:53:10.535Z,,,,,,0,23.7
2017-12-24T00:53:20.534Z,,,,,,0,23.7
2017-12-24T00:53:30.534Z,,,,,,0,23.7
2017-12-24T00:53:40.536Z,,,,,,0,23.7
2017-12-24T00:53:50.534Z,,,,,,0,23.7
2017-12-24T00:54:00.538Z,,,,,,0,23.7
2017-12-24T00:54:10.534Z,,,,,,0,23.7
2017-12-24T00:54:20.537Z,,,,,,0,23.7
2017-12-24T00:54:30.534Z,,,,,,0,23.7
2017-12-24T00:54:40.534Z,,,,,,0,23.7
2017-12-24T00:54:50.536Z,,,,,,0,23.7
2017-12-24T00:55:00.536Z,,,,,,0,23.7
2017-12-24T00:55:10.535Z,,,,,35.5,0,23.6
2017-12-24T00:55:20.534Z,,,,,,0,23.6
2017-12-24T00:55:30.534Z,,,,,,0,23.6
2017-12-24T00:55:40.535Z,,,,,,0,23.6
2017-12-24T00:55:50.537Z,,,,,,0,23.6
2017-12-24T00:56:00.534Z,,,,,,0,23.6
2017-12-24T00:56:10.534Z,,,,,,0,23.6
2017-12-24T00:56:20.540Z,,,,,,0,23.6
2017-12-24T00:56:30.540Z,,,,,,0,23.6
2017-12-24T00:56:40.536Z,,,,,,0,23.6
2017-12-24T00:56:50.534Z,,,,,,0,23.6
2017-12-24T00:57:00.534Z,,,,,,0,23.6
2017-12-24T00:57:10.535Z,,,,,35.4,0,23.6
2017-12-24T00:57:20.534Z,,,,,,0,23.6
2017-12-24T00:57:30.733Z,,,,,,0,23.6
2017-12-24T00:57:40.537Z,,,,,,0,23.4
2017-12-24T00:57:50.534Z,,,,,,0,23.4
2017-12-24T00:58:00.534Z,,,,,,0,23.4
2017-12-24T00:58:10.534Z,,,,,,0,23.4
2017-12-24T00:58:20.537Z,,,,,,0,23.4
2017-12-24T00:58:30.535Z,,,,,,0,23.4
2017-12-24T00:58:40.535Z,,,,,,0,23.4
2017-12-24T00:58:50.537Z,,,,,,0,23.4
2017-12-24T00:59:00.544Z,,,,,,0,23.4
2017-12-24T00:59:10.535Z,,,,,,0,23.4
2017-12-24T00:59:20.535Z,,,,,,0,23.4
2017-12-24T00:59:30.536Z,,,,,35.3,0,23.4
2017-12-24T00:59:40.546Z,,,,,,0,23.4
2017-12-24T00:59:50.536Z,,,,,,0,23.4
2017-12-24T01:00:00.535Z,,,,,,0,23.4
2017-12-24T01:00:10.534Z,,,,,,0,23.4
2017-12-24T01:00:20.535Z,,,,,,0,23.4
2017-12-24T01:00:30.535Z,,,,,,0,23.3
2017-12-24T01:00:40.535Z,,,,,,0,23.4
2017-12-24T01:00:50.536Z,,,,,,0,23.3
2017-12-24T01:01:00.541Z,,,,,,0,23.3
2017-12-24T01:01:10.535Z,,,,,,0,23.3
2017-12-24T01:01:20.535Z,,,,,,0,23.3
2017-12-24T01:01:30.535Z,,,,,35.2,0,23.3
2017-12-24T01:01:40.536Z,,,,,,0,23.3
2017-12-24T01:01:50.536Z,,,,,,0,23.3
2017-12-24T01:02:00.539Z,,,,,,0,23.3
2017-12-24T01:02:10.536Z,,,,,,0,23.3
2017-12-24T01:02:20.536Z,,,,,,0,23.3
2017-12-24T01:02:30.536Z,,,,,,0,23.3
