Time,HwActive,PrimT,ActPow,HwTSet,HwTOutlet,ChActive,PrimTSet
2017-11-08T00:31:28.594Z,,,,0,24.9,,
2017-11-08T00:31:38.406Z,,,,0,24.8,,
2017-11-08T00:31:48.404Z,,,,0,24.8,,
2017-11-08T00:31:58.404Z,,,,0,24.8,,
2017-11-08T00:32:08.407Z,,,,0,24.8,,
2017-11-08T00:32:18.452Z,,,,0,24.8,,
2017-11-08T00:32:28.574Z,,,,0,24.8,,
2017-11-08T00:32:43.626Z,,,,0,24.8,,
2017-11-08T00:32:48.411Z,,40.7,,0,24.8,,
2017-11-08T00:32:58.405Z,,,,0,24.7,,
2017-11-08T00:33:08.405Z,,,,0,24.8,,
2017-11-08T00:33:18.404Z,,,,0,24.7,,
2017-11-08T00:33:28.624Z,,,,0,24.7,,
2017-11-08T00:33:38.411Z,,,,0,24.7,,
2017-11-08T00:33:48.411Z,,,,0,24.7,,
2017-11-08T00:33:58.405Z,,,,0,24.7,,
2017-11-08T00:34:08.405Z,,40.6,,0,24.7,,
2017-11-08T00:34:18.408Z,,,,0,24.7,,
2017-11-08T00:34:28.606Z,,,,0,24.7,,
2017-11-08T00:34:38.410Z,,,,0,24.7,,
2017-11-08T00:34:48.406Z,,,,0,24.7,,
2017-11-08T00:34:58.405Z,,,,0,24.7,,
2017-11-08T00:35:08.409Z,,,,0,24.5,,
2017-11-08T00:35:18.404Z,,,,0,24.5,,
2017-11-08T00:35:28.556Z,,,,0,24.5,,
2017-11-08T00:35:38.594Z,,40.5,,0,24.5,,
2017-11-08T00:35:53.599Z,,,,0,24.5,,
2017-11-08T00:35:58.405Z,,,,0,24.5,,
2017-11-08T00:36:08.405Z,,,,0,24.5,,
2017-11-08T00:36:18.468Z,,,,0,24.5,,
2017-11-08T00:36:28.595Z,,,,0,24.5,,
2017-11-08T00:36:38.413Z,,,,0,24.5,,
2017-11-08T00:36:48.405Z,,,,0,24.4,,
2017-11-08T00:36:58.413Z,,,,0,24.4,,
2017-11-08T00:37:08.644Z,,40.4,,0,24.4,,
2017-11-08T00:37:18.408Z,,,,0,24.4,,
2017-11-08T00:37:28.640Z,,,,0,24.4,,
2017-11-08T00:37:38.414Z,,,,0,24.4,,
2017-11-08T00:37:48.410Z,,,,0,24.4,,
2017-11-08T00:37:58.406Z,,,,0,24.4,,
2017-11-08T00:38:08.422Z,,,,0,24.4,,
2017-11-08T00:38:18.421Z,,,,0,24.4,,
2017-11-08T00:38:28.535Z,,,,0,24.3,,
2017-11-08T00:38:38.406Z,,,,0,24.4,,
2017-11-08T00:38:48.406Z,,40.3,,0,24.3,,
2017-11-08T00:38:58.407Z,,,,0,24.3,,
2017-11-08T00:39:08.410Z,,,,0,24.3,,
2017-11-08T00:39:18.617Z,,,,0,24.3,,
2017-11-08T00:39:28.486Z,,,,0,24.3,,
2017-11-08T00:39:38.407Z,,,,0,24.3,,
2017-11-08T00:39:53.428Z,,,,0,24.3,,
2017-11-08T00:39:58.407Z,,,,0,24.3,,
2017-11-08T00:40:08.409Z,,,,0,24.3,,
2017-11-08T00:40:18.408Z,,40.2,,0,24.3,,
2017-11-08T00:40:28.495Z,,,,0,24.3,,
2017-11-08T00:40:38.408Z,,,,0,24.3,,
2017-11-08T00:40:48.405Z,,,,0,24.2,,
2017-11-08T00:40:58.405Z,,,,0,24.2,,
2017-11-08T00:41:08.409Z,,,,0,24.2,,
2017-11-08T00:41:18.409Z,,,,0,24.2,,
2017-11-08T00:41:28.496Z,,,,0,24.2,,
2017-11-08T00:41:38.408Z,,40.1,,0,24.2,,
2017-11-08T00:41:48.406Z,,,,0,24.2,,
2017-11-08T00:41:58.409Z,,,,0,24.2,,
2017-11-08T00:42:08.409Z,,,,0,24.2,,
2017-11-08T00:42:23.430Z,,,,0,24.2,,
2017-11-08T00:42:28.495Z,,,,0,24.2,,
