Time,HwTSet,ChActive,HwTOutlet,ActPow,PrimT,HwActive,PrimTSet
2017-11-03T00:33:22.314Z,0,,28,29,41.4,,
2017-11-03T00:33:32.310Z,0,,28,,41.6,,
2017-11-03T00:33:42.312Z,0,,28,30,42,,
2017-11-03T00:33:52.311Z,0,,28,,42.6,,
2017-11-03T00:34:02.310Z,0,,28,,43,,
2017-11-03T00:34:12.314Z,0,,28,,43.4,,
2017-11-03T00:34:22.311Z,0,,28,,44,,
2017-11-03T00:34:32.311Z,0,,28,,44.1,,
2017-11-03T00:34:42.311Z,0,,28,,44.2,,
2017-11-03T00:34:52.313Z,0,,28,,44.4,,
2017-11-03T00:35:02.313Z,0,,28,,44.7,,
2017-11-03T00:35:12.311Z,0,,28,,45.1,,
2017-11-03T00:35:22.316Z,0,,28,29,45.4,,
2017-11-03T00:35:32.314Z,0,,28,30,45.6,,
2017-11-03T00:35:42.311Z,0,,28,29,46,,
2017-11-03T00:35:52.311Z,0,,28,,46.1,,
2017-11-03T00:36:02.315Z,0,,28,,46.3,,
2017-11-03T00:36:12.311Z,0,,28,30,46.6,,
2017-11-03T00:36:22.312Z,0,,28,29,47,,
2017-11-03T00:36:32.311Z,0,,28,30,47.2,,
2017-11-03T00:36:42.477Z,0,,28,29,47.4,,
2017-11-03T00:36:52.311Z,0,,28,30,47.8,,
2017-11-03T00:37:02.314Z,0,,28,29,48.1,,
2017-11-03T00:37:12.317Z,0,,28,,48.3,,
2017-11-03T00:37:22.317Z,0,,28,,48.6,,
2017-11-03T00:37:32.313Z,0,,28,30,48.8,,
2017-11-03T00:37:42.312Z,0,1,28.1,0,47.7,0,
2017-11-03T00:37:52.312Z,0,,28.1,,44.8,,
2017-11-03T00:38:02.311Z,0,,28.1,,43.9,,
2017-11-03T00:38:12.311Z,0,,28.1,,43.5,,
2017-11-03T00:38:22.311Z,0,,28.1,,43.4,,
2017-11-03T00:38:32.317Z,0,,28.1,,43.5,,
2017-11-03T00:38:42.312Z,0,,28.1,,43.7,,
2017-11-03T00:38:52.482Z,0,,28.1,,43.8,,
2017-11-03T00:39:02.312Z,0,,28.3,,,,
2017-11-03T00:39:12.311Z,0,,28.3,,43.9,,
2017-11-03T00:39:22.312Z,0,,28.3,,,,
