Time,PrimTSet,PrimT,HwActive,ChActive,HwTSet,ActPow,HwTOutlet
2017-11-06T00:46:37.032Z,,,,,0,,25.4
2017-11-06T00:46:48.375Z,,,,,0,,25.4
2017-11-06T00:46:57.031Z,,,,,0,,25.4
2017-11-06T00:47:07.011Z,,,,,0,,25.4
2017-11-06T00:47:16.996Z,,42.2,,,0,,25.4
2017-11-06T00:47:26.986Z,,,,,0,,25.4
2017-11-06T00:47:36.980Z,,,,,0,,25.3
2017-11-06T00:47:47.011Z,,,,,0,,25.3
2017-11-06T00:47:56.985Z,,,,,0,,25.3
2017-11-06T00:48:06.987Z,,,,,0,,25.3
2017-11-06T00:48:16.981Z,,,,,0,,25.3
2017-11-06T00:48:27.523Z,,,,,0,,25.3
2017-11-06T00:48:36.990Z,,,,,0,,25.3
2017-11-06T00:48:47.965Z,,42.1,,,0,,25.3
2017-11-06T00:48:57.102Z,,,,,0,,25.3
2017-11-06T00:49:06.983Z,,,,,0,,25.1
2017-11-06T00:49:17.627Z,,,,,0,,25.1
2017-11-06T00:49:26.998Z,,,,,0,,25.1
2017-11-06T00:49:37.020Z,,,,,0,,25.1
2017-11-06T00:49:46.995Z,,,,,0,,25.1
2017-11-06T00:49:56.981Z,,,,,0,,25.1
2017-11-06T00:50:06.982Z,,42,,,0,,25.1
2017-11-06T00:50:16.991Z,,,,,0,,25.1
2017-11-06T00:50:26.985Z,,,,,0,,25.1
2017-11-06T00:50:36.981Z,,,,,0,,25.1
2017-11-06T00:50:46.989Z,,,,,0,,25
2017-11-06T00:50:57.003Z,,,,,0,,25
2017-11-06T00:51:06.987Z,,,,,0,,25
2017-11-06T00:51:16.988Z,,,,,0,,25
2017-11-06T00:51:27.019Z,,42,,,0,,25
2017-11-06T00:51:37.178Z,,41.9,,,0,,25
2017-11-06T00:51:46.982Z,,,,,0,,25
2017-11-06T00:51:57.014Z,,,,,0,,25
2017-11-06T00:52:07.057Z,,,,,0,,25
2017-11-06T00:52:16.983Z,,,,,0,,25
2017-11-06T00:52:26.981Z,,,,,0,,24.9
2017-11-06T00:52:36.997Z,,,,,0,,24.9
2017-11-06T00:52:46.992Z,,,,,0,,24.9
2017-11-06T00:52:56.990Z,,41.8,,,0,,24.9
2017-11-06T00:53:06.991Z,,,,,0,,24.9
2017-11-06T00:53:16.996Z,,,,,0,,24.9
2017-11-06T00:53:26.990Z,,,,,0,,24.9
2017-11-06T00:53:36.982Z,,,,,0,,24.9
2017-11-06T00:53:47.066Z,,,,,0,,24.9
2017-11-06T00:53:56.982Z,,,,,0,,24.9
2017-11-06T00:54:07.017Z,,,,,0,,24.8
2017-11-06T00:54:16.982Z,,41.7,,,0,,24.8
2017-11-06T00:54:27.041Z,,,,,0,,24.8
2017-11-06T00:54:37.064Z,,,,,0,,24.8
2017-11-06T00:54:46.989Z,,,,,0,,24.8
2017-11-06T00:54:56.990Z,,,,,0,,24.8
2017-11-06T00:55:06.986Z,,,,,0,,24.8
2017-11-06T00:55:16.996Z,,,,,0,,24.8
2017-11-06T00:55:26.987Z,,,,,0,,24.8
2017-11-06T00:55:36.983Z,,41.6,,,0,,24.7
2017-11-06T00:55:46.988Z,,,,,0,,24.8
2017-11-06T00:55:56.982Z,,,,,0,,24.7
2017-11-06T00:56:06.982Z,,,,,0,,24.7
2017-11-06T00:56:16.987Z,,,,,0,,24.7
2017-11-06T00:56:26.992Z,,,,,0,,24.7
2017-11-06T00:56:36.995Z,,,,,0,,24.7
2017-11-06T00:56:47.000Z,,,,,0,,24.7
2017-11-06T00:56:56.987Z,,,,,0,,24.7
2017-11-06T00:57:07.029Z,,41.5,,,0,,24.7
2017-11-06T00:57:18.421Z,,,,,0,,24.7
2017-11-06T00:57:26.988Z,,,,,0,,24.7
2017-11-06T00:57:37.052Z,,,,,0,,24.7
2017-11-06T00:57:46.983Z,,,,,0,,24.5
2017-11-06T00:57:56.983Z,,,,,0,,24.5
2017-11-06T00:58:06.985Z,,,,,0,,24.5
2017-11-06T00:58:16.983Z,,,,,0,,24.5
2017-11-06T00:58:26.983Z,,,,,0,,24.5
2017-11-06T00:58:36.985Z,,41.4,,,0,,24.5
2017-11-06T00:58:46.983Z,,,,,0,,24.5
2017-11-06T00:58:56.983Z,,,,,0,,24.5
2017-11-06T00:59:06.984Z,,,,,0,,24.5
2017-11-06T00:59:16.983Z,,,,,0,,24.5
2017-11-06T00:59:26.985Z,,,,,0,,24.4
2017-11-06T00:59:36.984Z,,,,,0,,24.4
2017-11-06T00:59:47.086Z,,,,,0,,24.4
2017-11-06T00:59:56.985Z,,41.3,,,0,,24.4
2017-11-06T01:00:06.992Z,,,,,0,,24.4
2017-11-06T01:00:16.983Z,,,,,0,,24.4
2017-11-06T01:00:26.983Z,,,,,0,,24.4
2017-11-06T01:00:36.983Z,,,,,0,,24.4
2017-11-06T01:00:46.986Z,5,41.3,0,0,0,0,24.4
2017-11-06T01:00:56.983Z,,,,,0,,24.4
2017-11-06T01:01:06.992Z,,,,,0,,24.4
2017-11-06T01:01:16.983Z,,,,,0,,24.3
2017-11-06T01:01:26.983Z,,41.2,,,0,,24.3
2017-11-06T01:01:36.988Z,,,,,0,,24.3
2017-11-06T01:01:46.989Z,,,,,0,,24.3
2017-11-06T01:01:56.992Z,,,,,0,,24.3
2017-11-06T01:02:07.018Z,,,,,0,,24.3
2017-11-06T01:02:16.983Z,,,,,0,,24.3
2017-11-06T01:02:26.984Z,,,,,0,,24.3
2017-11-06T01:02:36.983Z,,,,,0,,24.3
2017-11-06T01:02:46.984Z,,,,,0,,24.3
2017-11-06T01:02:56.983Z,,41.1,,,0,,24.3
2017-11-06T01:03:06.991Z,,,,,0,,24.2
2017-11-06T01:03:16.983Z,,,,,0,,24.2
2017-11-06T01:03:27.000Z,,,,,0,,24.2
2017-11-06T01:03:37.229Z,,,,,0,,24.2
2017-11-06T01:03:46.995Z,,,,,0,,24.2
2017-11-06T01:03:56.989Z,,,,,0,,24.2
2017-11-06T01:04:07.002Z,,41,,,0,,24.2
2017-11-06T01:04:16.986Z,,41.1,,,0,,24.2
2017-11-06T01:04:26.986Z,,41,,,0,,24.2
2017-11-06T01:04:36.984Z,,,,,0,,24.2
2017-11-06T01:04:46.990Z,,,,,0,,24.2
2017-11-06T01:04:56.992Z,,,,,0,,24.2
2017-11-06T01:05:06.986Z,,,,,0,,24.2
2017-11-06T01:05:16.993Z,,,,,0,,24
2017-11-06T01:05:26.987Z,,,,,0,,24
2017-11-06T01:05:36.989Z,,41,,,0,,24
2017-11-06T01:05:46.997Z,,40.9,,,0,,24
2017-11-06T01:05:56.988Z,,,,,0,,24
