Time,HwActive,ActPow,ChActive,PrimT,HwTSet,PrimTSet,HwTOutlet
2017-11-25T00:28:36.235Z,,,,58.4,0,,30.3
2017-11-25T00:28:46.235Z,,29,,58.5,0,,30.3
2017-11-25T00:28:56.319Z,,30,,,0,,30.4
2017-11-25T00:29:06.235Z,,29,,,0,,30.4
2017-11-25T00:29:16.234Z,,,,,0,,30.4
2017-11-25T00:29:26.235Z,,,,58.7,0,,30.4
2017-11-25T00:29:36.234Z,,30,,59,0,,30.4
2017-11-25T00:29:46.235Z,,29,,59.6,0,,30.4
2017-11-25T00:29:56.325Z,,29,,60.4,0,,30.6
2017-11-25T00:30:06.235Z,,30,,60.8,0,,30.6
2017-11-25T00:30:16.235Z,0,0,2,58.7,0,,30.6
2017-11-25T00:30:26.235Z,0,0,2,55.7,0,57,30.6
2017-11-25T00:30:36.236Z,,,,53.9,0,,30.7
2017-11-25T00:30:46.235Z,,,,53.3,0,,30.7
2017-11-25T00:30:56.325Z,,,,52.8,0,,30.7
2017-11-25T00:31:06.240Z,,,,52.7,0,,30.7
2017-11-25T00:31:16.390Z,,,,52.6,0,,30.7
2017-11-25T00:31:26.236Z,,,,,0,,30.8
2017-11-25T00:31:36.235Z,,,,,0,,30.8
2017-11-25T00:31:46.235Z,,,,52.4,0,,30.8
2017-11-25T00:31:56.316Z,,,,52.3,0,,30.8
2017-11-25T00:32:06.235Z,,,,52.2,0,,30.8
2017-11-25T00:32:16.237Z,,,,52.1,0,,30.9
2017-11-25T00:32:26.236Z,,,,51.8,0,,30.9
2017-11-25T00:32:36.240Z,,,,51.4,0,,30.9
2017-11-25T00:32:46.235Z,0,,2,50.6,0,,30.9
2017-11-25T00:32:56.320Z,,38,,55.2,0,,30.9
2017-11-25T00:33:06.244Z,,30,,58,0,,30.9
2017-11-25T00:33:16.240Z,,,,58.3,0,,31
2017-11-25T00:33:26.239Z,,29,,58.5,0,,31
2017-11-25T00:33:36.413Z,,30,,58.6,0,,31
2017-11-25T00:33:46.244Z,,,,58.7,0,,31
2017-11-25T00:33:56.326Z,,,,,0,,31
2017-11-25T00:34:06.238Z,,,,,0,,31.2
2017-11-25T00:34:16.239Z,,,,58.8,0,,31
2017-11-25T00:34:26.238Z,,30,,58.9,0,,31.2
2017-11-25T00:34:36.237Z,,30,,59,0,,31.2
2017-11-25T00:34:46.237Z,,,,59.1,0,,31.2
2017-11-25T00:34:56.325Z,,29,,59.5,0,,31.2
2017-11-25T00:35:06.238Z,,29,,60,0,,31.3
2017-11-25T00:35:16.236Z,,,,60.4,0,,31.3
2017-11-25T00:35:26.238Z,,29,,61.1,0,,31.3
2017-11-25T00:35:36.248Z,0,0,2,58.6,0,,31.3
2017-11-25T00:35:46.236Z,,,,55.7,0,,31.3
2017-11-25T00:35:56.316Z,,,,54.4,0,,31.3
2017-11-25T00:36:06.241Z,,,,53.5,0,,31.4
2017-11-25T00:36:16.242Z,,,,53.1,0,,31.4
2017-11-25T00:36:26.239Z,,,,53,0,,31.4
2017-11-25T00:36:36.240Z,,,,,0,,31.4
2017-11-25T00:36:46.237Z,,,,53.1,0,,31.4
2017-11-25T00:36:56.317Z,,,,,0,,31.5
2017-11-25T00:37:06.236Z,,,,53,0,,31.5
2017-11-25T00:37:16.236Z,,,,,0,,31.5
2017-11-25T00:37:26.236Z,,,,52.9,0,,31.5
2017-11-25T00:37:36.237Z,,,,,0,,31.5
2017-11-25T00:37:46.236Z,,,,52.7,0,,31.5
2017-11-25T00:37:56.316Z,,,,52.3,0,,31.6
2017-11-25T00:38:06.236Z,,,,51.9,0,,31.6
2017-11-25T00:38:16.240Z,,,,51.4,0,,31.6
2017-11-25T00:38:26.471Z,,,,51.1,0,,31.6
2017-11-25T00:38:36.253Z,0,42,2,52.6,0,,31.6
2017-11-25T00:38:46.238Z,,30,,58.2,0,,31.6
2017-11-25T00:38:56.319Z,,29,,59,0,,31.6
2017-11-25T00:39:06.236Z,,,,59.5,0,,31.8
2017-11-25T00:39:16.240Z,,30,,60,0,,31.8
2017-11-25T00:39:26.239Z,0,0,0,58.6,0,5,31.8
2017-11-25T00:39:36.250Z,0,45,2,54.8,0,57,31.8
2017-11-25T00:39:46.278Z,0,0,0,58.6,0,5,31.8
2017-11-25T00:39:56.319Z,,,,53.9,0,,31.8
2017-11-25T00:40:06.236Z,,,,52.6,0,,31.8
2017-11-25T00:40:16.237Z,,,,51.5,0,,31.8
2017-11-25T00:40:26.239Z,,,,50.7,0,,31.9
2017-11-25T00:40:36.237Z,,,,50.3,0,,31.9
2017-11-25T00:40:46.237Z,,,,50.2,0,,31.9
2017-11-25T00:40:56.327Z,,,,50.4,0,,31.9
2017-11-25T00:41:06.237Z,,,,50.7,0,,31.9
2017-11-25T00:41:16.240Z,,,,51.2,0,,31.9
2017-11-25T00:41:26.238Z,,,,51.5,0,,31.9
2017-11-25T00:41:36.241Z,,,,51.6,0,,32
2017-11-25T00:41:46.237Z,,,,51.7,0,,32
2017-11-25T00:41:56.317Z,,,,51.5,0,,32
2017-11-25T00:42:06.236Z,,,,51.2,0,,32
2017-11-25T00:42:16.240Z,,,,50.7,0,,32
2017-11-25T00:42:26.242Z,,,,50.2,0,,32
2017-11-25T00:42:36.242Z,,,,49.7,0,,32
2017-11-25T00:42:46.241Z,,,,49.4,0,,32
2017-11-25T00:42:56.321Z,,,,49.3,0,,32
2017-11-25T00:43:06.237Z,,,,,0,,32
2017-11-25T00:43:16.241Z,,,,49.2,0,,32.1
2017-11-25T00:43:26.240Z,,,,,0,,32
2017-11-25T00:43:36.238Z,,,,49.1,0,,32.1
2017-11-25T00:43:46.238Z,,,,,0,,32.1
2017-11-25T00:43:56.329Z,,,,49,0,,32.1
2017-11-25T00:44:06.237Z,,,,,0,,32.1
2017-11-25T00:44:16.238Z,,,,,0,,32.1
2017-11-25T00:44:26.237Z,,,,48.9,0,,32.1
2017-11-25T00:44:36.237Z,,,,,0,,32.1
2017-11-25T00:44:46.243Z,,,,,0,,32.1
2017-11-25T00:44:56.322Z,,,,48.8,0,,32.1
2017-11-25T00:45:06.255Z,,,,,0,,32.1
2017-11-25T00:45:16.237Z,,,,,0,,32.1
2017-11-25T00:45:26.462Z,,,,,0,,32.1
2017-11-25T00:45:36.238Z,,,,,0,,32.1
2017-11-25T00:45:46.238Z,,,,,0,,32.1
2017-11-25T00:45:56.323Z,,,,48.7,0,,32.1
2017-11-25T00:46:06.237Z,,,,,0,,32.1
2017-11-25T00:46:16.238Z,,,,48.8,0,,32.1
2017-11-25T00:46:26.243Z,,,,,0,,32.1
2017-11-25T00:46:36.241Z,,,,,0,,32.1
2017-11-25T00:46:46.238Z,,,,,0,,32.1
2017-11-25T00:46:56.322Z,,,,,0,,32.1
2017-11-25T00:47:06.242Z,,,,,0,,32.1
2017-11-25T00:47:16.239Z,,,,,0,,32.1
2017-11-25T00:47:26.238Z,,,,,0,,32.1
2017-11-25T00:47:36.248Z,,,,,0,,32.1
2017-11-25T00:47:46.241Z,,,,,0,,32.1
2017-11-25T00:47:56.318Z,,,,,0,,32.1
2017-11-25T00:48:06.241Z,,,,,0,,32.1
2017-11-25T00:48:16.256Z,,,,,0,,32.1
2017-11-25T00:48:26.239Z,,,,,0,,32.1
2017-11-25T00:48:36.254Z,,,,,0,,32
2017-11-25T00:48:46.238Z,,,,48.7,0,,32
2017-11-25T00:48:56.328Z,,,,,0,,32
2017-11-25T00:49:06.238Z,,,,,0,,32
2017-11-25T00:49:16.238Z,,,,,0,,32
2017-11-25T00:49:26.238Z,,,,,0,,32
