Time,ActPow,PrimTSet,HwTSet,HwTOutlet,ChActive,PrimT,HwActive
2017-12-29T00:35:02.556Z,,,0,15,,,
2017-12-29T00:35:12.555Z,,,0,15,,,
2017-12-29T00:35:32.556Z,,,0,15,,,
2017-12-29T00:35:42.556Z,,,0,15,,,
2017-12-29T00:35:52.558Z,,,0,15,,,
2017-12-29T00:36:02.556Z,,,0,15,,,
2017-12-29T00:36:12.556Z,,,0,15,,,
2017-12-29T00:36:32.555Z,,,0,15,,,
2017-12-29T00:36:42.556Z,,,0,15,,,
2017-12-29T00:36:52.740Z,,,0,15,,,
2017-12-29T00:37:02.555Z,,,0,15,,,
2017-12-29T00:37:12.555Z,,,0,15,,,
2017-12-29T00:37:22.556Z,,,0,15,,,
2017-12-29T00:37:32.555Z,,,0,15,,,
2017-12-29T00:37:42.556Z,,,0,15,,,
2017-12-29T00:37:52.556Z,,,0,15,,,
2017-12-29T00:38:02.556Z,,,0,15,,,
2017-12-29T00:38:22.556Z,,,0,15,,,
2017-12-29T00:38:32.556Z,,,0,15,,,
2017-12-29T00:38:52.556Z,,,0,14.8,,,
2017-12-29T00:39:02.556Z,,,0,15,,,
2017-12-29T00:39:22.556Z,,,0,15,,,
2017-12-29T00:39:32.555Z,,,0,15,,,
2017-12-29T00:39:42.557Z,,,0,14.8,,,
2017-12-29T00:39:52.556Z,,,0,14.8,,,
2017-12-29T00:40:02.556Z,,,0,15,,,
2017-12-29T00:40:12.556Z,,,0,15,,,
2017-12-29T00:40:22.731Z,,,0,15,,,
2017-12-29T00:40:32.559Z,,,0,15,,,
2017-12-29T00:40:42.556Z,,,0,15,,,
2017-12-29T00:40:52.556Z,,,0,15,,,
2017-12-29T00:41:12.557Z,,,0,15,,,
2017-12-29T00:41:22.559Z,,,0,14.8,,,
2017-12-29T00:41:42.557Z,,,0,14.8,,,
2017-12-29T00:41:52.566Z,,,0,15,,,
2017-12-29T00:42:02.558Z,,,0,14.8,,,
2017-12-29T00:42:12.556Z,,,0,14.8,,,
