Time,HwTSet,PrimTSet,ChActive,HwActive,HwTOutlet,ActPow,PrimT
2017-11-18T00:40:37.644Z,0,,,,30.9,,
2017-11-18T00:40:47.631Z,0,,,,30.9,,
2017-11-18T00:40:57.635Z,0,,,,30.9,,
2017-11-18T00:41:07.632Z,0,,,,30.9,,48.5
2017-11-18T00:41:17.635Z,0,,,,30.9,,48.3
2017-11-18T00:41:27.631Z,0,,,,30.9,,47.9
2017-11-18T00:41:37.632Z,0,,,,30.9,,47.4
2017-11-18T00:41:47.633Z,0,,,,30.9,,46.9
2017-11-18T00:41:57.642Z,0,,,,31,,46.6
2017-11-18T00:42:07.631Z,0,,,,30.9,,46.3
2017-11-18T00:42:17.633Z,0,,,,31,,46.1
2017-11-18T00:42:27.632Z,0,,1,0,31,45,46
2017-11-18T00:42:37.632Z,0,,,,31,32,53.1
2017-11-18T00:42:47.631Z,0,,,,31,29,54.1
2017-11-18T00:42:57.632Z,0,,,,31,30,55
2017-11-18T00:43:07.634Z,0,,,,31,29,55.4
2017-11-18T00:43:17.638Z,0,,,,31,,55.6
2017-11-18T00:43:27.631Z,0,,,,31,30,55.7
2017-11-18T00:43:37.631Z,0,,,,31,,55.6
2017-11-18T00:43:47.637Z,0,,,,31,29,55.5
2017-11-18T00:43:57.631Z,0,,,,31,0,56
2017-11-18T00:44:07.636Z,0,,1,0,31,,52.4
2017-11-18T00:44:17.632Z,0,,,,31,,49.9
2017-11-18T00:44:27.632Z,0,,,,31,,47.6
2017-11-18T00:44:37.632Z,0,,,,31,,47.3
2017-11-18T00:44:47.642Z,0,,,,31,,47
2017-11-18T00:44:57.636Z,0,,,,31,,47.2
2017-11-18T00:45:07.632Z,0,,,,31,,47.6
2017-11-18T00:45:17.632Z,0,,,,31.2,,48
2017-11-18T00:45:27.632Z,0,,,,31.2,,48.2
2017-11-18T00:45:37.632Z,0,,,,31.2,,48.3
2017-11-18T00:45:47.633Z,0,,,,31.2,,48.4
2017-11-18T00:45:57.632Z,0,,,,31.2,,
2017-11-18T00:46:07.632Z,0,,,,31.2,,48.3
2017-11-18T00:46:17.632Z,0,,,,31.2,,47.9
2017-11-18T00:46:27.632Z,0,,,,31.2,,47.6
2017-11-18T00:46:37.633Z,0,,,,31.2,,46.9
2017-11-18T00:46:47.637Z,0,,,,31.2,,46.4
2017-11-18T00:46:57.632Z,0,,,,31.2,,45.9
2017-11-18T00:47:07.633Z,0,,,,31.3,,45.8
2017-11-18T00:47:17.638Z,0,,,,31.2,,45.6
2017-11-18T00:47:27.633Z,0,,1,0,31.3,44,46.2
2017-11-18T00:47:37.641Z,0,,,,31.3,33,52.4
2017-11-18T00:47:47.652Z,0,,,,31.3,30,54
2017-11-18T00:47:57.634Z,0,,,,31.2,29,55
2017-11-18T00:48:07.633Z,0,,,,31.3,,55.1
2017-11-18T00:48:17.632Z,0,,,,31.3,30,55.4
2017-11-18T00:48:27.632Z,0,,,,31.3,29,55.5
2017-11-18T00:48:37.633Z,0,,,,31.3,,
2017-11-18T00:48:47.636Z,0,,,,31.3,,
2017-11-18T00:48:57.633Z,0,,,,31.3,30,55.6
2017-11-18T00:49:07.645Z,0,,,,31.3,29,56
2017-11-18T00:49:17.635Z,0,,1,0,31.3,0,52.4
2017-11-18T00:49:27.640Z,0,,,,31.3,,49.7
2017-11-18T00:49:37.640Z,0,,,,31.3,,47.9
2017-11-18T00:49:47.638Z,0,,,,31.3,,47.7
2017-11-18T00:49:57.633Z,0,,,,31.3,,47.4
2017-11-18T00:50:07.634Z,0,,,,31.3,,48
2017-11-18T00:50:17.635Z,0,,,,31.3,,48.1
2017-11-18T00:50:27.635Z,0,,,,31.3,,48.4
2017-11-18T00:50:37.635Z,0,,,,31.3,,48.6
2017-11-18T00:50:47.633Z,0,,,,31.4,,48.7
2017-11-18T00:50:57.643Z,0,,,,31.3,,
2017-11-18T00:51:07.633Z,0,,,,31.4,,
2017-11-18T00:51:17.643Z,0,,,,31.4,,48.6
2017-11-18T00:51:27.637Z,0,,,,31.4,,48.4
2017-11-18T00:51:37.639Z,0,,,,31.4,,47.9
2017-11-18T00:51:47.637Z,0,,,,31.4,,46.9
