Time,HwTSet,HwTOutlet,PrimT,ChActive,ActPow,PrimTSet,HwActive
2017-11-15T00:32:36.922Z,0,20.8,46.6,,,,
2017-11-15T00:32:46.927Z,0,20.9,47.2,1,45,47,0
2017-11-15T00:32:56.924Z,0,21.1,52.2,1,0,,0
2017-11-15T00:33:06.923Z,0,21.2,46.6,,,,
2017-11-15T00:33:16.929Z,0,21.5,43.9,,,,
2017-11-15T00:33:26.921Z,0,21.6,42.8,,,,
2017-11-15T00:33:36.928Z,0,21.7,41.8,,,,
2017-11-15T00:33:46.922Z,0,21.9,41.4,,,,
2017-11-15T00:33:56.922Z,0,22.1,41.5,,,,
2017-11-15T00:34:06.922Z,0,22.2,41.8,,,,
2017-11-15T00:34:16.922Z,0,22.4,42,,,48,
2017-11-15T00:34:26.925Z,0,22.5,,,,,
2017-11-15T00:34:36.922Z,0,22.6,,,,47,
2017-11-15T00:34:46.927Z,0,22.7,,,,48,
2017-11-15T00:34:56.922Z,0,22.8,41.9,,,47,
2017-11-15T00:35:06.926Z,0,23,,,,,
2017-11-15T00:35:16.922Z,0,23,41.8,,,48,
2017-11-15T00:35:26.921Z,0,23.1,,,,,
2017-11-15T00:35:36.922Z,0,23.2,,,,,
2017-11-15T00:35:46.922Z,0,23.3,,,,,
2017-11-15T00:35:56.924Z,0,23.4,41.6,,,,
2017-11-15T00:36:06.923Z,0,23.4,41.3,,,,
2017-11-15T00:36:16.924Z,0,23.6,40.9,,,,
2017-11-15T00:36:26.923Z,0,23.7,40.8,,,,
2017-11-15T00:36:36.922Z,0,23.7,40.6,,,,
2017-11-15T00:36:47.023Z,0,23.8,40.5,,,,
2017-11-15T00:36:56.922Z,0,23.9,40.4,,,,
2017-11-15T00:37:06.926Z,0,23.9,40.3,,,,
2017-11-15T00:37:16.922Z,0,24,40.2,,,,
2017-11-15T00:37:26.925Z,0,24,40.1,,,,
2017-11-15T00:37:36.923Z,0,24.2,,,,,
2017-11-15T00:37:46.923Z,0,24.3,41.7,1,44,,0
2017-11-15T00:37:56.928Z,0,24.3,46.1,,33,,
2017-11-15T00:38:06.928Z,0,24.4,47,,29,,
2017-11-15T00:38:16.922Z,0,24.4,47.4,,,,
2017-11-15T00:38:26.923Z,0,24.5,47.7,,,,
2017-11-15T00:38:36.924Z,0,24.5,,,,,
2017-11-15T00:38:46.923Z,0,24.7,47.8,,,,
2017-11-15T00:38:56.925Z,0,24.7,,,30,,
2017-11-15T00:39:06.923Z,0,24.8,,,,,
2017-11-15T00:39:16.922Z,0,24.8,48,,,,
2017-11-15T00:39:26.923Z,0,24.9,,,29,,
2017-11-15T00:39:36.924Z,0,24.9,48.2,,,,
2017-11-15T00:39:46.923Z,0,25,48.5,,,,
2017-11-15T00:39:56.928Z,0,25,49,,,,
2017-11-15T00:40:07.121Z,0,25.1,49.1,,,,
2017-11-15T00:40:16.923Z,0,25.1,49.2,,,,
2017-11-15T00:40:26.924Z,0,25.3,49.5,,30,,
2017-11-15T00:40:36.923Z,0,25.3,50,,,,
2017-11-15T00:40:46.923Z,0,25.4,50.1,,29,,
2017-11-15T00:40:56.923Z,0,25.4,50.4,,30,,
2017-11-15T00:41:06.926Z,0,25.5,51,,29,,
2017-11-15T00:41:16.924Z,0,25.5,51.1,,,,
2017-11-15T00:41:26.932Z,0,25.6,51.4,,,,
2017-11-15T00:41:36.923Z,0,25.6,51.7,,,,
2017-11-15T00:41:46.926Z,0,25.7,52,1,0,,0
2017-11-15T00:41:56.927Z,0,25.7,48.7,,,,
2017-11-15T00:42:06.926Z,0,25.9,46.9,,,,
2017-11-15T00:42:16.924Z,0,26,46.3,,,,
2017-11-15T00:42:26.928Z,0,26,46.2,,,,
2017-11-15T00:42:37.123Z,0,26.1,46.1,,,,
2017-11-15T00:42:46.923Z,0,26.1,46.2,,,,
2017-11-15T00:42:56.931Z,0,26.2,46.4,,,,
2017-11-15T00:43:06.924Z,0,26.2,46.5,,,,
