Time,HwTOutlet,PrimT,PrimTSet,ChActive,HwTSet,ActPow,HwActive
2017-12-12T00:25:58.053Z,37.2,47.9,,,0,,
2017-12-12T00:26:08.053Z,37.1,,,,0,,
2017-12-12T00:26:18.053Z,36.9,,,,0,,
2017-12-12T00:26:28.052Z,36.8,,,,0,,
2017-12-12T00:26:38.055Z,36.6,47.8,,,0,,
2017-12-12T00:26:48.245Z,36.5,,,,0,,
2017-12-12T00:26:58.053Z,36.4,,,,0,,
2017-12-12T00:27:08.054Z,36.3,47.7,,,0,,
2017-12-12T00:27:18.053Z,36.2,,,,0,,
2017-12-12T00:27:28.053Z,36.1,,,,0,,
2017-12-12T00:27:38.053Z,36,47.6,,,0,,
2017-12-12T00:27:48.133Z,35.9,,,,0,,
2017-12-12T00:27:58.056Z,35.7,,,,0,,
2017-12-12T00:28:08.059Z,35.6,,,,0,,
2017-12-12T00:28:18.060Z,35.5,47.4,,,0,,
2017-12-12T00:28:28.059Z,35.5,,,,0,,
2017-12-12T00:28:38.056Z,35.3,,,,0,,
2017-12-12T00:28:48.254Z,35.2,47.3,,,0,,
2017-12-12T00:28:58.065Z,35.2,,,,0,,
2017-12-12T00:29:08.059Z,35.1,,,,0,,
2017-12-12T00:29:18.080Z,34.9,47.2,,,0,,
2017-12-12T00:29:28.053Z,34.8,,,,0,,
2017-12-12T00:29:38.083Z,34.7,,,,0,,
2017-12-12T00:29:48.156Z,34.6,,,,0,,
2017-12-12T00:29:58.056Z,34.5,47.1,,,0,,
2017-12-12T00:30:08.053Z,34.4,,,,0,,
2017-12-12T00:30:18.054Z,34.3,,,,0,,
2017-12-12T00:30:28.054Z,34.2,,,,0,,
2017-12-12T00:30:38.053Z,34.1,47,,,0,,
2017-12-12T00:30:48.133Z,34,,,,0,,
2017-12-12T00:30:58.054Z,33.9,,,,0,,
2017-12-12T00:31:08.054Z,33.8,47,,,0,,
2017-12-12T00:31:18.054Z,33.8,46.9,,,0,,
2017-12-12T00:31:28.053Z,33.7,,,,0,,
2017-12-12T00:31:38.053Z,33.6,,,,0,,
2017-12-12T00:31:48.134Z,33.5,46.8,,,0,,
2017-12-12T00:31:58.053Z,33.4,,,,0,,
2017-12-12T00:32:08.053Z,33.4,,,,0,,
2017-12-12T00:32:18.120Z,33.3,,,,0,,
2017-12-12T00:32:28.059Z,33.2,,,,0,,
2017-12-12T00:32:38.055Z,33.1,46.7,,,0,,
2017-12-12T00:32:48.262Z,32.9,,,,0,,
2017-12-12T00:32:58.059Z,32.9,,,,0,,
2017-12-12T00:33:08.053Z,32.8,,,,0,,
2017-12-12T00:33:18.055Z,32.7,46.6,,,0,,
2017-12-12T00:33:28.062Z,32.6,,,,0,,
2017-12-12T00:33:38.054Z,32.6,,,,0,,
2017-12-12T00:33:48.158Z,32.5,,,,0,,
2017-12-12T00:33:58.062Z,32.4,46.5,,,0,,
2017-12-12T00:34:08.054Z,32.3,,,,0,,
2017-12-12T00:34:18.054Z,32.3,,,,0,,
2017-12-12T00:34:28.054Z,32.2,,,,0,,
2017-12-12T00:34:38.054Z,32.1,46.4,,,0,,
2017-12-12T00:34:48.135Z,32.1,,,,0,,
2017-12-12T00:34:58.054Z,32,,,,0,,
2017-12-12T00:35:08.054Z,31.9,,,,0,,
2017-12-12T00:35:18.054Z,31.8,,,,0,,
2017-12-12T00:35:28.054Z,31.8,,,,0,,
2017-12-12T00:35:38.056Z,31.6,46.3,,,0,,
2017-12-12T00:35:48.135Z,31.6,,,,0,,
2017-12-12T00:35:58.056Z,31.5,,,,0,,
2017-12-12T00:36:08.054Z,31.4,46.2,,,0,,
2017-12-12T00:36:18.054Z,31.4,,,,0,,
2017-12-12T00:36:28.054Z,31.3,,,,0,,
2017-12-12T00:36:38.054Z,31.3,,,,0,,
2017-12-12T00:36:48.135Z,31.2,,,,0,,
2017-12-12T00:36:58.055Z,31,,,,0,,
2017-12-12T00:37:08.054Z,30.9,46.1,,,0,,
2017-12-12T00:37:18.054Z,30.9,,,,0,,
2017-12-12T00:37:28.060Z,30.8,,,,0,,
2017-12-12T00:37:38.055Z,30.8,,,,0,,
2017-12-12T00:37:48.170Z,30.7,,,,0,,
2017-12-12T00:37:58.062Z,30.6,46,,,0,,
2017-12-12T00:38:08.055Z,30.6,,,,0,,
2017-12-12T00:38:18.057Z,30.4,,,,0,,
2017-12-12T00:38:28.055Z,30.4,,,,0,,
2017-12-12T00:38:38.055Z,30.3,45.9,,,0,,
2017-12-12T00:38:48.135Z,30.3,,,,0,,
2017-12-12T00:38:58.054Z,30.2,,,,0,,
2017-12-12T00:39:08.065Z,30.2,,,,0,,
2017-12-12T00:39:18.055Z,30.1,,,,0,,
2017-12-12T00:39:28.055Z,30.1,,,,0,,
2017-12-12T00:39:38.055Z,30,45.8,,,0,,
2017-12-12T00:39:48.135Z,30,,,,0,,
2017-12-12T00:39:58.054Z,29.8,,,,0,,
2017-12-12T00:40:08.056Z,29.8,,,,0,,
2017-12-12T00:40:18.071Z,29.7,,,,0,,
2017-12-12T00:40:28.056Z,29.7,45.7,,,0,,
2017-12-12T00:40:38.055Z,29.6,,,,0,,
2017-12-12T00:40:48.135Z,29.6,,,,0,,
2017-12-12T00:40:58.056Z,29.5,,,,0,,
2017-12-12T00:41:08.055Z,29.5,,,,0,,
2017-12-12T00:41:18.055Z,29.3,45.6,,,0,,
2017-12-12T00:41:28.055Z,29.3,,,,0,,
2017-12-12T00:41:38.055Z,29.2,,,,0,,
2017-12-12T00:41:48.135Z,29.2,,,,0,,
2017-12-12T00:41:58.055Z,29.1,,,,0,,
2017-12-12T00:42:08.060Z,29.1,,,,0,,
2017-12-12T00:42:18.055Z,29,45.5,,,0,,
2017-12-12T00:42:28.055Z,29,,,,0,,
2017-12-12T00:42:38.070Z,28.9,,,,0,,
2017-12-12T00:42:48.178Z,28.9,,,,0,,
2017-12-12T00:42:58.063Z,28.9,,,,0,,
2017-12-12T00:43:08.059Z,28.7,,,,0,,
2017-12-12T00:43:18.096Z,28.7,,,,0,,
2017-12-12T00:43:28.055Z,28.6,45.4,,,0,,
2017-12-12T00:43:38.056Z,28.6,,,,0,,
2017-12-12T00:43:48.149Z,28.5,,,,0,,
2017-12-12T00:43:58.055Z,28.5,,,,0,,
2017-12-12T00:44:08.056Z,28.5,,,,0,,
2017-12-12T00:44:18.055Z,28.4,45.3,,,0,,
2017-12-12T00:44:28.055Z,28.4,,,,0,,
2017-12-12T00:44:38.056Z,28.3,,,,0,,
2017-12-12T00:44:48.136Z,28.3,,,,0,,
2017-12-12T00:44:58.055Z,28.1,,,,0,,
2017-12-12T00:45:08.055Z,28.1,,,,0,,
2017-12-12T00:45:18.057Z,28.1,45.2,,,0,,
2017-12-12T00:45:28.056Z,28,,,,0,,
2017-12-12T00:45:38.223Z,28,,,,0,,
2017-12-12T00:45:48.136Z,28,,,,0,,
2017-12-12T00:45:58.055Z,27.9,,,,0,,
2017-12-12T00:46:08.056Z,27.9,,,,0,,
2017-12-12T00:46:18.056Z,27.8,45.1,,,0,,
2017-12-12T00:46:28.058Z,27.8,,,,0,,
2017-12-12T00:46:38.062Z,27.8,,,,0,,
2017-12-12T00:46:48.198Z,27.7,,,,0,,
2017-12-12T00:46:58.056Z,27.7,,,,0,,
2017-12-12T00:47:08.075Z,27.7,45,,,0,,
2017-12-12T00:47:18.059Z,27.5,,,,0,,
2017-12-12T00:47:28.061Z,27.5,,,,0,,
2017-12-12T00:47:38.056Z,27.5,,,,0,,
2017-12-12T00:47:48.137Z,27.4,,,,0,,
2017-12-12T00:47:58.057Z,27.4,,,,0,,
2017-12-12T00:48:08.060Z,27.4,45,,,0,,
2017-12-12T00:48:18.056Z,27.3,44.9,,,0,,
2017-12-12T00:48:28.056Z,27.3,,,,0,,
2017-12-12T00:48:38.057Z,27.3,,,,0,,
2017-12-12T00:48:48.154Z,27.2,,,,0,,
2017-12-12T00:48:58.061Z,27.2,,,,0,,
2017-12-12T00:49:08.057Z,27.2,,,,0,,
2017-12-12T00:49:18.056Z,27.1,44.8,,,0,,
2017-12-12T00:49:28.056Z,27.1,,,,0,,
2017-12-12T00:49:38.056Z,27.1,,,,0,,
2017-12-12T00:49:48.137Z,26.9,,,,0,,
2017-12-12T00:49:58.057Z,26.9,,,,0,,
2017-12-12T00:50:08.059Z,26.9,44.7,,,0,,
2017-12-12T00:50:18.059Z,26.8,,,,0,,
2017-12-12T00:50:28.056Z,26.8,,,,0,,
2017-12-12T00:50:38.060Z,26.8,,,,0,,
2017-12-12T00:50:48.138Z,26.8,,,,0,,
2017-12-12T00:50:58.056Z,26.7,,,,0,,
2017-12-12T00:51:08.057Z,26.7,,,,0,,
2017-12-12T00:51:18.056Z,26.7,44.6,,,0,,
2017-12-12T00:51:28.057Z,26.6,,,,0,,
2017-12-12T00:51:38.056Z,26.6,,,,0,,
2017-12-12T00:51:48.137Z,26.6,,,,0,,
2017-12-12T00:51:58.056Z,26.6,,,,0,,
2017-12-12T00:52:08.056Z,26.5,44.5,,,0,,
2017-12-12T00:52:18.056Z,26.5,,,,0,,
2017-12-12T00:52:28.056Z,26.5,,,,0,,
2017-12-12T00:52:38.058Z,26.3,,,,0,,
2017-12-12T00:52:48.139Z,26.3,,,,0,,
2017-12-12T00:52:58.059Z,26.3,,,,0,,
2017-12-12T00:53:08.057Z,26.3,,,,0,,
2017-12-12T00:53:18.074Z,26.2,44.4,,,0,,
2017-12-12T00:53:28.057Z,26.2,,,,0,,
2017-12-12T00:53:38.056Z,26.2,,,,0,,
2017-12-12T00:53:48.147Z,26.2,,,,0,,
2017-12-12T00:53:58.059Z,26.2,,,,0,,
2017-12-12T00:54:08.057Z,26.2,,,,0,,
2017-12-12T00:54:18.060Z,26.2,44.3,,,0,,
2017-12-12T00:54:28.057Z,26.2,,,,0,,
2017-12-12T00:54:38.057Z,26.1,,,,0,,
2017-12-12T00:54:48.138Z,26.1,,,,0,,
2017-12-12T00:54:58.057Z,26.1,,,,0,,
2017-12-12T00:55:08.057Z,26.1,,,,0,,
2017-12-12T00:55:18.057Z,26,,,,0,,
2017-12-12T00:55:28.057Z,26,44.2,,,0,,
2017-12-12T00:55:38.057Z,26,,,,0,,
2017-12-12T00:55:48.137Z,26,,,,0,,
2017-12-12T00:55:58.057Z,26,,,,0,,
2017-12-12T00:56:08.058Z,25.9,,,,0,,
2017-12-12T00:56:18.059Z,25.9,44.1,,,0,,
2017-12-12T00:56:28.057Z,25.9,,,,0,,
2017-12-12T00:56:38.058Z,25.9,,,,0,,
2017-12-12T00:56:48.140Z,25.7,44.1,5,0,0,0,0
2017-12-12T00:56:58.057Z,25.7,,,,0,,
2017-12-12T00:57:08.058Z,25.7,,,,0,,
2017-12-12T00:57:18.058Z,25.7,,,,0,,
2017-12-12T00:57:28.058Z,25.7,44,,,0,,
2017-12-12T00:57:38.075Z,25.6,,,,0,,
2017-12-12T00:57:48.160Z,25.6,,,,0,,
2017-12-12T00:57:58.058Z,25.6,,,,0,,
2017-12-12T00:58:08.064Z,25.6,,,,0,,
2017-12-12T00:58:18.058Z,25.6,43.9,,,0,,
2017-12-12T00:58:28.058Z,25.6,43.9,,,0,,
2017-12-12T00:58:38.058Z,25.6,,,,0,,
2017-12-12T00:58:48.138Z,25.6,,,,0,,
2017-12-12T00:58:58.058Z,25.5,,,,0,,
2017-12-12T00:59:08.058Z,25.5,,,,0,,
2017-12-12T00:59:18.058Z,25.5,,,,0,,
2017-12-12T00:59:28.058Z,25.5,,,,0,,
2017-12-12T00:59:38.058Z,25.5,43.8,,,0,,
2017-12-12T00:59:48.143Z,25.4,,,,0,,
2017-12-12T00:59:58.062Z,25.4,,,,0,,
2017-12-12T01:00:08.058Z,25.4,,,,0,,
2017-12-12T01:00:18.058Z,25.4,,,,0,,
2017-12-12T01:00:28.058Z,25.3,,,,0,,
2017-12-12T01:00:38.058Z,25.3,,,,0,,
2017-12-12T01:00:48.159Z,25.3,43.7,,,0,,
2017-12-12T01:00:58.064Z,25.3,,,,0,,
2017-12-12T01:01:08.066Z,25.3,,,,0,,
2017-12-12T01:01:18.067Z,25.1,,,,0,,
2017-12-12T01:01:28.069Z,25.1,,,,0,,
2017-12-12T01:01:38.057Z,25.1,,,,0,,
2017-12-12T01:01:48.138Z,25.1,43.6,,,0,,
2017-12-12T01:01:58.058Z,25.1,,,,0,,
2017-12-12T01:02:08.059Z,25,,,,0,,
2017-12-12T01:02:18.070Z,25.1,,,,0,,
2017-12-12T01:02:28.059Z,25,,,,0,,
2017-12-12T01:02:38.064Z,25,,,,0,,
2017-12-12T01:02:48.150Z,25,43.5,,,0,,
2017-12-12T01:02:58.059Z,25,,,,0,,
2017-12-12T01:03:08.061Z,24.9,,,,0,,
2017-12-12T01:03:18.070Z,24.9,,,,0,,
