Time,ChActive,HwActive,ActPow,HwTSet,PrimT,HwTOutlet,PrimTSet
2017-12-23T00:50:40.321Z,,,,0,,21.5,
2017-12-23T00:50:50.322Z,,,,0,,21.5,
2017-12-23T00:51:00.321Z,,,,0,,21.5,
2017-12-23T00:51:10.320Z,,,,0,,21.5,
2017-12-23T00:51:20.322Z,,,,0,,21.5,
2017-12-23T00:51:30.321Z,,,,0,,21.5,
2017-12-23T00:51:40.321Z,,,,0,,21.5,
2017-12-23T00:51:50.323Z,,,,0,,21.5,
2017-12-23T00:52:00.321Z,,,,0,,21.5,
2017-12-23T00:52:10.321Z,,,,0,,21.5,
2017-12-23T00:52:20.321Z,,,,0,,21.5,
2017-12-23T00:52:30.321Z,,,,0,,21.5,
2017-12-23T00:52:40.327Z,,,,0,,21.5,
2017-12-23T00:52:50.321Z,,,,0,29.4,21.5,
2017-12-23T00:53:00.327Z,,,,0,,21.5,
2017-12-23T00:53:10.324Z,,,,0,,21.5,
2017-12-23T00:53:20.322Z,,,,0,,21.3,
2017-12-23T00:53:30.321Z,,,,0,,21.5,
2017-12-23T00:53:40.321Z,,,,0,,21.3,
2017-12-23T00:53:50.326Z,,,,0,,21.3,
2017-12-23T00:54:00.322Z,,,,0,,21.3,
2017-12-23T00:54:10.322Z,,,,0,,21.3,
2017-12-23T00:54:20.321Z,,,,0,,21.3,
2017-12-23T00:54:30.323Z,,,,0,,21.3,
2017-12-23T00:54:40.321Z,,,,0,,21.3,
2017-12-23T00:54:50.329Z,,,,0,,21.3,
2017-12-23T00:55:00.327Z,,,,0,,21.3,
2017-12-23T00:55:10.321Z,,,,0,,21.3,
2017-12-23T00:55:20.327Z,,,,0,,21.3,
2017-12-23T00:55:30.322Z,,,,0,,21.3,
2017-12-23T00:55:40.322Z,,,,0,,21.3,
2017-12-23T00:55:50.322Z,,,,0,,21.3,
2017-12-23T00:56:00.323Z,,,,0,,21.3,
2017-12-23T00:56:10.327Z,,,,0,29.3,21.3,
2017-12-23T00:56:20.323Z,,,,0,29.4,21.3,
2017-12-23T00:56:30.324Z,,,,0,,21.3,
2017-12-23T00:56:40.323Z,,,,0,29.3,21.3,
2017-12-23T00:56:50.326Z,,,,0,,21.3,
2017-12-23T00:57:00.322Z,,,,0,,21.3,
2017-12-23T00:57:10.322Z,,,,0,,21.3,
2017-12-23T00:57:20.327Z,,,,0,,21.3,
2017-12-23T00:57:30.323Z,,,,0,,21.3,
2017-12-23T00:57:40.325Z,,,,0,,21.3,
2017-12-23T00:57:50.323Z,,,,0,,21.3,
2017-12-23T00:58:00.322Z,,,,0,,21.3,
2017-12-23T00:58:10.323Z,,,,0,,21.3,
2017-12-23T00:58:20.321Z,,,,0,,21.3,
2017-12-23T00:58:30.327Z,,,,0,,21.3,
2017-12-23T00:58:40.325Z,,,,0,,21.3,
2017-12-23T00:58:50.322Z,,,,0,,21.3,
2017-12-23T00:59:00.324Z,,,,0,,21.3,
2017-12-23T00:59:10.326Z,,,,0,,21.3,
2017-12-23T00:59:20.326Z,,,,0,,21.3,
2017-12-23T00:59:30.327Z,,,,0,,21.3,
2017-12-23T00:59:40.322Z,,,,0,,21.3,
2017-12-23T00:59:50.322Z,,,,0,29.2,21.3,
2017-12-23T01:00:00.322Z,,,,0,,21.3,
2017-12-23T01:00:10.322Z,,,,0,,21.3,
2017-12-23T01:00:20.322Z,,,,0,,21.3,
2017-12-23T01:00:30.323Z,,,,0,,21.3,
2017-12-23T01:00:40.324Z,,,,0,,21.3,
2017-12-23T01:00:50.326Z,,,,0,,21.3,
2017-12-23T01:01:00.321Z,,,,0,,21.3,
2017-12-23T01:01:10.322Z,,,,0,,21.2,
2017-12-23T01:01:20.327Z,,,,0,,21.3,
2017-12-23T01:01:30.326Z,,,,0,,21.2,
2017-12-23T01:01:40.322Z,,,,0,,21.2,
2017-12-23T01:01:50.322Z,,,,0,,21.2,
2017-12-23T01:02:00.322Z,,,,0,,21.2,
2017-12-23T01:02:10.322Z,,,,0,,21.2,
2017-12-23T01:02:20.328Z,,,,0,,21.2,
2017-12-23T01:02:30.326Z,,,,0,,21.2,
2017-12-23T01:02:40.327Z,,,,0,,21.2,
2017-12-23T01:02:50.324Z,,,,0,,21.2,
2017-12-23T01:03:00.323Z,,,,0,,21.2,
2017-12-23T01:03:10.322Z,,,,0,29,21.2,
2017-12-23T01:03:20.323Z,,,,0,,21.2,
2017-12-23T01:03:30.323Z,,,,0,,21.2,
2017-12-23T01:03:40.323Z,,,,0,,21.2,
2017-12-23T01:03:50.332Z,,,,0,,21.2,
2017-12-23T01:04:00.323Z,,,,0,,21.2,
2017-12-23T01:04:10.322Z,,,,0,,21.2,
2017-12-23T01:04:20.329Z,,,,0,,21.2,
2017-12-23T01:04:30.327Z,,,,0,,21.2,
2017-12-23T01:04:40.327Z,,,,0,,21.2,
2017-12-23T01:04:50.324Z,,,,0,,21.2,
2017-12-23T01:05:00.324Z,,,,0,,21.2,
2017-12-23T01:05:10.326Z,,,,0,,21.2,
2017-12-23T01:05:20.323Z,,,,0,,21.2,
2017-12-23T01:05:30.327Z,,,,0,,21.2,
2017-12-23T01:05:40.324Z,,,,0,,21.2,
2017-12-23T01:05:50.381Z,,,,0,,21.2,
2017-12-23T01:06:00.324Z,,,,0,,21.2,
2017-12-23T01:06:10.324Z,,,,0,28.9,21.2,
2017-12-23T01:06:20.322Z,,,,0,29,21.2,
2017-12-23T01:06:30.323Z,,,,0,29,21.2,
2017-12-23T01:06:40.323Z,,,,0,29,21.2,
2017-12-23T01:06:50.323Z,,,,0,28.9,21.2,
2017-12-23T01:07:00.323Z,,,,0,,21.2,
2017-12-23T01:07:10.327Z,,,,0,,21.2,
2017-12-23T01:07:20.323Z,,,,0,,21.2,
2017-12-23T01:07:30.328Z,,,,0,,21.2,
2017-12-23T01:07:40.322Z,,,,0,,21.2,
2017-12-23T01:07:50.325Z,,,,0,,21.2,
2017-12-23T01:08:00.323Z,,,,0,,21.2,
2017-12-23T01:08:10.323Z,,,,0,,21.2,
2017-12-23T01:08:20.323Z,,,,0,,21.2,
2017-12-23T01:08:30.326Z,,,,0,,21.2,
2017-12-23T01:08:40.326Z,,,,0,,21.2,
2017-12-23T01:08:50.327Z,,,,0,,21.2,
2017-12-23T01:09:00.324Z,,,,0,,21.2,
2017-12-23T01:09:10.519Z,,,,0,,21.2,
2017-12-23T01:09:20.330Z,,,,0,,21.2,
2017-12-23T01:09:30.323Z,,,,0,,21.1,
2017-12-23T01:09:40.323Z,,,,0,,21.1,
2017-12-23T01:09:50.327Z,,,,0,,21.1,
2017-12-23T01:10:00.326Z,,,,0,,21.1,
2017-12-23T01:10:10.324Z,,,,0,,21.1,
2017-12-23T01:10:20.323Z,,,,0,28.8,21.1,
2017-12-23T01:10:30.323Z,,,,0,28.9,21.1,
2017-12-23T01:10:40.323Z,,,,0,28.8,21.1,
2017-12-23T01:10:50.324Z,,,,0,,21.1,
2017-12-23T01:11:00.324Z,,,,0,,21.1,
2017-12-23T01:11:10.323Z,,,,0,,21.1,
2017-12-23T01:11:20.328Z,,,,0,,21.1,
2017-12-23T01:11:30.324Z,,,,0,,21.1,
2017-12-23T01:11:40.325Z,,,,0,,21.1,
2017-12-23T01:11:50.327Z,,,,0,,21.1,
2017-12-23T01:12:00.323Z,,,,0,,21.1,
2017-12-23T01:12:10.327Z,,,,0,,21.1,
2017-12-23T01:12:20.324Z,,,,0,,21.1,
2017-12-23T01:12:30.324Z,,,,0,,21.1,
2017-12-23T01:12:40.323Z,,,,0,,21.1,
2017-12-23T01:12:50.324Z,,,,0,,21.1,
2017-12-23T01:13:00.323Z,,,,0,,21.1,
2017-12-23T01:13:10.324Z,,,,0,,21.1,
2017-12-23T01:13:20.323Z,,,,0,,21.1,
