Time,HwActive,PrimT,PrimTSet,ActPow,HwTOutlet,ChActive,HwTSet
2018-01-21T00:32:23.328Z,,43.8,,,29.8,,0
2018-01-21T00:32:33.328Z,,,,,29.8,,0
2018-01-21T00:32:43.328Z,,,,,29.7,,0
2018-01-21T00:32:58.965Z,,,,,29.7,,0
2018-01-21T00:33:03.503Z,,,,,29.7,,0
2018-01-21T00:33:13.328Z,,,,,29.6,,0
2018-01-21T00:33:33.370Z,,,,,29.6,,0
2018-01-21T00:33:33.450Z,,43.7,,,29.6,,0
2018-01-21T00:33:43.328Z,,,,,29.5,,0
2018-01-21T00:33:53.565Z,,,,,29.5,,0
2018-01-21T00:34:08.418Z,,,,,29.5,,0
2018-01-21T00:34:13.328Z,,,,,29.3,,0
2018-01-21T00:34:23.328Z,,,,,29.3,,0
2018-01-21T00:34:33.330Z,,,,,29.3,,0
2018-01-21T00:34:43.328Z,,43.6,,,29.2,,0
2018-01-21T00:34:53.331Z,,,,,29.2,,0
2018-01-21T00:35:03.328Z,,,,,29.2,,0
2018-01-21T00:35:13.329Z,,,,,29.1,,0
2018-01-21T00:35:23.328Z,,,,,29.1,,0
2018-01-21T00:35:33.328Z,,,,,29.1,,0
2018-01-21T00:35:43.563Z,,,,,29,,0
2018-01-21T00:35:53.330Z,,,,,29,,0
2018-01-21T00:36:03.328Z,,43.5,,,29,,0
2018-01-21T00:36:13.329Z,,,,,28.9,,0
2018-01-21T00:36:23.328Z,,,,,28.9,,0
2018-01-21T00:36:33.328Z,,,,,28.9,,0
2018-01-21T00:36:43.328Z,,,,,28.7,,0
2018-01-21T00:36:53.328Z,,,,,28.7,,0
2018-01-21T00:37:03.329Z,,,,,28.7,,0
2018-01-21T00:37:13.330Z,,,,,28.6,,0
2018-01-21T00:37:23.329Z,,43.4,,,28.6,,0
2018-01-21T00:37:33.544Z,,,,,28.6,,0
2018-01-21T00:37:43.329Z,,,,,28.6,,0
2018-01-21T00:37:53.329Z,,,,,28.5,,0
2018-01-21T00:38:03.328Z,,,,,28.5,,0
2018-01-21T00:38:13.329Z,,,,,28.5,,0
2018-01-21T00:38:23.331Z,,43.3,,,28.4,,0
2018-01-21T00:38:33.329Z,,,,,28.4,,0
2018-01-21T00:38:43.329Z,,,,,28.4,,0
2018-01-21T00:38:53.329Z,,,,,28.3,,0
2018-01-21T00:39:03.332Z,,,,,28.3,,0
2018-01-21T00:39:13.331Z,,,,,28.3,,0
2018-01-21T00:39:23.329Z,,,,,28.3,,0
2018-01-21T00:39:33.329Z,,,,,28.1,,0
2018-01-21T00:39:43.329Z,,,,,28.1,,0
2018-01-21T00:39:53.329Z,,43.2,,,28.1,,0
2018-01-21T00:40:03.490Z,,,,,28,,0
2018-01-21T00:40:13.329Z,,,,,28,,0
2018-01-21T00:40:23.331Z,,,,,28,,0
2018-01-21T00:40:33.331Z,,,,,28,,0
2018-01-21T00:40:43.329Z,,,,,27.9,,0
2018-01-21T00:40:53.329Z,,,,,27.9,,0
2018-01-21T00:41:03.330Z,,,,,27.9,,0
2018-01-21T00:41:13.329Z,,43.1,,,27.9,,0
2018-01-21T00:41:23.329Z,,,,,27.8,,0
2018-01-21T00:41:33.332Z,,,,,27.8,,0
2018-01-21T00:41:43.330Z,,,,,27.8,,0
2018-01-21T00:41:53.330Z,,,,,27.8,,0
2018-01-21T00:42:03.330Z,,,,,27.7,,0
2018-01-21T00:42:13.334Z,,,,,27.7,,0
2018-01-21T00:42:23.332Z,,43,,,27.7,,0
2018-01-21T00:42:33.536Z,,,,,27.7,,0
2018-01-21T00:42:43.329Z,,,,,27.7,,0
2018-01-21T00:42:53.330Z,,,,,27.5,,0
2018-01-21T00:43:03.546Z,,,,,27.5,,0
2018-01-21T00:43:13.334Z,,,,,27.5,,0
2018-01-21T00:43:23.330Z,,,,,27.5,,0
2018-01-21T00:43:33.329Z,,42.9,,,27.4,,0
2018-01-21T00:43:43.334Z,,42.9,,,27.4,,0
2018-01-21T00:43:58.430Z,,,,,27.4,,0
2018-01-21T00:44:08.420Z,,,,,27.4,,0
2018-01-21T00:44:13.330Z,,,,,27.3,,0
2018-01-21T00:44:23.330Z,,,,,27.3,,0
2018-01-21T00:44:33.330Z,,,,,27.3,,0
2018-01-21T00:44:43.534Z,,,,,27.3,,0
2018-01-21T00:44:53.331Z,,,,,27.3,,0
2018-01-21T00:45:03.330Z,,42.8,,,27.2,,0
2018-01-21T00:45:13.333Z,,,,,27.2,,0
2018-01-21T00:45:23.330Z,,,,,27.2,,0
2018-01-21T00:45:33.481Z,,,,,27.2,,0
2018-01-21T00:45:43.330Z,,,,,27.1,,0
2018-01-21T00:45:53.330Z,,,,,27.1,,0
2018-01-21T00:46:03.330Z,,,,,27.1,,0
2018-01-21T00:46:13.330Z,,,,,27.1,,0
2018-01-21T00:46:23.330Z,,42.7,,,26.9,,0
2018-01-21T00:46:33.335Z,,,,,26.9,,0
2018-01-21T00:46:43.334Z,,,,,26.9,,0
2018-01-21T00:46:53.825Z,,,,,26.9,,0
2018-01-21T00:47:03.330Z,,,,,26.9,,0
2018-01-21T00:47:13.478Z,,,,,26.9,,0
2018-01-21T00:47:23.331Z,,,,,26.8,,0
2018-01-21T00:47:33.477Z,,,,,26.8,,0
2018-01-21T00:47:43.332Z,,42.6,,,26.8,,0
2018-01-21T00:47:53.330Z,,,,,26.8,,0
2018-01-21T00:48:03.330Z,,,,,26.7,,0
2018-01-21T00:48:13.331Z,,,,,26.7,,0
2018-01-21T00:48:23.331Z,,,,,26.7,,0
2018-01-21T00:48:33.331Z,,,,,26.7,,0
2018-01-21T00:48:48.351Z,,,,,26.7,,0
2018-01-21T00:48:53.330Z,,42.4,,,26.6,,0
2018-01-21T00:49:03.331Z,,,,,26.6,,0
2018-01-21T00:49:13.331Z,,,,,26.6,,0
2018-01-21T00:49:23.330Z,,,,,26.6,,0
2018-01-21T00:49:33.330Z,,,,,26.6,,0
2018-01-21T00:49:43.332Z,,,,,26.6,,0
2018-01-21T00:49:53.333Z,,,,,26.5,,0
2018-01-21T00:50:03.331Z,,,,,26.5,,0
2018-01-21T00:50:13.335Z,,42.3,,,26.5,,0
2018-01-21T00:50:23.331Z,,,,,26.5,,0
2018-01-21T00:50:33.331Z,,,,,26.5,,0
2018-01-21T00:50:43.330Z,,,,,26.5,,0
2018-01-21T00:50:53.334Z,,,,,26.3,,0
2018-01-21T00:51:03.332Z,,,,,26.3,,0
2018-01-21T00:51:13.331Z,,,,,26.3,,0
2018-01-21T00:51:28.391Z,,,,,26.3,,0
2018-01-21T00:51:33.331Z,,,,,26.3,,0
2018-01-21T00:51:43.334Z,,42.2,,,26.2,,0
2018-01-21T00:51:53.331Z,,,,,26.2,,0
2018-01-21T00:52:03.331Z,,,,,26.2,,0
2018-01-21T00:52:13.332Z,,,,,26.2,,0
2018-01-21T00:52:23.331Z,,,,,26.2,,0
2018-01-21T00:52:33.332Z,,,,,26.1,,0
2018-01-21T00:52:43.331Z,,,,,26.1,,0
2018-01-21T00:52:53.332Z,,,,,26.1,,0
2018-01-21T00:53:03.332Z,,42.1,,,26.1,,0
2018-01-21T00:53:18.353Z,,,,,26.1,,0
2018-01-21T00:53:23.519Z,,,,,26.1,,0
2018-01-21T00:53:33.331Z,,,,,26,,0
2018-01-21T00:53:43.331Z,,,,,26,,0
2018-01-21T00:53:53.532Z,,,,,26,,0
2018-01-21T00:54:03.331Z,,,,,26,,0
2018-01-21T00:54:13.333Z,,,,,26,,0
2018-01-21T00:54:23.331Z,,42,,,26,,0
2018-01-21T00:54:33.331Z,,,,,25.9,,0
2018-01-21T00:54:43.331Z,,,,,25.9,,0
2018-01-21T00:54:53.331Z,,,,,25.9,,0
2018-01-21T00:55:03.331Z,,,,,25.9,,0
2018-01-21T00:55:13.331Z,,,,,25.9,,0
2018-01-21T00:55:23.332Z,,,,,25.9,,0
2018-01-21T00:55:33.331Z,,42,,,25.7,,0
2018-01-21T00:55:43.336Z,,41.9,,,25.7,,0
2018-01-21T00:55:53.358Z,,,,,25.7,,0
2018-01-21T00:56:03.342Z,,,,,25.7,,0
2018-01-21T00:56:13.332Z,,,,,25.7,,0
2018-01-21T00:56:23.334Z,,,,,25.7,,0
2018-01-21T00:56:33.506Z,,,,,25.6,,0
2018-01-21T00:56:43.331Z,,,,,25.6,,0
2018-01-21T00:56:53.332Z,,,,,25.6,,0
2018-01-21T00:57:03.332Z,,41.8,,,25.6,,0
2018-01-21T00:57:13.334Z,,,,,25.6,,0
2018-01-21T00:57:23.332Z,,,,,25.6,,0
2018-01-21T00:57:33.333Z,,,,,25.6,,0
2018-01-21T00:57:43.332Z,,,,,25.6,,0
2018-01-21T00:57:53.331Z,,,,,25.5,,0
2018-01-21T00:58:03.332Z,,,,,25.5,,0
2018-01-21T00:58:13.334Z,,41.7,,,25.5,,0
2018-01-21T00:58:23.332Z,,,,,25.5,,0
2018-01-21T00:58:33.332Z,,,,,25.5,,0
2018-01-21T00:58:43.332Z,,,,,25.5,,0
2018-01-21T00:58:53.333Z,,,,,25.5,,0
2018-01-21T00:59:03.331Z,0,41.7,5,0,25.4,0,0
2018-01-21T00:59:13.332Z,,,,,25.4,,0
2018-01-21T00:59:23.336Z,,,,,25.4,,0
2018-01-21T00:59:33.332Z,,,,,25.4,,0
2018-01-21T00:59:43.336Z,,41.6,,,25.4,,0
2018-01-21T00:59:53.332Z,,,,,25.4,,0
2018-01-21T01:00:03.332Z,,,,,25.3,,0
2018-01-21T01:00:13.332Z,,,,,25.3,,0
2018-01-21T01:00:23.336Z,,,,,25.3,,0
2018-01-21T01:00:33.332Z,,,,,25.3,,0
2018-01-21T01:00:43.332Z,,,,,25.3,,0
2018-01-21T01:00:53.498Z,,,,,25.3,,0
2018-01-21T01:01:03.332Z,,41.5,,,25.3,,0
2018-01-21T01:01:13.335Z,,,,,25.3,,0
2018-01-21T01:01:23.336Z,,,,,25.1,,0
2018-01-21T01:01:33.333Z,,,,,25.1,,0
2018-01-21T01:01:43.332Z,,,,,25.1,,0
2018-01-21T01:01:53.335Z,,,,,25.1,,0
2018-01-21T01:02:03.337Z,,,,,25.1,,0
2018-01-21T01:02:13.332Z,,,,,25.1,,0
2018-01-21T01:02:23.333Z,,41.4,,,25.1,,0
2018-01-21T01:02:33.337Z,,,,,25.1,,0
2018-01-21T01:02:43.337Z,,,,,25,,0
2018-01-21T01:02:53.335Z,,,,,25,,0
2018-01-21T01:03:03.332Z,,,,,25,,0
2018-01-21T01:03:13.333Z,,,,,25,,0
2018-01-21T01:03:23.333Z,,,,,25,,0
2018-01-21T01:03:33.336Z,,,,,25,,0
2018-01-21T01:03:43.453Z,,41.3,,,25,,0
2018-01-21T01:03:53.333Z,,,,,24.9,,0
2018-01-21T01:04:03.339Z,,,,,24.9,,0
2018-01-21T01:04:13.332Z,,,,,24.9,,0
2018-01-21T01:04:23.333Z,,,,,24.9,,0
2018-01-21T01:04:33.334Z,,,,,24.9,,0
2018-01-21T01:04:43.333Z,,,,,24.9,,0
2018-01-21T01:04:53.333Z,,,,,24.9,,0
2018-01-21T01:05:03.333Z,,41.2,,,24.8,,0
2018-01-21T01:05:13.333Z,,,,,24.8,,0
2018-01-21T01:05:23.333Z,,,,,24.8,,0
2018-01-21T01:05:33.335Z,,,,,24.8,,0
2018-01-21T01:05:43.333Z,,,,,24.8,,0
2018-01-21T01:05:53.333Z,,,,,24.8,,0
2018-01-21T01:06:03.333Z,,,,,24.8,,0
2018-01-21T01:06:13.337Z,,,,,24.8,,0
2018-01-21T01:06:23.333Z,,,,,24.8,,0
2018-01-21T01:06:33.333Z,,41.1,,,24.7,,0
2018-01-21T01:06:43.345Z,,,,,24.7,,0
2018-01-21T01:06:53.443Z,,,,,24.7,,0
2018-01-21T01:07:08.358Z,,,,,24.7,,0
2018-01-21T01:07:13.332Z,,,,,24.7,,0
2018-01-21T01:07:23.333Z,,,,,24.7,,0
2018-01-21T01:07:33.333Z,,,,,24.7,,0
2018-01-21T01:07:43.338Z,,41,,,24.7,,0
2018-01-21T01:07:53.333Z,,,,,24.7,,0
