Time,PrimTSet,HwTSet,ActPow,HwTOutlet,PrimT,ChActive,HwActive
2018-01-28T00:29:36.827Z,,0,,24.8,,,
2018-01-28T00:29:46.827Z,,0,,24.8,,,
2018-01-28T00:29:56.826Z,,0,,24.8,36.7,,
2018-01-28T00:30:06.941Z,,0,,24.8,36.8,,
2018-01-28T00:30:16.827Z,,0,,24.8,36.7,,
2018-01-28T00:30:26.942Z,,0,,24.8,,,
2018-01-28T00:30:36.827Z,,0,,24.8,,,
2018-01-28T00:30:46.827Z,,0,,24.8,,,
2018-01-28T00:30:56.827Z,,0,,24.8,,,
2018-01-28T00:31:06.827Z,,0,,24.8,,,
2018-01-28T00:31:16.827Z,,0,,24.8,,,
2018-01-28T00:31:26.839Z,,0,,24.7,,,
2018-01-28T00:31:36.982Z,,0,,24.8,36.6,,
2018-01-28T00:31:46.829Z,,0,,24.7,,,
2018-01-28T00:31:56.830Z,,0,,24.7,,,
2018-01-28T00:32:06.827Z,,0,,24.7,,,
2018-01-28T00:32:16.827Z,,0,,24.7,,,
2018-01-28T00:32:26.840Z,,0,,24.7,,,
2018-01-28T00:32:36.832Z,,0,,24.7,,,
2018-01-28T00:32:46.829Z,,0,,24.7,,,
2018-01-28T00:32:56.836Z,,0,,24.7,,,
2018-01-28T00:33:06.827Z,,0,,24.7,,,
2018-01-28T00:33:16.831Z,,0,,24.7,,,
2018-01-28T00:33:26.833Z,,0,,24.7,36.5,,
2018-01-28T00:33:36.827Z,,0,,24.7,36.6,,
2018-01-28T00:33:46.937Z,,0,,24.5,36.5,,
2018-01-28T00:34:01.880Z,,0,,24.5,,,
2018-01-28T00:34:06.852Z,,0,,24.5,,,
2018-01-28T00:34:16.832Z,,0,,24.5,,,
2018-01-28T00:34:26.933Z,,0,,24.5,,,
2018-01-28T00:34:36.829Z,,0,,24.5,,,
2018-01-28T00:34:46.830Z,,0,,24.5,,,
2018-01-28T00:34:56.828Z,,0,,24.5,,,
2018-01-28T00:35:06.828Z,,0,,24.5,,,
2018-01-28T00:35:16.828Z,,0,,24.5,,,
2018-01-28T00:35:26.832Z,,0,,24.5,,,
2018-01-28T00:35:36.930Z,,0,,24.5,,,
