Time,ChActive,HwTOutlet,ActPow,HwTSet,PrimT,HwActive,PrimTSet
2017-11-26T00:28:56.479Z,,53.8,37,54,53.6,,
2017-11-26T00:29:06.474Z,,54,36,54,53.8,,
2017-11-26T00:29:16.479Z,,54.1,37,54,53.9,,
2017-11-26T00:29:26.474Z,,54.2,35,54,,,
2017-11-26T00:29:36.475Z,,54.2,34,54,53.8,,
2017-11-26T00:29:46.481Z,0,54.1,0,54,53.6,0,
2017-11-26T00:29:56.479Z,,53.8,,0,52.7,,
2017-11-26T00:30:06.478Z,,53.5,,0,52.4,,
2017-11-26T00:30:16.479Z,,53.3,,0,,,
2017-11-26T00:30:26.480Z,,53.1,,0,52.3,,
2017-11-26T00:30:36.474Z,,52.9,,0,52.2,,
2017-11-26T00:30:46.480Z,1,52.6,,0,,0,61
2017-11-26T00:30:56.476Z,0,42.3,48,54,51.7,2,0
2017-11-26T00:31:06.480Z,,51.1,47,54,51.6,,
2017-11-26T00:31:16.476Z,0,50.6,0,0,51,0,
2017-11-26T00:31:26.475Z,,50.3,,0,50.9,,
2017-11-26T00:31:36.480Z,,50.1,,0,,,
2017-11-26T00:31:46.482Z,,49.9,,0,50.7,,
2017-11-26T00:31:56.474Z,0,49.7,0,0,50.6,0,0
2017-11-26T00:32:06.475Z,,49.4,,0,,,
2017-11-26T00:32:16.486Z,1,49.2,,0,51.4,0,61
2017-11-26T00:32:26.490Z,,49.1,34,0,58,,
2017-11-26T00:32:36.475Z,,48.9,29,0,60.4,,
2017-11-26T00:32:46.475Z,,48.8,30,0,60.2,,
2017-11-26T00:32:56.476Z,,48.5,,0,61.2,,
2017-11-26T00:33:06.475Z,,48.3,29,0,60.7,,
2017-11-26T00:33:16.478Z,,48.2,,0,60.5,,
2017-11-26T00:33:26.475Z,,48,29,0,59.9,,
2017-11-26T00:33:36.475Z,,47.8,,0,59.7,,
2017-11-26T00:33:46.475Z,,47.7,,0,59.3,,
2017-11-26T00:33:56.475Z,,47.5,,0,59,,
2017-11-26T00:34:06.478Z,,47.4,30,0,58.8,,
2017-11-26T00:34:16.476Z,0,49.9,,54,58.9,2,0
2017-11-26T00:34:26.489Z,0,35.8,0,0,62.6,0,
2017-11-26T00:34:36.478Z,,35.4,,0,56.2,,
2017-11-26T00:34:46.478Z,,35.4,,0,55.7,,
2017-11-26T00:34:56.484Z,,35.4,,0,55.6,,
2017-11-26T00:35:06.475Z,,35.4,,0,55.5,,
2017-11-26T00:35:16.476Z,,35.6,,0,55.4,,
2017-11-26T00:35:26.478Z,1,35.6,45,0,56.3,0,61
2017-11-26T00:35:36.478Z,,35.7,35,0,59.1,,
2017-11-26T00:35:46.476Z,,35.8,30,0,60.8,,
2017-11-26T00:35:56.476Z,,35.8,,0,60.1,,
2017-11-26T00:36:06.476Z,,35.9,,0,60.2,,
2017-11-26T00:36:16.476Z,,35.9,,0,60.5,,
2017-11-26T00:36:26.475Z,,35.9,29,0,60.6,,
