Time,HwActive,HwTSet,HwTOutlet,PrimT,ActPow,PrimTSet,ChActive
2017-12-18T00:24:19.282Z,,0,26.2,,,,
2017-12-18T00:24:29.282Z,,0,26.2,,,,
2017-12-18T00:24:39.282Z,,0,26.1,45.7,,,
2017-12-18T00:24:49.372Z,,0,26.1,,,,
2017-12-18T00:24:59.282Z,,0,26.1,,,,
2017-12-18T00:25:09.282Z,,0,26.1,,,,
2017-12-18T00:25:19.282Z,,0,26.1,,,,
2017-12-18T00:25:29.283Z,,0,26.1,,,,
2017-12-18T00:25:39.283Z,,0,26,,,,
2017-12-18T00:25:49.372Z,,0,26,45.6,,,
2017-12-18T00:25:59.283Z,,0,26,,,,
2017-12-18T00:26:09.282Z,,0,26,,,,
2017-12-18T00:26:19.283Z,,0,26,,,,
2017-12-18T00:26:29.284Z,,0,26,,,,
2017-12-18T00:26:39.283Z,,0,26,,,,
2017-12-18T00:26:49.362Z,,0,26,,,,
2017-12-18T00:26:59.284Z,,0,25.9,,,,
2017-12-18T00:27:09.282Z,,0,25.9,45.5,,,
2017-12-18T00:27:19.282Z,,0,25.9,,,,
2017-12-18T00:27:29.283Z,,0,25.9,,,,
2017-12-18T00:27:39.283Z,,0,25.9,,,,
2017-12-18T00:27:49.363Z,,0,25.9,,,,
2017-12-18T00:27:59.283Z,,0,25.9,,,,
2017-12-18T00:28:09.283Z,,0,25.9,,,,
2017-12-18T00:28:19.286Z,,0,25.7,45.4,,,
2017-12-18T00:28:29.283Z,,0,25.7,,,,
2017-12-18T00:28:39.283Z,,0,25.7,,,,
2017-12-18T00:28:49.363Z,,0,25.7,,,,
2017-12-18T00:28:59.283Z,,0,25.7,,,,
2017-12-18T00:29:09.283Z,,0,25.7,,,,
2017-12-18T00:29:19.283Z,,0,25.7,45.3,,,
2017-12-18T00:29:29.283Z,,0,25.6,,,,
2017-12-18T00:29:39.283Z,,0,25.6,,,,
2017-12-18T00:29:49.365Z,,0,25.6,,,,
2017-12-18T00:29:59.283Z,,0,25.6,,,,
2017-12-18T00:30:09.283Z,,0,25.6,,,,
2017-12-18T00:30:19.283Z,,0,25.6,,,,
2017-12-18T00:30:29.283Z,,0,25.6,45.2,,,
2017-12-18T00:30:39.283Z,,0,25.6,,,,
2017-12-18T00:30:49.363Z,,0,25.5,,,,
2017-12-18T00:30:59.283Z,,0,25.5,,,,
2017-12-18T00:31:09.283Z,,0,25.5,,,,
2017-12-18T00:31:19.283Z,,0,25.5,,,,
2017-12-18T00:31:29.283Z,,0,25.5,,,,
