Time,HwTOutlet,ActPow,PrimT,HwActive,PrimTSet,ChActive,HwTSet
2018-02-06T00:53:27.805Z,25.1,,,,,,0
2018-02-06T00:53:37.813Z,25.1,,,,,,0
2018-02-06T00:53:47.810Z,25.1,,,,,,0
2018-02-06T00:53:57.810Z,25.1,,,,,,0
2018-02-06T00:54:07.806Z,25.1,,45.3,,,,0
2018-02-06T00:54:17.836Z,25,,,,,,0
2018-02-06T00:54:27.832Z,25,,,,,,0
2018-02-06T00:54:37.812Z,25,,,,,,0
2018-02-06T00:54:47.813Z,25,,,,,,0
2018-02-06T00:55:02.832Z,25,,,,,,0
2018-02-06T00:55:07.806Z,24.9,,45.2,,,,0
2018-02-06T00:55:17.813Z,24.9,,,,,,0
2018-02-06T00:55:27.809Z,24.9,,,,,,0
2018-02-06T00:55:37.807Z,24.9,,,,,,0
2018-02-06T00:55:47.807Z,24.9,,,,,,0
2018-02-06T00:55:57.975Z,24.8,,,,,,0
2018-02-06T00:56:07.808Z,24.8,,,,,,0
2018-02-06T00:56:17.810Z,24.8,,45.1,,,,0
2018-02-06T00:56:27.812Z,24.8,,,,,,0
2018-02-06T00:56:37.809Z,24.8,,,,,,0
2018-02-06T00:56:47.813Z,24.8,,,,,,0
2018-02-06T00:56:57.838Z,24.7,,,,,,0
2018-02-06T00:57:07.810Z,24.7,,,,,,0
2018-02-06T00:57:17.818Z,24.7,,45,,,,0
2018-02-06T00:57:27.812Z,24.7,,,,,,0
2018-02-06T00:57:37.827Z,24.7,,,,,,0
2018-02-06T00:57:47.811Z,24.5,,,,,,0
2018-02-06T00:57:57.823Z,24.5,,,,,,0
2018-02-06T00:58:07.813Z,24.5,,45,,,,0
2018-02-06T00:58:17.819Z,24.5,,44.9,,,,0
2018-02-06T00:58:27.817Z,24.5,,,,,,0
2018-02-06T00:58:37.812Z,24.5,,,,,,0
2018-02-06T00:58:47.813Z,24.4,,,,,,0
2018-02-06T00:58:57.808Z,24.4,,,,,,0
2018-02-06T00:59:07.815Z,24.4,,,,,,0
