Time,HwTOutlet,ActPow,PrimTSet,HwActive,PrimT,HwTSet,ChActive
2017-12-06T00:38:00.798Z,29.3,,,,,0,
2017-12-06T00:38:10.799Z,29.3,,,,,0,
2017-12-06T00:38:20.799Z,29.2,,,,35.2,0,
2017-12-06T00:38:30.798Z,29.2,,,,,0,
2017-12-06T00:38:40.801Z,29.2,,,,,0,
2017-12-06T00:38:50.798Z,29.1,,,,,0,
2017-12-06T00:39:00.807Z,29.1,,,,,0,
2017-12-06T00:39:10.798Z,29.1,,,,,0,
2017-12-06T00:39:20.798Z,29,,,,,0,
2017-12-06T00:39:30.798Z,29,,,,,0,
2017-12-06T00:39:40.810Z,28.9,,,,,0,
2017-12-06T00:39:50.798Z,28.9,,,,,0,
2017-12-06T00:40:00.804Z,28.9,,,,,0,
2017-12-06T00:40:10.798Z,28.7,,,,35.1,0,
2017-12-06T00:40:20.799Z,28.7,,,,35.2,0,
2017-12-06T00:40:30.798Z,28.7,,,,,0,
2017-12-06T00:40:40.800Z,28.7,,,,35.1,0,
2017-12-06T00:40:51.045Z,28.6,,,,,0,
2017-12-06T00:41:00.799Z,28.6,,,,,0,
2017-12-06T00:41:10.802Z,28.5,,,,,0,
2017-12-06T00:41:20.798Z,28.5,,,,,0,
2017-12-06T00:41:31.075Z,28.5,,,,,0,
2017-12-06T00:41:40.802Z,28.4,,,,,0,
2017-12-06T00:41:50.800Z,28.4,,,,,0,
2017-12-06T00:42:00.799Z,28.4,,,,,0,
2017-12-06T00:42:10.798Z,28.4,,,,,0,
2017-12-06T00:42:20.798Z,28.3,,,,,0,
2017-12-06T00:42:30.808Z,28.3,,,,,0,
2017-12-06T00:42:40.800Z,28.1,,,,34.9,0,
2017-12-06T00:42:50.800Z,28.1,,,,34.9,0,
2017-12-06T00:43:00.799Z,28.1,,,,,0,
2017-12-06T00:43:10.798Z,28.1,,,,,0,
2017-12-06T00:43:21.044Z,28,,,,,0,
2017-12-06T00:43:30.799Z,28,,,,,0,
2017-12-06T00:43:40.798Z,28,,,,,0,
2017-12-06T00:43:50.799Z,27.9,,,,,0,
2017-12-06T00:44:00.799Z,27.9,,,,,0,
2017-12-06T00:44:10.801Z,27.9,,,,,0,
2017-12-06T00:44:20.799Z,27.8,,,,,0,
2017-12-06T00:44:30.800Z,27.8,,,,,0,
2017-12-06T00:44:40.799Z,27.8,,,,,0,
2017-12-06T00:44:50.802Z,27.8,,,,,0,
2017-12-06T00:45:00.854Z,27.7,,,,34.8,0,
2017-12-06T00:45:10.799Z,27.7,,,,,0,
2017-12-06T00:45:20.799Z,27.7,,,,,0,
2017-12-06T00:45:30.799Z,27.7,,,,,0,
2017-12-06T00:45:40.805Z,27.5,,,,,0,
2017-12-06T00:45:50.800Z,27.5,,,,,0,
2017-12-06T00:46:00.804Z,27.5,,,,,0,
2017-12-06T00:46:10.799Z,27.5,,,,,0,
2017-12-06T00:46:20.804Z,27.4,,,,,0,
2017-12-06T00:46:30.799Z,27.4,,,,,0,
2017-12-06T00:46:40.800Z,27.4,,,,,0,
2017-12-06T00:46:50.800Z,27.4,,,,,0,
2017-12-06T00:47:00.819Z,27.3,,,,,0,
2017-12-06T00:47:10.799Z,27.3,,,,,0,
2017-12-06T00:47:20.803Z,27.3,,,,,0,
2017-12-06T00:47:30.800Z,27.3,0,5,0,34.7,0,0
2017-12-06T00:47:40.800Z,27.2,,,,,0,
2017-12-06T00:47:50.803Z,27.2,,,,,0,
2017-12-06T00:48:00.800Z,27.2,,,,,0,
2017-12-06T00:48:10.799Z,27.2,,,,,0,
2017-12-06T00:48:20.799Z,27.1,,,,,0,
2017-12-06T00:48:30.802Z,27.1,,,,,0,
2017-12-06T00:48:40.801Z,27.1,,,,,0,
2017-12-06T00:48:50.801Z,27.1,,,,,0,
2017-12-06T00:49:00.799Z,26.9,,,,,0,
2017-12-06T00:49:10.799Z,26.9,,,,,0,
2017-12-06T00:49:20.803Z,26.9,,,,,0,
2017-12-06T00:49:30.812Z,26.9,,,,,0,
2017-12-06T00:49:40.805Z,26.9,,,,34.6,0,
2017-12-06T00:49:50.801Z,26.8,,,,,0,
2017-12-06T00:50:00.815Z,26.8,,,,,0,
2017-12-06T00:50:10.807Z,26.8,,,,,0,
2017-12-06T00:50:20.809Z,26.8,,,,,0,
2017-12-06T00:50:30.803Z,26.8,,,,,0,
2017-12-06T00:50:40.800Z,26.7,,,,,0,
2017-12-06T00:50:50.801Z,26.7,,,,,0,
2017-12-06T00:51:00.807Z,26.7,,,,,0,
2017-12-06T00:51:11.555Z,26.7,,,,,0,
2017-12-06T00:51:20.817Z,26.7,,,,,0,
2017-12-06T00:51:30.812Z,26.6,,,,,0,
2017-12-06T00:51:40.801Z,26.6,,,,,0,
2017-12-06T00:51:50.813Z,26.6,,,,34.5,0,
2017-12-06T00:52:00.800Z,26.6,,,,,0,
2017-12-06T00:52:10.813Z,26.6,,,,,0,
2017-12-06T00:52:20.802Z,26.6,,,,,0,
2017-12-06T00:52:30.813Z,26.5,,,,,0,
2017-12-06T00:52:40.806Z,26.5,,,,,0,
2017-12-06T00:52:50.808Z,26.5,,,,,0,
2017-12-06T00:53:00.814Z,26.5,,,,,0,
2017-12-06T00:53:10.802Z,26.5,,,,,0,
2017-12-06T00:53:20.803Z,26.3,,,,,0,
2017-12-06T00:53:30.939Z,26.3,,,,,0,
2017-12-06T00:53:40.802Z,26.3,,,,,0,
2017-12-06T00:53:50.802Z,26.3,,,,,0,
2017-12-06T00:54:00.808Z,26.3,,,,,0,
2017-12-06T00:54:10.799Z,26.2,,,,,0,
2017-12-06T00:54:20.802Z,26.2,,,,,0,
2017-12-06T00:54:30.801Z,26.2,,,,34.4,0,
2017-12-06T00:54:40.800Z,26.2,,,,,0,
2017-12-06T00:54:50.810Z,26.2,,,,,0,
2017-12-06T00:55:00.808Z,26.2,,,,,0,
2017-12-06T00:55:10.808Z,26.1,,,,,0,
2017-12-06T00:55:20.806Z,26.1,,,,,0,
2017-12-06T00:55:30.858Z,26.1,,,,,0,
2017-12-06T00:55:40.806Z,26.1,,,,,0,
2017-12-06T00:55:50.833Z,26.1,,,,,0,
2017-12-06T00:56:00.812Z,26.1,,,,,0,
2017-12-06T00:56:10.807Z,26.1,,,,,0,
2017-12-06T00:56:20.803Z,26,,,,,0,
2017-12-06T00:56:30.801Z,26,,,,,0,
2017-12-06T00:56:40.808Z,26,,,,,0,
2017-12-06T00:56:50.801Z,26,,,,,0,
2017-12-06T00:57:00.802Z,26,,,,34.3,0,
2017-12-06T00:57:10.807Z,26,,,,,0,
2017-12-06T00:57:20.833Z,25.9,,,,,0,
2017-12-06T00:57:30.801Z,25.9,,,,,0,
2017-12-06T00:57:40.805Z,25.9,,,,,0,
2017-12-06T00:58:00.804Z,25.9,,,,,0,
2017-12-06T00:58:10.818Z,25.9,,,,,0,
2017-12-06T00:58:20.808Z,25.7,,,,,0,
2017-12-06T00:58:30.814Z,25.7,,,,,0,
2017-12-06T00:58:40.805Z,25.7,,,,,0,
2017-12-06T00:58:50.807Z,25.7,,,,,0,
2017-12-06T00:59:00.809Z,25.7,,,,,0,
2017-12-06T00:59:10.809Z,25.7,,,,,0,
2017-12-06T00:59:20.820Z,25.7,,,,34.2,0,
2017-12-06T00:59:30.810Z,25.6,,,,,0,
2017-12-06T00:59:40.802Z,25.6,,,,,0,
2017-12-06T00:59:50.803Z,25.6,,,,,0,
2017-12-06T01:00:00.803Z,25.6,,,,,0,
2017-12-06T01:00:10.801Z,25.6,,,,,0,
2017-12-06T01:00:20.806Z,25.6,,,,,0,
2017-12-06T01:00:30.801Z,25.6,,,,,0,
2017-12-06T01:00:40.801Z,25.6,,,,,0,
2017-12-06T01:00:50.801Z,25.6,,,,,0,
2017-12-06T01:01:00.809Z,25.5,,,,,0,
2017-12-06T01:01:10.806Z,25.5,,,,,0,
2017-12-06T01:01:20.809Z,25.5,,,,34.1,0,
2017-12-06T01:01:30.809Z,25.5,,,,,0,
2017-12-06T01:01:40.808Z,25.5,,,,34.2,0,
2017-12-06T01:01:50.817Z,25.5,,,,34.1,0,
2017-12-06T01:02:00.806Z,25.5,,,,,0,
2017-12-06T01:02:10.802Z,25.5,,,,,0,
2017-12-06T01:02:20.870Z,25.4,,,,,0,
2017-12-06T01:02:30.815Z,25.4,,,,,0,
2017-12-06T01:02:40.812Z,25.4,,,,,0,
2017-12-06T01:02:50.820Z,25.4,,,,,0,
2017-12-06T01:03:00.824Z,25.4,,,,,0,
2017-12-06T01:03:10.855Z,25.4,,,,,0,
2017-12-06T01:03:20.806Z,25.4,,,,,0,
2017-12-06T01:03:30.802Z,25.4,,,,,0,
2017-12-06T01:03:41.016Z,25.3,,,,,0,
2017-12-06T01:03:50.808Z,25.3,,,,,0,
2017-12-06T01:04:00.807Z,25.3,,,,34.1,0,
2017-12-06T01:04:10.819Z,25.3,,,,,0,
