Time,HwTSet,HwActive,HwTOutlet,PrimT,ChActive,PrimTSet,ActPow
2018-01-05T00:27:38.942Z,0,,22.4,,,,
2018-01-05T00:27:43.811Z,0,,22.4,,,,
2018-01-05T00:27:53.809Z,0,,22.4,,,,
2018-01-05T00:28:03.811Z,0,,22.4,38.7,,,
2018-01-05T00:28:13.810Z,0,,22.4,,,,
2018-01-05T00:28:23.810Z,0,,22.4,,,,
2018-01-05T00:28:33.811Z,0,,22.4,,,,
2018-01-05T00:28:43.810Z,0,,22.4,,,,
2018-01-05T00:28:53.810Z,0,,22.4,,,,
2018-01-05T00:29:03.810Z,0,,22.4,,,,
2018-01-05T00:29:13.810Z,0,,22.4,,,,
2018-01-05T00:29:23.809Z,0,,22.4,,,,
2018-01-05T00:29:33.810Z,0,,22.4,38.6,,,
2018-01-05T00:29:43.810Z,0,,22.4,,,,
2018-01-05T00:29:53.810Z,0,,22.4,,,,
2018-01-05T00:30:03.811Z,0,,22.2,,,,
2018-01-05T00:30:13.811Z,0,,22.2,,,,
2018-01-05T00:30:23.810Z,0,,22.2,,,,
2018-01-05T00:30:33.811Z,0,,22.2,,,,
2018-01-05T00:30:43.811Z,0,,22.2,,,,
2018-01-05T00:30:53.810Z,0,,22.2,,,,
2018-01-05T00:31:03.810Z,0,,22.2,38.5,,,
2018-01-05T00:31:13.810Z,0,,22.2,,,,
2018-01-05T00:31:23.812Z,0,,22.2,,,,
2018-01-05T00:31:33.810Z,0,,22.2,,,,
2018-01-05T00:31:43.811Z,0,,22.2,,,,
2018-01-05T00:31:53.813Z,0,,22.2,,,,
2018-01-05T00:32:03.810Z,0,,22.2,,,,
2018-01-05T00:32:13.810Z,0,,22.2,,,,
2018-01-05T00:32:23.810Z,0,,22.2,38.4,,,
2018-01-05T00:32:33.810Z,0,,22.2,,,,
2018-01-05T00:32:44.055Z,0,,22.2,,,,
2018-01-05T00:32:53.812Z,0,,22.2,,,,
2018-01-05T00:33:03.810Z,0,,22.2,,,,
2018-01-05T00:33:13.810Z,0,,22.2,,,,
2018-01-05T00:33:23.811Z,0,,22.2,,,,
2018-01-05T00:33:33.810Z,0,,22.2,,,,
2018-01-05T00:33:43.810Z,0,,22.1,,,,
2018-01-05T00:33:53.811Z,0,0,22.1,38.4,0,5,0
2018-01-05T00:34:03.810Z,0,,22.1,,,,
2018-01-05T00:34:13.811Z,0,,22.1,38.3,,,
2018-01-05T00:34:23.810Z,0,,22.1,,,,
2018-01-05T00:34:33.811Z,0,,22.1,,,,
2018-01-05T00:34:43.876Z,0,,22.1,,,,
2018-01-05T00:34:53.810Z,0,,22.1,,,,
2018-01-05T00:35:03.814Z,0,,22.1,,,,
2018-01-05T00:35:14.045Z,0,,22.1,,,,
2018-01-05T00:35:24.345Z,0,,22.1,,,,
2018-01-05T00:35:33.811Z,0,,22.1,,,,
2018-01-05T00:35:43.812Z,0,,22.1,38.2,,,
2018-01-05T00:35:53.811Z,0,,22.1,,,,
2018-01-05T00:36:03.811Z,0,,22.1,,,,
2018-01-05T00:36:13.812Z,0,,22.1,,,,
