Time,PrimT,HwTSet,PrimTSet,ChActive,HwTOutlet,ActPow,HwActive
2017-12-11T00:28:27.853Z,,0,,,25.9,,
2017-12-11T00:28:37.853Z,,0,,,25.9,,
2017-12-11T00:28:47.934Z,,0,,,25.7,,
2017-12-11T00:28:57.854Z,,0,,,25.7,,
2017-12-11T00:29:07.854Z,,0,,,25.7,,
2017-12-11T00:29:17.854Z,48.8,0,,,25.7,,
2017-12-11T00:29:27.853Z,,0,,,25.7,,
2017-12-11T00:29:37.855Z,,0,,,25.7,,
2017-12-11T00:29:47.934Z,,0,,,25.7,,
2017-12-11T00:29:57.857Z,,0,,,25.6,,
2017-12-11T00:30:07.854Z,48.7,0,,,25.6,,
2017-12-11T00:30:17.854Z,,0,,,25.6,,
2017-12-11T00:30:27.854Z,,0,,,25.6,,
2017-12-11T00:30:37.855Z,,0,,,25.6,,
2017-12-11T00:30:47.933Z,,0,,,25.6,,
2017-12-11T00:30:57.860Z,,0,,,25.5,,
2017-12-11T00:31:07.854Z,48.6,0,,,25.5,,
2017-12-11T00:31:17.853Z,,0,,,25.5,,
2017-12-11T00:31:27.854Z,,0,,,25.5,,
2017-12-11T00:31:37.856Z,,0,,,25.5,,
2017-12-11T00:31:48.034Z,,0,,,25.5,,
2017-12-11T00:31:57.854Z,,0,,,25.5,,
2017-12-11T00:32:07.863Z,48.5,0,,,25.4,,
2017-12-11T00:32:17.854Z,,0,,,25.4,,
2017-12-11T00:32:27.855Z,,0,,,25.4,,
2017-12-11T00:32:37.861Z,,0,,,25.4,,
2017-12-11T00:32:47.967Z,,0,,,25.4,,
2017-12-11T00:32:57.854Z,,0,,,25.4,,
2017-12-11T00:33:07.855Z,,0,,,25.3,,
2017-12-11T00:33:17.854Z,48.4,0,,,25.3,,
2017-12-11T00:33:27.854Z,,0,,,25.3,,
2017-12-11T00:33:37.859Z,,0,,,25.3,,
2017-12-11T00:33:48.035Z,,0,,,25.3,,
2017-12-11T00:33:57.858Z,,0,,,25.3,,
2017-12-11T00:34:07.856Z,,0,,,25.3,,
2017-12-11T00:34:17.857Z,48.3,0,,,25.1,,
2017-12-11T00:34:27.858Z,,0,,,25.1,,
2017-12-11T00:34:37.855Z,,0,,,25.1,,
2017-12-11T00:34:47.937Z,,0,,,25.1,,
2017-12-11T00:34:57.856Z,,0,,,25.1,,
2017-12-11T00:35:07.855Z,48.2,0,,,25.1,,
2017-12-11T00:35:17.855Z,,0,,,25,,
2017-12-11T00:35:27.856Z,,0,,,25,,
2017-12-11T00:35:37.854Z,,0,,,25,,
2017-12-11T00:35:48.105Z,,0,,,25,,
2017-12-11T00:35:57.858Z,,0,,,25,,
2017-12-11T00:36:07.855Z,,0,,,25,,
2017-12-11T00:36:17.857Z,48.1,0,,,25,,
