Time,HwTSet,PrimT,ActPow,HwActive,PrimTSet,ChActive,HwTOutlet
2018-02-07T00:42:38.035Z,0,,,,,,22.1
2018-02-07T00:42:48.054Z,0,,,,,,22.1
2018-02-07T00:42:58.025Z,0,,,,,,22.1
2018-02-07T00:43:08.025Z,0,,,,,,22.1
2018-02-07T00:43:18.032Z,0,37.3,,,,,22.1
2018-02-07T00:43:28.048Z,0,,,,,,22.1
2018-02-07T00:43:38.040Z,0,,,,,,22.1
2018-02-07T00:43:48.024Z,0,,,,,,22.1
2018-02-07T00:43:58.024Z,0,,,,,,22
2018-02-07T00:44:08.025Z,0,,,,,,22
2018-02-07T00:44:18.025Z,0,,,,,,22
2018-02-07T00:44:28.023Z,0,,,,,,22
2018-02-07T00:44:38.277Z,0,,,,,,22
2018-02-07T00:44:48.053Z,0,,,,,,22
2018-02-07T00:44:58.027Z,0,37.2,,,,,22
2018-02-07T00:45:08.055Z,0,,,,,,22
2018-02-07T00:45:18.053Z,0,,,,,,22
2018-02-07T00:45:28.054Z,0,,,,,,22
2018-02-07T00:45:38.028Z,0,,,,,,22
2018-02-07T00:45:48.088Z,0,,,,,,22
2018-02-07T00:45:58.056Z,0,,,,,,22
2018-02-07T00:46:08.052Z,0,,,,,,22
2018-02-07T00:46:18.027Z,0,,,,,,22
2018-02-07T00:46:28.030Z,0,37.1,,,,,22
2018-02-07T00:46:38.028Z,0,,,,,,22
2018-02-07T00:46:48.024Z,0,,,,,,22
2018-02-07T00:46:58.025Z,0,,,,,,21.9
2018-02-07T00:47:08.024Z,0,,,,,,22
2018-02-07T00:47:18.028Z,0,,,,,,22
2018-02-07T00:47:28.024Z,0,,,,,,21.9
2018-02-07T00:47:38.026Z,0,,,,,,21.9
2018-02-07T00:47:48.025Z,0,,,,,,21.9
2018-02-07T00:47:58.027Z,0,,,,,,21.9
2018-02-07T00:48:08.241Z,0,36.9,,,,,21.9
2018-02-07T00:48:18.026Z,0,37.1,,,,,21.9
2018-02-07T00:48:28.026Z,0,36.9,,,,,21.9
