Time,HwTOutlet,PrimTSet,PrimT,HwTSet,ActPow,ChActive,HwActive
2018-01-27T00:23:12.552Z,33.1,,39,55,,,
2018-01-27T00:23:22.642Z,33.1,,38.9,55,,,
2018-01-27T00:23:32.553Z,33.1,,,55,,,
2018-01-27T00:23:42.571Z,33.1,,38.8,55,,,
2018-01-27T00:23:52.555Z,33.1,,38.6,55,,,
2018-01-27T00:24:02.555Z,33.1,,38.5,55,,,
2018-01-27T00:24:12.568Z,33.1,,,55,,,
2018-01-27T00:24:22.632Z,33.1,,38.3,55,,,
2018-01-27T00:24:32.552Z,33.1,,,55,,,
2018-01-27T00:24:42.552Z,33.1,,38.4,55,,,
2018-01-27T00:24:52.555Z,33.2,,38.5,55,,,
2018-01-27T00:25:02.566Z,33.1,,38.6,55,,,
2018-01-27T00:25:12.554Z,33.1,,38.8,55,,,
2018-01-27T00:25:22.643Z,33.1,,39,55,,,
2018-01-27T00:25:32.554Z,33.1,,,55,,,
2018-01-27T00:25:42.553Z,33.1,,39.1,55,,,
2018-01-27T00:25:52.551Z,33.1,,,55,,,
2018-01-27T00:26:02.565Z,33.1,,39.3,55,,,
2018-01-27T00:26:12.552Z,33.1,,,55,,,
2018-01-27T00:26:22.641Z,33.1,,39.4,55,,,
2018-01-27T00:26:32.565Z,33.1,,,55,,,
2018-01-27T00:26:42.552Z,33.1,,39.5,55,,,
2018-01-27T00:26:52.552Z,33,,,55,,,
2018-01-27T00:27:02.568Z,33,,39.6,55,,,
2018-01-27T00:27:12.552Z,33,,,55,,,
2018-01-27T00:27:22.637Z,33,,,55,,,
2018-01-27T00:27:32.553Z,33,,39.8,55,,,
2018-01-27T00:27:42.552Z,33,,,55,,,
2018-01-27T00:27:52.551Z,32.8,,,55,,,
2018-01-27T00:28:02.556Z,32.8,,39.9,55,,,
2018-01-27T00:28:12.564Z,32.8,,,55,,,
2018-01-27T00:28:22.643Z,32.8,,40,55,,,
2018-01-27T00:28:32.691Z,32.8,,,55,,,
2018-01-27T00:28:42.552Z,32.8,,,55,,,
2018-01-27T00:28:52.554Z,32.8,,,55,,,
2018-01-27T00:29:02.552Z,32.7,,,55,,,
2018-01-27T00:29:12.564Z,32.7,,40.1,55,,,
2018-01-27T00:29:22.656Z,32.7,,,55,,,
2018-01-27T00:29:32.551Z,32.7,,,55,,,
2018-01-27T00:29:42.564Z,32.7,,,55,,,
2018-01-27T00:29:52.552Z,32.6,,,55,,,
2018-01-27T00:30:02.600Z,32.6,,40.2,55,,,
2018-01-27T00:30:12.551Z,32.6,,,55,,,
2018-01-27T00:30:22.632Z,32.6,,,55,,,
2018-01-27T00:30:32.553Z,32.6,,38.6,55,,,
2018-01-27T00:30:42.551Z,32.6,,36.9,55,,,
2018-01-27T00:30:52.563Z,32.5,,35.9,55,,,
2018-01-27T00:31:02.556Z,32.5,,34.9,55,,,
2018-01-27T00:31:12.553Z,32.5,,34.4,55,,,
2018-01-27T00:31:22.641Z,32.5,,,55,,,
2018-01-27T00:31:32.551Z,32.5,,34.6,55,,,
2018-01-27T00:31:42.553Z,32.3,,,55,,,
2018-01-27T00:31:52.562Z,32.3,,,55,,,
2018-01-27T00:32:02.552Z,32.3,,34.4,55,,,
2018-01-27T00:32:12.551Z,32.3,,34.3,55,,,
2018-01-27T00:32:22.631Z,32.3,,,55,,,
2018-01-27T00:32:32.552Z,32.2,,34.2,55,,,
2018-01-27T00:32:42.568Z,32.2,,,55,,,
2018-01-27T00:32:52.552Z,32.2,,,55,,,
2018-01-27T00:33:02.564Z,32.2,,34.1,55,,,
2018-01-27T00:33:12.552Z,32.2,,34,55,,,
2018-01-27T00:33:22.642Z,32.1,,36.2,55,80,1,0
2018-01-27T00:33:32.563Z,32.1,,42.2,55,68,,
2018-01-27T00:33:42.562Z,32.1,,44.3,55,0,1,0
2018-01-27T00:33:52.564Z,32.1,,40.9,55,,,
2018-01-27T00:34:02.551Z,32,,38.6,55,,,
2018-01-27T00:34:12.563Z,32,,36.7,55,,,
2018-01-27T00:34:22.632Z,32,,35.9,55,,,
2018-01-27T00:34:32.551Z,32,,35.4,55,,,
2018-01-27T00:34:42.564Z,32,,35.2,55,,,
2018-01-27T00:34:52.564Z,31.9,,34.9,55,,,
2018-01-27T00:35:02.551Z,31.9,,34.8,55,,,
2018-01-27T00:35:12.562Z,31.9,,34.7,55,,,
2018-01-27T00:35:22.641Z,31.9,,34.6,55,,,
2018-01-27T00:35:32.561Z,31.9,,34.4,55,,,
2018-01-27T00:35:42.564Z,31.7,,,55,,,
2018-01-27T00:35:52.555Z,31.7,,34.3,55,,,
2018-01-27T00:36:02.562Z,31.7,,34.2,55,,,
2018-01-27T00:36:12.563Z,31.7,,,55,,,
2018-01-27T00:36:22.654Z,31.7,,34.1,55,,,
2018-01-27T00:36:32.562Z,31.7,,,55,,,
2018-01-27T00:36:42.573Z,31.6,,33.8,55,,,
2018-01-27T00:36:52.560Z,31.6,,,55,,,
2018-01-27T00:37:02.555Z,31.6,,,55,,,
2018-01-27T00:37:12.562Z,31.6,,33.7,55,,,
2018-01-27T00:37:22.651Z,31.5,,,55,,,
2018-01-27T00:37:32.560Z,31.5,,33.6,55,,,
2018-01-27T00:37:42.562Z,31.5,,,55,,,
2018-01-27T00:37:52.588Z,31.5,,33.5,55,,,
2018-01-27T00:38:02.559Z,31.5,,,55,,,
2018-01-27T00:38:12.560Z,31.5,,33.3,55,,,
2018-01-27T00:38:22.631Z,31.4,,35.2,55,79,1,0
2018-01-27T00:38:32.551Z,31.4,,41.1,55,72,,
2018-01-27T00:38:42.563Z,31.4,,43,55,51,,
2018-01-27T00:38:52.563Z,31.4,,41.9,55,29,,
2018-01-27T00:39:02.566Z,31.4,,40.9,55,,,
2018-01-27T00:39:12.561Z,31.2,,39.9,55,,,
2018-01-27T00:39:22.641Z,31.2,,38.9,55,,,
2018-01-27T00:39:32.552Z,31.2,,38.6,55,,,
2018-01-27T00:39:42.559Z,31.2,,38.5,55,,,
2018-01-27T00:39:52.651Z,31.2,,38.6,55,,,
2018-01-27T00:40:02.559Z,31.1,,39,55,,,
2018-01-27T00:40:12.559Z,31.1,,,55,,,
2018-01-27T00:40:22.631Z,31.1,,39.1,55,,,
2018-01-27T00:40:32.559Z,31.1,,39.4,55,,,
2018-01-27T00:40:42.558Z,31.1,,39.5,55,,,
2018-01-27T00:40:52.566Z,31.1,,39.8,55,,,
2018-01-27T00:41:02.559Z,31.1,,40,55,,,
2018-01-27T00:41:12.559Z,31.1,,40.1,55,,,
2018-01-27T00:41:22.632Z,31,,40.2,55,,,
2018-01-27T00:41:32.558Z,31,,40.3,55,,,
2018-01-27T00:41:42.560Z,31,,40.6,55,,,
2018-01-27T00:41:52.560Z,31,,40.7,55,,,
2018-01-27T00:42:02.559Z,31.1,,40.8,55,,,
2018-01-27T00:42:12.559Z,31.1,,41,55,,,
2018-01-27T00:42:22.686Z,31.1,,41.1,55,,,
2018-01-27T00:42:32.557Z,31.1,,41.2,55,,,
2018-01-27T00:42:42.563Z,31.1,,41.5,55,,,
2018-01-27T00:42:52.558Z,31.1,,41.6,55,,,
2018-01-27T00:43:02.557Z,31.1,,41.7,55,,,
2018-01-27T00:43:12.557Z,31.2,,41.9,55,,,
2018-01-27T00:43:22.633Z,31.2,,42,55,,,
2018-01-27T00:43:32.557Z,31.4,,42.2,55,,,
2018-01-27T00:43:42.894Z,31.4,,42.3,55,,,
2018-01-27T00:43:52.558Z,31.4,,42.5,55,,,
2018-01-27T00:44:02.557Z,31.5,,42.6,55,,,
2018-01-27T00:44:12.557Z,31.5,,42.7,55,,,
2018-01-27T00:44:22.641Z,31.6,,43,55,,,
2018-01-27T00:44:32.562Z,31.6,,,55,,,
2018-01-27T00:44:42.560Z,31.6,40,43.2,55,29,1,0
2018-01-27T00:44:52.558Z,31.7,,43.3,55,,,
2018-01-27T00:45:02.616Z,31.7,,43.4,55,,,
2018-01-27T00:45:12.557Z,31.9,,43.5,55,,,
2018-01-27T00:45:22.633Z,32,,43.7,55,,,
2018-01-27T00:45:32.559Z,32,,44.1,55,0,,
2018-01-27T00:45:42.555Z,32.1,,42.8,55,,1,0
2018-01-27T00:45:52.556Z,32.1,,40.8,55,,,
2018-01-27T00:46:02.560Z,32.2,,39.6,55,,,
2018-01-27T00:46:12.556Z,32.3,,39.4,55,,,
2018-01-27T00:46:22.633Z,32.3,,39.5,55,,,
2018-01-27T00:46:32.566Z,32.5,,40,55,,,
2018-01-27T00:46:42.558Z,32.5,,40.4,55,,,
2018-01-27T00:46:52.566Z,32.6,,40.6,55,,,
2018-01-27T00:47:02.558Z,32.6,,40.3,55,,,
2018-01-27T00:47:12.555Z,32.7,,40.2,55,,,
2018-01-27T00:47:22.630Z,32.8,,39.9,55,,,
2018-01-27T00:47:32.559Z,32.8,,,55,,,
2018-01-27T00:47:42.557Z,32.8,,39.6,55,,,
2018-01-27T00:47:52.558Z,33,,39.5,55,,,
2018-01-27T00:48:02.557Z,33,,39.4,55,,,
2018-01-27T00:48:12.556Z,33,,,55,,,
2018-01-27T00:48:22.665Z,33.1,,39.3,55,,,
2018-01-27T00:48:32.558Z,33.1,,39.1,55,,,
2018-01-27T00:48:42.556Z,33.1,,39,55,,,
2018-01-27T00:48:52.554Z,33.1,,38.9,55,,,
2018-01-27T00:49:02.552Z,33.1,,,55,,,
2018-01-27T00:49:12.554Z,33.1,,38.8,55,,,
2018-01-27T00:49:22.630Z,33.1,,38.6,55,,,
2018-01-27T00:49:32.554Z,33.1,,38.5,55,,,
2018-01-27T00:49:42.563Z,33.2,,,55,,,
2018-01-27T00:49:52.556Z,33.1,,,55,,,
2018-01-27T00:50:02.554Z,33.1,,38.8,55,,,
2018-01-27T00:50:12.555Z,33.1,,38.9,55,,,
2018-01-27T00:50:22.631Z,33.1,,39,55,,,
2018-01-27T00:50:32.556Z,33.1,,39.1,55,,,
2018-01-27T00:50:42.556Z,33.1,,,55,,,
2018-01-27T00:50:52.558Z,33.1,,39.3,55,,,
2018-01-27T00:51:02.554Z,33.1,,39.4,55,,,
2018-01-27T00:51:12.565Z,33.1,,,55,,,
2018-01-27T00:51:22.630Z,33.1,,39.5,55,,,
2018-01-27T00:51:32.553Z,33.1,,39.6,55,,,
2018-01-27T00:51:42.560Z,33.1,,,55,,,
2018-01-27T00:51:52.553Z,33.1,,39.8,55,,,
2018-01-27T00:52:02.553Z,33.1,,,55,,,
2018-01-27T00:52:12.558Z,33.1,,39.9,55,,,
2018-01-27T00:52:22.629Z,33,,,55,,,
2018-01-27T00:52:32.553Z,33,,,55,,,
2018-01-27T00:52:42.555Z,33,,40,55,,,
2018-01-27T00:52:52.553Z,33,,,55,,,
2018-01-27T00:53:02.552Z,33,,,55,,,
2018-01-27T00:53:12.552Z,33,,40.1,55,,,
2018-01-27T00:53:22.633Z,33,,,55,,,
