Time,HwTSet,HwTOutlet,PrimT,ChActive,ActPow,PrimTSet,HwActive
2018-02-13T00:27:47.644Z,55,32.3,42.7,1,,,0
2018-02-13T00:27:57.644Z,55,32.5,40.8,,,,
2018-02-13T00:28:07.650Z,55,32.6,39.8,,,,
2018-02-13T00:28:17.656Z,55,32.6,39.7,,,,
2018-02-13T00:28:27.643Z,55,32.7,39.9,,,,
2018-02-13T00:28:37.644Z,55,32.7,40,,,,
2018-02-13T00:28:47.643Z,55,32.8,40.5,,,,
2018-02-13T00:28:57.643Z,55,32.8,40.8,,,,
2018-02-13T00:29:09.174Z,55,33,40.6,,,,
2018-02-13T00:29:17.643Z,55,33.1,40.3,,,,
2018-02-13T00:29:27.679Z,55,33.1,40.2,,,,
2018-02-13T00:29:37.643Z,55,33.2,39.9,,,,
2018-02-13T00:29:47.647Z,55,33.2,,,,,
2018-02-13T00:29:57.643Z,55,33.2,39.8,,,,
2018-02-13T00:30:07.643Z,55,33.2,39.6,,,,
2018-02-13T00:30:17.643Z,55,33.3,39.5,,,,
2018-02-13T00:30:27.646Z,55,33.3,39.4,,,,
2018-02-13T00:30:37.643Z,55,33.3,39.3,,,,
2018-02-13T00:30:47.642Z,55,33.3,,,,,
2018-02-13T00:30:57.642Z,55,33.3,39.1,,,,
2018-02-13T00:31:07.643Z,55,33.5,38.9,,,,
2018-02-13T00:31:17.645Z,55,33.5,,,,,
2018-02-13T00:31:27.643Z,55,33.5,38.8,,,,
2018-02-13T00:31:37.644Z,55,33.3,38.6,,,,
2018-02-13T00:31:47.643Z,55,33.5,38.5,,,,
2018-02-13T00:31:57.644Z,55,33.5,,,,,
2018-02-13T00:32:07.647Z,55,33.5,38.6,,,,
2018-02-13T00:32:17.643Z,55,33.5,39,,,,
2018-02-13T00:32:27.644Z,55,33.5,,,,,
2018-02-13T00:32:37.643Z,55,33.5,39.1,,,,
2018-02-13T00:32:47.643Z,55,33.3,39.3,,,,
2018-02-13T00:32:57.648Z,55,33.3,,,,,
2018-02-13T00:33:07.642Z,55,33.3,39.4,,,,
2018-02-13T00:33:17.643Z,55,33.3,39.5,,,,
2018-02-13T00:33:27.643Z,55,33.3,,,,,
2018-02-13T00:33:37.642Z,55,33.3,39.6,,,,
2018-02-13T00:33:47.642Z,55,33.3,39.8,,,,
2018-02-13T00:33:57.643Z,55,33.3,,,,,
2018-02-13T00:34:07.642Z,55,33.3,,,,,
2018-02-13T00:34:17.643Z,55,33.2,39.9,,,,
2018-02-13T00:34:27.642Z,55,33.2,40,,,,
2018-02-13T00:34:37.642Z,55,33.2,,,,,
2018-02-13T00:34:47.642Z,55,33.2,,,,,
2018-02-13T00:34:57.643Z,55,33.2,40.1,,,,
2018-02-13T00:35:07.643Z,55,33.2,,,,,
2018-02-13T00:35:17.645Z,55,33.1,,,,,
2018-02-13T00:35:27.643Z,55,33.1,40.2,,,,
2018-02-13T00:35:37.642Z,55,33.1,,,,,
2018-02-13T00:35:47.644Z,55,33.1,,,,,
2018-02-13T00:35:57.643Z,55,33.1,,,,,
2018-02-13T00:36:07.645Z,55,33,40.3,,,,
2018-02-13T00:36:17.643Z,55,33,,,,,
2018-02-13T00:36:27.643Z,55,33,,,,,
2018-02-13T00:36:37.642Z,55,33,,,,,
2018-02-13T00:36:47.643Z,55,33,40.5,,,,
2018-02-13T00:36:57.646Z,55,33,,,,,
2018-02-13T00:37:07.642Z,55,32.8,,,,,
2018-02-13T00:37:17.644Z,55,32.8,,,,,
2018-02-13T00:37:27.642Z,55,32.8,,,,,
2018-02-13T00:37:37.643Z,55,32.8,,,,,
2018-02-13T00:37:47.647Z,55,32.8,40.6,,,,
2018-02-13T00:37:57.642Z,55,32.8,38.8,,,,
2018-02-13T00:38:07.812Z,55,32.7,36.8,,,,
2018-02-13T00:38:17.645Z,55,32.7,35.9,,,,
2018-02-13T00:38:27.643Z,55,32.7,34.9,,,,
2018-02-13T00:38:37.643Z,55,32.7,34.6,,,,
2018-02-13T00:38:47.642Z,55,32.6,,,,,
2018-02-13T00:38:57.642Z,55,32.6,34.7,,,,
2018-02-13T00:39:07.642Z,55,32.6,,,,,
2018-02-13T00:39:17.642Z,55,32.6,34.6,,,,
2018-02-13T00:39:27.642Z,55,32.6,34.4,,,,
2018-02-13T00:39:37.643Z,55,32.5,,,,,
2018-02-13T00:39:47.642Z,55,32.5,34.3,,,,
2018-02-13T00:39:57.642Z,55,32.5,,,,,
2018-02-13T00:40:07.643Z,55,32.5,34.2,,,,
2018-02-13T00:40:17.720Z,55,32.5,34.1,,,,
2018-02-13T00:40:27.642Z,55,32.3,,,,,
2018-02-13T00:40:37.643Z,55,32.3,34,,,,
2018-02-13T00:40:47.643Z,55,32.3,37.5,1,79,,0
2018-02-13T00:40:57.769Z,55,32.3,42.1,,65,,
2018-02-13T00:41:07.644Z,55,32.2,43.8,1,0,,0
2018-02-13T00:41:17.646Z,55,32.2,40.9,,,,
2018-02-13T00:41:27.645Z,55,32.2,37.8,,,,
2018-02-13T00:41:37.643Z,55,32.2,36.5,,,,
2018-02-13T00:41:47.646Z,55,32.2,35.9,,,,
2018-02-13T00:41:57.642Z,55,32.1,35.4,,,,
2018-02-13T00:42:07.644Z,55,32.1,35.2,,,,
2018-02-13T00:42:17.642Z,55,32.1,34.9,,,,
2018-02-13T00:42:27.643Z,55,32.1,,,,,
2018-02-13T00:42:37.645Z,55,32,34.7,,,,
2018-02-13T00:42:47.643Z,55,32,34.6,,,,
2018-02-13T00:42:57.643Z,55,32,,,,,
2018-02-13T00:43:07.651Z,55,32,34.4,,,,
2018-02-13T00:43:17.644Z,55,32,34.3,,,,
2018-02-13T00:43:27.642Z,55,31.9,34.2,,,,
2018-02-13T00:43:37.642Z,55,31.9,,,,,
2018-02-13T00:43:47.644Z,55,31.9,34.1,,,,
2018-02-13T00:43:57.642Z,55,31.9,34,,,,
2018-02-13T00:44:07.642Z,55,31.7,33.8,,,,
2018-02-13T00:44:17.642Z,55,31.7,,,,,
2018-02-13T00:44:27.642Z,55,31.7,,,,,
2018-02-13T00:44:37.642Z,55,31.7,33.7,,,,
2018-02-13T00:44:47.643Z,55,31.7,33.6,,,,
2018-02-13T00:44:57.642Z,55,31.6,,,,,
2018-02-13T00:45:07.642Z,55,31.6,33.5,,,,
2018-02-13T00:45:17.642Z,55,31.6,,,,,
2018-02-13T00:45:27.645Z,55,31.6,33.3,,,,
2018-02-13T00:45:37.641Z,55,31.6,,,,,
2018-02-13T00:45:47.642Z,55,31.6,36.4,1,79,,0
2018-02-13T00:45:57.653Z,55,31.5,42,,62,,
2018-02-13T00:46:07.642Z,55,31.5,43,,45,,
2018-02-13T00:46:17.642Z,55,31.5,41.9,,29,,
2018-02-13T00:46:27.642Z,55,31.5,39.9,,,,
2018-02-13T00:46:37.675Z,55,31.4,,,,,
2018-02-13T00:46:47.642Z,55,31.4,38.9,,,,
2018-02-13T00:46:57.642Z,55,31.4,38.3,,,,
2018-02-13T00:47:07.649Z,55,31.4,,,,,
2018-02-13T00:47:17.641Z,55,31.4,38.4,,,,
2018-02-13T00:47:27.646Z,55,31.2,38.6,,,,
2018-02-13T00:47:37.641Z,55,31.2,38.7,,,,
2018-02-13T00:47:47.641Z,55,31.2,39,,,,
2018-02-13T00:47:57.648Z,55,31.2,39.1,,,,
2018-02-13T00:48:07.641Z,55,31.2,39.3,,,,
2018-02-13T00:48:17.642Z,55,31.2,39.4,,,,
2018-02-13T00:48:27.642Z,55,31.2,39.7,,,,
2018-02-13T00:48:37.641Z,55,31.1,39.9,,30,,
2018-02-13T00:48:47.642Z,55,31.1,40,,,,
2018-02-13T00:48:57.643Z,55,31.1,40.2,,29,,
2018-02-13T00:49:07.641Z,55,31.1,40.3,,,,
2018-02-13T00:49:17.641Z,55,31.1,,,,,
2018-02-13T00:49:27.641Z,55,31.1,40.5,,,,
2018-02-13T00:49:37.641Z,55,31.1,40.7,,,,
2018-02-13T00:49:47.641Z,55,31.1,40.8,,,,
2018-02-13T00:49:57.641Z,55,31.1,41,,,,
2018-02-13T00:50:07.642Z,55,31.2,,,,,
2018-02-13T00:50:17.642Z,55,31.2,41.2,,,,
2018-02-13T00:50:27.641Z,55,31.2,41.4,,,,
2018-02-13T00:50:37.642Z,55,31.2,41.5,,,,
2018-02-13T00:50:47.644Z,55,31.4,41.6,,,,
2018-02-13T00:50:57.643Z,55,31.4,41.8,,,,
2018-02-13T00:51:07.641Z,55,31.4,41.9,,,,
2018-02-13T00:51:17.642Z,55,31.5,42,,,,
2018-02-13T00:51:27.642Z,55,31.5,42.2,,,,
2018-02-13T00:51:37.641Z,55,31.5,42.3,,,,
2018-02-13T00:51:47.641Z,55,31.6,42.4,,,,
2018-02-13T00:51:57.649Z,55,31.6,42.6,,,,
2018-02-13T00:52:07.641Z,55,31.6,42.7,,,,
2018-02-13T00:52:17.645Z,55,31.7,43,,,,
2018-02-13T00:52:27.641Z,55,31.9,,,,,
2018-02-13T00:52:37.643Z,55,31.9,43.1,,,,
2018-02-13T00:52:47.642Z,55,31.9,43.3,,,,
2018-02-13T00:52:57.642Z,55,32,,,,,
2018-02-13T00:53:07.642Z,55,32,43.4,,,,
2018-02-13T00:53:17.643Z,55,32.1,43.6,,,,
2018-02-13T00:53:27.642Z,55,32.2,43.7,,,,
2018-02-13T00:53:37.666Z,55,32.2,44.1,1,0,,0
2018-02-13T00:53:47.641Z,55,32.3,41.8,,,,
2018-02-13T00:53:57.641Z,55,32.3,40.8,,,,
2018-02-13T00:54:07.641Z,55,32.5,39.7,,,,
2018-02-13T00:54:17.642Z,55,32.5,39.5,,,,
2018-02-13T00:54:27.642Z,55,32.6,40,,,,
2018-02-13T00:54:37.641Z,55,32.7,,,,,
2018-02-13T00:54:47.641Z,55,32.7,40.6,,,,
2018-02-13T00:54:57.641Z,55,32.8,40.7,,,,
