Time,PrimT,PrimTSet,HwActive,HwTOutlet,ChActive,ActPow,HwTSet
2017-11-26T00:23:30.064Z,60.7,,,45,,,55
2017-11-26T00:23:40.064Z,,,,44.9,,,55
2017-11-26T00:23:50.064Z,,,,44.8,,,55
2017-11-26T00:24:00.065Z,,,,44.8,,,55
2017-11-26T00:24:10.069Z,,,,44.8,,,55
2017-11-26T00:24:21.068Z,60.6,,,44.7,,,55
2017-11-26T00:24:30.069Z,,,,44.5,,,55
2017-11-26T00:24:40.064Z,,,,44.5,,,55
2017-11-26T00:24:50.064Z,,,,44.4,,,55
2017-11-26T00:25:00.065Z,,,,44.4,,,55
2017-11-26T00:25:10.064Z,60.5,,,44.3,,,55
2017-11-26T00:25:20.064Z,,,,44.3,,,55
2017-11-26T00:25:30.069Z,,,,44.3,,,55
2017-11-26T00:25:40.069Z,,,,44.2,,,55
2017-11-26T00:25:50.070Z,,,,44.1,,,55
2017-11-26T00:26:00.064Z,60.3,,,44.1,,,55
2017-11-26T00:26:10.064Z,,,,44,,,55
2017-11-26T00:26:20.065Z,,,,44,,,55
2017-11-26T00:26:30.065Z,60.2,,,43.9,,,55
2017-11-26T00:26:40.065Z,,,,43.9,,,55
2017-11-26T00:26:50.064Z,,,,43.9,,,55
2017-11-26T00:27:00.072Z,,,,43.7,,,55
2017-11-26T00:27:15.085Z,,,,43.7,,,55
2017-11-26T00:27:20.065Z,,,,43.6,,,55
2017-11-26T00:27:30.065Z,60.1,,,43.6,,,55
2017-11-26T00:27:40.065Z,,,,43.5,,,55
2017-11-26T00:27:50.067Z,,,,43.5,,,55
2017-11-26T00:28:00.069Z,,,,43.4,,,55
2017-11-26T00:28:10.065Z,60,,,43.4,,,55
2017-11-26T00:28:20.065Z,,,,43.3,,,55
2017-11-26T00:28:30.065Z,,,,43.3,,,55
2017-11-26T00:28:40.065Z,,,,43.2,,,55
2017-11-26T00:28:50.067Z,60,,,43.2,,,55
2017-11-26T00:29:00.065Z,59.9,,,43.1,,,55
2017-11-26T00:29:10.064Z,,,,43.1,,,55
2017-11-26T00:29:20.066Z,,,,43.1,,,55
2017-11-26T00:29:30.065Z,,,,43,,,55
2017-11-26T00:29:40.065Z,,,,43,,,55
2017-11-26T00:29:50.065Z,59.8,,,42.8,,,55
2017-11-26T00:30:05.085Z,,,,42.8,,,55
2017-11-26T00:30:10.066Z,,,,42.7,,,55
2017-11-26T00:30:20.067Z,,,,42.7,,,55
2017-11-26T00:30:30.068Z,59.7,,,42.6,,,55
2017-11-26T00:30:40.065Z,,,,42.6,,,55
2017-11-26T00:30:50.065Z,,,,42.6,,,55
2017-11-26T00:31:00.065Z,,,,42.5,,,55
2017-11-26T00:31:10.065Z,,,,42.5,,,55
2017-11-26T00:31:20.065Z,59.5,,,42.4,,,55
2017-11-26T00:31:31.064Z,,,,42.4,,,55
2017-11-26T00:31:40.065Z,,,,42.3,,,55
2017-11-26T00:31:50.067Z,,,,42.3,,,55
2017-11-26T00:32:00.066Z,,,,42.2,,,55
2017-11-26T00:32:10.065Z,59.4,,,42.2,,,55
2017-11-26T00:32:20.065Z,,,,42.2,,,55
2017-11-26T00:32:30.069Z,,,,42,,,55
2017-11-26T00:32:40.065Z,,,,42,,,55
2017-11-26T00:32:56.085Z,59.3,,,41.9,,,55
2017-11-26T00:33:00.065Z,,,,41.9,,,55
2017-11-26T00:33:10.065Z,,,,41.8,,,55
2017-11-26T00:33:20.065Z,,,,41.8,,,55
2017-11-26T00:33:30.065Z,,,,41.8,,,55
2017-11-26T00:33:40.067Z,59.2,,,41.7,,,55
2017-11-26T00:33:50.065Z,,,,41.7,,,55
2017-11-26T00:34:00.070Z,,,,41.6,,,55
2017-11-26T00:34:10.065Z,,,,41.6,,,55
2017-11-26T00:34:21.058Z,59.1,,,41.5,,,55
2017-11-26T00:34:30.066Z,,,,41.5,,,55
2017-11-26T00:34:40.066Z,,,,41.5,,,55
2017-11-26T00:34:50.066Z,59.1,5,0,41.4,0,0,55
2017-11-26T00:35:00.070Z,,,,41.4,,,55
2017-11-26T00:35:10.070Z,59,,,41.2,,,55
2017-11-26T00:35:20.066Z,,,,41.2,,,55
2017-11-26T00:35:30.065Z,,,,41.2,,,55
2017-11-26T00:35:40.066Z,,,,41.1,,,55
2017-11-26T00:35:50.066Z,58.9,,,41.1,,,55
2017-11-26T00:36:00.068Z,,,,41.1,,,55
2017-11-26T00:36:10.066Z,,,,41,,,55
2017-11-26T00:36:20.066Z,,,,41,,,55
2017-11-26T00:36:30.065Z,,,,40.9,,,55
2017-11-26T00:36:40.066Z,58.7,,,40.9,,,55
2017-11-26T00:36:50.070Z,,,,40.8,,,55
2017-11-26T00:37:00.066Z,,,,40.8,,,55
