Time,HwActive,PrimT,PrimTSet,HwTSet,ChActive,ActPow,HwTOutlet
2017-11-22T00:42:29.304Z,,,,55,,,45.9
2017-11-22T00:42:39.303Z,,,,55,,,45.8
2017-11-22T00:42:49.303Z,,55.2,,55,,,45.8
2017-11-22T00:42:59.303Z,,,,55,,,45.7
2017-11-22T00:43:09.304Z,,,,55,,,45.7
2017-11-22T00:43:19.303Z,,,,55,,,45.6
2017-11-22T00:43:29.306Z,,,,55,,,45.6
2017-11-22T00:43:39.303Z,,,,55,,,45.5
2017-11-22T00:43:49.306Z,,,,55,,,45.5
2017-11-22T00:43:59.304Z,,55.1,,55,,,45.3
2017-11-22T00:44:09.303Z,,,,55,,,45.3
2017-11-22T00:44:19.304Z,,,,55,,,45.2
2017-11-22T00:44:30.303Z,,,,55,,,45.2
2017-11-22T00:44:39.304Z,,55,,55,,,45.1
2017-11-22T00:44:49.304Z,,,,55,,,45.1
2017-11-22T00:44:59.304Z,,,,55,,,45
2017-11-22T00:45:09.303Z,,,,55,,,45
2017-11-22T00:45:19.304Z,,,,55,,,44.9
2017-11-22T00:45:29.304Z,,54.9,,55,,,44.9
2017-11-22T00:45:39.303Z,,,,55,,,44.8
2017-11-22T00:45:49.304Z,,,,55,,,44.8
2017-11-22T00:45:59.303Z,,,,55,,,44.7
2017-11-22T00:46:09.304Z,,,,55,,,44.7
2017-11-22T00:46:19.304Z,,,,55,,,44.5
2017-11-22T00:46:29.304Z,,54.8,,55,,,44.5
2017-11-22T00:46:39.304Z,,,,55,,,44.4
2017-11-22T00:46:49.304Z,,,,55,,,44.4
2017-11-22T00:46:59.304Z,,,,55,,,44.4
2017-11-22T00:47:09.304Z,,54.7,,55,,,44.3
2017-11-22T00:47:20.300Z,,,,55,,,44.3
2017-11-22T00:47:29.304Z,,,,55,,,44.2
2017-11-22T00:47:39.304Z,,,,55,,,44.2
2017-11-22T00:47:49.304Z,,,,55,,,44.1
2017-11-22T00:47:59.304Z,,54.6,,55,,,44.1
2017-11-22T00:48:09.308Z,,,,55,,,44.1
2017-11-22T00:48:19.304Z,,,,55,,,44
2017-11-22T00:48:29.304Z,,,,55,,,44
2017-11-22T00:48:39.312Z,,,,55,,,43.9
2017-11-22T00:48:49.304Z,,,,55,,,43.9
2017-11-22T00:48:59.304Z,,54.4,,55,,,43.7
2017-11-22T00:49:09.304Z,,,,55,,,43.7
2017-11-22T00:49:19.304Z,,,,55,,,43.6
2017-11-22T00:49:29.304Z,,,,55,,,43.6
2017-11-22T00:49:39.304Z,,54.3,,55,,,43.6
2017-11-22T00:49:49.307Z,,,,55,,,43.5
2017-11-22T00:49:59.307Z,,,,55,,,43.5
2017-11-22T00:50:14.324Z,,,,55,,,43.4
2017-11-22T00:50:19.304Z,,,,55,,,43.4
2017-11-22T00:50:29.305Z,,54.2,,55,,,43.3
2017-11-22T00:50:39.304Z,,,,55,,,43.3
2017-11-22T00:50:49.305Z,,,,55,,,43.2
2017-11-22T00:50:59.308Z,,,,55,,,43.2
2017-11-22T00:51:09.304Z,,,,55,,,43.2
2017-11-22T00:51:19.305Z,,54.1,,55,,,43.1
2017-11-22T00:51:29.306Z,,,,55,,,43.1
2017-11-22T00:51:39.526Z,,,,55,,,43
2017-11-22T00:51:49.305Z,,,,55,,,43
2017-11-22T00:51:59.306Z,,54,,55,,,42.8
2017-11-22T00:52:09.307Z,,,,55,,,42.8
2017-11-22T00:52:19.305Z,,,,55,,,42.8
2017-11-22T00:52:29.310Z,,,,55,,,42.7
2017-11-22T00:52:39.305Z,,,,55,,,42.7
2017-11-22T00:52:49.304Z,,53.9,,55,,,42.6
2017-11-22T00:52:59.307Z,,,,55,,,42.6
2017-11-22T00:53:09.307Z,,,,55,,,42.6
2017-11-22T00:53:19.306Z,,,,55,,,42.5
2017-11-22T00:53:29.308Z,,,,55,,,42.4
2017-11-22T00:53:39.308Z,,53.8,,55,,,42.4
2017-11-22T00:53:49.308Z,,,,55,,,42.4
2017-11-22T00:53:59.307Z,,,,55,,,42.3
2017-11-22T00:54:09.310Z,,,,55,,,42.3
2017-11-22T00:54:19.304Z,,,,55,,,42.3
2017-11-22T00:54:30.302Z,,53.7,,55,,,42.2
2017-11-22T00:54:39.310Z,,,,55,,,42.2
2017-11-22T00:54:49.310Z,,,,55,,,42
2017-11-22T00:54:59.308Z,,,,55,,,42
2017-11-22T00:55:09.305Z,,,,55,,,42
2017-11-22T00:55:19.310Z,,53.6,,55,,,41.9
2017-11-22T00:55:29.305Z,,,,55,,,41.9
2017-11-22T00:55:39.305Z,,,,55,,,41.8
2017-11-22T00:55:49.309Z,,,,55,,,41.8
2017-11-22T00:55:59.305Z,,,,55,,,41.7
2017-11-22T00:56:09.309Z,,53.4,,55,,,41.7
2017-11-22T00:56:19.305Z,,,,55,,,41.7
2017-11-22T00:56:29.306Z,,,,55,,,41.6
2017-11-22T00:56:39.307Z,,,,55,,,41.6
2017-11-22T00:56:49.310Z,,,,55,,,41.5
2017-11-22T00:56:59.310Z,,53.3,,55,,,41.5
2017-11-22T00:57:09.310Z,,,,55,,,41.4
2017-11-22T00:57:20.303Z,,,,55,,,41.4
2017-11-22T00:57:29.306Z,,,,55,,,41.4
2017-11-22T00:57:39.305Z,,53.2,,55,,,41.2
2017-11-22T00:57:49.305Z,,,,55,,,41.2
2017-11-22T00:57:59.308Z,,,,55,,,41.1
2017-11-22T00:58:09.310Z,,,,55,,,41.1
2017-11-22T00:58:19.306Z,,,,55,,,41.1
2017-11-22T00:58:29.306Z,,53.1,,55,,,41
2017-11-22T00:58:39.306Z,,,,55,,,41
2017-11-22T00:58:49.307Z,,,,55,,,40.9
2017-11-22T00:58:59.306Z,,,,55,,,40.9
2017-11-22T00:59:09.306Z,,,,55,,,40.8
2017-11-22T00:59:19.308Z,,53,,55,,,40.8
2017-11-22T00:59:29.306Z,,,,55,,,40.8
2017-11-22T00:59:39.305Z,,,,55,,,40.7
2017-11-22T00:59:49.306Z,,,,55,,,40.7
2017-11-22T00:59:59.305Z,,,,55,,,40.6
2017-11-22T01:00:10.297Z,,52.9,,55,,,40.6
2017-11-22T01:00:19.310Z,,,,55,,,40.6
2017-11-22T01:00:29.306Z,,,,55,,,40.5
2017-11-22T01:00:39.306Z,,,,55,,,40.5
2017-11-22T01:00:49.306Z,,,,55,,,40.5
2017-11-22T01:00:59.306Z,,52.8,,55,,,40.3
2017-11-22T01:01:09.306Z,,,,55,,,40.3
2017-11-22T01:01:19.308Z,,,,55,,,40.3
2017-11-22T01:01:29.306Z,,,,55,,,40.2
2017-11-22T01:01:39.309Z,,,,55,,,40.2
2017-11-22T01:01:49.307Z,,52.7,,55,,,40.1
2017-11-22T01:01:59.306Z,,,,55,,,40.1
2017-11-22T01:02:09.319Z,,,,55,,,40.1
2017-11-22T01:02:19.306Z,,,,55,,,40
2017-11-22T01:02:29.306Z,,,,55,,,40
2017-11-22T01:02:39.311Z,,52.6,,55,,,39.9
2017-11-22T01:02:49.306Z,,,,55,,,39.9
2017-11-22T01:03:00.302Z,,,,55,,,39.9
2017-11-22T01:03:09.308Z,,,,55,,,39.8
2017-11-22T01:03:19.306Z,,52.4,,55,,,39.8
2017-11-22T01:03:29.306Z,,,,55,,,39.8
2017-11-22T01:03:39.306Z,,,,55,,,39.6
2017-11-22T01:03:49.306Z,,,,55,,,39.6
2017-11-22T01:03:59.306Z,,,,55,,,39.6
2017-11-22T01:04:09.307Z,,52.3,,55,,,39.5
2017-11-22T01:04:19.306Z,,,,55,,,39.5
2017-11-22T01:04:29.311Z,,,,55,,,39.4
2017-11-22T01:04:39.306Z,,,,55,,,39.4
2017-11-22T01:04:49.306Z,,,,55,,,39.4
