Time,PrimT,HwTSet,ActPow,HwTOutlet,PrimTSet,ChActive,HwActive
2017-12-03T00:32:56.274Z,45.1,55,,32.5,,,
2017-12-03T00:33:06.279Z,45.3,55,,32.5,,,
2017-12-03T00:33:16.275Z,45.6,55,,32.5,,,
2017-12-03T00:33:26.280Z,45.8,55,,32.6,,,
2017-12-03T00:33:36.274Z,46,55,,32.6,,,
2017-12-03T00:33:46.354Z,46.1,55,,32.6,,,
2017-12-03T00:33:56.274Z,46.3,55,,32.7,,,
2017-12-03T00:34:06.281Z,46.4,55,,32.7,,,
2017-12-03T00:34:16.274Z,46.7,55,,32.8,,,
2017-12-03T00:34:26.274Z,47,55,,33,,,
2017-12-03T00:34:36.275Z,47.1,55,,33,,,
2017-12-03T00:34:46.355Z,47.2,55,,33.1,,,
2017-12-03T00:34:56.275Z,47.4,55,,33.2,,,
2017-12-03T00:35:06.275Z,47.7,55,,33.3,,,
2017-12-03T00:35:16.274Z,48,55,,33.3,,,
2017-12-03T00:35:26.280Z,,55,,33.5,,,
2017-12-03T00:35:36.275Z,48.2,55,,33.6,,,
2017-12-03T00:35:46.354Z,48.4,55,,33.7,,,
2017-12-03T00:35:56.275Z,48.7,55,,33.8,,,
2017-12-03T00:36:06.278Z,49,55,,33.8,,,
2017-12-03T00:36:16.280Z,49.1,55,,34,,,
2017-12-03T00:36:26.275Z,49.2,55,,34.1,,,
2017-12-03T00:36:36.275Z,49.4,55,,34.2,,,
2017-12-03T00:36:46.355Z,49.7,55,,34.3,,,
2017-12-03T00:36:56.275Z,49.8,55,,34.4,,,
2017-12-03T00:37:06.280Z,50,55,,34.6,,,
2017-12-03T00:37:16.276Z,50.2,55,,34.7,,,
2017-12-03T00:37:26.279Z,50.3,55,,34.7,,,
2017-12-03T00:37:36.280Z,50.8,55,0,34.9,,1,0
2017-12-03T00:37:46.361Z,48.9,55,,35.1,,,
2017-12-03T00:37:56.276Z,47.9,55,,35.1,,,
2017-12-03T00:38:06.275Z,46.9,55,,35.2,,,
2017-12-03T00:38:16.275Z,46.6,55,,35.3,,,
2017-12-03T00:38:26.281Z,,55,,35.4,,,
2017-12-03T00:38:36.274Z,47,55,,35.6,,,
2017-12-03T00:38:46.356Z,46.9,55,,35.7,,,
2017-12-03T00:38:56.277Z,46.8,55,,35.8,,,
2017-12-03T00:39:06.275Z,46.5,55,,35.9,,,
2017-12-03T00:39:16.279Z,46.2,55,,35.9,,,
2017-12-03T00:39:26.281Z,45.9,55,,36,,,
2017-12-03T00:39:36.275Z,,55,,36.2,,,
2017-12-03T00:39:46.355Z,45.7,55,,36.2,,,
2017-12-03T00:39:56.285Z,45.6,55,,36.2,,,
2017-12-03T00:40:06.283Z,45.3,55,,36.3,,,
2017-12-03T00:40:16.275Z,45.2,55,,36.3,,,
2017-12-03T00:40:26.279Z,44.9,55,,36.3,,,
2017-12-03T00:40:36.275Z,44.8,55,,36.3,,,
2017-12-03T00:40:46.361Z,45,55,,36.3,,,
2017-12-03T00:40:56.276Z,45.1,55,,36.4,,,
2017-12-03T00:41:06.276Z,45.2,55,,36.3,,,
2017-12-03T00:41:16.276Z,45.3,55,,36.3,,,
2017-12-03T00:41:26.275Z,45.5,55,,36.4,,,
2017-12-03T00:41:36.276Z,45.6,55,,36.3,,,
2017-12-03T00:41:46.356Z,45.7,55,,36.3,,,
2017-12-03T00:41:56.275Z,45.8,55,,36.3,,,
2017-12-03T00:42:06.276Z,45.9,55,,36.3,,,
2017-12-03T00:42:17.270Z,46,55,,36.3,,,
2017-12-03T00:42:26.275Z,,55,,36.3,,,
2017-12-03T00:42:36.275Z,46.1,55,,36.3,,,
2017-12-03T00:42:46.355Z,46.2,55,,36.3,,,
2017-12-03T00:42:56.276Z,,55,,36.3,,,
2017-12-03T00:43:06.292Z,46.4,55,,36.3,,,
2017-12-03T00:43:16.276Z,,55,,36.3,,,
2017-12-03T00:43:26.277Z,46.5,55,,36.2,,,
2017-12-03T00:43:36.281Z,,55,,36.2,,,
2017-12-03T00:43:46.356Z,46.6,55,,36.2,,,
2017-12-03T00:43:56.281Z,,55,,36.2,,,
2017-12-03T00:44:06.276Z,46.7,55,,36.2,,,
2017-12-03T00:44:16.277Z,,55,,36.2,,,
2017-12-03T00:44:26.276Z,46.8,55,,36.2,,,
2017-12-03T00:44:36.276Z,,55,,36.2,,,
2017-12-03T00:44:46.357Z,,55,,36,,,
2017-12-03T00:44:56.276Z,46.9,55,,36,,,
2017-12-03T00:45:07.438Z,,55,,36,,,
2017-12-03T00:45:16.276Z,,55,,36,,,
2017-12-03T00:45:26.276Z,47,55,,36,,,
2017-12-03T00:45:36.280Z,,55,,35.9,,,
2017-12-03T00:45:46.587Z,,55,,35.9,,,
2017-12-03T00:45:56.276Z,,55,,35.9,,,
2017-12-03T00:46:06.277Z,,55,,35.9,,,
2017-12-03T00:46:16.281Z,,55,,35.9,,,
2017-12-03T00:46:26.276Z,47.2,55,,35.8,,,
2017-12-03T00:46:36.284Z,,55,,35.8,,,
2017-12-03T00:46:46.356Z,,55,,35.8,,,
2017-12-03T00:46:56.280Z,,55,,35.8,,,
2017-12-03T00:47:06.276Z,,55,,35.7,,,
2017-12-03T00:47:16.276Z,,55,,35.7,,,
2017-12-03T00:47:26.278Z,,55,,35.7,,,
2017-12-03T00:47:36.276Z,,55,,35.7,,,
2017-12-03T00:47:46.356Z,,55,,35.7,,,
2017-12-03T00:47:57.269Z,,55,,35.7,,,
2017-12-03T00:48:06.276Z,47.3,55,79,35.6,,1,0
2017-12-03T00:48:16.277Z,52.1,55,,35.6,,,
2017-12-03T00:48:26.277Z,56.1,55,47,35.6,,,
2017-12-03T00:48:36.276Z,53.8,55,29,35.4,,,
2017-12-03T00:48:46.356Z,49.9,55,,35.4,,,
2017-12-03T00:48:56.281Z,47.7,55,,35.4,,,
2017-12-03T00:49:06.276Z,45.9,55,,35.4,,,
2017-12-03T00:49:16.276Z,45.6,55,,35.4,,,
2017-12-03T00:49:26.440Z,46,55,,35.3,,,
2017-12-03T00:49:36.276Z,47.1,55,,35.3,,,
2017-12-03T00:49:46.356Z,47.6,55,,35.3,,,
2017-12-03T00:49:56.276Z,47.8,55,,35.3,,,
2017-12-03T00:50:06.278Z,,55,,35.3,,,
2017-12-03T00:50:16.276Z,48,55,,35.3,,,
2017-12-03T00:50:26.277Z,48.1,55,,35.3,,,
2017-12-03T00:50:36.283Z,48.4,55,,35.3,,,
2017-12-03T00:50:46.356Z,48.7,55,,35.4,,,
2017-12-03T00:50:56.277Z,49,55,,35.4,,,
2017-12-03T00:51:06.283Z,,55,,35.6,,,
2017-12-03T00:51:16.277Z,49.2,55,,35.6,,,
2017-12-03T00:51:26.278Z,49.4,55,,35.7,,,
2017-12-03T00:51:36.277Z,49.6,55,,35.7,,,
2017-12-03T00:51:46.357Z,49.8,55,,35.8,,,
2017-12-03T00:51:56.277Z,50,55,,35.9,,,
2017-12-03T00:52:06.280Z,50.1,55,,35.9,,,
2017-12-03T00:52:17.276Z,50.3,55,,36,,,
2017-12-03T00:52:26.277Z,50.6,55,,36.2,,,
2017-12-03T00:52:36.277Z,50.8,55,,36.2,,,
2017-12-03T00:52:46.360Z,51,55,,36.3,,,
2017-12-03T00:52:56.277Z,51.1,55,,36.4,,,
2017-12-03T00:53:06.277Z,51.5,55,,36.5,,,
2017-12-03T00:53:16.277Z,51.6,55,,36.7,,,
2017-12-03T00:53:26.277Z,51.8,55,,36.8,,,
2017-12-03T00:53:36.277Z,52,55,,36.8,,,
2017-12-03T00:53:46.357Z,52.2,55,,36.9,,,
2017-12-03T00:53:56.277Z,52.4,55,,37,,,
2017-12-03T00:54:06.277Z,52.6,55,,37.2,,,
2017-12-03T00:54:16.277Z,52.8,55,,37.3,,,
2017-12-03T00:54:26.279Z,53,55,,37.4,,,
2017-12-03T00:54:36.277Z,53.1,55,,37.4,,,
2017-12-03T00:54:46.357Z,53.4,55,,37.7,,,
2017-12-03T00:54:56.278Z,53.5,55,,37.8,,,
2017-12-03T00:55:07.268Z,53.7,55,,37.8,,,
2017-12-03T00:55:16.277Z,54,55,,37.9,,,
2017-12-03T00:55:26.278Z,,55,,38,,,
2017-12-03T00:55:36.277Z,54.2,55,,38.1,,,
2017-12-03T00:55:46.357Z,54.3,55,,38.3,,,
2017-12-03T00:55:56.277Z,54.5,55,,38.4,,,
2017-12-03T00:56:06.277Z,54.7,55,,38.5,,,
2017-12-03T00:56:16.277Z,55.2,55,0,38.6,,1,0
2017-12-03T00:56:26.277Z,54.8,55,,38.8,,,
2017-12-03T00:56:36.277Z,52.7,55,,38.9,,,
2017-12-03T00:56:46.362Z,51.7,55,,39,,,
2017-12-03T00:56:56.277Z,51.3,55,,39.1,,,
2017-12-03T00:57:06.277Z,51.1,55,,39.3,,,
2017-12-03T00:57:16.277Z,51.2,55,,39.4,,,
2017-12-03T00:57:26.283Z,51.6,55,,39.5,,,
2017-12-03T00:57:36.277Z,,55,,39.5,,,
2017-12-03T00:57:46.361Z,51.2,55,,39.6,,,
2017-12-03T00:57:57.273Z,50.9,55,,39.8,,,
2017-12-03T00:58:06.277Z,50.8,55,,39.9,,,
2017-12-03T00:58:16.277Z,50.6,55,,39.9,,,
2017-12-03T00:58:26.278Z,50.4,55,,39.9,,,
2017-12-03T00:58:36.282Z,50.2,55,,40,,,
2017-12-03T00:58:46.357Z,49.9,55,,40,,,
2017-12-03T00:58:56.281Z,49.8,55,,40,,,
2017-12-03T00:59:06.285Z,49.5,55,,40,,,
2017-12-03T00:59:16.277Z,49.3,55,,40,,,
2017-12-03T00:59:26.277Z,,55,,40,,,
2017-12-03T00:59:36.277Z,49.4,55,,40,,,
2017-12-03T00:59:46.358Z,49.7,55,,40,,,
2017-12-03T00:59:56.282Z,49.8,55,,40,,,
2017-12-03T01:00:06.278Z,50,55,,40,,,
2017-12-03T01:00:16.283Z,,55,,40,,,
2017-12-03T01:00:26.278Z,50.1,55,,40,,,
2017-12-03T01:00:36.278Z,50.2,55,,40,,,
2017-12-03T01:00:51.378Z,50.3,55,,40,,,
2017-12-03T01:00:56.283Z,,55,,40,,,
2017-12-03T01:01:06.278Z,50.4,55,,40,,,
2017-12-03T01:01:16.278Z,50.6,55,,39.9,,,
2017-12-03T01:01:26.283Z,,55,,39.9,,,
2017-12-03T01:01:36.278Z,50.7,55,,39.9,,,
2017-12-03T01:01:46.359Z,,55,,39.9,,,
2017-12-03T01:01:56.280Z,50.8,55,,39.9,,,
2017-12-03T01:02:06.278Z,50.9,55,,39.9,,,
2017-12-03T01:02:16.281Z,,55,,39.9,,,
2017-12-03T01:02:26.280Z,51,55,,39.9,,,
2017-12-03T01:02:36.278Z,,55,,39.9,,,
2017-12-03T01:02:46.359Z,,55,,39.9,,,
2017-12-03T01:02:56.280Z,51.1,55,,39.9,,,
2017-12-03T01:03:06.278Z,,55,,39.8,,,
2017-12-03T01:03:16.280Z,,55,,39.8,,,
2017-12-03T01:03:26.283Z,51.2,55,,39.8,,,
2017-12-03T01:03:36.334Z,,55,,39.8,,,
2017-12-03T01:03:46.360Z,,55,,39.8,,,
