Time,PrimTSet,HwActive,HwTOutlet,HwTSet,ChActive,PrimT,ActPow
2017-12-23T00:51:34.052Z,,,13.2,55,,,
2017-12-23T00:51:44.051Z,,,13.2,55,,,
2017-12-23T00:51:54.053Z,,,13.2,55,,,
2017-12-23T00:52:04.142Z,,,13.2,55,,,
2017-12-23T00:52:14.051Z,,,13.2,55,,,
2017-12-23T00:52:24.055Z,,,13.2,55,,,
2017-12-23T00:52:39.072Z,,,13.2,55,,,
2017-12-23T00:52:44.054Z,,,13.2,55,,,
2017-12-23T00:52:54.057Z,,,13.2,55,,,
2017-12-23T00:53:04.142Z,,,13.2,55,,,
2017-12-23T00:53:19.077Z,,,13.2,55,,,
2017-12-23T00:53:24.052Z,,,13.2,55,,,
2017-12-23T00:53:34.055Z,,,13.2,55,,,
2017-12-23T00:53:44.052Z,,,13.2,55,,,
2017-12-23T00:53:54.056Z,,,13.2,55,,,
2017-12-23T00:54:04.142Z,5,0,13.2,55,0,12.8,0
2017-12-23T00:54:14.052Z,,,13.2,55,,,
2017-12-23T00:54:24.055Z,,,13.2,55,,,
2017-12-23T00:54:34.052Z,,,13.2,55,,,
2017-12-23T00:54:44.057Z,,,13.2,55,,,
2017-12-23T00:54:54.057Z,,,13.2,55,,,
2017-12-23T00:55:04.135Z,,,13.2,55,,,
2017-12-23T00:55:14.056Z,,,13.2,55,,,
2017-12-23T00:55:24.053Z,,,13.2,55,,,
2017-12-23T00:55:34.057Z,,,13.2,55,,,
2017-12-23T00:55:44.052Z,,,13.2,55,,,
2017-12-23T00:55:54.052Z,,,13.2,55,,,
2017-12-23T00:56:04.142Z,,,13.2,55,,,
2017-12-23T00:56:14.054Z,,,13.2,55,,,
2017-12-23T00:56:24.057Z,,,13.2,55,,,
2017-12-23T00:56:34.057Z,,,13.2,55,,,
2017-12-23T00:56:44.052Z,,,13.2,55,,,
2017-12-23T00:56:54.937Z,,,13.2,55,,,
2017-12-23T00:57:04.132Z,,,13.2,55,,,
2017-12-23T00:57:14.052Z,,,13.2,55,,,
2017-12-23T00:57:24.053Z,,,13.2,55,,,
2017-12-23T00:57:37.043Z,,,13.2,55,,,
2017-12-23T00:57:44.052Z,,,13.2,55,,,
2017-12-23T00:57:54.052Z,,,13.2,55,,,
2017-12-23T00:58:04.142Z,,,13.2,55,,,
2017-12-23T00:58:14.055Z,,,13.2,55,,,
2017-12-23T00:58:24.064Z,,,13.2,55,,,
2017-12-23T00:58:34.054Z,,,13.2,55,,,
2017-12-23T00:58:44.053Z,,,13.2,55,,,
2017-12-23T00:58:54.054Z,,,13.2,55,,,
2017-12-23T00:59:04.148Z,,,13.2,55,,,
2017-12-23T00:59:14.053Z,,,13.2,55,,,
2017-12-23T00:59:24.052Z,,,13.2,55,,,
2017-12-23T00:59:34.052Z,,,13.2,55,,,
2017-12-23T00:59:44.053Z,,,13.2,55,,,
2017-12-23T00:59:54.053Z,,,13.2,55,,,
2017-12-23T01:00:04.143Z,,,13.2,55,,,
2017-12-23T01:00:14.053Z,,,13.2,55,,,
2017-12-23T01:00:24.053Z,,,13.2,55,,,
2017-12-23T01:00:34.053Z,,,13.2,55,,,
2017-12-23T01:00:44.053Z,,,13.2,55,,,
2017-12-23T01:00:54.053Z,,,13.2,55,,,
2017-12-23T01:01:04.143Z,,,13.2,55,,,
