Time,ActPow,HwTOutlet,ChActive,PrimTSet,PrimT,HwTSet,HwActive
2017-12-11T00:26:21.767Z,,43.5,,,,55,
2017-12-11T00:26:31.769Z,,43.5,,,65.6,55,
2017-12-11T00:26:41.766Z,,43.4,,,,55,
2017-12-11T00:26:51.767Z,,43.4,,,,55,
2017-12-11T00:27:01.847Z,,43.3,,,65.5,55,
2017-12-11T00:27:11.767Z,,43.3,,,,55,
2017-12-11T00:27:21.767Z,,43.2,,,,55,
2017-12-11T00:27:31.767Z,,43.2,,,,55,
2017-12-11T00:27:41.766Z,,43.1,,,65.4,55,
2017-12-11T00:27:51.766Z,,43.1,,,,55,
2017-12-11T00:28:01.847Z,,43,,,,55,
2017-12-11T00:28:11.767Z,,43,,,65.2,55,
2017-12-11T00:28:26.787Z,,42.8,,,,55,
2017-12-11T00:28:31.768Z,,42.8,,,,55,
2017-12-11T00:28:41.767Z,,42.7,,,,55,
2017-12-11T00:28:51.766Z,,42.7,,,65.1,55,
2017-12-11T00:29:01.847Z,,42.6,,,,55,
2017-12-11T00:29:11.767Z,,42.6,,,,55,
2017-12-11T00:29:21.767Z,,42.5,,,,55,
2017-12-11T00:29:31.767Z,,42.5,,,65,55,
2017-12-11T00:29:41.767Z,0,42.4,0,5,65,55,0
2017-12-11T00:29:51.767Z,,42.4,,,64.9,55,
2017-12-11T00:30:01.846Z,,42.3,,,,55,
2017-12-11T00:30:11.767Z,,42.3,,,,55,
2017-12-11T00:30:21.767Z,,42.3,,,,55,
2017-12-11T00:30:31.767Z,,42.2,,,,55,
2017-12-11T00:30:41.767Z,,42.2,,,64.8,55,
2017-12-11T00:30:51.767Z,,42,,,,55,
2017-12-11T00:31:01.857Z,,42,,,,55,
2017-12-11T00:31:16.917Z,,41.9,,,64.7,55,
2017-12-11T00:31:21.767Z,,41.9,,,,55,
2017-12-11T00:31:31.767Z,,41.8,,,,55,
2017-12-11T00:31:41.769Z,,41.8,,,64.5,55,
2017-12-11T00:31:51.769Z,,41.7,,,,55,
2017-12-11T00:32:01.847Z,,41.7,,,,55,
2017-12-11T00:32:11.767Z,,41.6,,,,55,
2017-12-11T00:32:21.767Z,,41.6,,,64.4,55,
2017-12-11T00:32:31.768Z,,41.5,,,,55,
2017-12-11T00:32:41.767Z,,41.5,,,,55,
2017-12-11T00:32:51.767Z,,41.4,,,,55,
2017-12-11T00:33:01.848Z,,41.4,,,64.3,55,
2017-12-11T00:33:11.768Z,,41.2,,,,55,
2017-12-11T00:33:21.767Z,,41.2,,,,55,
2017-12-11T00:33:31.768Z,,41.2,,,,55,
2017-12-11T00:33:41.767Z,,41.1,,,64.2,55,
2017-12-11T00:33:51.768Z,,41.1,,,,55,
2017-12-11T00:34:01.871Z,,41,,,,55,
2017-12-11T00:34:11.768Z,,41,,,64.1,55,
2017-12-11T00:34:21.769Z,,40.9,,,,55,
2017-12-11T00:34:31.768Z,,40.9,,,,55,
2017-12-11T00:34:41.768Z,,40.8,,,,55,
2017-12-11T00:34:51.768Z,,40.8,,,64,55,
2017-12-11T00:35:01.848Z,,40.8,,,,55,
2017-12-11T00:35:11.767Z,,40.7,,,,55,
2017-12-11T00:35:21.768Z,,40.7,,,63.8,55,
2017-12-11T00:35:31.768Z,,40.6,,,,55,
2017-12-11T00:35:41.767Z,,40.6,,,,55,
2017-12-11T00:35:51.768Z,,40.5,,,,55,
2017-12-11T00:36:01.857Z,,40.5,,,63.7,55,
2017-12-11T00:36:11.770Z,,40.3,,,,55,
2017-12-11T00:36:21.768Z,,40.3,,,,55,
2017-12-11T00:36:31.769Z,,40.3,,,,55,
2017-12-11T00:36:41.768Z,,40.2,,,63.6,55,
2017-12-11T00:36:51.768Z,,40.2,,,,55,
2017-12-11T00:37:01.847Z,,40.1,,,,55,
2017-12-11T00:37:11.768Z,,40.1,,,63.5,55,
2017-12-11T00:37:21.768Z,,40,,,,55,
2017-12-11T00:37:31.840Z,,40,,,,55,
2017-12-11T00:37:41.767Z,,40,,,,55,
2017-12-11T00:37:51.769Z,,39.9,,,63.4,55,
2017-12-11T00:38:01.848Z,,39.9,,,,55,
2017-12-11T00:38:11.768Z,,39.8,,,,55,
2017-12-11T00:38:21.768Z,,39.8,,,,55,
2017-12-11T00:38:31.768Z,,39.6,,,63.3,55,
2017-12-11T00:38:41.768Z,,39.6,,,,55,
2017-12-11T00:38:51.768Z,,39.5,,,,55,
2017-12-11T00:39:01.848Z,,39.5,,,63.1,55,
2017-12-11T00:39:11.770Z,,39.5,,,,55,
2017-12-11T00:39:21.768Z,,39.4,,,,55,
2017-12-11T00:39:31.768Z,,39.4,,,,55,
2017-12-11T00:39:41.768Z,,39.3,,,63,55,
2017-12-11T00:39:51.768Z,,39.3,,,,55,
2017-12-11T00:40:01.848Z,,39.3,,,,55,
2017-12-11T00:40:11.768Z,,39.1,,,62.9,55,
2017-12-11T00:40:21.768Z,,39.1,,,,55,
2017-12-11T00:40:31.769Z,,39,,,,55,
2017-12-11T00:40:41.769Z,,39,,,,55,
2017-12-11T00:40:51.768Z,,38.9,,,62.8,55,
2017-12-11T00:41:01.849Z,,38.9,,,,55,
2017-12-11T00:41:12.764Z,,38.9,,,,55,
2017-12-11T00:41:21.768Z,,38.8,,,62.7,55,
2017-12-11T00:41:31.768Z,,38.8,,,,55,
2017-12-11T00:41:41.769Z,,38.8,,,,55,
2017-12-11T00:41:51.770Z,,38.6,,,,55,
2017-12-11T00:42:01.848Z,,38.6,,,62.6,55,
2017-12-11T00:42:11.769Z,,38.5,,,,55,
2017-12-11T00:42:21.770Z,,38.5,,,,55,
2017-12-11T00:42:31.769Z,,38.4,,,62.4,55,
2017-12-11T00:42:41.768Z,,38.4,,,,55,
2017-12-11T00:42:51.769Z,,38.3,,,,55,
2017-12-11T00:43:01.848Z,,38.3,,,,55,
2017-12-11T00:43:11.770Z,,38.3,,,62.3,55,
2017-12-11T00:43:21.768Z,,38.1,,,,55,
2017-12-11T00:43:31.769Z,,38.1,,,,55,
2017-12-11T00:43:41.768Z,,38.1,,,,55,
2017-12-11T00:43:51.770Z,,38,,,62.2,55,
2017-12-11T00:44:02.850Z,,38,,,,55,
2017-12-11T00:44:11.770Z,,37.9,,,,55,
2017-12-11T00:44:21.769Z,,37.9,,,62.1,55,
2017-12-11T00:44:31.771Z,,37.9,,,,55,
2017-12-11T00:44:41.769Z,,37.8,,,,55,
2017-12-11T00:44:51.769Z,,37.8,,,,55,
2017-12-11T00:45:01.849Z,,37.8,,,62,55,
2017-12-11T00:45:11.768Z,,37.7,,,,55,
2017-12-11T00:45:21.769Z,,37.7,,,,55,
2017-12-11T00:45:31.769Z,,37.5,,,61.9,55,
2017-12-11T00:45:41.769Z,,37.5,,,,55,
2017-12-11T00:45:51.769Z,,37.5,,,,55,
2017-12-11T00:46:01.849Z,,37.4,,,,55,
2017-12-11T00:46:11.769Z,,37.4,,,61.7,55,
2017-12-11T00:46:21.770Z,,37.3,,,,55,
2017-12-11T00:46:31.773Z,,37.3,,,,55,
2017-12-11T00:46:41.769Z,,37.3,,,,55,
2017-12-11T00:46:56.789Z,,37.2,,,61.6,55,
2017-12-11T00:47:01.849Z,,37.2,,,,55,
2017-12-11T00:47:11.770Z,,37.2,,,,55,
2017-12-11T00:47:21.769Z,,37,,,61.5,55,
2017-12-11T00:47:31.771Z,,37,,,,55,
2017-12-11T00:47:41.769Z,,37,,,,55,
2017-12-11T00:47:51.769Z,,36.9,,,,55,
2017-12-11T00:48:01.861Z,,36.9,,,61.4,55,
2017-12-11T00:48:11.770Z,,36.8,,,,55,
2017-12-11T00:48:21.783Z,,36.8,,,,55,
2017-12-11T00:48:31.769Z,,36.8,,,,55,
2017-12-11T00:48:41.770Z,,36.7,,,61.3,55,
2017-12-11T00:48:56.849Z,,36.7,,,,55,
2017-12-11T00:49:01.849Z,,36.7,,,,55,
2017-12-11T00:49:11.770Z,,36.5,,,61.2,55,
2017-12-11T00:49:21.770Z,,36.5,,,,55,
2017-12-11T00:49:31.769Z,,36.4,,,,55,
2017-12-11T00:49:41.770Z,,36.4,,,61,55,
2017-12-11T00:49:51.769Z,,36.4,,,,55,
2017-12-11T00:50:01.849Z,,36.3,,,,55,
2017-12-11T00:50:11.769Z,,36.3,,,,55,
2017-12-11T00:50:21.770Z,,36.3,,,60.9,55,
2017-12-11T00:50:31.770Z,,36.2,,,,55,
2017-12-11T00:50:41.770Z,,36.2,,,,55,
2017-12-11T00:50:51.769Z,,36.2,,,,55,
2017-12-11T00:51:01.852Z,,36,,,60.8,55,
2017-12-11T00:51:11.770Z,,36,,,,55,
2017-12-11T00:51:21.770Z,,35.9,,,,55,
2017-12-11T00:51:31.770Z,,35.9,,,,55,
2017-12-11T00:51:41.769Z,,35.9,,,60.7,55,
2017-12-11T00:51:51.769Z,,35.8,,,,55,
2017-12-11T00:52:01.850Z,,35.8,,,,55,
