Time,ActPow,HwTSet,PrimT,HwActive,HwTOutlet,PrimTSet,ChActive
2018-01-12T00:24:41.066Z,,55,45.9,,26.6,,
2018-01-12T00:24:51.067Z,,55,,,26.6,,
2018-01-12T00:25:01.067Z,,55,,,26.6,,
2018-01-12T00:25:16.101Z,,55,,,26.6,,
2018-01-12T00:25:21.067Z,,55,,,26.6,,
2018-01-12T00:25:31.067Z,,55,,,26.6,,
2018-01-12T00:25:41.067Z,,55,45.8,,26.6,,
2018-01-12T00:25:51.067Z,,55,,,26.5,,
2018-01-12T00:26:01.067Z,,55,,,26.5,,
2018-01-12T00:26:11.069Z,,55,,,26.5,,
2018-01-12T00:26:21.067Z,,55,,,26.5,,
2018-01-12T00:26:31.067Z,,55,,,26.5,,
2018-01-12T00:26:41.067Z,,55,45.7,,26.5,,
2018-01-12T00:26:51.067Z,,55,,,26.5,,
2018-01-12T00:27:01.067Z,,55,,,26.3,,
2018-01-12T00:27:11.067Z,,55,,,26.3,,
2018-01-12T00:27:21.067Z,,55,,,26.3,,
2018-01-12T00:27:31.067Z,,55,45.6,,26.3,,
2018-01-12T00:27:41.067Z,,55,,,26.3,,
2018-01-12T00:27:51.067Z,,55,,,26.3,,
2018-01-12T00:28:01.150Z,,55,,,26.3,,
2018-01-12T00:28:11.067Z,,55,,,26.2,,
2018-01-12T00:28:21.067Z,,55,,,26.2,,
2018-01-12T00:28:31.067Z,,55,45.5,,26.2,,
2018-01-12T00:28:41.067Z,,55,,,26.2,,
2018-01-12T00:28:51.067Z,,55,,,26.2,,
2018-01-12T00:29:01.068Z,,55,,,26.2,,
2018-01-12T00:29:11.067Z,,55,,,26.2,,
2018-01-12T00:29:21.068Z,,55,45.3,,26.2,,
2018-01-12T00:29:31.068Z,,55,,,26.1,,
2018-01-12T00:29:41.068Z,,55,,,26.1,,
2018-01-12T00:29:51.071Z,,55,,,26.1,,
2018-01-12T00:30:01.067Z,,55,,,26.1,,
2018-01-12T00:30:11.069Z,,55,,,26.1,,
2018-01-12T00:30:21.068Z,,55,45.2,,26.1,,
2018-01-12T00:30:36.088Z,,55,,,26.1,,
2018-01-12T00:30:41.068Z,,55,,,26.1,,
2018-01-12T00:30:56.088Z,,55,,,25.9,,
2018-01-12T00:31:01.068Z,,55,,,25.9,,
2018-01-12T00:31:11.068Z,,55,,,25.9,,
