Time,HwTOutlet,ActPow,PrimTSet,HwActive,ChActive,PrimT,HwTSet
2017-12-26T00:52:53.668Z,12.3,,,,,,55
2017-12-26T00:53:03.668Z,12.3,,,,,,55
2017-12-26T00:53:13.667Z,12.3,,,,,,55
2017-12-26T00:53:23.667Z,12.3,,,,,,55
2017-12-26T00:53:33.667Z,12.3,,,,,,55
2017-12-26T00:53:43.672Z,12.3,,,,,,55
2017-12-26T00:53:53.670Z,12.3,,,,,,55
2017-12-26T00:54:03.670Z,12.3,,,,,,55
2017-12-26T00:54:13.667Z,12.3,,,,,,55
2017-12-26T00:54:23.667Z,12.3,,,,,,55
2017-12-26T00:54:33.667Z,12.1,,,,,,55
2017-12-26T00:54:44.663Z,12.3,,,,,,55
2017-12-26T00:54:53.671Z,12.3,,,,,,55
2017-12-26T00:55:03.667Z,12.1,,,,,,55
2017-12-26T00:55:13.669Z,12.3,,,,,,55
2017-12-26T00:55:23.672Z,12.3,,,,,,55
2017-12-26T00:55:33.667Z,12.1,,,,,,55
2017-12-26T00:55:43.668Z,12.3,,,,,,55
2017-12-26T00:55:53.667Z,12.1,,,,,,55
2017-12-26T00:56:03.668Z,12.3,,,,,,55
2017-12-26T00:56:13.667Z,12.3,,,,,,55
2017-12-26T00:56:23.673Z,12.3,,,,,,55
2017-12-26T00:56:33.667Z,12.3,,,,,,55
2017-12-26T00:56:43.668Z,12.1,,,,,,55
2017-12-26T00:56:53.669Z,12.3,,,,,,55
2017-12-26T00:57:03.668Z,12.1,,,,,,55
2017-12-26T00:57:13.786Z,12.1,,,,,,55
2017-12-26T00:57:23.667Z,12.3,,,,,,55
2017-12-26T00:57:34.668Z,12.3,,,,,,55
2017-12-26T00:57:43.668Z,12.3,,,,,,55
2017-12-26T00:57:53.669Z,12.1,,,,,,55
2017-12-26T00:58:03.669Z,12.1,,,,,,55
2017-12-26T00:58:13.667Z,12.3,,,,,,55
2017-12-26T00:58:23.668Z,12.3,,,,,,55
2017-12-26T00:58:33.668Z,12.1,,,,,,55
2017-12-26T00:58:43.668Z,12.1,,,,,,55
2017-12-26T00:58:53.668Z,12.3,,,,,,55
2017-12-26T00:59:03.669Z,12.3,,,,,,55
2017-12-26T00:59:13.671Z,12.1,,,,,,55
2017-12-26T00:59:23.668Z,12.1,,,,,,55
2017-12-26T00:59:33.670Z,12.1,,,,,,55
2017-12-26T00:59:43.671Z,12.1,,,,,,55
2017-12-26T00:59:53.670Z,12.1,,,,,,55
2017-12-26T01:00:03.670Z,12.1,,,,,,55
2017-12-26T01:00:13.670Z,12.3,0,5,0,0,12.3,55
2017-12-26T01:00:28.688Z,12.3,,,,,,55
2017-12-26T01:00:33.668Z,12.3,,,,,,55
2017-12-26T01:00:43.670Z,12.1,,,,,,55
2017-12-26T01:00:53.669Z,12.3,,,,,,55
2017-12-26T01:01:03.668Z,12.1,,,,,,55
2017-12-26T01:01:13.669Z,12.1,,,,,,55
2017-12-26T01:01:23.671Z,12.1,,,,,,55
2017-12-26T01:01:33.668Z,12.1,,,,,,55
2017-12-26T01:01:43.673Z,12.3,,,,,,55
2017-12-26T01:01:54.663Z,12.3,,,,,,55
2017-12-26T01:02:03.668Z,12.1,,,,,,55
2017-12-26T01:02:13.725Z,12.1,,,,,,55
2017-12-26T01:02:23.675Z,12.1,,,,,,55
2017-12-26T01:02:33.669Z,12.1,,,,,,55
2017-12-26T01:02:43.669Z,12.1,,,,,,55
2017-12-26T01:02:53.668Z,12.1,,,,,,55
2017-12-26T01:03:03.673Z,12.1,,,,,,55
2017-12-26T01:03:18.689Z,12.1,,,,,,55
2017-12-26T01:03:23.672Z,12.1,,,,,,55
2017-12-26T01:03:33.669Z,12.1,,,,,,55
2017-12-26T01:03:43.669Z,12.1,,,,,,55
2017-12-26T01:03:53.669Z,12.1,,,,,,55
2017-12-26T01:04:03.670Z,12.1,,,,,,55
2017-12-26T01:04:13.669Z,12.1,,,,,,55
2017-12-26T01:04:23.669Z,12.1,,,,,,55
2017-12-26T01:04:33.671Z,12.1,,,,,,55
2017-12-26T01:04:43.673Z,12.1,,,,,,55
2017-12-26T01:04:54.667Z,12.1,,,,,,55
2017-12-26T01:05:03.669Z,12.1,,,,,,55
2017-12-26T01:05:13.669Z,12.1,,,,,,55
2017-12-26T01:05:24.668Z,12.1,,,,,,55
2017-12-26T01:05:33.669Z,12.1,,,,,,55
2017-12-26T01:05:43.669Z,12.1,,,,,,55
2017-12-26T01:05:53.674Z,12.1,,,,,,55
2017-12-26T01:06:08.689Z,12.1,,,,,,55
2017-12-26T01:06:13.669Z,12.1,,,,,,55
2017-12-26T01:06:23.669Z,12.1,,,,,,55
2017-12-26T01:06:33.669Z,12.1,,,,,,55
2017-12-26T01:06:43.669Z,12.1,,,,,,55
2017-12-26T01:06:53.673Z,12.1,,,,,,55
2017-12-26T01:07:03.669Z,12.1,,,,,,55
2017-12-26T01:07:13.669Z,12.1,,,,,,55
2017-12-26T01:07:23.669Z,12.1,,,,,,55
2017-12-26T01:07:33.729Z,12.1,,,,,,55
2017-12-26T01:07:43.670Z,12.1,,,,,,55
2017-12-26T01:07:53.669Z,12.1,,,,,,55
2017-12-26T01:08:03.669Z,12.1,,,,,,55
2017-12-26T01:08:13.670Z,12.1,,,,,,55
2017-12-26T01:08:23.679Z,12.1,,,,,,55
2017-12-26T01:08:33.670Z,12.1,,,,,,55
2017-12-26T01:08:43.670Z,12.1,,,,,,55
