Time,HwActive,PrimTSet,ChActive,HwTOutlet,ActPow,HwTSet,PrimT
2017-11-25T00:25:59.875Z,,,,43.1,,55,53.6
2017-11-25T00:26:09.876Z,,,,43.1,,55,
2017-11-25T00:26:19.875Z,,,,43,,55,
2017-11-25T00:26:30.872Z,,,,43,,55,
2017-11-25T00:26:39.875Z,,,,43,,55,
2017-11-25T00:26:49.875Z,,,,42.8,,55,
2017-11-25T00:26:59.878Z,,,,42.8,,55,
2017-11-25T00:27:09.876Z,,,,42.7,,55,53.4
2017-11-25T00:27:19.875Z,,,,42.7,,55,
2017-11-25T00:27:29.875Z,,,,42.7,,55,
2017-11-25T00:27:39.876Z,,,,42.6,,55,
2017-11-25T00:27:49.885Z,,,,42.6,,55,
2017-11-25T00:27:59.883Z,,,,42.5,,55,
2017-11-25T00:28:09.875Z,,,,42.5,,55,
2017-11-25T00:28:19.891Z,,,,42.5,,55,53.3
2017-11-25T00:28:29.886Z,,,,42.4,,55,
2017-11-25T00:28:39.887Z,,,,42.4,,55,
2017-11-25T00:28:49.887Z,,,,42.4,,55,
2017-11-25T00:28:59.875Z,,,,42.3,,55,
2017-11-25T00:29:09.885Z,,,,42.3,,55,
2017-11-25T00:29:24.898Z,,,,42.2,,55,
2017-11-25T00:29:29.885Z,,,,42.2,,55,
2017-11-25T00:29:39.888Z,,,,42.2,,55,53.2
2017-11-25T00:29:49.886Z,,,,42,,55,
2017-11-25T00:29:59.875Z,,,,42,,55,
2017-11-25T00:30:09.884Z,,,,41.9,,55,
2017-11-25T00:30:19.891Z,,,,41.9,,55,
2017-11-25T00:30:29.884Z,,,,41.9,,55,
2017-11-25T00:30:39.884Z,,,,41.8,,55,
2017-11-25T00:30:50.877Z,,,,41.8,,55,53.1
2017-11-25T00:30:59.876Z,,,,41.8,,55,
2017-11-25T00:31:09.885Z,,,,41.7,,55,
2017-11-25T00:31:19.888Z,,,,41.7,,55,
2017-11-25T00:31:29.883Z,,,,41.6,,55,
2017-11-25T00:31:39.891Z,,,,41.6,,55,
2017-11-25T00:31:49.887Z,,,,41.6,,55,
2017-11-25T00:31:59.875Z,,,,41.5,,55,53
2017-11-25T00:32:15.161Z,,,,41.5,,55,
2017-11-25T00:32:19.886Z,,,,41.5,,55,
2017-11-25T00:32:29.887Z,,,,41.4,,55,
2017-11-25T00:32:39.887Z,,,,41.4,,55,
2017-11-25T00:32:49.883Z,,,,41.4,,55,
2017-11-25T00:32:59.876Z,,,,41.2,,55,53
2017-11-25T00:33:09.882Z,0,5,0,41.2,0,55,52.9
2017-11-25T00:33:19.893Z,,,,41.2,,55,
2017-11-25T00:33:29.883Z,,,,41.1,,55,
2017-11-25T00:33:40.869Z,,,,41.1,,55,
2017-11-25T00:33:49.881Z,,,,41.1,,55,
2017-11-25T00:33:59.876Z,,,,41,,55,
2017-11-25T00:34:09.893Z,,,,41,,55,52.8
2017-11-25T00:34:19.881Z,,,,41,,55,
2017-11-25T00:34:29.883Z,,,,40.9,,55,
2017-11-25T00:34:39.882Z,,,,40.9,,55,
2017-11-25T00:34:49.882Z,,,,40.8,,55,
2017-11-25T00:34:59.876Z,,,,40.8,,55,
2017-11-25T00:35:09.887Z,,,,40.8,,55,
2017-11-25T00:35:19.883Z,,,,40.7,,55,52.7
2017-11-25T00:35:29.914Z,,,,40.7,,55,
2017-11-25T00:35:39.882Z,,,,40.7,,55,
2017-11-25T00:35:49.881Z,,,,40.6,,55,
2017-11-25T00:35:59.924Z,,,,40.6,,55,
2017-11-25T00:36:09.881Z,,,,40.6,,55,
2017-11-25T00:36:19.885Z,,,,40.5,,55,
2017-11-25T00:36:30.879Z,,,,40.5,,55,
2017-11-25T00:36:39.880Z,,,,40.5,,55,52.6
2017-11-25T00:36:49.885Z,,,,40.5,,55,
2017-11-25T00:36:59.881Z,,,,40.3,,55,
2017-11-25T00:37:09.879Z,,,,40.3,,55,
2017-11-25T00:37:19.889Z,,,,40.2,,55,
2017-11-25T00:37:29.879Z,,,,40.2,,55,52.4
2017-11-25T00:37:39.879Z,,,,40.2,,55,
2017-11-25T00:37:49.885Z,,,,40.2,,55,
2017-11-25T00:37:59.881Z,,,,40.1,,55,
2017-11-25T00:38:09.880Z,,,,40.1,,55,
2017-11-25T00:38:19.881Z,,,,40,,55,
2017-11-25T00:38:29.882Z,,,,40,,55,
2017-11-25T00:38:39.879Z,,,,40,,55,
2017-11-25T00:38:49.881Z,,,,40,,55,52.3
2017-11-25T00:38:59.880Z,,,,39.9,,55,
2017-11-25T00:39:09.884Z,,,,39.9,,55,
2017-11-25T00:39:20.880Z,,,,39.9,,55,
2017-11-25T00:39:29.880Z,,,,39.8,,55,
2017-11-25T00:39:39.878Z,,,,39.8,,55,52.2
2017-11-25T00:39:49.878Z,,,,39.8,,55,
2017-11-25T00:39:59.877Z,,,,39.6,,55,
2017-11-25T00:40:09.877Z,,,,39.6,,55,
2017-11-25T00:40:19.877Z,,,,39.6,,55,
2017-11-25T00:40:29.882Z,,,,39.5,,55,
2017-11-25T00:40:39.881Z,,,,39.5,,55,
2017-11-25T00:40:49.884Z,,,,39.5,,55,52.1
2017-11-25T00:40:59.877Z,,,,39.5,,55,
2017-11-25T00:41:09.877Z,,,,39.4,,55,
2017-11-25T00:41:19.877Z,,,,39.4,,55,
2017-11-25T00:41:29.882Z,,,,39.4,,55,
2017-11-25T00:41:39.881Z,,,,39.3,,55,
2017-11-25T00:41:49.882Z,,,,39.3,,55,52
2017-11-25T00:41:59.881Z,,,,39.3,,55,
2017-11-25T00:42:10.873Z,,,,39.3,,55,
2017-11-25T00:42:19.878Z,,,,39.1,,55,
2017-11-25T00:42:29.882Z,,,,39.1,,55,
2017-11-25T00:42:39.882Z,,,,39.1,,55,
2017-11-25T00:42:49.881Z,,,,39,,55,
2017-11-25T00:42:59.880Z,,,,39,,55,51.9
2017-11-25T00:43:09.882Z,,,,38.9,,55,
2017-11-25T00:43:19.883Z,,,,38.9,,55,
2017-11-25T00:43:29.883Z,,,,38.9,,55,
2017-11-25T00:43:39.881Z,,,,38.9,,55,
2017-11-25T00:43:49.877Z,,,,38.8,,55,
2017-11-25T00:43:59.877Z,,,,38.8,,55,51.8
2017-11-25T00:44:09.877Z,,,,38.8,,55,
2017-11-25T00:44:19.878Z,,,,38.8,,55,
2017-11-25T00:44:29.877Z,,,,38.6,,55,
2017-11-25T00:44:39.877Z,,,,38.6,,55,
2017-11-25T00:44:49.877Z,,,,38.6,,55,
2017-11-25T00:45:00.877Z,,,,38.5,,55,
2017-11-25T00:45:09.877Z,,,,38.5,,55,51.7
2017-11-25T00:45:19.878Z,,,,38.5,,55,
2017-11-25T00:45:29.879Z,,,,38.4,,55,
2017-11-25T00:45:39.878Z,,,,38.4,,55,
2017-11-25T00:45:49.879Z,,,,38.4,,55,
2017-11-25T00:45:59.879Z,,,,38.4,,55,
2017-11-25T00:46:09.880Z,,,,38.4,,55,
2017-11-25T00:46:19.880Z,,,,38.3,,55,51.6
2017-11-25T00:46:29.888Z,,,,38.3,,55,
2017-11-25T00:46:39.879Z,,,,38.3,,55,
2017-11-25T00:46:49.880Z,,,,38.3,,55,
2017-11-25T00:46:59.880Z,,,,38.1,,55,
2017-11-25T00:47:09.877Z,,,,38.1,,55,51.4
2017-11-25T00:47:19.885Z,,,,38.1,,55,
2017-11-25T00:47:29.879Z,,,,38,,55,
2017-11-25T00:47:39.878Z,,,,38,,55,
2017-11-25T00:47:54.903Z,,,,38,,55,
2017-11-25T00:47:59.877Z,,,,38,,55,
2017-11-25T00:48:09.878Z,,,,37.9,,55,51.3
2017-11-25T00:48:19.878Z,,,,37.9,,55,
2017-11-25T00:48:29.878Z,,,,37.9,,55,
2017-11-25T00:48:39.883Z,,,,37.8,,55,
2017-11-25T00:48:49.877Z,,,,37.8,,55,
2017-11-25T00:48:59.878Z,,,,37.8,,55,
2017-11-25T00:49:09.878Z,,,,37.8,,55,
2017-11-25T00:49:19.878Z,,,,37.8,,55,51.2
2017-11-25T00:49:29.884Z,,,,37.7,,55,
2017-11-25T00:49:39.879Z,,,,37.7,,55,
2017-11-25T00:49:49.878Z,,,,37.7,,55,
2017-11-25T00:49:59.878Z,,,,37.5,,55,
2017-11-25T00:50:09.878Z,,,,37.5,,55,
2017-11-25T00:50:19.878Z,,,,37.5,,55,
2017-11-25T00:50:29.878Z,,,,37.5,,55,51.1
2017-11-25T00:50:39.878Z,,,,37.4,,55,
2017-11-25T00:50:49.878Z,,,,37.4,,55,
2017-11-25T00:50:59.892Z,,,,37.4,,55,
2017-11-25T00:51:09.878Z,,,,37.4,,55,
2017-11-25T00:51:19.879Z,,,,37.3,,55,51
2017-11-25T00:51:29.878Z,,,,37.3,,55,
2017-11-25T00:51:39.878Z,,,,37.3,,55,
2017-11-25T00:51:49.878Z,,,,37.3,,55,
2017-11-25T00:51:59.878Z,,,,37.2,,55,
2017-11-25T00:52:10.875Z,,,,37.2,,55,
2017-11-25T00:52:19.880Z,,,,37.2,,55,51
2017-11-25T00:52:29.878Z,,,,37.2,,55,50.9
2017-11-25T00:52:39.878Z,,,,37,,55,
2017-11-25T00:52:49.878Z,,,,37,,55,
2017-11-25T00:52:59.887Z,,,,37,,55,
2017-11-25T00:53:09.879Z,,,,37,,55,
2017-11-25T00:53:19.879Z,,,,36.9,,55,
2017-11-25T00:53:29.878Z,,,,36.9,,55,50.8
2017-11-25T00:53:39.878Z,,,,36.9,,55,
2017-11-25T00:53:49.880Z,,,,36.9,,55,
2017-11-25T00:53:59.892Z,,,,36.8,,55,
2017-11-25T00:54:09.883Z,,,,36.8,,55,
2017-11-25T00:54:19.879Z,,,,36.8,,55,
2017-11-25T00:54:29.879Z,,,,36.8,,55,50.7
2017-11-25T00:54:39.884Z,,,,36.7,,55,
2017-11-25T00:54:49.878Z,,,,36.7,,55,
2017-11-25T00:55:00.882Z,,,,36.7,,55,
2017-11-25T00:55:09.879Z,,,,36.5,,55,
2017-11-25T00:55:19.879Z,,,,36.5,,55,
2017-11-25T00:55:29.878Z,,,,36.5,,55,50.6
2017-11-25T00:55:39.879Z,,,,36.5,,55,
2017-11-25T00:55:49.879Z,,,,36.4,,55,
2017-11-25T00:55:59.885Z,,,,36.4,,55,
2017-11-25T00:56:09.884Z,,,,36.4,,55,
2017-11-25T00:56:19.879Z,,,,36.4,,55,
2017-11-25T00:56:29.879Z,,,,36.3,,55,
2017-11-25T00:56:39.880Z,,,,36.3,,55,50.4
2017-11-25T00:56:49.879Z,,,,36.3,,55,
2017-11-25T00:56:59.884Z,,,,36.3,,55,
2017-11-25T00:57:09.879Z,,,,36.2,,55,
2017-11-25T00:57:19.879Z,,,,36.2,,55,
2017-11-25T00:57:29.879Z,,,,36.2,,55,
2017-11-25T00:57:39.879Z,,,,36.2,,55,50.3
2017-11-25T00:57:50.876Z,,,,36,,55,
2017-11-25T00:57:59.888Z,,,,36,,55,
2017-11-25T00:58:09.879Z,,,,36,,55,
2017-11-25T00:58:19.879Z,,,,36,,55,
2017-11-25T00:58:29.879Z,,,,35.9,,55,
2017-11-25T00:58:39.880Z,,,,35.9,,55,50.2
