Time,PrimTSet,ActPow,ChActive,HwTOutlet,HwTSet,HwActive,PrimT
2017-12-21T00:25:03.649Z,,,,14.7,55,,
2017-12-21T00:25:13.649Z,,,,14.7,55,,
2017-12-21T00:25:23.649Z,,,,14.7,55,,
2017-12-21T00:25:33.746Z,,,,14.7,55,,
2017-12-21T00:25:43.649Z,,,,14.7,55,,
2017-12-21T00:25:53.649Z,,,,14.7,55,,
2017-12-21T00:26:03.650Z,,,,14.7,55,,
2017-12-21T00:26:13.649Z,,,,14.7,55,,
2017-12-21T00:26:23.651Z,,,,14.7,55,,
2017-12-21T00:26:34.644Z,,,,14.7,55,,
2017-12-21T00:26:43.650Z,,,,14.7,55,,
2017-12-21T00:26:53.650Z,,,,14.7,55,,
2017-12-21T00:27:03.650Z,,,,14.7,55,,
2017-12-21T00:27:13.650Z,,,,14.7,55,,
2017-12-21T00:27:23.650Z,,,,14.7,55,,
2017-12-21T00:27:33.650Z,,,,14.7,55,,
2017-12-21T00:27:43.650Z,,,,14.7,55,,
2017-12-21T00:27:53.650Z,,,,14.7,55,,
2017-12-21T00:28:03.650Z,,,,14.7,55,,
2017-12-21T00:28:13.650Z,,,,14.7,55,,
2017-12-21T00:28:23.650Z,,,,14.7,55,,
2017-12-21T00:28:33.650Z,,,,14.7,55,,
2017-12-21T00:28:43.650Z,,,,14.7,55,,
2017-12-21T00:28:53.657Z,,,,14.7,55,,
2017-12-21T00:29:03.651Z,,,,14.7,55,,
2017-12-21T00:29:13.650Z,,,,14.7,55,,
2017-12-21T00:29:28.670Z,,,,14.7,55,,
2017-12-21T00:29:33.650Z,,,,14.7,55,,
2017-12-21T00:29:43.653Z,,,,14.7,55,,
2017-12-21T00:29:53.650Z,,,,14.7,55,,
2017-12-21T00:30:03.650Z,,,,14.7,55,,
2017-12-21T00:30:13.650Z,,,,14.7,55,,
2017-12-21T00:30:23.650Z,,,,14.7,55,,
2017-12-21T00:30:33.651Z,,,,14.7,55,,
2017-12-21T00:30:43.650Z,,,,14.7,55,,
2017-12-21T00:30:53.667Z,,,,14.7,55,,
2017-12-21T00:31:03.650Z,,,,14.7,55,,
2017-12-21T00:31:13.650Z,,,,14.7,55,,
2017-12-21T00:31:23.650Z,,,,14.7,55,,
2017-12-21T00:31:33.650Z,,,,14.7,55,,
2017-12-21T00:31:43.652Z,,,,14.7,55,,
2017-12-21T00:31:53.650Z,,,,14.7,55,,
2017-12-21T00:32:03.858Z,,,,14.7,55,,
2017-12-21T00:32:18.670Z,,,,14.7,55,,
2017-12-21T00:32:23.650Z,,,,14.7,55,,
2017-12-21T00:32:33.653Z,,,,14.7,55,,17.2
2017-12-21T00:32:43.650Z,,,,14.7,55,,17.4
2017-12-21T00:32:53.650Z,,,,14.7,55,,
2017-12-21T00:33:03.652Z,,,,14.7,55,,
2017-12-21T00:33:13.650Z,,,,14.7,55,,
2017-12-21T00:33:23.650Z,,,,14.7,55,,17.2
2017-12-21T00:33:33.650Z,,,,14.7,55,,17.4
2017-12-21T00:33:43.650Z,,,,14.7,55,,
2017-12-21T00:33:53.650Z,,,,14.7,55,,
2017-12-21T00:34:03.651Z,,,,14.7,55,,17.2
2017-12-21T00:34:13.651Z,,,,14.7,55,,17.4
2017-12-21T00:34:23.653Z,,,,14.7,55,,
2017-12-21T00:34:33.651Z,,,,14.7,55,,
2017-12-21T00:34:43.650Z,,,,14.7,55,,17.2
2017-12-21T00:34:53.650Z,,,,14.7,55,,
2017-12-21T00:35:08.671Z,,,,14.7,55,,
2017-12-21T00:35:13.651Z,,,,14.7,55,,
2017-12-21T00:35:23.651Z,,,,14.7,55,,
2017-12-21T00:35:33.651Z,,,,14.7,55,,
2017-12-21T00:35:43.650Z,,,,14.7,55,,
2017-12-21T00:35:53.650Z,,,,14.7,55,,
2017-12-21T00:36:03.651Z,,,,14.7,55,,
2017-12-21T00:36:13.651Z,,,,14.7,55,,
2017-12-21T00:36:23.651Z,,,,14.7,55,,
2017-12-21T00:36:33.913Z,,,,14.7,55,,
2017-12-21T00:36:43.651Z,,,,14.7,55,,
2017-12-21T00:36:53.652Z,,,,14.7,55,,
2017-12-21T00:37:03.651Z,,,,14.7,55,,
2017-12-21T00:37:13.651Z,,,,14.7,55,,
2017-12-21T00:37:23.651Z,,,,14.7,55,,
2017-12-21T00:37:33.651Z,,,,14.7,55,,
2017-12-21T00:37:43.651Z,,,,14.7,55,,
2017-12-21T00:37:53.651Z,,,,14.7,55,,
2017-12-21T00:38:03.651Z,,,,14.7,55,,
2017-12-21T00:38:13.651Z,,,,14.7,55,,
2017-12-21T00:38:23.651Z,,,,14.7,55,,
2017-12-21T00:38:33.652Z,,,,14.7,55,,
2017-12-21T00:38:43.651Z,,,,14.7,55,,
2017-12-21T00:38:53.651Z,,,,14.7,55,,
2017-12-21T00:39:03.651Z,,,,14.7,55,,
2017-12-21T00:39:13.651Z,,,,14.7,55,,
2017-12-21T00:39:24.642Z,,,,14.7,55,,
2017-12-21T00:39:33.651Z,,,,14.7,55,,
2017-12-21T00:39:43.651Z,,,,14.7,55,,
2017-12-21T00:39:53.651Z,,,,14.7,55,,
2017-12-21T00:40:03.651Z,,,,14.7,55,,
2017-12-21T00:40:13.656Z,,,,14.7,55,,
2017-12-21T00:40:23.651Z,,,,14.7,55,,
2017-12-21T00:40:33.651Z,,,,14.7,55,,
2017-12-21T00:40:43.651Z,,,,14.7,55,,
2017-12-21T00:40:53.660Z,,,,14.7,55,,
2017-12-21T00:41:03.651Z,,,,14.7,55,,
2017-12-21T00:41:13.652Z,,,,14.7,55,,
2017-12-21T00:41:23.651Z,,,,14.7,55,,
2017-12-21T00:41:33.652Z,,,,14.7,55,,
2017-12-21T00:41:43.652Z,,,,14.7,55,,
2017-12-21T00:41:53.651Z,,,,14.7,55,,
2017-12-21T00:42:03.652Z,,,,14.7,55,,
2017-12-21T00:42:14.822Z,,,,14.7,55,,
2017-12-21T00:42:23.651Z,,,,14.7,55,,
2017-12-21T00:42:33.652Z,,,,14.7,55,,
2017-12-21T00:42:43.652Z,,,,14.7,55,,
2017-12-21T00:42:53.652Z,,,,14.7,55,,
2017-12-21T00:43:03.652Z,,,,14.7,55,,
2017-12-21T00:43:13.651Z,,,,14.7,55,,
2017-12-21T00:43:23.652Z,,,,14.7,55,,
2017-12-21T00:43:33.652Z,,,,14.7,55,,
2017-12-21T00:43:43.651Z,,,,14.7,55,,
2017-12-21T00:43:53.652Z,,,,14.7,55,,
2017-12-21T00:44:03.652Z,,,,14.7,55,,
2017-12-21T00:44:13.651Z,,,,14.7,55,,
2017-12-21T00:44:23.652Z,,,,14.7,55,,
2017-12-21T00:44:33.652Z,,,,14.7,55,,
2017-12-21T00:44:44.694Z,,,,14.7,55,,
2017-12-21T00:44:53.652Z,,,,14.7,55,,
2017-12-21T00:45:04.651Z,,,,14.7,55,,
2017-12-21T00:45:13.652Z,,,,14.7,55,,
2017-12-21T00:45:23.652Z,,,,14.7,55,,
2017-12-21T00:45:33.654Z,,,,14.7,55,,
2017-12-21T00:45:43.652Z,,,,14.7,55,,
2017-12-21T00:45:53.660Z,,,,14.7,55,,
2017-12-21T00:46:03.652Z,,,,14.7,55,,
2017-12-21T00:46:13.652Z,,,,14.7,55,,
2017-12-21T00:46:23.654Z,,,,14.7,55,,
2017-12-21T00:46:33.652Z,,,,14.7,55,,
2017-12-21T00:46:43.652Z,,,,14.7,55,,
2017-12-21T00:46:53.652Z,,,,14.7,55,,
2017-12-21T00:47:03.654Z,,,,14.7,55,,
2017-12-21T00:47:13.653Z,,,,14.7,55,,
2017-12-21T00:47:23.652Z,,,,14.7,55,,
2017-12-21T00:47:33.652Z,,,,14.7,55,,
2017-12-21T00:47:43.652Z,,,,14.7,55,,
2017-12-21T00:47:54.644Z,,,,14.7,55,,
2017-12-21T00:48:03.652Z,,,,14.7,55,,17
2017-12-21T00:48:13.652Z,,,,14.7,55,,17.2
2017-12-21T00:48:23.652Z,,,,14.7,55,,
2017-12-21T00:48:33.653Z,,,,14.7,55,,
2017-12-21T00:48:43.652Z,,,,14.7,55,,17
2017-12-21T00:48:53.652Z,,,,14.7,55,,17.2
2017-12-21T00:49:03.652Z,,,,14.7,55,,
2017-12-21T00:49:13.652Z,,,,14.7,55,,
2017-12-21T00:49:23.653Z,,,,14.7,55,,17
2017-12-21T00:49:33.652Z,,,,14.7,55,,17.2
2017-12-21T00:49:43.652Z,,,,14.7,55,,
2017-12-21T00:49:53.654Z,,,,14.7,55,,17
2017-12-21T00:50:03.653Z,5,0,0,14.7,55,0,17.2
2017-12-21T00:50:13.653Z,,,,14.7,55,,17
2017-12-21T00:50:23.653Z,,,,14.7,55,,
2017-12-21T00:50:33.653Z,,,,14.7,55,,
2017-12-21T00:50:48.673Z,,,,14.7,55,,17.2
2017-12-21T00:50:53.652Z,,,,14.7,55,,17
2017-12-21T00:51:03.653Z,,,,14.7,55,,17.2
2017-12-21T00:51:13.653Z,,,,14.7,55,,17
