Time,PrimT,ChActive,PrimTSet,ActPow,HwTSet,HwTOutlet,HwActive
2018-01-17T00:31:55.027Z,72.3,,,,55,59.2,
2018-01-17T00:32:05.027Z,72.4,,,,55,59.2,
2018-01-17T00:32:15.028Z,72.6,,,40,55,59.2,
2018-01-17T00:32:30.047Z,,,,,55,59.2,
2018-01-17T00:32:35.027Z,,,,,55,59.2,
2018-01-17T00:32:45.028Z,72.7,,,,55,59.2,
2018-01-17T00:32:55.027Z,,,,,55,59.3,
2018-01-17T00:33:05.027Z,72.8,,,,55,59.3,
2018-01-17T00:33:15.027Z,73,,,,55,59.3,
2018-01-17T00:33:25.027Z,73,,,,55,59.3,
2018-01-17T00:33:35.027Z,,,,,55,59.4,
2018-01-17T00:33:45.028Z,73.1,,,,55,59.4,
2018-01-17T00:33:55.027Z,73.2,,,,55,59.4,
2018-01-17T00:34:05.027Z,,,,,55,59.4,
2018-01-17T00:34:15.028Z,,,,,55,59.4,
2018-01-17T00:34:25.028Z,73.4,,,,55,59.5,
2018-01-17T00:34:35.027Z,,,,,55,59.5,
2018-01-17T00:34:45.033Z,73.5,,,,55,59.5,
2018-01-17T00:34:55.028Z,73.6,,,,55,59.5,
2018-01-17T00:35:05.027Z,,,,,55,59.7,
2018-01-17T00:35:20.233Z,73.8,,,,55,59.7,
2018-01-17T00:35:25.028Z,,,,,55,59.7,
2018-01-17T00:35:35.027Z,73.9,,,,55,59.7,
2018-01-17T00:35:45.028Z,74.1,,,,55,59.7,
2018-01-17T00:35:55.029Z,,,,,55,59.8,
2018-01-17T00:36:05.027Z,,,,,55,59.8,
2018-01-17T00:36:15.029Z,74.2,,,39,55,59.8,
2018-01-17T00:36:25.028Z,74.1,,,,55,59.9,
2018-01-17T00:36:35.027Z,,,,,55,59.9,
2018-01-17T00:36:45.029Z,,,,,55,59.9,
2018-01-17T00:36:55.028Z,,,,,55,59.9,
2018-01-17T00:37:05.027Z,74.2,,,,55,59.9,
2018-01-17T00:37:15.033Z,,,,,55,60,
2018-01-17T00:37:25.028Z,74.3,,,,55,60,
2018-01-17T00:37:35.028Z,,,,,55,60,
2018-01-17T00:37:45.028Z,74.5,,,,55,60,
2018-01-17T00:37:55.028Z,,,,,55,60.1,
2018-01-17T00:38:10.067Z,,,,,55,60.1,
2018-01-17T00:38:15.028Z,,,,,55,60.1,
2018-01-17T00:38:25.028Z,74.6,,,,55,60.1,
2018-01-17T00:38:35.028Z,,,,,55,60.2,
2018-01-17T00:38:45.028Z,74.7,,,,55,60.2,
2018-01-17T00:38:55.030Z,,,,,55,60.2,
2018-01-17T00:39:15.028Z,74.9,,,,55,60.2,
2018-01-17T00:39:25.028Z,,,,,55,60.3,
2018-01-17T00:39:35.029Z,75,,,,55,60.3,
2018-01-17T00:39:45.028Z,,,,,55,60.3,
2018-01-17T00:39:55.028Z,,,,,55,60.3,
2018-01-17T00:40:05.028Z,,,,,55,60.3,
2018-01-17T00:40:15.028Z,75.1,,,,55,60.5,
2018-01-17T00:40:25.028Z,,,,38,55,60.5,
2018-01-17T00:40:35.028Z,,,,,55,60.5,
2018-01-17T00:40:45.028Z,,,,,55,60.5,
2018-01-17T00:40:55.029Z,,,,37,55,60.6,
2018-01-17T00:41:05.028Z,75,,,,55,60.6,
2018-01-17T00:41:15.028Z,,,,,55,60.6,
2018-01-17T00:41:25.029Z,,,,,55,60.6,
2018-01-17T00:41:35.028Z,,,,,55,60.6,
2018-01-17T00:41:45.029Z,75.1,,,,55,60.7,
2018-01-17T00:41:55.029Z,75,,,36,55,60.7,
2018-01-17T00:42:05.029Z,75.1,,,,55,60.7,
2018-01-17T00:42:15.029Z,75,,,,55,60.7,
2018-01-17T00:42:25.029Z,75.1,,,,55,60.7,
2018-01-17T00:42:35.029Z,75,,,,55,60.8,
2018-01-17T00:42:45.029Z,,,,,55,60.8,
2018-01-17T00:42:55.029Z,,,,,55,60.8,
2018-01-17T00:43:05.028Z,,,,,55,60.8,
2018-01-17T00:43:15.029Z,75.1,,,,55,60.8,
2018-01-17T00:43:25.029Z,,,,35,55,60.9,
2018-01-17T00:43:35.031Z,75,,,,55,60.9,
2018-01-17T00:43:45.030Z,,,,,55,60.9,
2018-01-17T00:43:55.029Z,,,,,55,60.9,
2018-01-17T00:44:05.028Z,,,,,55,60.9,
2018-01-17T00:44:15.029Z,75.1,,,,55,60.9,
2018-01-17T00:44:25.028Z,75,,,,55,60.9,
2018-01-17T00:44:35.029Z,,,,,55,61,
2018-01-17T00:44:45.029Z,75.1,,,,55,61,
2018-01-17T00:44:55.030Z,75,,,,55,61,
2018-01-17T00:45:05.029Z,,,,,55,61,
2018-01-17T00:45:15.029Z,75,1,75,34,55,61,0
2018-01-17T00:45:25.029Z,,,,35,55,61,
2018-01-17T00:45:35.029Z,,,,,55,61,
2018-01-17T00:45:45.029Z,,,,,55,61,
2018-01-17T00:45:55.028Z,,,,34,55,61,
2018-01-17T00:46:05.029Z,,,,,55,61,
2018-01-17T00:46:15.031Z,,,,,55,61.2,
2018-01-17T00:46:25.030Z,75.1,,,,55,61.2,
2018-01-17T00:46:35.029Z,75,,,,55,61.2,
2018-01-17T00:46:45.029Z,,,,,55,61.2,
2018-01-17T00:46:55.029Z,,,,,55,61.2,
2018-01-17T00:47:05.029Z,,,,,55,61.2,
2018-01-17T00:47:15.029Z,,,,,55,61.2,
2018-01-17T00:47:25.029Z,,,,,55,61.2,
2018-01-17T00:47:35.029Z,,,,,55,61.2,
2018-01-17T00:47:45.029Z,,,,,55,61.2,
2018-01-17T00:47:55.029Z,,,,,55,61.2,
2018-01-17T00:48:05.029Z,,,,,55,61.2,
2018-01-17T00:48:15.029Z,,,,,55,61.2,
2018-01-17T00:48:25.030Z,,,,,55,61.2,
2018-01-17T00:48:35.029Z,,,,,55,61.2,
2018-01-17T00:48:45.029Z,,,,,55,61.3,
2018-01-17T00:48:55.029Z,,,,,55,61.3,
2018-01-17T00:49:05.029Z,,,,,55,61.3,
2018-01-17T00:49:15.029Z,,,,,55,61.3,
2018-01-17T00:49:25.029Z,,,,,55,61.3,
2018-01-17T00:49:35.029Z,,,,,55,61.3,
2018-01-17T00:49:45.030Z,,,,33,55,61.3,
2018-01-17T00:49:55.035Z,,,,,55,61.3,
2018-01-17T00:50:05.029Z,,,,34,55,61.3,
2018-01-17T00:50:15.061Z,,,,33,55,61.3,
2018-01-17T00:50:25.029Z,,,,34,55,61.3,
2018-01-17T00:50:35.029Z,,,,33,55,61.3,
2018-01-17T00:50:45.030Z,,,,,55,61.3,
2018-01-17T00:51:00.049Z,,,,,55,61.3,
2018-01-17T00:51:05.029Z,,,,,55,61.3,
2018-01-17T00:51:15.029Z,,,,,55,61.3,
2018-01-17T00:51:25.029Z,,,,,55,61.4,
2018-01-17T00:51:35.030Z,,,,,55,61.3,
2018-01-17T00:51:45.030Z,,,,,55,61.4,
2018-01-17T00:51:55.030Z,,,,,55,61.4,
2018-01-17T00:52:05.030Z,,,,,55,61.4,
2018-01-17T00:52:15.030Z,74.9,,,32,55,61.4,
2018-01-17T00:52:25.503Z,,,,,55,61.3,
2018-01-17T00:52:35.030Z,,,,,55,61.4,
2018-01-17T00:52:45.030Z,74.7,,,,55,61.4,
2018-01-17T00:52:55.030Z,,,,,55,61.4,
2018-01-17T00:53:05.030Z,,,,,55,61.4,
2018-01-17T00:53:15.030Z,,,,,55,61.4,
2018-01-17T00:53:25.030Z,,,,,55,61.4,
2018-01-17T00:53:35.030Z,,,,,55,61.4,
2018-01-17T00:53:50.050Z,,,,,55,61.4,
2018-01-17T00:53:55.030Z,,,,,55,61.4,
2018-01-17T00:54:05.030Z,,,,,55,61.4,
2018-01-17T00:54:15.031Z,,,,,55,61.4,
2018-01-17T00:54:25.030Z,,,,,55,61.4,
2018-01-17T00:54:35.030Z,,,,,55,61.4,
2018-01-17T00:54:45.031Z,,,,,55,61.4,
2018-01-17T00:54:55.030Z,,,,,55,61.4,
2018-01-17T00:55:05.030Z,74.6,,,,55,61.4,
2018-01-17T00:55:15.030Z,74.7,,,,55,61.4,
2018-01-17T00:55:25.030Z,,,,,55,61.4,
2018-01-17T00:55:35.030Z,,,,33,55,61.4,
2018-01-17T00:55:45.030Z,,,,,55,61.4,
2018-01-17T00:55:55.030Z,,,,,55,61.4,
2018-01-17T00:56:05.030Z,,,,,55,61.4,
2018-01-17T00:56:15.030Z,,,,,55,61.4,
2018-01-17T00:56:25.031Z,,,,,55,61.4,
2018-01-17T00:56:37.205Z,,,,32,55,61.4,
2018-01-17T00:56:45.031Z,,,,,55,61.4,
2018-01-17T00:56:55.030Z,74.9,,,33,55,61.4,
2018-01-17T00:57:05.030Z,,,,,55,61.4,
2018-01-17T00:57:15.030Z,,,,,55,61.5,
2018-01-17T00:57:25.031Z,74.7,,,,55,61.5,
2018-01-17T00:57:35.031Z,74.9,,,,55,61.5,
2018-01-17T00:57:45.031Z,,,,,55,61.4,
2018-01-17T00:57:55.030Z,,,,,55,61.5,
2018-01-17T00:58:05.030Z,,,,,55,61.5,
2018-01-17T00:58:15.031Z,,,,,55,61.5,
2018-01-17T00:58:25.030Z,,,,,55,61.5,
2018-01-17T00:58:35.032Z,,,,,55,61.5,
2018-01-17T00:58:45.031Z,,,,,55,61.5,
2018-01-17T00:58:55.031Z,,,,,55,61.5,
2018-01-17T00:59:05.032Z,75.1,1,,0,,,0
2018-01-17T00:59:15.031Z,74.7,,,,55,61.5,
2018-01-17T00:59:25.031Z,72.7,,,,55,61.5,
2018-01-17T00:59:35.031Z,71.6,,,,55,61.5,
2018-01-17T00:59:45.031Z,70.9,,,,55,61.5,
2018-01-17T00:59:55.031Z,70.8,,,,55,61.5,
2018-01-17T01:00:05.185Z,70.7,,,,55,61.5,
2018-01-17T01:00:15.031Z,70.9,,,,55,61.5,
2018-01-17T01:00:25.165Z,70.8,,,,55,61.5,
2018-01-17T01:00:35.031Z,70.4,,,,55,61.5,
2018-01-17T01:00:45.031Z,69.9,,,,55,61.4,
2018-01-17T01:00:55.031Z,69.5,,,,55,61.4,
2018-01-17T01:01:05.031Z,68.7,,,,55,61.3,
2018-01-17T01:01:15.173Z,72.3,1,,80,55,61.3,0
2018-01-17T01:01:25.036Z,80.1,1,,0,55,61.2,0
2018-01-17T01:01:35.031Z,78.6,,,,55,61,
2018-01-17T01:01:45.033Z,74.5,,,,55,60.9,
2018-01-17T01:01:55.031Z,71.2,,,,55,60.8,
2018-01-17T01:02:05.033Z,69.9,,,,55,60.7,
2018-01-17T01:02:15.031Z,68.7,,,,55,60.7,
2018-01-17T01:02:25.031Z,68.2,,,,55,60.6,
2018-01-17T01:02:35.032Z,68.5,,,,55,60.6,
2018-01-17T01:02:45.031Z,68.2,,,,55,60.5,
2018-01-17T01:02:55.036Z,67.9,,,,55,60.5,
2018-01-17T01:03:05.031Z,67.4,,,,55,60.3,
2018-01-17T01:03:15.031Z,66.9,,,,55,60.2,
2018-01-17T01:03:25.031Z,66.6,,,,55,60.2,
2018-01-17T01:03:35.033Z,66.2,,,,55,60.1,
2018-01-17T01:03:45.032Z,65.9,,,,55,60,
2018-01-17T01:03:55.036Z,65.7,,,,55,59.9,
2018-01-17T01:04:05.031Z,65.5,,,,55,59.8,
2018-01-17T01:04:15.034Z,65,,,,55,59.7,
2018-01-17T01:04:25.032Z,64.9,,,,55,59.5,
2018-01-17T01:04:35.031Z,64.7,,,,55,59.5,
2018-01-17T01:04:45.032Z,64.4,,,,55,59.4,
2018-01-17T01:04:55.032Z,64.2,,,,55,59.3,
2018-01-17T01:05:05.032Z,63.8,,,,55,59.2,
2018-01-17T01:05:15.031Z,63.7,,,,55,59.1,
2018-01-17T01:05:25.031Z,63.5,,,,55,59,
2018-01-17T01:05:35.031Z,63.3,,,,55,58.9,
2018-01-17T01:05:45.036Z,62.9,,,,55,58.7,
2018-01-17T01:05:55.032Z,62.8,,,,55,58.6,
2018-01-17T01:06:05.035Z,62.4,,,,55,58.5,
2018-01-17T01:06:15.032Z,65.4,1,,79,55,58.4,0
