Time,PrimT,HwActive,ActPow,HwTSet,HwTOutlet,ChActive,PrimTSet
2017-12-29T01:03:47.344Z,,,,55,7,,
2017-12-29T01:03:57.340Z,,,,55,7,,
2017-12-29T01:04:07.341Z,,,,55,7.3,,
2017-12-29T01:04:17.340Z,8,,,55,7,,
2017-12-29T01:04:27.430Z,8.2,,,55,7,,
2017-12-29T01:04:37.340Z,,,,55,7,,
2017-12-29T01:04:47.342Z,,,,55,7,,
2017-12-29T01:04:57.357Z,8,,,55,7,,
2017-12-29T01:05:07.341Z,8.2,,,55,7,,
2017-12-29T01:05:17.340Z,,,,55,7,,
2017-12-29T01:05:27.440Z,,,,55,7,,
2017-12-29T01:05:37.343Z,,,,55,7,,
2017-12-29T01:05:47.340Z,,,,55,7,,
2017-12-29T01:05:57.340Z,,,,55,7,,
2017-12-29T01:06:07.343Z,,,,55,7,,
2017-12-29T01:06:17.341Z,,,,55,7.3,,
2017-12-29T01:06:27.433Z,8.2,0,0,55,7,0,5
2017-12-29T01:06:37.341Z,,,,55,7,,
2017-12-29T01:06:48.340Z,,,,55,7,,
2017-12-29T01:06:57.340Z,,,,55,7,,
2017-12-29T01:07:07.340Z,,,,55,7,,
2017-12-29T01:07:17.344Z,8,,,55,7,,
2017-12-29T01:07:27.431Z,8.2,,,55,7,,
2017-12-29T01:07:37.340Z,8,,,55,7,,
2017-12-29T01:07:47.345Z,,,,55,7,,
2017-12-29T01:07:57.341Z,8.2,,,55,7,,
2017-12-29T01:08:07.344Z,8,,,55,7.3,,
2017-12-29T01:08:17.341Z,8.2,,,55,7,,
2017-12-29T01:08:27.431Z,,,,55,7,,
2017-12-29T01:08:37.341Z,,,,55,7,,
2017-12-29T01:08:47.341Z,,,,55,7,,
2017-12-29T01:08:57.342Z,,,,55,7,,
2017-12-29T01:09:07.341Z,8,,,55,7,,
2017-12-29T01:09:17.341Z,8.2,,,55,7,,
2017-12-29T01:09:27.431Z,8,,,55,7,,
2017-12-29T01:09:38.334Z,8.2,,,55,7,,
2017-12-29T01:09:47.341Z,,,,55,7,,
2017-12-29T01:09:57.341Z,8,,,55,7,,
2017-12-29T01:10:07.341Z,8.2,,,55,7,,
2017-12-29T01:10:17.344Z,,,,55,7,,
2017-12-29T01:10:27.431Z,,,,55,7,,
2017-12-29T01:10:37.348Z,8,,,55,7,,
2017-12-29T01:10:47.341Z,,,,55,7,,
2017-12-29T01:10:57.343Z,,,,55,7,,
2017-12-29T01:11:07.341Z,,,,55,7,,
2017-12-29T01:11:17.341Z,8.2,,,55,7,,
2017-12-29T01:11:27.432Z,,,,55,7,,
2017-12-29T01:11:37.341Z,,,,55,7,,
2017-12-29T01:11:47.346Z,,,,55,7,,
2017-12-29T01:11:57.341Z,8,,,55,7,,
2017-12-29T01:12:07.347Z,,,,55,7,,
2017-12-29T01:12:17.341Z,8.2,,,55,7,,
2017-12-29T01:12:28.422Z,,,,55,7,,
2017-12-29T01:12:37.342Z,8,,,55,7,,
2017-12-29T01:12:47.342Z,8.2,,,55,7,,
2017-12-29T01:12:57.342Z,8,,,55,7,,
2017-12-29T01:13:07.342Z,8.2,,,55,7,,
2017-12-29T01:13:17.345Z,8,,,55,7,,
2017-12-29T01:13:27.432Z,,,,55,7,,
2017-12-29T01:13:37.343Z,,,,55,7,,
2017-12-29T01:13:47.341Z,,,,55,7,,
2017-12-29T01:13:57.342Z,8.2,,,55,7,,
2017-12-29T01:14:07.342Z,8,,,55,7,,
2017-12-29T01:14:17.341Z,8.2,,,55,7,,
2017-12-29T01:14:27.432Z,8,,,55,7,,
2017-12-29T01:14:37.342Z,,,,55,7,,
2017-12-29T01:14:47.342Z,,,,55,7,,
2017-12-29T01:14:57.343Z,,,,55,7,,
2017-12-29T01:15:07.342Z,,,,55,7,,
2017-12-29T01:15:22.362Z,,,,55,7,,
2017-12-29T01:15:27.432Z,,,,55,7,,
2017-12-29T01:15:37.342Z,8.2,,,55,7,,
2017-12-29T01:15:47.342Z,8,,,55,7,,
2017-12-29T01:15:57.342Z,,,,55,7,,
2017-12-29T01:16:07.342Z,,,,55,7,,
2017-12-29T01:16:17.344Z,,,,55,7,,
2017-12-29T01:16:27.425Z,,,,55,7,,
2017-12-29T01:16:37.343Z,,,,55,7,,
2017-12-29T01:16:47.509Z,8.2,,,55,7,,
2017-12-29T01:16:57.342Z,8,,,55,7,,
2017-12-29T01:17:07.342Z,,,,55,7,,
2017-12-29T01:17:17.342Z,,,,55,7,,
2017-12-29T01:17:27.432Z,,,,55,7,,
2017-12-29T01:17:37.343Z,,,,55,7,,
2017-12-29T01:17:47.342Z,,,,55,7,,
2017-12-29T01:17:57.343Z,,,,55,7,,
2017-12-29T01:18:07.342Z,,,,55,7,,
2017-12-29T01:18:17.342Z,,,,55,7,,
2017-12-29T01:18:27.432Z,,,,55,7,,
2017-12-29T01:18:37.343Z,,,,55,7,,
2017-12-29T01:18:47.343Z,,,,55,7,,
2017-12-29T01:18:57.344Z,,,,55,7,,
2017-12-29T01:19:07.342Z,,,,55,7,,
2017-12-29T01:19:17.343Z,,,,55,7,,
2017-12-29T01:19:27.432Z,,,,55,7,,
2017-12-29T01:19:38.243Z,,,,55,7,,
2017-12-29T01:19:47.343Z,,,,55,7,,
2017-12-29T01:19:57.343Z,,,,55,7,,
2017-12-29T01:20:07.343Z,,,,55,7,,
2017-12-29T01:20:17.347Z,,,,55,7,,
2017-12-29T01:20:27.435Z,,,,55,7,,
2017-12-29T01:20:37.349Z,,,,55,7,,
2017-12-29T01:20:47.343Z,,,,55,7,,
2017-12-29T01:20:57.343Z,,,,55,7,,
2017-12-29T01:21:07.343Z,,,,55,7,,
2017-12-29T01:21:17.343Z,,,,55,7,,
2017-12-29T01:21:27.435Z,,,,55,7,,
2017-12-29T01:21:37.344Z,,,,55,7,,
2017-12-29T01:21:47.343Z,,,,55,7,,
2017-12-29T01:21:57.343Z,,,,55,7,,
2017-12-29T01:22:07.343Z,,,,55,7,,
2017-12-29T01:22:17.343Z,,,,55,7,,
2017-12-29T01:22:27.433Z,,,,55,7,,
2017-12-29T01:22:37.343Z,,,,55,7,,
2017-12-29T01:22:47.343Z,,,,55,7,,
2017-12-29T01:22:57.344Z,,,,55,7,,
2017-12-29T01:23:07.343Z,,,,55,7,,
2017-12-29T01:23:17.343Z,,,,55,7,,
2017-12-29T01:23:27.433Z,,,,55,7,,
