Time,HwActive,ChActive,ActPow,PrimT,PrimTSet,HwTOutlet,HwTSet
2018-01-10T00:25:12.684Z,,,,,,36.9,55
2018-01-10T00:25:22.681Z,,,,,,36.9,55
2018-01-10T00:25:32.681Z,,,,,,36.8,55
2018-01-10T00:25:42.687Z,,,,54.7,,36.8,55
2018-01-10T00:25:52.682Z,,,,,,36.8,55
2018-01-10T00:26:02.681Z,,,,,,36.7,55
2018-01-10T00:26:12.682Z,,,,,,36.7,55
2018-01-10T00:26:22.682Z,,,,54.6,,36.5,55
2018-01-10T00:26:32.682Z,,,,,,36.5,55
2018-01-10T00:26:42.681Z,,,,,,36.5,55
2018-01-10T00:26:52.681Z,,,,,,36.4,55
2018-01-10T00:27:02.682Z,,,,54.4,,36.4,55
2018-01-10T00:27:12.682Z,,,,,,36.3,55
2018-01-10T00:27:22.682Z,,,,,,36.3,55
2018-01-10T00:27:32.682Z,,,,,,36.3,55
2018-01-10T00:27:42.683Z,,,,54.3,,36.2,55
2018-01-10T00:27:53.676Z,,,,,,36.2,55
2018-01-10T00:28:02.684Z,,,,,,36,55
2018-01-10T00:28:12.682Z,,,,,,36,55
2018-01-10T00:28:22.682Z,,,,54.2,,36,55
2018-01-10T00:28:32.682Z,,,,,,35.9,55
2018-01-10T00:28:42.682Z,,,,,,35.9,55
2018-01-10T00:28:52.682Z,,,,,,35.9,55
2018-01-10T00:29:02.682Z,,,,54.1,,35.8,55
2018-01-10T00:29:12.682Z,,,,,,35.8,55
2018-01-10T00:29:22.682Z,,,,,,35.8,55
2018-01-10T00:29:32.682Z,,,,,,35.7,55
2018-01-10T00:29:42.685Z,,,,54,,35.7,55
2018-01-10T00:29:52.682Z,,,,,,35.6,55
2018-01-10T00:30:02.684Z,,,,,,35.6,55
2018-01-10T00:30:12.682Z,,,,,,35.6,55
2018-01-10T00:30:22.682Z,,,,53.9,,35.4,55
2018-01-10T00:30:32.682Z,,,,,,35.4,55
2018-01-10T00:30:43.711Z,,,,,,35.4,55
2018-01-10T00:30:52.682Z,,,,,,35.3,55
2018-01-10T00:31:02.682Z,0,0,0,53.9,5,35.3,55
2018-01-10T00:31:12.684Z,,,,53.8,,35.3,55
2018-01-10T00:31:22.682Z,,,,,,35.2,55
2018-01-10T00:31:32.682Z,,,,,,35.2,55
2018-01-10T00:31:42.682Z,,,,,,35.2,55
2018-01-10T00:31:52.684Z,,,,53.7,,35.1,55
2018-01-10T00:32:02.683Z,,,,,,35.1,55
2018-01-10T00:32:12.689Z,,,,,,35.1,55
2018-01-10T00:32:22.683Z,,,,53.6,,34.9,55
2018-01-10T00:32:32.682Z,,,,,,34.9,55
2018-01-10T00:32:42.684Z,,,,,,34.8,55
2018-01-10T00:32:52.683Z,,,,,,34.8,55
2018-01-10T00:33:02.682Z,,,,,,34.8,55
2018-01-10T00:33:12.683Z,,,,53.4,,34.7,55
2018-01-10T00:33:22.684Z,,,,,,34.7,55
2018-01-10T00:33:37.703Z,,,,,,34.7,55
2018-01-10T00:33:42.683Z,,,,,,34.6,55
2018-01-10T00:33:52.683Z,,,,53.3,,34.6,55
2018-01-10T00:34:02.685Z,,,,,,34.6,55
2018-01-10T00:34:12.683Z,,,,,,34.4,55
2018-01-10T00:34:22.682Z,,,,,,34.4,55
2018-01-10T00:34:32.683Z,,,,53.2,,34.4,55
2018-01-10T00:34:42.683Z,,,,,,34.3,55
2018-01-10T00:34:52.683Z,,,,,,34.3,55
2018-01-10T00:35:02.682Z,,,,,,34.3,55
2018-01-10T00:35:12.683Z,,,,53.1,,34.2,55
2018-01-10T00:35:22.683Z,,,,,,34.2,55
2018-01-10T00:35:32.683Z,,,,,,34.2,55
2018-01-10T00:35:42.683Z,,,,,,34.1,55
2018-01-10T00:35:52.688Z,,,,53,,34.1,55
2018-01-10T00:36:02.683Z,,,,,,34.1,55
2018-01-10T00:36:12.685Z,,,,,,34,55
2018-01-10T00:36:27.695Z,,,,,,34,55
2018-01-10T00:36:32.683Z,,,,52.9,,34,55
2018-01-10T00:36:42.682Z,,,,,,34,55
2018-01-10T00:36:52.683Z,,,,,,33.8,55
2018-01-10T00:37:02.683Z,,,,,,33.8,55
2018-01-10T00:37:12.683Z,,,,,,33.7,55
2018-01-10T00:37:22.683Z,,,,52.8,,33.7,55
2018-01-10T00:37:32.691Z,,,,,,33.7,55
2018-01-10T00:37:42.683Z,,,,,,33.6,55
2018-01-10T00:37:52.715Z,,,,,,33.6,55
2018-01-10T00:38:02.684Z,,,,52.7,,33.6,55
2018-01-10T00:38:12.684Z,,,,,,33.6,55
2018-01-10T00:38:22.685Z,,,,,,33.5,55
2018-01-10T00:38:32.683Z,,,,,,33.5,55
2018-01-10T00:38:42.684Z,,,,52.6,,33.5,55
2018-01-10T00:38:52.683Z,,,,,,33.3,55
2018-01-10T00:39:02.683Z,,,,,,33.3,55
2018-01-10T00:39:12.685Z,,,,,,33.3,55
2018-01-10T00:39:22.684Z,,,,,,33.3,55
2018-01-10T00:39:32.683Z,,,,52.4,,33.2,55
2018-01-10T00:39:42.685Z,,,,,,33.2,55
2018-01-10T00:39:52.683Z,,,,,,33.2,55
2018-01-10T00:40:02.683Z,,,,,,33.1,55
2018-01-10T00:40:12.685Z,,,,52.3,,33.1,55
2018-01-10T00:40:22.684Z,,,,,,33.1,55
2018-01-10T00:40:32.685Z,,,,,,33.1,55
2018-01-10T00:40:42.685Z,,,,,,33,55
2018-01-10T00:40:52.684Z,,,,52.2,,33,55
2018-01-10T00:41:02.684Z,,,,,,32.8,55
2018-01-10T00:41:12.684Z,,,,,,32.8,55
2018-01-10T00:41:22.685Z,,,,,,32.8,55
2018-01-10T00:41:32.684Z,,,,52.1,,32.8,55
2018-01-10T00:41:42.683Z,,,,,,32.7,55
2018-01-10T00:41:52.684Z,,,,,,32.7,55
2018-01-10T00:42:02.684Z,,,,,,32.7,55
2018-01-10T00:42:12.684Z,1,0,,52,0,32.6,55
2018-01-10T00:42:22.685Z,0,0,0,51.8,59,34.7,55
2018-01-10T00:42:32.683Z,,,,49.5,,34,55
2018-01-10T00:42:42.684Z,,,,48.7,,38.8,55
2018-01-10T00:42:52.684Z,,,,45.9,,43,55
2018-01-10T00:43:02.685Z,,,,42.6,,41.2,55
2018-01-10T00:43:12.684Z,,,,41.9,,39.3,55
2018-01-10T00:43:22.686Z,,,,,5,38.6,55
2018-01-10T00:43:33.679Z,,,,42,,38,55
2018-01-10T00:43:42.684Z,0,0,123,42.3,59,38.6,55
2018-01-10T00:43:52.684Z,0,0,0,42.8,,38.6,55
2018-01-10T00:44:02.685Z,,,,42.4,,37.8,55
2018-01-10T00:44:12.684Z,,,,42.7,,37.3,55
2018-01-10T00:44:22.696Z,1,0,,42.8,0,36.9,55
2018-01-10T00:44:32.707Z,1,0,0,43.7,0,40.2,55
2018-01-10T00:44:42.687Z,1,0,124,44.3,,39.6,55
2018-01-10T00:44:52.684Z,0,0,0,50.4,59,41.8,55
2018-01-10T00:45:02.684Z,,,,53.2,,41.6,55
2018-01-10T00:45:12.684Z,,,,55,,40.6,55
2018-01-10T00:45:22.686Z,,,,56.2,,40.1,55
2018-01-10T00:45:32.684Z,,,,56.8,,39.9,55
2018-01-10T00:45:42.684Z,,,,57.2,,40.5,55
2018-01-10T00:45:52.699Z,,,,57.3,5,41.4,55
2018-01-10T00:46:02.684Z,,,,57.4,,45.1,55
2018-01-10T00:46:12.685Z,,,,,,45.5,55
2018-01-10T00:46:23.683Z,,,,,,45.8,55
2018-01-10T00:46:32.685Z,,,,,,45.8,55
2018-01-10T00:46:42.684Z,,,,,,45.8,55
2018-01-10T00:46:52.685Z,,,,,,45.9,55
2018-01-10T00:47:02.685Z,,,,,,46,55
2018-01-10T00:47:12.685Z,,,,,,46,55
2018-01-10T00:47:22.685Z,,,,,,46.1,55
2018-01-10T00:47:32.684Z,,,,57.5,,46.2,55
2018-01-10T00:47:42.685Z,,,,,,46.2,55
2018-01-10T00:47:52.688Z,,,,,,46.4,55
2018-01-10T00:48:02.684Z,1,0,,57.6,0,46.5,55
2018-01-10T00:48:12.695Z,0,0,0,57.7,59,51.7,55
2018-01-10T00:48:22.684Z,,,,53.9,,48.9,55
2018-01-10T00:48:32.685Z,,,,53.4,,47.5,55
2018-01-10T00:48:42.685Z,,,,53.7,,46.8,55
2018-01-10T00:48:52.685Z,,,,53.9,,46.4,55
2018-01-10T00:49:02.685Z,,,,54,,46,55
2018-01-10T00:49:17.705Z,,,,54.1,5,45.8,55
2018-01-10T00:49:22.687Z,,,,,,45.7,55
2018-01-10T00:49:32.684Z,,,,54,,45.6,55
2018-01-10T00:49:42.684Z,,,,,,45.6,55
2018-01-10T00:49:52.685Z,,,,,,45.6,55
2018-01-10T00:50:02.687Z,,,,,,45.6,55
2018-01-10T00:50:12.686Z,,,,,,45.6,55
2018-01-10T00:50:22.685Z,,,,,,45.6,55
2018-01-10T00:50:32.685Z,,,,,,45.6,55
2018-01-10T00:50:42.707Z,,,,,,45.6,55
2018-01-10T00:50:52.685Z,,,,,,45.5,55
2018-01-10T00:51:02.685Z,,,,,,45.5,55
2018-01-10T00:51:12.685Z,,,,,,45.5,55
2018-01-10T00:51:22.685Z,,,,,,45.3,55
2018-01-10T00:51:32.685Z,,,,,,45.3,55
2018-01-10T00:51:42.685Z,,,,,,45.3,55
2018-01-10T00:51:52.686Z,,,,,,45.2,55
2018-01-10T00:52:08.706Z,,,,,,45.2,55
2018-01-10T00:52:12.685Z,,,,,,45.1,55
2018-01-10T00:52:22.685Z,,,,,,45.1,55
2018-01-10T00:52:32.685Z,,,,,,45.1,55
2018-01-10T00:52:42.685Z,,,,,,45,55
2018-01-10T00:52:52.685Z,,,,,,45,55
2018-01-10T00:53:02.700Z,,,,54.1,,44.9,55
2018-01-10T00:53:12.685Z,,,,54,,44.9,55
2018-01-10T00:53:22.685Z,,,,,,44.8,55
2018-01-10T00:53:32.686Z,,,,,,44.8,55
2018-01-10T00:53:42.686Z,,,,,,44.8,55
2018-01-10T00:53:52.685Z,,,,,,44.7,55
2018-01-10T00:54:02.685Z,,,,,,44.7,55
2018-01-10T00:54:12.685Z,,,,,,44.5,55
2018-01-10T00:54:22.686Z,,,,,,44.5,55
2018-01-10T00:54:32.686Z,,,,,,44.4,55
2018-01-10T00:54:42.687Z,,,,,,44.4,55
2018-01-10T00:54:57.825Z,,,,,,44.3,55
2018-01-10T00:55:02.686Z,,,,,,44.3,55
2018-01-10T00:55:12.686Z,,,,,,44.2,55
2018-01-10T00:55:22.685Z,,,,,,44.2,55
2018-01-10T00:55:32.685Z,,,,,,44.1,55
2018-01-10T00:55:42.686Z,,,,,,44.1,55
2018-01-10T00:55:52.686Z,,,,53.9,,44,55
2018-01-10T00:56:02.686Z,,,,,,44,55
2018-01-10T00:56:12.687Z,,,,,,43.9,55
2018-01-10T00:56:24.416Z,,,,,,43.9,55
2018-01-10T00:56:32.686Z,,,,,,43.7,55
2018-01-10T00:56:42.686Z,,,,,,43.7,55
2018-01-10T00:56:52.686Z,,,,,,43.6,55
2018-01-10T00:57:02.686Z,,,,,,43.6,55
2018-01-10T00:57:12.686Z,,,,53.8,,43.5,55
2018-01-10T00:57:22.685Z,,,,,,43.5,55
2018-01-10T00:57:32.686Z,,,,,,43.4,55
2018-01-10T00:57:42.689Z,,,,,,43.4,55
2018-01-10T00:57:52.686Z,,,,,,43.3,55
2018-01-10T00:58:02.686Z,,,,,,43.2,55
2018-01-10T00:58:12.686Z,,,,53.7,,43.2,55
2018-01-10T00:58:22.687Z,,,,,,43.1,55
2018-01-10T00:58:32.686Z,,,,,,43.1,55
2018-01-10T00:58:42.686Z,,,,,,43,55
2018-01-10T00:58:52.688Z,,,,,,43,55
2018-01-10T00:59:02.686Z,,,,,,42.8,55
2018-01-10T00:59:13.683Z,,,,53.6,,42.8,55
2018-01-10T00:59:22.686Z,,,,,,42.7,55
2018-01-10T00:59:32.686Z,,,,,,42.7,55
2018-01-10T00:59:42.686Z,,,,,,42.6,55
2018-01-10T00:59:52.686Z,,,,,,42.6,55
2018-01-10T01:00:02.686Z,,,,,,42.6,55
2018-01-10T01:00:12.688Z,,,,53.4,,42.5,55
2018-01-10T01:00:22.686Z,,,,,,42.5,55
2018-01-10T01:00:32.686Z,,,,,,42.4,55
2018-01-10T01:00:42.686Z,,,,,,42.4,55
2018-01-10T01:00:52.686Z,,,,53.3,,42.3,55
2018-01-10T01:01:02.687Z,,,,53.4,,42.3,55
2018-01-10T01:01:12.692Z,,,,53.3,,42.2,55
2018-01-10T01:01:22.691Z,,,,,,42.2,55
2018-01-10T01:01:32.693Z,,,,,,42,55
2018-01-10T01:01:42.689Z,,,,,,42,55
2018-01-10T01:01:52.687Z,,,,53.2,,41.9,55
2018-01-10T01:02:03.678Z,,,,,,41.9,55
2018-01-10T01:02:12.687Z,,,,,,41.8,55
2018-01-10T01:02:22.686Z,,,,,,41.8,55
2018-01-10T01:02:32.687Z,,,,,,41.7,55
2018-01-10T01:02:42.687Z,,,,53.1,,41.7,55
2018-01-10T01:02:52.686Z,,,,,,41.6,55
2018-01-10T01:03:02.686Z,,,,,,41.6,55
2018-01-10T01:03:12.687Z,,,,,,41.5,55
2018-01-10T01:03:22.686Z,,,,,,41.5,55
2018-01-10T01:03:32.687Z,,,,53,,41.4,55
2018-01-10T01:03:42.687Z,,,,,,41.4,55
2018-01-10T01:03:52.686Z,,,,,,41.4,55
2018-01-10T01:04:02.687Z,,,,,,41.2,55
2018-01-10T01:04:12.704Z,,,,,,41.2,55
2018-01-10T01:04:22.700Z,,,,53,,41.1,55
2018-01-10T01:04:32.703Z,,,,52.9,,41.1,55
2018-01-10T01:04:42.687Z,,,,,,41,55
2018-01-10T01:04:59.821Z,,,,,,41,55
2018-01-10T01:05:02.688Z,,,,,,40.9,55
2018-01-10T01:05:12.687Z,,,,52.8,,40.9,55
2018-01-10T01:05:22.688Z,,,,,,40.8,55
2018-01-10T01:05:32.687Z,,,,,,40.8,55
2018-01-10T01:05:42.687Z,,,,,,40.8,55
2018-01-10T01:05:52.687Z,,,,,,40.7,55
2018-01-10T01:06:02.687Z,,,,52.7,,40.7,55
2018-01-10T01:06:12.689Z,,,,,,40.6,55
2018-01-10T01:06:22.689Z,,,,,,40.6,55
2018-01-10T01:06:32.687Z,,,,,,40.5,55
2018-01-10T01:06:42.687Z,,,,,,40.5,55
2018-01-10T01:06:52.687Z,,,,52.6,,40.3,55
2018-01-10T01:07:02.687Z,,,,,,40.3,55
2018-01-10T01:07:12.687Z,,,,,,40.3,55
2018-01-10T01:07:22.693Z,,,,,,40.2,55
2018-01-10T01:07:32.711Z,,,,52.4,,40.2,55
2018-01-10T01:07:43.841Z,,,,,,40.1,55
2018-01-10T01:07:52.692Z,,,,,,40.1,55
2018-01-10T01:08:02.687Z,,,,,,40,55
2018-01-10T01:08:12.688Z,,,,,,40,55
2018-01-10T01:08:22.692Z,,,,52.3,,39.9,55
2018-01-10T01:08:32.687Z,,,,,,39.9,55
2018-01-10T01:08:42.689Z,,,,,,39.9,55
2018-01-10T01:08:52.694Z,,,,,,39.8,55
2018-01-10T01:09:02.687Z,,,,52.2,,39.8,55
2018-01-10T01:09:12.861Z,,,,,,39.6,55
2018-01-10T01:09:22.688Z,,,,,,39.6,55
2018-01-10T01:09:32.688Z,,,,,,39.5,55
2018-01-10T01:09:42.687Z,,,,,,39.5,55
2018-01-10T01:09:52.688Z,,,,52.1,,39.5,55
2018-01-10T01:10:02.688Z,,,,,,39.4,55
2018-01-10T01:10:12.689Z,,,,,,39.4,55
2018-01-10T01:10:22.694Z,,,,,,39.3,55
2018-01-10T01:10:37.710Z,,,,52,,39.3,55
2018-01-10T01:10:42.689Z,,,,,,39.1,55
2018-01-10T01:10:52.688Z,,,,,,39.1,55
2018-01-10T01:11:02.688Z,,,,,,39,55
2018-01-10T01:11:12.688Z,,,,,,39,55
2018-01-10T01:11:22.691Z,,,,51.9,,39,55
2018-01-10T01:11:32.688Z,,,,,,38.9,55
2018-01-10T01:11:42.688Z,,,,,,38.9,55
2018-01-10T01:11:52.688Z,,,,,,38.8,55
2018-01-10T01:12:02.825Z,,,,,,38.8,55
2018-01-10T01:12:12.692Z,,,,51.8,,38.8,55
2018-01-10T01:12:22.688Z,,,,,,38.6,55
2018-01-10T01:12:32.688Z,,,,,,38.6,55
2018-01-10T01:12:42.692Z,,,,,,38.5,55
2018-01-10T01:12:52.688Z,,,,,,38.5,55
2018-01-10T01:13:02.689Z,,,,51.7,,38.4,55
2018-01-10T01:13:12.691Z,,,,,,38.4,55
2018-01-10T01:13:22.688Z,,,,,,38.4,55
2018-01-10T01:13:32.688Z,,,,,,38.3,55
2018-01-10T01:13:42.696Z,,,,51.6,,38.3,55
2018-01-10T01:13:52.688Z,,,,,,38.1,55
2018-01-10T01:14:02.688Z,,,,,,38.1,55
2018-01-10T01:14:12.688Z,,,,,,38,55
2018-01-10T01:14:22.694Z,,,,,,38,55
2018-01-10T01:14:32.694Z,,,,51.4,,38,55
2018-01-10T01:14:42.688Z,,,,,,37.9,55
2018-01-10T01:14:52.688Z,,,,,,37.9,55
2018-01-10T01:15:02.697Z,,,,,,37.8,55
2018-01-10T01:15:12.688Z,,,,,,37.8,55
2018-01-10T01:15:22.689Z,,,,51.3,,37.8,55
2018-01-10T01:15:32.690Z,,,,,,37.7,55
2018-01-10T01:15:42.688Z,,,,,,37.7,55
2018-01-10T01:15:52.688Z,,,,,,37.5,55
2018-01-10T01:16:02.688Z,,,,,,37.5,55
2018-01-10T01:16:12.689Z,,,,51.2,,37.4,55
2018-01-10T01:16:22.688Z,,,,,,37.4,55
2018-01-10T01:16:32.689Z,,,,,,37.4,55
2018-01-10T01:16:42.700Z,,,,,,37.3,55
2018-01-10T01:16:52.691Z,,,,51.1,,37.3,55
2018-01-10T01:17:02.690Z,,,,,,37.2,55
2018-01-10T01:17:12.688Z,,,,,,37.2,55
2018-01-10T01:17:22.688Z,,,,,,37.2,55
2018-01-10T01:17:32.689Z,,,,,,37,55
2018-01-10T01:17:43.689Z,,,,51,,37,55
2018-01-10T01:17:52.688Z,,,,,,37,55
2018-01-10T01:18:02.689Z,,,,,,36.9,55
