Time,PrimT,HwActive,ActPow,PrimTSet,ChActive,HwTSet,HwTOutlet
2017-12-25T00:47:23.462Z,,,,,,55,12.8
2017-12-25T00:47:33.459Z,12.3,,,,,55,12.6
2017-12-25T00:47:43.459Z,,,,,,55,12.6
2017-12-25T00:47:53.459Z,,,,,,55,12.8
2017-12-25T00:48:03.459Z,12.5,,,,,55,12.8
2017-12-25T00:48:13.461Z,,,,,,55,12.8
2017-12-25T00:48:23.460Z,,,,,,55,12.6
2017-12-25T00:48:33.466Z,,,,,,55,12.6
2017-12-25T00:48:48.639Z,,,,,,55,12.8
2017-12-25T00:48:53.460Z,,,,,,55,12.8
2017-12-25T00:49:03.459Z,12.3,,,,,55,12.8
2017-12-25T00:49:23.459Z,,,,,,55,12.8
2017-12-25T00:49:33.459Z,12.5,,,,,55,12.8
2017-12-25T00:49:43.460Z,12.3,,,,,55,12.8
2017-12-25T00:49:53.460Z,,,,,,55,12.8
2017-12-25T00:50:03.462Z,12.5,,,,,55,12.8
2017-12-25T00:50:14.477Z,,,,,,55,12.6
2017-12-25T00:50:23.459Z,,,,,,55,12.8
2017-12-25T00:50:33.459Z,,,,,,55,12.8
2017-12-25T00:50:43.460Z,12.3,,,,,55,12.6
2017-12-25T00:50:53.459Z,,,,,,55,12.6
2017-12-25T00:51:03.464Z,12.5,,,,,55,12.6
2017-12-25T00:51:13.460Z,12.3,,,,,55,12.8
2017-12-25T00:51:23.466Z,12.5,,,,,55,12.6
2017-12-25T00:51:33.460Z,,,,,,55,12.8
2017-12-25T00:51:43.459Z,12.3,,,,,55,12.8
2017-12-25T00:51:53.460Z,,,,,,55,12.6
2017-12-25T00:52:03.460Z,12.5,,,,,55,12.8
2017-12-25T00:52:13.460Z,,,,,,55,12.6
2017-12-25T00:52:23.460Z,12.3,,,,,55,12.8
2017-12-25T00:52:33.459Z,12.5,,,,,55,12.8
2017-12-25T00:52:43.460Z,,,,,,55,12.8
2017-12-25T00:52:53.459Z,12.3,,,,,55,12.8
2017-12-25T00:53:04.456Z,12.5,,,,,55,12.8
2017-12-25T00:53:13.460Z,12.3,,,,,55,12.6
2017-12-25T00:53:23.459Z,12.5,,,,,55,12.8
2017-12-25T00:53:33.460Z,,,,,,55,12.8
2017-12-25T00:53:43.460Z,,,,,,55,12.6
2017-12-25T00:53:53.462Z,,,,,,55,12.6
2017-12-25T00:54:03.461Z,,,,,,55,12.8
2017-12-25T00:54:13.460Z,,,,,,55,12.6
2017-12-25T00:54:23.460Z,12.3,,,,,55,12.8
2017-12-25T00:54:33.460Z,12.5,,,,,55,12.6
2017-12-25T00:54:43.460Z,,,,,,55,12.8
2017-12-25T00:54:53.461Z,12.3,,,,,55,12.6
2017-12-25T00:55:03.460Z,12.5,,,,,55,12.8
2017-12-25T00:55:13.462Z,12.3,,,,,55,12.6
2017-12-25T00:55:23.465Z,,,,,,55,12.8
2017-12-25T00:55:33.461Z,,,,,,55,12.6
2017-12-25T00:55:43.460Z,12.5,,,,,55,12.8
2017-12-25T00:55:54.459Z,12.3,,,,,55,12.6
2017-12-25T00:56:04.502Z,,,,,,55,12.6
2017-12-25T00:56:13.461Z,12.5,,,,,55,12.8
2017-12-25T00:56:23.461Z,,,,,,55,12.6
2017-12-25T00:56:33.460Z,12.3,,,,,55,12.8
2017-12-25T00:56:43.465Z,,,,,,55,12.8
2017-12-25T00:56:53.461Z,,,,,,55,12.6
2017-12-25T00:57:03.460Z,,,,,,55,12.8
2017-12-25T00:57:13.461Z,12.5,,,,,55,12.8
2017-12-25T00:57:23.482Z,,,,,,55,12.8
2017-12-25T00:57:33.461Z,,,,,,55,12.8
2017-12-25T00:57:43.461Z,,,,,,55,12.8
