Time,ActPow,PrimT,HwTOutlet,HwActive,ChActive,PrimTSet,HwTSet
2017-11-19T00:29:31.831Z,,55.7,40.2,,,,55
2017-11-19T00:29:46.946Z,,,40.1,,,,55
2017-11-19T00:29:51.756Z,,,40.1,,,,55
2017-11-19T00:30:01.741Z,,,40.1,,,,55
2017-11-19T00:30:11.741Z,,,40,,,,55
2017-11-19T00:30:21.743Z,,55.6,40,,,,55
2017-11-19T00:30:31.831Z,,,39.9,,,,55
2017-11-19T00:30:41.741Z,,,39.9,,,,55
2017-11-19T00:30:51.740Z,,,39.9,,,,55
2017-11-19T00:31:01.741Z,,,39.8,,,,55
2017-11-19T00:31:11.775Z,,55.5,39.8,,,,55
2017-11-19T00:31:21.741Z,,,39.8,,,,55
2017-11-19T00:31:31.835Z,,,39.6,,,,55
2017-11-19T00:31:41.741Z,,,39.6,,,,55
2017-11-19T00:31:51.741Z,,,39.6,,,,55
2017-11-19T00:32:01.741Z,,55.3,39.5,,,,55
2017-11-19T00:32:11.741Z,,,39.5,,,,55
2017-11-19T00:32:21.742Z,,,39.5,,,,55
2017-11-19T00:32:37.822Z,,,39.4,,,,55
2017-11-19T00:32:41.741Z,,,39.4,,,,55
2017-11-19T00:32:51.742Z,,55.2,39.4,,,,55
2017-11-19T00:33:01.742Z,,,39.3,,,,55
2017-11-19T00:33:11.741Z,,,39.3,,,,55
2017-11-19T00:33:21.741Z,,,39.3,,,,55
2017-11-19T00:33:31.821Z,,,39.1,,,,55
2017-11-19T00:33:41.743Z,,55.1,39.1,,,,55
2017-11-19T00:33:51.741Z,,,39.1,,,,55
2017-11-19T00:34:02.736Z,,,39,,,,55
2017-11-19T00:34:11.742Z,,,39,,,,55
2017-11-19T00:34:21.744Z,,,39,,,,55
2017-11-19T00:34:31.822Z,,55,38.9,,,,55
2017-11-19T00:34:41.741Z,,,38.9,,,,55
2017-11-19T00:34:51.741Z,,,38.9,,,,55
2017-11-19T00:35:01.741Z,,,38.8,,,,55
2017-11-19T00:35:11.747Z,,54.9,38.8,,,,55
2017-11-19T00:35:21.742Z,,,38.8,,,,55
2017-11-19T00:35:31.832Z,,,38.6,,,,55
2017-11-19T00:35:41.742Z,,,38.6,,,,55
2017-11-19T00:35:51.741Z,,,38.6,,,,55
2017-11-19T00:36:01.746Z,,,38.5,,,,55
2017-11-19T00:36:11.741Z,,54.8,38.5,,,,55
2017-11-19T00:36:21.741Z,,,38.5,,,,55
2017-11-19T00:36:31.821Z,,,38.5,,,,55
2017-11-19T00:36:41.744Z,,,38.4,,,,55
2017-11-19T00:36:51.741Z,,,38.4,,,,55
2017-11-19T00:37:01.741Z,,54.7,38.4,,,,55
2017-11-19T00:37:11.741Z,,,38.3,,,,55
2017-11-19T00:37:21.745Z,,,38.3,,,,55
2017-11-19T00:37:31.832Z,,,38.3,,,,55
2017-11-19T00:37:41.742Z,,54.6,38.1,,,,55
2017-11-19T00:37:51.741Z,,,38.1,,,,55
2017-11-19T00:38:01.742Z,,,38.1,,,,55
2017-11-19T00:38:11.746Z,,,38,,,,55
2017-11-19T00:38:21.745Z,,,38,,,,55
2017-11-19T00:38:31.832Z,,54.4,37.9,,,,55
2017-11-19T00:38:41.746Z,,,37.9,,,,55
2017-11-19T00:38:51.746Z,,,37.9,,,,55
2017-11-19T00:39:01.746Z,,,37.9,,,,55
2017-11-19T00:39:11.746Z,,,37.8,,,,55
2017-11-19T00:39:21.746Z,,54.3,37.8,,,,55
2017-11-19T00:39:31.827Z,,,37.8,,,,55
2017-11-19T00:39:42.736Z,,,37.8,,,,55
2017-11-19T00:39:51.746Z,,,37.7,,,,55
2017-11-19T00:40:01.744Z,,,37.7,,,,55
2017-11-19T00:40:11.743Z,,54.2,37.7,,,,55
2017-11-19T00:40:21.742Z,,,37.5,,,,55
2017-11-19T00:40:31.823Z,,,37.5,,,,55
2017-11-19T00:40:41.742Z,,,37.5,,,,55
2017-11-19T00:40:51.748Z,,,37.4,,,,55
2017-11-19T00:41:01.743Z,,,37.4,,,,55
2017-11-19T00:41:11.745Z,,54.1,37.4,,,,55
2017-11-19T00:41:21.746Z,,,37.3,,,,55
2017-11-19T00:41:31.832Z,,,37.3,,,,55
2017-11-19T00:41:41.743Z,,,37.3,,,,55
2017-11-19T00:41:51.742Z,,54,37.2,,,,55
2017-11-19T00:42:01.743Z,,,37.2,,,,55
2017-11-19T00:42:11.742Z,,,37.2,,,,55
2017-11-19T00:42:21.747Z,,,37.2,,,,55
2017-11-19T00:42:32.825Z,,53.9,37,,,,55
2017-11-19T00:42:41.743Z,,,37,,,,55
2017-11-19T00:42:51.742Z,,,37,,,,55
2017-11-19T00:43:01.742Z,,,36.9,,,,55
2017-11-19T00:43:11.742Z,,,36.9,,,,55
2017-11-19T00:43:21.744Z,,,36.9,,,,55
2017-11-19T00:43:31.823Z,,53.8,36.9,,,,55
2017-11-19T00:43:41.748Z,,,36.8,,,,55
2017-11-19T00:43:51.742Z,,,36.8,,,,55
2017-11-19T00:44:01.743Z,,,36.8,,,,55
2017-11-19T00:44:11.744Z,,,36.7,,,,55
2017-11-19T00:44:21.743Z,,53.7,36.7,,,,55
2017-11-19T00:44:31.833Z,,,36.7,,,,55
2017-11-19T00:44:41.747Z,,,36.7,,,,55
2017-11-19T00:44:51.745Z,,,36.5,,,,55
2017-11-19T00:45:01.743Z,,,36.5,,,,55
2017-11-19T00:45:11.743Z,,53.6,36.5,,,,55
2017-11-19T00:45:23.862Z,,,36.4,,,,55
2017-11-19T00:45:31.835Z,,,36.4,,,,55
2017-11-19T00:45:41.743Z,,,36.4,,,,55
2017-11-19T00:45:51.743Z,,53.4,36.3,,,,55
2017-11-19T00:46:01.744Z,,,36.3,,,,55
2017-11-19T00:46:11.743Z,,,36.3,,,,55
2017-11-19T00:46:21.747Z,,,36.3,,,,55
2017-11-19T00:46:31.838Z,,,36.2,,,,55
2017-11-19T00:46:41.743Z,,,36.2,,,,55
2017-11-19T00:46:51.743Z,,53.3,36.2,,,,55
2017-11-19T00:47:01.743Z,,,36.2,,,,55
2017-11-19T00:47:11.744Z,,,36,,,,55
2017-11-19T00:47:21.743Z,,,36,,,,55
2017-11-19T00:47:31.823Z,,,36,,,,55
2017-11-19T00:47:41.743Z,,53.2,35.9,,,,55
2017-11-19T00:47:51.743Z,,,35.9,,,,55
2017-11-19T00:48:01.744Z,,,35.9,,,,55
2017-11-19T00:48:16.764Z,,,35.9,,,,55
2017-11-19T00:48:21.743Z,,,35.8,,,,55
2017-11-19T00:48:31.824Z,,53.1,35.8,,,,55
2017-11-19T00:48:41.746Z,,,35.8,,,,55
2017-11-19T00:48:51.743Z,,,35.7,,,,55
2017-11-19T00:49:01.747Z,,,35.7,,,,55
