Time,PrimTSet,HwTOutlet,PrimT,HwActive,HwTSet,ActPow,ChActive
2018-02-12T00:44:55.025Z,,29,,,55,,
2018-02-12T00:45:05.020Z,,29,,,55,,
2018-02-12T00:45:16.020Z,,29,50.3,,55,,
2018-02-12T00:45:25.020Z,,28.9,,,55,,
2018-02-12T00:45:35.771Z,,28.9,,,55,,
2018-02-12T00:45:45.020Z,,28.9,,,55,,
2018-02-12T00:45:55.020Z,,28.9,50.2,,55,,
2018-02-12T00:46:05.020Z,,28.7,,,55,,
2018-02-12T00:46:15.020Z,,28.7,,,55,,
2018-02-12T00:46:26.012Z,,28.7,,,55,,
2018-02-12T00:46:35.020Z,,28.7,,,55,,
2018-02-12T00:46:45.021Z,,28.7,50.1,,55,,
2018-02-12T00:46:55.021Z,,28.6,,,55,,
2018-02-12T00:47:05.020Z,,28.6,,,55,,
2018-02-12T00:47:15.022Z,,28.6,,,55,,
2018-02-12T00:47:25.021Z,,28.6,50,,55,,
2018-02-12T00:47:35.021Z,,28.6,,,55,,
2018-02-12T00:47:45.021Z,,28.5,,,55,,
2018-02-12T00:47:55.021Z,,28.5,,,55,,
2018-02-12T00:48:05.020Z,,28.5,49.9,,55,,
2018-02-12T00:48:15.054Z,,28.5,,,55,,
2018-02-12T00:48:25.059Z,,28.3,,,55,,
2018-02-12T00:48:35.043Z,,28.3,,,55,,
2018-02-12T00:48:45.021Z,,28.3,,,55,,
2018-02-12T00:48:55.021Z,,28.3,49.8,,55,,
2018-02-12T00:49:05.020Z,,28.3,,,55,,
2018-02-12T00:49:15.021Z,,28.2,,,55,,
2018-02-12T00:49:25.020Z,,28.2,,,55,,
2018-02-12T00:49:35.020Z,,28.2,,,55,,
2018-02-12T00:49:45.024Z,,28.2,49.7,,55,,
2018-02-12T00:49:55.024Z,,28,,,55,,
2018-02-12T00:50:05.023Z,,28,,,55,,
2018-02-12T00:50:15.021Z,,28,,,55,,
2018-02-12T00:50:25.021Z,,28,49.5,,55,,
2018-02-12T00:50:35.020Z,,28,,,55,,
2018-02-12T00:50:45.021Z,,28,,,55,,
2018-02-12T00:50:55.021Z,,27.9,,,55,,
2018-02-12T00:51:05.021Z,,27.9,,,55,,
2018-02-12T00:51:15.021Z,,27.9,49.4,,55,,
2018-02-12T00:51:25.044Z,,27.9,,,55,,
2018-02-12T00:51:35.021Z,,27.9,,,55,,
2018-02-12T00:51:45.022Z,,27.7,,,55,,
2018-02-12T00:51:55.022Z,,27.7,49.3,,55,,
2018-02-12T00:52:06.020Z,,27.7,,,55,,
2018-02-12T00:52:15.021Z,,27.7,,,55,,
2018-02-12T00:52:25.024Z,,27.6,,,55,,
2018-02-12T00:52:35.023Z,,27.6,49.2,,55,,
2018-02-12T00:52:45.021Z,,27.6,,,55,,
2018-02-12T00:52:55.021Z,,27.6,,,55,,
2018-02-12T00:53:05.021Z,,27.6,,,55,,
2018-02-12T00:53:15.045Z,,27.6,,,55,,
2018-02-12T00:53:26.091Z,,27.5,49.1,,55,,
2018-02-12T00:53:35.021Z,,27.5,,,55,,
2018-02-12T00:53:45.021Z,,27.5,,,55,,
2018-02-12T00:53:55.021Z,,27.5,,,55,,
2018-02-12T00:54:05.021Z,,27.5,,,55,,
2018-02-12T00:54:15.021Z,,27.3,49,,55,,
2018-02-12T00:54:30.111Z,,27.3,,,55,,
2018-02-12T00:54:35.021Z,,27.3,,,55,,
2018-02-12T00:54:45.021Z,,27.3,,,55,,
2018-02-12T00:54:56.223Z,,27.3,48.9,,55,,
2018-02-12T00:55:05.024Z,,27.2,,,55,,
2018-02-12T00:55:15.097Z,,27.2,,,55,,
2018-02-12T00:55:25.046Z,,27.2,,,55,,
2018-02-12T00:55:35.132Z,,27.2,,,55,,
2018-02-12T00:55:45.022Z,,27.2,48.7,,55,,
2018-02-12T00:55:55.021Z,,27,,,55,,
2018-02-12T00:56:05.021Z,,27,,,55,,
2018-02-12T00:56:15.022Z,,27,,,55,,
2018-02-12T00:56:26.073Z,,27,48.6,,55,,
2018-02-12T00:56:35.021Z,,27,,,55,,
2018-02-12T00:56:45.022Z,,26.9,,,55,,
2018-02-12T00:56:55.024Z,,26.9,,,55,,
2018-02-12T00:57:05.180Z,,26.9,,,55,,
2018-02-12T00:57:15.023Z,,26.9,48.5,,55,,
2018-02-12T00:57:25.024Z,,26.9,,,55,,
2018-02-12T00:57:35.022Z,,26.9,,,55,,
2018-02-12T00:57:46.020Z,,26.8,,,55,,
2018-02-12T00:57:55.022Z,,26.8,,,55,,
2018-02-12T00:58:05.022Z,,26.8,48.4,,55,,
2018-02-12T00:58:15.022Z,,26.8,,,55,,
2018-02-12T00:58:25.022Z,,26.8,,,55,,
2018-02-12T00:58:35.022Z,,26.8,,,55,,
2018-02-12T00:58:45.022Z,,26.6,,,55,,
2018-02-12T00:58:55.023Z,,26.6,48.3,,55,,
2018-02-12T00:59:05.022Z,,26.6,,,55,,
2018-02-12T00:59:16.132Z,,26.6,,,55,,
2018-02-12T00:59:25.032Z,,26.6,,,55,,
2018-02-12T00:59:35.022Z,,26.6,48.2,,55,,
2018-02-12T00:59:46.022Z,,26.5,,,55,,
2018-02-12T00:59:55.022Z,,26.5,,,55,,
2018-02-12T01:00:05.022Z,,26.5,,,55,,
2018-02-12T01:00:15.022Z,,26.5,,,55,,
2018-02-12T01:00:25.022Z,,26.5,,,55,,
2018-02-12T01:00:35.022Z,,26.3,48.1,,55,,
2018-02-12T01:00:45.022Z,,26.3,,,55,,
2018-02-12T01:00:55.022Z,,26.3,,,55,,
2018-02-12T01:01:05.022Z,,26.3,,,55,,
2018-02-12T01:01:16.014Z,,26.3,48,,55,,
2018-02-12T01:01:25.022Z,,26.3,,,55,,
2018-02-12T01:01:35.026Z,,26.2,,,55,,
2018-02-12T01:01:45.022Z,,26.2,,,55,,
2018-02-12T01:01:55.022Z,,26.2,,,55,,
2018-02-12T01:02:05.023Z,,26.2,47.8,,55,,
2018-02-12T01:02:15.023Z,,26.2,,,55,,
2018-02-12T01:02:25.027Z,,26.2,,,55,,
2018-02-12T01:02:35.023Z,,26.1,,,55,,
2018-02-12T01:02:45.023Z,,26.1,47.7,,55,,
2018-02-12T01:02:55.025Z,,26.1,,,55,,
2018-02-12T01:03:05.024Z,,26.1,,,55,,
2018-02-12T01:03:15.022Z,,26.1,,,55,,
2018-02-12T01:03:25.023Z,,26.1,,,55,,
2018-02-12T01:03:35.034Z,,25.9,47.6,,55,,
2018-02-12T01:03:45.023Z,,25.9,,,55,,
2018-02-12T01:03:55.023Z,,25.9,,,55,,
2018-02-12T01:04:05.022Z,,25.9,,,55,,
2018-02-12T01:04:15.022Z,,25.9,,,55,,
2018-02-12T01:04:25.024Z,,25.9,47.5,,55,,
2018-02-12T01:04:35.024Z,,25.8,,,55,,
2018-02-12T01:04:45.022Z,,25.8,,,55,,
2018-02-12T01:04:56.019Z,,25.8,,,55,,
2018-02-12T01:05:05.022Z,,25.8,,,55,,
2018-02-12T01:05:15.024Z,,25.8,47.4,,55,,
2018-02-12T01:05:25.025Z,,25.8,,,55,,
2018-02-12T01:05:35.022Z,,25.8,,,55,,
2018-02-12T01:05:45.023Z,,25.6,,,55,,
2018-02-12T01:05:55.023Z,,25.6,,,55,,
2018-02-12T01:06:05.024Z,,25.6,47.3,,55,,
2018-02-12T01:06:15.027Z,,25.6,,,55,,
2018-02-12T01:06:25.023Z,,25.6,,,55,,
2018-02-12T01:06:35.024Z,,25.6,,,55,,
2018-02-12T01:06:45.023Z,,25.5,47.2,,55,,
2018-02-12T01:06:55.023Z,,25.5,,,55,,
2018-02-12T01:07:05.023Z,,25.5,,,55,,
2018-02-12T01:07:15.023Z,,25.5,,,55,,
2018-02-12T01:07:25.026Z,,25.5,,,55,,
2018-02-12T01:07:35.023Z,,25.5,47,,55,,
