Time,ActPow,HwActive,PrimT,PrimTSet,HwTOutlet,HwTSet,ChActive
2017-12-20T00:27:03.460Z,,,55.8,,43.6,55,
2017-12-20T00:27:13.461Z,,,55.9,,43.6,55,
2017-12-20T00:27:23.460Z,,,56,,43.7,55,
2017-12-20T00:27:33.460Z,,,,,43.7,55,
2017-12-20T00:27:43.461Z,,,56.3,,43.9,55,
2017-12-20T00:27:53.460Z,,,,,43.9,55,
2017-12-20T00:28:03.461Z,,,56.4,,44,55,
2017-12-20T00:28:13.462Z,,,56.5,,44,55,
2017-12-20T00:28:23.460Z,,,56.6,,44.1,55,
2017-12-20T00:28:33.461Z,,,56.7,,44.1,55,
2017-12-20T00:28:43.461Z,,,56.9,,44.2,55,
2017-12-20T00:28:58.542Z,,,57,,44.3,55,
2017-12-20T00:29:03.461Z,,,57.1,,44.3,55,
2017-12-20T00:29:13.461Z,,,57.2,,44.4,55,
2017-12-20T00:29:23.460Z,,,57.3,,44.4,55,
2017-12-20T00:29:33.461Z,,,57.4,,44.5,55,
2017-12-20T00:29:43.461Z,,,57.6,,44.7,55,
2017-12-20T00:29:53.460Z,,,57.7,,44.7,55,
2017-12-20T00:30:03.462Z,,,57.8,,44.8,55,
2017-12-20T00:30:13.461Z,,,57.9,,44.8,55,
2017-12-20T00:30:24.453Z,,,,,44.9,55,
2017-12-20T00:30:33.460Z,,,58,,44.9,55,
2017-12-20T00:30:43.461Z,,,58.1,,45,55,
2017-12-20T00:30:53.463Z,,,58.3,,45.1,55,
2017-12-20T00:31:03.462Z,,,58.4,,45.1,55,
2017-12-20T00:31:13.462Z,,,58.5,,45.2,55,
2017-12-20T00:31:23.466Z,,,58.6,,45.3,55,
2017-12-20T00:31:33.463Z,,,58.7,,45.3,55,
2017-12-20T00:31:43.462Z,,,58.8,,45.5,55,
2017-12-20T00:31:53.462Z,,,,,45.5,55,
2017-12-20T00:32:03.461Z,,,59,,45.6,55,
2017-12-20T00:32:13.461Z,,,59.1,,45.6,55,
2017-12-20T00:32:23.461Z,,,59.2,,45.7,55,
2017-12-20T00:32:33.461Z,,,59.3,,45.8,55,
2017-12-20T00:32:43.462Z,,,59.4,,45.8,55,
2017-12-20T00:32:53.461Z,,,,,45.9,55,
2017-12-20T00:33:03.461Z,,,59.5,,45.9,55,
2017-12-20T00:33:13.782Z,,,59.7,,46,55,
2017-12-20T00:33:23.461Z,,,,,46.1,55,
2017-12-20T00:33:33.461Z,,,59.8,,46.1,55,
2017-12-20T00:33:43.461Z,,,59.9,,46.2,55,
2017-12-20T00:33:53.465Z,,,60,,,,
2017-12-20T00:34:03.462Z,,,60.1,,46.4,55,
2017-12-20T00:34:13.463Z,,,60.2,,46.5,55,
2017-12-20T00:34:23.462Z,,,60.4,,46.5,55,
2017-12-20T00:34:33.462Z,,,60.5,,46.6,55,
2017-12-20T00:34:43.461Z,0,0,60.3,,46.6,55,2
2017-12-20T00:34:53.462Z,,,58.9,,46.7,55,
2017-12-20T00:35:03.462Z,,,57.5,,46.8,55,
2017-12-20T00:35:13.461Z,,,56.8,,46.8,55,
2017-12-20T00:35:23.461Z,,,56.7,,46.9,55,
2017-12-20T00:35:33.471Z,,,,,46.9,55,
2017-12-20T00:35:43.461Z,,,57.1,,47,55,
2017-12-20T00:35:53.461Z,,,56.8,,47,55,
2017-12-20T00:36:03.462Z,,,56.5,,47.2,55,
2017-12-20T00:36:13.461Z,,,56.1,,47.2,55,
2017-12-20T00:36:23.462Z,,,55.9,,47.2,55,
2017-12-20T00:36:33.462Z,,,55.7,,47.2,55,
2017-12-20T00:36:43.464Z,,,55.5,,47.2,55,
2017-12-20T00:36:53.463Z,,,55.2,,,,
2017-12-20T00:37:03.462Z,,,55,,47.2,55,
2017-12-20T00:37:13.461Z,,,54.9,,47.2,55,
2017-12-20T00:37:23.462Z,,,54.7,,47.2,55,
2017-12-20T00:37:33.462Z,,,54.4,,47.2,55,
2017-12-20T00:37:43.461Z,,,54.3,,47,55,
2017-12-20T00:37:53.461Z,,,54.6,,47,55,
2017-12-20T00:38:03.461Z,,,54.7,,46.9,55,
2017-12-20T00:38:13.462Z,,,54.8,,46.9,55,
2017-12-20T00:38:23.462Z,,,55,,46.9,55,
2017-12-20T00:38:33.462Z,,,55.1,,46.8,55,
2017-12-20T00:38:43.462Z,,,,,46.8,55,
2017-12-20T00:38:54.456Z,,,55.2,,46.7,55,
2017-12-20T00:39:03.464Z,,,55.3,,46.7,55,
2017-12-20T00:39:13.464Z,,,55.5,,46.6,55,
2017-12-20T00:39:23.461Z,,,,,46.6,55,
2017-12-20T00:39:33.469Z,,,55.6,,46.6,55,
2017-12-20T00:39:43.461Z,,,55.7,,46.5,55,
2017-12-20T00:39:53.462Z,,,,,46.5,55,
2017-12-20T00:40:03.462Z,,,55.8,,46.5,55,
2017-12-20T00:40:13.462Z,,,55.9,,46.4,55,
2017-12-20T00:40:23.462Z,,,,,46.4,55,
2017-12-20T00:40:33.462Z,,,56,,46.2,55,
2017-12-20T00:40:43.462Z,,,,,46.2,55,
2017-12-20T00:40:53.462Z,,,,,46.2,55,
2017-12-20T00:41:03.462Z,,,56.1,,46.1,55,
2017-12-20T00:41:13.464Z,,,,,46.1,55,
2017-12-20T00:41:23.462Z,,,56.2,,46,55,
2017-12-20T00:41:33.462Z,,,,,46,55,
2017-12-20T00:41:44.460Z,,,,,45.9,55,
2017-12-20T00:41:53.462Z,,,,,45.9,55,
2017-12-20T00:42:03.462Z,,,56.4,,45.9,55,
2017-12-20T00:42:13.462Z,,,,,45.8,55,
2017-12-20T00:42:23.462Z,,,,,45.8,55,
2017-12-20T00:42:33.462Z,,,,,45.7,55,
2017-12-20T00:42:43.463Z,,,56.5,,45.7,55,
2017-12-20T00:42:53.462Z,,,,,45.6,55,
2017-12-20T00:43:03.463Z,,,,,45.6,55,
2017-12-20T00:43:13.462Z,,,,,45.6,55,
2017-12-20T00:43:23.462Z,,,,,45.5,55,
2017-12-20T00:43:33.462Z,,,,,45.5,55,
2017-12-20T00:43:43.463Z,,,,,45.3,55,
2017-12-20T00:43:53.462Z,,,,,45.3,55,
2017-12-20T00:44:03.464Z,,,56.6,,45.3,55,
2017-12-20T00:44:13.462Z,,,,,45.2,55,
2017-12-20T00:44:23.462Z,,,,,45.2,55,
2017-12-20T00:44:38.483Z,,,,,45.1,55,
2017-12-20T00:44:43.462Z,,,,,45.1,55,
2017-12-20T00:44:53.463Z,,,,,45,55,
2017-12-20T00:45:03.462Z,,,,,45,55,
2017-12-20T00:45:13.462Z,,,,,44.9,55,
2017-12-20T00:45:23.463Z,,,,,44.9,55,
2017-12-20T00:45:33.463Z,,,,,44.9,55,
2017-12-20T00:45:43.462Z,,,,,44.8,55,
2017-12-20T00:45:53.463Z,,,,,44.8,55,
2017-12-20T00:46:03.655Z,,,,,44.7,55,
2017-12-20T00:46:13.462Z,,,,,44.7,55,
2017-12-20T00:46:23.463Z,,,,,44.7,55,
2017-12-20T00:46:33.463Z,,,,,44.5,55,
2017-12-20T00:46:43.463Z,,,,,44.5,55,
2017-12-20T00:46:53.464Z,,,56.5,,44.4,55,
2017-12-20T00:47:03.463Z,79,0,56.6,,44.4,55,2
2017-12-20T00:47:13.463Z,79,,61.3,,44.3,55,
2017-12-20T00:47:23.463Z,39,,65,,44.3,55,
2017-12-20T00:47:33.462Z,29,,61.3,,44.2,55,
2017-12-20T00:47:43.462Z,,,55.8,,44.2,55,
2017-12-20T00:47:53.463Z,,,52.8,,,,
2017-12-20T00:48:03.463Z,,,51.6,,44.1,55,
2017-12-20T00:48:13.463Z,29,0,51.4,75,44.1,55,2
2017-12-20T00:48:23.464Z,,,52.4,,44.1,55,
2017-12-20T00:48:33.463Z,,,52.8,,44.1,55,
2017-12-20T00:48:43.464Z,,,,,44,55,
2017-12-20T00:49:03.463Z,,,53,,44,55,
2017-12-20T00:49:13.463Z,,,,,44,55,
2017-12-20T00:49:23.463Z,,,53.2,,44,55,
