Time,PrimT,HwTSet,PrimTSet,HwActive,ChActive,HwTOutlet,ActPow
2018-02-15T00:26:29.671Z,62.1,54,,,,22.7,29
2018-02-15T00:26:39.690Z,62.2,54,,,,22.8,
2018-02-15T00:26:49.748Z,62.4,54,,,,23,
2018-02-15T00:27:04.766Z,62.6,54,,,,23,30
2018-02-15T00:27:10.239Z,,54,,,,22.8,29
2018-02-15T00:27:19.690Z,62.7,54,,,,22.8,
2018-02-15T00:27:29.717Z,62.8,54,,,,23.1,
2018-02-15T00:27:39.670Z,62.9,54,,,,23.1,
2018-02-15T00:27:49.740Z,,54,,,,23.1,29
2018-02-15T00:27:59.746Z,63.1,54,,,,23.1,
2018-02-15T00:28:10.757Z,,54,,,,23.2,
2018-02-15T00:28:19.670Z,63.2,54,,,,23.3,
2018-02-15T00:28:29.846Z,,54,,,,23.2,30
2018-02-15T00:28:40.116Z,63.3,54,,,,23.3,29
2018-02-15T00:28:49.741Z,,54,,,,23.2,
2018-02-15T00:28:59.758Z,,54,,,,23.2,
2018-02-15T00:29:09.826Z,,54,,,,23.4,
2018-02-15T00:29:19.770Z,63.4,54,,,,23.3,30
2018-02-15T00:29:29.689Z,,54,,,,23.3,
2018-02-15T00:29:39.671Z,,54,,,,23.2,29
2018-02-15T00:29:54.768Z,,54,,,,23.3,
2018-02-15T00:29:59.737Z,,54,,,,23.4,30
2018-02-15T00:30:09.752Z,,54,,,,23.3,29
2018-02-15T00:30:19.700Z,,54,,,,23.2,
2018-02-15T00:30:29.701Z,,54,,,,23.4,30
2018-02-15T00:30:39.670Z,,54,,,,23.3,
2018-02-15T00:30:49.694Z,63.5,54,,,,23.4,29
2018-02-15T00:30:59.732Z,,54,,,,23.4,
2018-02-15T00:31:09.684Z,,54,,,,23.4,
2018-02-15T00:31:19.697Z,,54,,,,23.3,30
2018-02-15T00:31:29.727Z,,54,,,,23.2,29
2018-02-15T00:31:39.675Z,,54,,,,23.3,
2018-02-15T00:31:49.672Z,,54,,,,23.3,
2018-02-15T00:31:59.693Z,63.6,54,,,,23.2,30
2018-02-15T00:32:09.671Z,,54,,,,23.6,29
2018-02-15T00:32:19.672Z,,54,,,,23.3,
2018-02-15T00:32:29.725Z,,54,,,,23.4,
2018-02-15T00:32:39.705Z,,54,,,,23.6,
2018-02-15T00:32:49.743Z,,54,,,,23.6,30
2018-02-15T00:32:59.745Z,63.8,54,,,,23.4,29
2018-02-15T00:33:09.759Z,,54,,,,23.3,
2018-02-15T00:33:19.701Z,,54,,,,23.6,
2018-02-15T00:33:29.679Z,,54,,,,23.6,
2018-02-15T00:33:39.687Z,63.9,54,,,,23.4,
2018-02-15T00:33:49.689Z,,54,,,,23.4,30
2018-02-15T00:33:59.677Z,,54,,,,23.6,29
2018-02-15T00:34:09.716Z,,54,,,,23.4,
2018-02-15T00:34:19.685Z,,54,,,,23.7,
2018-02-15T00:34:29.811Z,,54,,,,23.6,
2018-02-15T00:34:39.698Z,63.9,54,,,,23.6,
2018-02-15T00:34:49.839Z,64,54,,,,23.4,29
2018-02-15T00:34:59.779Z,,54,,,,23.4,30
2018-02-15T00:35:09.674Z,,54,,,,23.4,29
2018-02-15T00:35:19.776Z,,54,,,,23.6,30
2018-02-15T00:35:29.709Z,,54,,,,23.6,29
2018-02-15T00:35:39.725Z,64.1,54,,,,23.6,
2018-02-15T00:35:49.673Z,,54,,,,23.6,
2018-02-15T00:35:59.695Z,,54,,,,23.6,
2018-02-15T00:36:14.868Z,,54,,,,23.6,
2018-02-15T00:36:19.671Z,,54,,,,23.4,
2018-02-15T00:36:29.680Z,,54,,,,23.7,
2018-02-15T00:36:39.758Z,,54,,,,23.8,
2018-02-15T00:36:49.724Z,64.2,54,,,,23.7,30
2018-02-15T00:36:59.741Z,,54,,,,23.8,29
2018-02-15T00:37:09.678Z,,54,,,,23.7,
2018-02-15T00:37:19.676Z,,54,,,,23.6,
2018-02-15T00:37:29.672Z,,54,,,,23.4,30
2018-02-15T00:37:39.747Z,,54,,,,23.6,29
2018-02-15T00:37:49.692Z,,54,,,,23.7,
